Hrs,Liquidations 
158306,1175
158306,4002
158306,1000
158306,1000
158306,73409
158306,10701
158306,3000
158307,825
158307,7371
158307,44025
158307,5000
158307,30000
158307,14485
158308,1000
158308,11
158308,8095
158308,10640
158308,1142
158308,395244
158308,9000
158308,80002
158308,8400
158308,600
158308,6015
158308,7000
158308,1077
158308,10000
158308,2150
158308,3400
158308,38000
158308,35
158308,130
158308,118
158308,82845
158308,20400
158308,469704
158308,285000
158308,935238
158308,135115
158308,6006
158308,1623464
158308,191013
158308,37772
158308,108304
158308,49172
158308,136
158308,1295
158308,80999
158308,104900
158308,4000
158308,370
158309,7010
158309,20674
158309,112705
158309,279
158309,7610
158310,4230
158310,8521
158310,28370
158310,226148
158310,7890
158310,61648
158310,4000
158310,7500
158310,220
158310,1500
158311,35008
158311,179681
158311,51000
158311,173608
158311,43320
158311,1000
158311,5540
158311,250
158311,500
158311,250
158311,170000
158311,20226
158311,640
158312,70
158312,2005
158312,600
158312,740
158312,1100
158312,675
158312,3500
158312,1100
158312,5000
158312,1001
158312,18500
158312,91828
158312,37
158312,1200
158312,32
158312,150
158312,535
158312,3900
158313,705
158313,11150
158313,500
158313,25286
158313,6261
158313,10324
158313,2806
158313,297134
158313,20595
158313,1609025
158313,31098
158313,16152
158313,39100
158313,200
158313,650
158313,700
158313,4750
158313,50
158313,46727
158313,32820
158313,126958
158313,100
158313,17400
158313,11484
158313,38008
158314,1000
158314,854
158314,5820
158314,5151
158314,343
158314,63450
158314,109400
158314,1000345
158314,338600
158314,95061
158314,2000
158314,4710
158314,8300
158314,30552
158314,4800
158314,177071
158314,748
158315,3060
158315,28
158315,500
158315,2035
158315,2650
158315,9050
158315,50
158315,8600
158315,4000
158316,39083
158316,9731
158316,454081
158316,1001
158316,53015
158316,40568
158316,11000
158316,402870
158316,4400
158316,34456
158316,15936
158316,171932
158316,131569
158316,10
158316,1802
158316,271
158316,1030
158316,29
158317,10
158317,42
158317,4460
158317,40250
158317,1006
158317,309
158317,51925
158317,420615
158317,18361
158317,52071
158317,1129423
158317,37868
158317,41795
158317,13630
158317,10852
158317,660025
158317,339335
158317,19100
158317,240415
158317,17445
158317,182440
158317,250
158317,553530
158317,4000
158317,73316
158317,244930
158317,51600
158317,179851
158317,58401
158317,6950
158317,77913
158317,5200
158317,425913
158317,149333
158317,55500
158317,20
158317,117240
158317,234304
158317,36839
158317,699825
158317,11000
158317,57300
158317,320
158318,401
158318,11459
158318,5659
158318,8004
158318,13200
158318,1000
158318,100
158318,4701
158318,1298
158318,51630
158318,23862
158318,38878
158318,20000
158318,102662
158318,30000
158318,30000
158318,510600
158318,203201
158318,13280
158319,100
158319,2160
158320,14000
158320,1324
158320,10450
158320,5
158320,13251
158320,15149
158320,51832
158320,10120
158320,1500
158320,22778
158320,6508
158320,140564
158320,92689
158320,15300
158320,100
158320,20001
158320,20980
158320,11100
158320,710
158320,150
158320,44000
158320,7325
158320,1000
158322,201
158324,89974
158324,1000
158324,600
158324,100000
158324,3000
158324,4840
158324,49720
158324,300
158324,81000
158324,6000
158324,1000
158324,2500
158324,1100
158324,300
158324,4344
158324,9000
158324,35550
158324,36227
158324,600
158324,310
158324,48000
158324,112000
158324,8191
158324,17004
158324,7300
158324,5400
158324,1200
158324,1520
158324,15000
158324,1000
158324,18050
158324,119110
158324,6680
158324,110392
158325,1100
158325,150
158325,22675
158325,3000
158325,1
158325,329187
158325,7222
158325,13800
158325,15616
158325,35651
158325,59051
158326,110
158326,650
158326,8325
158326,351128
158326,65840
158326,75800
158326,95628
158326,7000
158326,5000
158326,451
158326,100
158326,17460
158326,15880
158326,26318
158326,2331
158326,4100
158326,8600
158326,505724
158326,5000
158326,222889
158326,100
158326,7500
158326,1900
158327,200
158327,3
158327,3000
158327,600
158328,10
158328,2500
158329,1003
158329,204360
158329,8688
158329,10080
158329,500
158329,1500
158329,873
158329,48128
158329,350
158329,182998
158330,12770
158330,23958
158330,23970
158330,23700
158330,1
158330,306475
158330,52535
158330,38610
158330,50
158331,4000
158331,452
158331,16743
158331,1850
158331,6600
158334,300
158334,1000
158334,34749
158334,5800
158334,58640
158334,60
158335,19251
158335,19892
158335,20
158335,2000
158335,3500
158335,6440
158336,1401
158336,99
158336,40
158336,3250
158336,10650
158337,12400
158338,128671
158338,33000
158338,48080
158338,42117
158338,258706
158338,31009
158338,16872
158338,1096770
158338,152570
158338,57920
158338,1464
158338,1648389
158338,12250
158338,8205
158338,44796
158338,279025
158338,5432
158338,20056
158338,1025611
158338,12961
158338,67010
158338,64385
158338,24785
158338,13000
158338,5000
158338,10000
158339,117864
158339,666155
158339,5759
158339,90173
158339,215430
158339,309059
158339,8000
158339,2300
158339,123984
158339,25000
158339,13
158339,12000
158339,75803
158339,3500
158339,17900
158339,1175
158339,20609
158340,300
158340,300
158340,11180
158340,5000
158340,2000
158340,31960
158341,11300
158341,250
158341,10022
158341,40
158341,12
158341,100
158341,5585
158341,30000
158341,32006
158341,94974
158341,1344511
158341,2289378
158341,1467842
158341,369709
158341,1013374
158341,44111
158341,133776
158341,1912
158341,28200
158341,46000
158341,1846219
158341,122089
158341,106221
158341,100300
158341,74117
158341,54423
158342,15300
158342,197489
158342,80
158342,1650
158342,3510
158342,500
158342,533598
158342,5592
158342,203625
158342,10300
158342,3198
158342,5510
158344,7100
158344,35302
158344,4000
158344,900
158344,84830
158344,50
158345,3940
158345,39102
158345,2800
158345,16418
158345,89192
158345,80850
158345,692509
158345,49272
158345,10546
158345,217980
158345,36911
158345,6700
158346,10000
158347,27200
158347,90
158347,7888
158347,4700
158348,33578
158348,2000
158349,2584
158349,50177
158349,10
158349,10000
158349,7004
158349,8325
158349,8980
158349,3900
158349,500
158349,750
158349,150
