date,XBTUSD,BTCUSD
2020-06-10T13:20,632734076,200895008
2020-06-10T13:30,632792382,200706922
2020-06-10T13:40,633453286,203059296
2020-06-10T13:50,633827542,202416996
2020-06-10T14:00,634858626,202375836
2020-06-10T14:10,636029043,202858570
2020-06-10T14:20,635655461,201682730
2020-06-10T14:30,636590861,203099868
2020-06-10T14:40,637246025,205169604
2020-06-10T14:50,636897448,205944562
2020-06-10T15:00,637264412,206389124
2020-06-10T15:10,637290745,206733096
2020-06-10T15:20,637354371,206924714
2020-06-10T15:30,636704299,206793826
2020-06-10T15:40,636712393,206899572
2020-06-10T15:50,636140340,207881916
2020-06-10T16:00,636994819,207544382
2020-06-10T16:10,638895107,208430164
2020-06-10T16:20,638315977,208860032
2020-06-10T16:30,638182432,210756252
2020-06-10T16:40,637955515,210701518
2020-06-10T16:50,639338031,211006410
2020-06-10T17:00,640047669,210937618
2020-06-10T17:10,638038454,209772706
2020-06-10T17:20,638018217,209369750
2020-06-10T17:30,637990318,209398656
2020-06-10T17:40,637027457,209375048
2020-06-10T17:50,637070884,209260866
2020-06-10T18:00,638261933,209675740
2020-06-10T18:10,639499112,212669360
2020-06-10T18:20,640360153,212518760
2020-06-10T18:30,639715600,213692998
2020-06-10T18:40,635210828,210882190
2020-06-10T18:50,652490940,207610032
2020-06-10T19:00,611496971,191173200
2020-06-10T19:10,614476989,191623064
2020-06-10T19:20,617950601,194928084
2020-06-10T19:30,618873292,194535546
2020-06-10T19:40,620216883,196547324
2020-06-10T19:50,623161083,198862804
2020-06-10T20:00,621506450,194455132
2020-06-10T20:10,627645344,198754696
2020-06-10T20:20,628700856,197950626
2020-06-10T20:30,629759933,200284902
2020-06-10T20:40,631786662,200984658
2020-06-10T20:50,631747520,201286950
2020-06-10T21:00,629741551,201338058
2020-06-10T21:10,631130810,200784140
2020-06-10T21:20,630852327,200824778
2020-06-10T21:30,630949471,202767204
2020-06-10T21:40,630226700,201355652
2020-06-10T21:50,629772327,198698856
2020-06-10T22:00,627303606,199678364
2020-06-10T22:10,628242165,201522376
2020-06-10T22:20,627656648,201222714
2020-06-10T22:30,625680565,201138898
2020-06-10T22:40,628184020,201780280
2020-06-10T22:50,628632248,201960082
2020-06-10T23:00,628635277,202361572
2020-06-10T23:10,629528305,201304394
2020-06-10T23:20,630444563,201007970
2020-06-10T23:30,631370048,201445368
2020-06-10T23:40,631942664,200917948
2020-06-10T23:50,632591687,201053600
2020-06-11T00:00,632829828,203382210
2020-06-11T00:10,633353092,205596302
2020-06-11T00:20,636338657,206289732
2020-06-11T00:30,635815142,206304514
2020-06-11T00:40,638617333,207655648
2020-06-11T00:50,637260065,206006244
2020-06-11T01:00,637122277,207154248
2020-06-11T01:10,637572300,207654498
2020-06-11T01:20,636512646,207870640
