date,XBTUSD,ETHUSD
2020-06-07T03:40:00,574168393,29582696
2020-06-07T03:50:00,574180846,29590252
2020-06-07T04:00:00,574070853,29661814
2020-06-07T04:10:00,576288185,29629006
2020-06-07T04:20:00,577233041,29657358
2020-06-07T04:30:00,577174266,29665150
2020-06-07T04:40:00,574161598,29680164
2020-06-07T04:50:00,574094003,29759924
2020-06-07T05:00:00,573990318,29710068
2020-06-07T05:10:00,572981184,29695514
2020-06-07T05:20:00,571800909,30223690
2020-06-07T05:30:00,571410424,30243798
2020-06-07T05:40:00,571318290,30247816
2020-06-07T05:50:00,570606821,30244664
2020-06-07T06:00:00,569848038,30235522
2020-06-07T06:10:00,569624992,30218434
2020-06-07T06:20:00,570181489,30351710
2020-06-07T06:30:00,569246836,30355000
2020-06-07T06:40:00,568608034,30564168
2020-06-07T06:50:00,568029757,30596854
2020-06-07T07:00:00,568666441,30541322
2020-06-07T07:10:00,568704878,30721210
2020-06-07T07:20:00,569284637,30723178
2020-06-07T07:30:00,569165275,30712420
2020-06-07T07:40:00,569007464,30678146
2020-06-07T07:50:00,569662703,30657076
2020-06-07T08:00:00,569491827,30402954
2020-06-07T08:10:00,571733625,29577930
2020-06-07T08:20:00,571870165,29589246
2020-06-07T08:30:00,576712312,29238624
2020-06-07T08:40:00,579560629,29503312
2020-06-07T08:50:00,571408887,29022140
2020-06-07T09:00:00,572439747,28838290
2020-06-07T09:10:00,572386439,28812536
2020-06-07T09:20:00,573771138,28839316
2020-06-07T09:30:00,574517592,28735560
2020-06-07T09:40:00,574581411,28721460
2020-06-07T09:50:00,571995587,28721696
2020-06-07T10:00:00,570974883,28712374
2020-06-07T10:10:00,570831559,28815932
2020-06-07T10:20:00,572103331,28944306
2020-06-07T10:30:00,572944144,28945932
2020-06-07T10:40:00,574425780,29027038
2020-06-07T10:50:00,572666793,28977038
2020-06-07T11:00:00,572724012,29027478
2020-06-07T11:10:00,572685573,29040182
2020-06-07T11:20:00,572857170,29101376
2020-06-07T11:30:00,573150402,29260308
2020-06-07T11:40:00,582110221,29281770
2020-06-07T11:50:00,582738156,29478566
2020-06-07T12:00:00,588802247,29347940
2020-06-07T12:10:00,594035874,28767694
2020-06-07T12:20:00,596395245,28731142
2020-06-07T12:30:00,596619356,29241480
2020-06-07T12:40:00,599678405,29176676
2020-06-07T12:50:00,601757750,29827938
2020-06-07T13:00:00,605194810,30266990
2020-06-07T13:10:00,610254882,30346602
2020-06-07T13:20:00,613200668,30110550
2020-06-07T13:30:00,618952985,30160194
2020-06-07T13:40:00,620009531,30494472
2020-06-07T13:50:00,624356162,30477826
2020-06-07T14:00:00,626073175,30489484
2020-06-07T14:10:00,618037478,30450724
2020-06-07T14:20:00,618526728,30789802
2020-06-07T14:30:00,618767548,30696068
2020-06-07T14:40:00,619713603,30519008
2020-06-07T14:50:00,621114346,30534982
2020-06-07T15:00:00,623490895,30646850
2020-06-07T15:10:00,624317548,30765628
2020-06-07T15:20:00,624432068,30987122
2020-06-07T15:30:00,624926123,30988820
2020-06-07T15:40:00,624767551,30935886
2020-06-07T15:50:00,625643417,30977840
2020-06-07T16:00:00,626549960,31140738
2020-06-07T16:10:00,626563519,31349134
2020-06-07T16:20:00,628984964,31512506
2020-06-07T16:30:00,628883322,31696408
2020-06-07T16:40:00,628480695,31755960
2020-06-07T16:50:00,629672382,31711208
2020-06-07T17:00:00,630812204,31775708
2020-06-07T17:10:00,632312806,31755372
2020-06-07T17:20:00,631765295,31990384
2020-06-07T17:30:00,631956208,32165740
2020-06-07T17:40:00,633268580,32185196
2020-06-07T17:50:00,635454686,32242704
2020-06-07T18:00:00,633818573,32397680
2020-06-07T18:10:00,634025433,32439626
2020-06-07T18:20:00,633496353,32163018
2020-06-07T18:30:00,634005068,31676930
2020-06-07T18:40:00,636016363,31657064
2020-06-07T18:50:00,635780585,31484454
2020-06-07T19:00:00,634965224,31308414
2020-06-07T19:10:00,632967957,31324864
2020-06-07T19:20:00,632190308,31376316
2020-06-07T19:30:00,629875643,31322564
2020-06-07T19:40:00,621812400,31228458
2020-06-07T19:50:00,597467152,30915044
2020-06-07T20:00:00,572528842,29919749
2020-06-07T20:10:00,573970443,28434380
2020-06-07T20:20:00,573620659,28278586
2020-06-07T20:30:00,574179046,28337304
2020-06-07T20:40:00,578007635,28285132
2020-06-07T20:50:00,578527149,28265136
2020-06-07T21:00:00,577704956,28159632
2020-06-07T21:10:00,577713532,28155306
2020-06-07T21:20:00,578526415,27930506
2020-06-07T21:30:00,578129209,27952446
2020-06-07T21:40:00,578423629,27860576
2020-06-07T21:50:00,578082080,28038738
2020-06-07T22:00:00,578415007,27901168
2020-06-07T22:10:00,580014588,28013156
2020-06-07T22:20:00,579001068,28155240
2020-06-07T22:30:00,579027620,28343680
2020-06-07T22:40:00,579517172,28334834
2020-06-07T22:50:00,581770219,28490036
2020-06-07T23:00:00,582322833,29355304
2020-06-07T23:10:00,583705520,29270980
2020-06-07T23:20:00,584429849,29185754
2020-06-07T23:30:00,581546516,29213088
2020-06-07T23:40:00,581000374,29217834
2020-06-07T23:50:00,581640679,29433536
2020-06-08T00:00:00,583623602,30042752
2020-06-08T00:10:00,585774743,30067940
2020-06-08T00:20:00,585091983,30096358
2020-06-08T00:30:00,584463022,30044546
2020-06-08T00:40:00,584126991,30003578
2020-06-08T00:50:00,584012415,29900254
2020-06-08T01:00:00,584656178,29926094
2020-06-08T01:10:00,584237121,29965062
2020-06-08T01:20:00,584566889,29874010
2020-06-08T01:30:00,582614808,29874118
2020-06-08T01:40:00,582388817,30004606
2020-06-08T01:50:00,582049082,30142988
2020-06-08T02:00:00,582173560,30071800
2020-06-08T02:10:00,582276032,29961936
2020-06-08T02:20:00,583846087,30186158
2020-06-08T02:30:00,586861917,30201734
2020-06-08T02:40:00,587069397,30450798
2020-06-08T02:50:00,587314597,30340658
2020-06-08T03:00:00,586410506,30184368
2020-06-08T03:10:00,586683267,30217970
2020-06-08T03:20:00,586484054,30222272
2020-06-08T03:30:00,585504820,30274394
2020-06-08T03:40:00,587107432,30048264
2020-06-08T03:50:00,587218302,30040760
2020-06-08T04:00:00,586610385,30018028
2020-06-08T04:10:00,586895641,30153554
2020-06-08T04:20:00,586506487,30505944
2020-06-08T04:30:00,587382409,30516154
2020-06-08T04:40:00,588845628,30512798
2020-06-08T04:50:00,589134258,30316442
2020-06-08T05:00:00,589369595,30305270
2020-06-08T05:10:00,590272176,30387012
2020-06-08T05:20:00,590138117,30327018
2020-06-08T05:30:00,590864598,30436132
2020-06-08T05:40:00,591175134,30411450
2020-06-08T05:50:00,593204461,30699900
2020-06-08T06:00:00,593564682,31163390
2020-06-08T06:10:00,594800723,31193942
2020-06-08T06:20:00,594836220,31214220
2020-06-08T06:30:00,596571842,31105574
2020-06-08T06:40:00,596871655,30942160
2020-06-08T06:50:00,597675421,30975588
2020-06-08T07:00:00,598327090,31091034
2020-06-08T07:10:00,598232999,31089856
2020-06-08T07:20:00,598825682,31114660
2020-06-08T07:30:00,598770019,31279416
2020-06-08T07:40:00,598970700,31275678
2020-06-08T07:50:00,599131929,31269468
2020-06-08T08:00:00,599767155,31289462
2020-06-08T08:10:00,601732840,31285692
2020-06-08T08:20:00,594634097,30425836
2020-06-08T08:30:00,595249952,30403370
2020-06-08T08:40:00,596871385,30353994
2020-06-08T08:50:00,598351465,30373804
2020-06-08T09:00:00,602017381,30359942
2020-06-08T09:10:00,603114958,30354494
2020-06-08T09:20:00,602439880,30336936
2020-06-08T09:30:00,594390152,30366166
2020-06-08T09:40:00,598015802,30246308
2020-06-08T09:50:00,598530056,30393268
2020-06-08T10:00:00,599906472,30377062
2020-06-08T10:10:00,600473694,30472670
2020-06-08T10:20:00,600154287,30492330
2020-06-08T10:30:00,600824709,30569948
2020-06-08T10:40:00,600454180,30486688
2020-06-08T10:50:00,600608767,30569138
2020-06-08T11:00:00,600404413,30700166
2020-06-08T11:10:00,602154660,30539654
2020-06-08T11:20:00,601883853,30592954
2020-06-08T11:30:00,601647158,30596622
2020-06-08T11:40:00,603403637,30359282
2020-06-08T11:50:00,603851432,30311098
2020-06-08T12:00:00,605936615,30624484
2020-06-08T12:10:00,606927365,30854726
2020-06-08T12:20:00,605736663,30985676
2020-06-08T12:30:00,604922225,31139666
2020-06-08T12:40:00,605016554,31095326
2020-06-08T12:50:00,605746918,31008218
2020-06-08T13:00:00,605354179,30829012
2020-06-08T13:10:00,605201438,30420446
2020-06-08T13:20:00,607002298,30321276
2020-06-08T13:30:00,605187534,30344860
2020-06-08T13:40:00,604971938,30385262
2020-06-08T13:50:00,606084799,30397974
2020-06-08T14:00:00,594177911,30509276
2020-06-08T14:10:00,595350580,29713940
2020-06-08T14:20:00,596300687,29861674
2020-06-08T14:30:00,595731424,29810972
2020-06-08T14:40:00,596992992,29751132
2020-06-08T14:50:00,597753893,29756284
2020-06-08T15:00:00,600945490,29956408
2020-06-08T15:10:00,600743029,30002468
2020-06-08T15:20:00,601615678,30071346
2020-06-08T15:30:00,602158812,30080386
2020-06-08T15:40:00,602130941,30140048
2020-06-08T15:50:00,602129632,30299242
2020-06-08T16:00:00,603163431,30748358
2020-06-08T16:10:00,603800203,30229774
2020-06-08T16:20:00,603757278,30380476
2020-06-08T16:30:00,603424821,30389672
2020-06-08T16:40:00,602870382,30313680
2020-06-08T16:50:00,603510582,30235656
2020-06-08T17:00:00,596672822,30399384
2020-06-08T17:10:00,597239428,30129168
2020-06-08T17:20:00,598598578,30668720
2020-06-08T17:30:00,599110173,30607160
2020-06-08T17:40:00,599108387,30529080
2020-06-08T17:50:00,599429255,30092632
2020-06-08T18:00:00,599768398,30100584
2020-06-08T18:10:00,599399437,30263504
2020-06-08T18:20:00,600392324,30261172
2020-06-08T18:30:00,598931132,30294230
2020-06-08T18:40:00,599080671,30188068
2020-06-08T18:50:00,597429264,30220398
2020-06-08T19:00:00,597731310,30170870
2020-06-08T19:10:00,597004348,30158782
2020-06-08T19:20:00,597235505,30076470
2020-06-08T19:30:00,597257620,30111702
2020-06-08T19:40:00,597120755,30136828
2020-06-08T19:50:00,597488858,30080138
2020-06-08T20:00:00,597541516,30109792
2020-06-08T20:10:00,597257834,30089354
2020-06-08T20:20:00,598147741,30193336
2020-06-08T20:30:00,597697945,30222130
2020-06-08T20:40:00,597410281,30206200
2020-06-08T20:50:00,597044859,30196524
2020-06-08T21:00:00,595784212,30179592
2020-06-08T21:10:00,596019758,30148238
2020-06-08T21:20:00,600027331,30164370
2020-06-08T21:30:00,600003172,30387330
2020-06-08T21:40:00,599338276,30391746
2020-06-08T21:50:00,599635728,30443492
2020-06-08T22:00:00,600801145,30451540
2020-06-08T22:10:00,600490808,30397600
2020-06-08T22:20:00,600140846,30439522
2020-06-08T22:30:00,600091402,30369526
2020-06-08T22:40:00,601003090,30357412
2020-06-08T22:50:00,600554285,30388772
2020-06-08T23:00:00,601019910,30370312
2020-06-08T23:10:00,602024369,30394956
2020-06-08T23:20:00,602868715,30445678
2020-06-08T23:30:00,604361105,30045198
2020-06-08T23:40:00,616894088,29747220
2020-06-08T23:50:00,625890351,30151444
2020-06-09T00:00:00,632339235,30473300
2020-06-09T00:10:00,647462606,31887448
2020-06-09T00:20:00,650556362,32371730
2020-06-09T00:30:00,598977257,28844530
2020-06-09T00:40:00,603172608,28884732
2020-06-09T00:50:00,605064673,28682638
2020-06-09T01:00:00,605169032,28688378
2020-06-09T01:10:00,606107939,28770770
2020-06-09T01:20:00,610529869,28958832
2020-06-09T01:30:00,610257732,29104596
2020-06-09T01:40:00,610567365,29102862
2020-06-09T01:50:00,610987661,29140948
2020-06-09T02:00:00,611155106,30106442
2020-06-09T02:10:00,611179879,30098372
2020-06-09T02:20:00,611144309,30169236
2020-06-09T02:30:00,609356100,30365022
2020-06-09T02:40:00,609399364,30386700
2020-06-09T02:50:00,609560742,30461950
2020-06-09T03:00:00,608813256,30272280
2020-06-09T03:10:00,605303577,30534254
2020-06-09T03:20:00,603571455,30574532
2020-06-09T03:30:00,602760936,30562272
2020-06-09T03:40:00,602234301,31109138
2020-06-09T03:50:00,601805213,30574484
2020-06-09T04:00:00,603031722,30526234
2020-06-09T04:10:00,602786238,30744938
2020-06-09T04:20:00,602780864,31028968
2020-06-09T04:30:00,602886838,31552396
2020-06-09T04:40:00,603358459,31810172
2020-06-09T04:50:00,603834188,31272942
2020-06-09T05:00:00,604316832,31300694
2020-06-09T05:10:00,604174293,31269512
2020-06-09T05:20:00,604580205,31283326
2020-06-09T05:30:00,606554370,31407998
2020-06-09T05:40:00,608556708,32081290
2020-06-09T05:50:00,609061041,32670504
2020-06-09T06:00:00,608508490,31902984
2020-06-09T06:10:00,608202511,31937022
2020-06-09T06:20:00,608838757,32025782
2020-06-09T06:30:00,608814018,32051568
2020-06-09T06:40:00,609002152,32066424
2020-06-09T06:50:00,609719647,32298674
2020-06-09T07:00:00,609970840,32925680
2020-06-09T07:10:00,612267501,32990350
2020-06-09T07:20:00,613176754,32800742
2020-06-09T07:30:00,615524806,32797236
2020-06-09T07:40:00,615779971,32763402
2020-06-09T07:50:00,616459360,32806168
2020-06-09T08:00:00,616598402,32810086
2020-06-09T08:10:00,616682710,32933098
2020-06-09T08:20:00,617293727,32929926
2020-06-09T08:30:00,620835232,32911686
2020-06-09T08:40:00,621289032,32957800
2020-06-09T08:50:00,620736555,32984722
2020-06-09T09:00:00,621099265,32978140
2020-06-09T09:10:00,621485248,32821490
2020-06-09T09:20:00,620978310,32718610
2020-06-09T09:30:00,619728058,32708190
2020-06-09T09:40:00,620916670,32720930
2020-06-09T09:50:00,620596320,32612804
2020-06-09T10:00:00,620295997,32628870
2020-06-09T10:10:00,620414338,32620126
2020-06-09T10:20:00,620571696,31941154
2020-06-09T10:30:00,623284560,31928936
2020-06-09T10:40:00,622907836,31872546
2020-06-09T10:50:00,620291853,31911376
2020-06-09T11:00:00,620272070,32418632
2020-06-09T11:10:00,619606249,32554484
2020-06-09T11:20:00,621018093,32441322
2020-06-09T11:30:00,620712987,32470136
2020-06-09T11:40:00,620675239,32474656
2020-06-09T11:50:00,620914578,32461452
2020-06-09T12:00:00,615954312,32471990
2020-06-09T12:10:00,616727840,32498576
2020-06-09T12:20:00,616882771,32529362
2020-06-09T12:30:00,616942628,32497894
2020-06-09T12:40:00,616869466,32977032
2020-06-09T12:50:00,617202644,33001876
2020-06-09T13:00:00,617459513,32925638
2020-06-09T13:10:00,619220134,32375186
2020-06-09T13:20:00,618757367,32387298
2020-06-09T13:30:00,610454754,32315596
2020-06-09T13:40:00,604882425,32268608
2020-06-09T13:50:00,604872626,32237980
2020-06-09T14:00:00,606121274,32237358
2020-06-09T14:10:00,606124759,32336208
2020-06-09T14:20:00,605904918,32335618
2020-06-09T14:30:00,605077285,32351618
2020-06-09T14:40:00,605753954,32279332
2020-06-09T14:50:00,600255713,32198376
2020-06-09T15:00:00,601523293,31818684
2020-06-09T15:10:00,602120386,31916630
2020-06-09T15:20:00,602872671,31998810
2020-06-09T15:30:00,603088996,32006634
2020-06-09T15:40:00,602535465,31910564
2020-06-09T15:50:00,603305762,31945034
2020-06-09T16:00:00,603476271,31978454
2020-06-09T16:10:00,603517564,31902406
2020-06-09T16:20:00,607784044,31826644
2020-06-09T16:30:00,607751725,31828512
2020-06-09T16:40:00,606813314,32028110
2020-06-09T16:50:00,606608681,32028064
2020-06-09T17:00:00,606385922,32094986
2020-06-09T17:10:00,605030435,32107832
2020-06-09T17:20:00,604656638,32069792
2020-06-09T17:30:00,604333548,32071996
2020-06-09T17:40:00,604827616,32097756
2020-06-09T17:50:00,605123737,32075438
2020-06-09T18:00:00,605219651,31973916
2020-06-09T18:10:00,605667299,31975874
2020-06-09T18:20:00,606846579,31960422
2020-06-09T18:30:00,606502290,32018086
2020-06-09T18:40:00,608637448,32019380
2020-06-09T18:50:00,608182262,32136434
2020-06-09T19:00:00,608013885,32144094
2020-06-09T19:10:00,608124121,32182142
2020-06-09T19:20:00,608060948,31869988
2020-06-09T19:30:00,607580643,31947136
2020-06-09T19:40:00,607713019,32011524
2020-06-09T19:50:00,608620578,31996946
2020-06-09T20:00:00,607205361,32161454
2020-06-09T20:10:00,608889877,32122490
2020-06-09T20:20:00,609379460,32162156
2020-06-09T20:30:00,609772928,32138968
2020-06-09T20:40:00,609586459,32140332
2020-06-09T20:50:00,605991125,32204980
2020-06-09T21:00:00,607307760,32200862
2020-06-09T21:10:00,608380224,32265482
2020-06-09T21:20:00,618668016,32269248
2020-06-09T21:30:00,620542203,32326262
2020-06-09T21:40:00,622985699,32263848
2020-06-09T21:50:00,624975522,32545072
2020-06-09T22:00:00,635386373,32585202
2020-06-09T22:10:00,631312433,32539186
2020-06-09T22:20:00,631135164,32561946
2020-06-09T22:30:00,634335648,32542630
2020-06-09T22:40:00,636650871,32738256
2020-06-09T22:50:00,637269682,32548968
2020-06-09T23:00:00,637782771,32602082
2020-06-09T23:10:00,637977346,32608178
2020-06-09T23:20:00,637942351,32702278
2020-06-09T23:30:00,638194526,32702966
2020-06-09T23:40:00,636520942,32977452
2020-06-09T23:50:00,636383519,34342390
2020-06-10T00:00:00,638361264,34476394
2020-06-10T00:10:00,637996891,34427100
2020-06-10T00:20:00,635155653,34236600
2020-06-10T00:30:00,634483581,34537288
2020-06-10T00:40:00,636074296,33249090
2020-06-10T00:50:00,636197851,32892264
2020-06-10T01:00:00,637363756,32960146
2020-06-10T01:10:00,637588125,32986384
2020-06-10T01:20:00,639121043,32671438
2020-06-10T01:30:00,639128917,32911950
2020-06-10T01:40:00,639775040,32866768
2020-06-10T01:50:00,639756622,33355768
2020-06-10T02:00:00,638942432,33399486
2020-06-10T02:10:00,638411180,33396240
2020-06-10T02:20:00,637819863,33555914
2020-06-10T02:30:00,638077310,33553590
2020-06-10T02:40:00,638561389,33765612
2020-06-10T02:50:00,638439907,33807310
2020-06-10T03:00:00,638824927,33890914
2020-06-10T03:10:00,636695575,33889390
2020-06-10T03:20:00,636414934,33878712
2020-06-10T03:30:00,636484777,33882908
2020-06-10T03:40:00,635765152,33785806
2020-06-10T03:50:00,634769168,33926922
2020-06-10T04:00:00,634998374,34152854
2020-06-10T04:10:00,634908747,34255110
2020-06-10T04:20:00,634811525,34375436
2020-06-10T04:30:00,634898330,34374304
2020-06-10T04:40:00,634392094,34422974
2020-06-10T04:50:00,630605025,34335994
2020-06-10T05:00:00,630097115,34416948
2020-06-10T05:10:00,630974590,34239708
2020-06-10T05:20:00,631510896,34342860
2020-06-10T05:30:00,633286801,34342214
2020-06-10T05:40:00,636027117,34405396
2020-06-10T05:50:00,635830490,34191654
2020-06-10T06:00:00,635964405,34428620
2020-06-10T06:10:00,635459914,35003412
2020-06-10T06:20:00,635558095,35077446
2020-06-10T06:30:00,635443724,35047308
2020-06-10T06:40:00,635415868,35022150
2020-06-10T06:50:00,635245639,35255362
2020-06-10T07:00:00,634110434,35416254
2020-06-10T07:10:00,634034396,35441730
2020-06-10T07:20:00,629791132,35890160
2020-06-10T07:30:00,629950074,35902370
2020-06-10T07:40:00,629813253,35935552
2020-06-10T07:50:00,629772124,35889560
2020-06-10T08:00:00,629290754,36109684
2020-06-10T08:10:00,627199430,36036808
2020-06-10T08:20:00,627880560,35956686
2020-06-10T08:30:00,627448908,35925602
2020-06-10T08:40:00,627435304,36053496
2020-06-10T08:50:00,627321600,36099776
2020-06-10T09:00:00,627081417,36184288
2020-06-10T09:10:00,627007993,36143196
2020-06-10T09:20:00,627723827,35870764
2020-06-10T09:30:00,628159835,35955488
2020-06-10T09:40:00,625608854,35992342
2020-06-10T09:50:00,625841818,36119942
2020-06-10T10:00:00,624776389,36173944
2020-06-10T10:10:00,624621417,36109302
2020-06-10T10:20:00,628850854,36102762
2020-06-10T10:30:00,629209129,36172878
2020-06-10T10:40:00,629089903,36016228
2020-06-10T10:50:00,628923556,35578182
2020-06-10T11:00:00,630548583,35244290
2020-06-10T11:10:00,630840045,35174090
2020-06-10T11:20:00,629992017,35170394
2020-06-10T11:30:00,630035568,35170880
2020-06-10T11:40:00,629636121,35180942
2020-06-10T11:50:00,629172498,35127376
2020-06-10T12:00:00,629244795,34428882
2020-06-10T12:10:00,631176497,34495760
2020-06-10T12:20:00,629742280,33830714
2020-06-10T12:30:00,630126282,33826848
2020-06-10T12:40:00,630153406,33941694
2020-06-10T12:50:00,630949835,34012940
2020-06-10T13:00:00,631075145,34034218
2020-06-10T13:10:00,631298668,34031008
2020-06-10T13:20:00,631133535,34056610
2020-06-10T13:30:00,632788378,34128748
2020-06-10T13:40:00,633452517,34158194
2020-06-10T13:50:00,633785026,33930260
2020-06-10T14:00:00,635034570,33952064
2020-06-10T14:10:00,636064090,33989892
2020-06-10T14:20:00,635916536,34009074
2020-06-10T14:30:00,637379988,34025776
2020-06-10T14:40:00,637311343,34309100
2020-06-10T14:50:00,636896771,34145642
2020-06-10T15:00:00,637264412,34174804
2020-06-10T15:10:00,637291039,34054758
2020-06-10T15:20:00,637353944,34190488
2020-06-10T15:30:00,636672085,33894778
2020-06-10T15:40:00,636712393,33899518
2020-06-10T15:50:00,636197919,34010226
2020-06-10T16:00:00,637110763,34081242
2020-06-10T16:10:00,638938409,34067878
2020-06-10T16:20:00,638314907,34000800
2020-06-10T16:30:00,638153961,34011730
2020-06-10T16:40:00,637955426,34032538
2020-06-10T16:50:00,639265535,34026356
2020-06-10T17:00:00,639881058,34041666
2020-06-10T17:10:00,638038504,34132786
2020-06-10T17:20:00,638018117,34197496
2020-06-10T17:30:00,637744399,34154368
2020-06-10T17:40:00,637026457,34302484
2020-06-10T17:50:00,637074217,34706828
2020-06-10T18:00:00,639152973,34453882
2020-06-10T18:10:00,640017930,34481874
2020-06-10T18:20:00,639307973,34261276
2020-06-10T18:30:00,639832273,34389792
2020-06-10T18:40:00,636603725,32351710
2020-06-10T18:50:00,652582519,31269216
2020-06-10T19:00:00,611288520,31334760
2020-06-10T19:10:00,615354321,32659426
2020-06-10T19:20:00,617799025,32726986
2020-06-10T19:30:00,618585731,33631572
2020-06-10T19:40:00,620216883,33718780
2020-06-10T19:50:00,623147680,34270876
2020-06-10T20:00:00,621672147,34520508
2020-06-10T20:10:00,627571627,34629622
2020-06-10T20:20:00,628677327,34692204
2020-06-10T20:30:00,629712882,34776550
2020-06-10T20:40:00,631784795,34846608
2020-06-10T20:50:00,631360376,34996226
2020-06-10T21:00:00,630672830,34708468
2020-06-10T21:10:00,631133058,35065716
