date,XBTUSD,BTCUSD
2020-06-04T01:20,555651393,191117672
2020-06-04T01:30,555927927,191189320
2020-06-04T01:40,556937329,191437544
2020-06-04T01:50,557470184,191040264
2020-06-04T02:00,557660343,191205040
2020-06-04T02:10,558829739,191197426
2020-06-04T02:20,559247403,190241914
2020-06-04T02:30,559281524,190335976
2020-06-04T02:40,558711481,190394118
2020-06-04T02:50,559040394,190754916
2020-06-04T03:00,558294470,191017164
2020-06-04T03:10,557975710,192052960
2020-06-04T03:20,557695407,192206700
2020-06-04T03:30,558894239,193958518
2020-06-04T03:40,559816367,194720084
2020-06-04T03:50,560593346,195349898
2020-06-04T04:00,561449225,195405792
2020-06-04T04:10,561410516,197257688
2020-06-04T04:20,562345081,198473028
2020-06-04T04:30,562206321,198198894
2020-06-04T04:40,562106867,197827874
2020-06-04T04:50,564372011,198492150
2020-06-04T05:00,564097413,197612530
2020-06-04T05:10,564013629,197710346
2020-06-04T05:20,564143780,198220684
2020-06-04T05:30,564221946,197228216
2020-06-04T05:40,564942625,197962152
2020-06-04T05:50,564043914,198159022
2020-06-04T06:00,564176767,198147398
2020-06-04T06:10,565041810,198487834
2020-06-04T06:20,564252000,198258252
2020-06-04T06:30,564108458,198585002
2020-06-04T06:40,563530869,199123436
2020-06-04T06:50,563390585,199965498
2020-06-04T07:00,563388942,199570144
2020-06-04T07:10,563541852,199857648
2020-06-04T07:20,564607643,200064472
2020-06-04T07:30,563224920,199827130
2020-06-04T07:40,563142195,200237164
2020-06-04T07:50,563124726,199795028
2020-06-04T08:00,562967927,200092224
2020-06-04T08:10,563116949,200867730
2020-06-04T08:20,563298160,200698308
2020-06-04T08:30,563763251,198879532
2020-06-04T08:40,565014896,199827680
2020-06-04T08:50,565305526,199746540
2020-06-04T09:00,564874154,199651086
2020-06-04T09:10,564922294,200592850
2020-06-04T09:20,557330978,188736554
2020-06-04T09:30,561534353,187409574
2020-06-04T09:40,563024351,189718110
2020-06-04T09:50,564305788,189890602
2020-06-04T10:00,564244927,190302756
2020-06-04T10:10,568912668,189985890
2020-06-04T10:20,573181046,194188808
2020-06-04T10:30,571792485,194603026
2020-06-04T10:40,572095415,195752690
2020-06-04T10:50,571996959,196342628
2020-06-04T11:00,572564101,197684702
2020-06-04T11:10,573538145,199127584
2020-06-04T11:20,573492856,199891344
2020-06-04T11:30,574191282,201413836
2020-06-04T11:40,567128058,183880830
2020-06-04T11:50,563490884,186006376
2020-06-04T12:00,564441506,189840878
2020-06-04T12:10,565111404,188156010
2020-06-04T12:20,560852927,189497922
2020-06-04T12:30,559233819,187819358
2020-06-04T12:40,559231380,187451244
2020-06-04T12:50,560336114,188681277
2020-06-04T13:00,559292506,187916064
2020-06-04T13:10,562106339,188455188
2020-06-04T13:20,563852846,189568046
2020-06-04T13:30,553671581,194108517
2020-06-04T13:40,557778840,193751624
2020-06-04T13:50,565062030,192012246
2020-06-04T14:00,565456665,197048716
2020-06-04T14:10,566409020,196958028
2020-06-04T14:20,568081998,196776306
2020-06-04T14:30,568588472,194705098
2020-06-04T14:40,568212780,193608864
2020-06-04T14:50,569225458,192071672
2020-06-04T15:00,569850117,195037356
2020-06-04T15:10,570781406,194394480
2020-06-04T15:20,571658668,193234172
2020-06-04T15:30,570736564,194014728
2020-06-04T15:40,571525680,195967866
2020-06-04T15:50,571616205,196909786
2020-06-04T16:00,563565499,192938914
2020-06-04T16:10,564401407,190232886
2020-06-04T16:20,564595483,191423334
