date,Binance,Bitmex,Huobi
2020-06-12T17:10,13320379,13320379,9736970
2020-06-12T17:20,13320379,13320379,9732790
2020-06-12T17:30,13428052,13428052,9708610
2020-06-12T17:40,13321733,13321733,9747910
2020-06-12T17:50,13123311,13123311,9665560
2020-06-12T18:00,13123311,13123311,9675030
2020-06-12T18:10,13176315,13176315,9696690
2020-06-12T18:20,13176315,13176315,9676440
2020-06-12T18:30,13110468,13110468,9669180
2020-06-12T18:40,13156125,13156125,9664640
2020-06-12T18:50,13156125,13156125,9665600
2020-06-12T19:00,13134715,13134715,9623630
2020-06-12T19:10,13060068,13060068,9672530
