date,Binance,Bitmex,Huobi
2020-06-09T19:10,13761070,13761070,9993030
2020-06-09T19:20,13761070,13761070,9987320
2020-06-09T19:30,13761070,13761070,10058680
2020-06-09T19:40,13543364,13543364,10062370
2020-06-09T19:50,13537229,13537229,10051170
2020-06-09T20:00,13537229,13537229,10019740
2020-06-09T20:10,13552804,13552804,10097210
2020-06-09T20:20,13665267,13665267,10159520
2020-06-09T20:30,13665267,13665267,10151990
2020-06-09T20:40,13631790,13631790,10104630
2020-06-09T20:50,13633176,13633176,10147680
2020-06-09T21:00,13633176,13633176,10140310
2020-06-09T21:10,13652716,13652716,10152290
2020-06-09T21:20,13590036,13590036,10151090
2020-06-09T21:30,13590036,13590036,10156370
2020-06-09T21:40,13506001,13506001,10153050
2020-06-09T21:50,13595716,13595716,10129030
2020-06-09T22:00,13595716,13595716,10134080
2020-06-09T22:10,13520484,13520484,10047940
2020-06-09T22:20,13575571,13575571,10010560
2020-06-09T22:30,13575571,13575571,9998760
2020-06-09T22:40,13440408,13440408,9943330
2020-06-09T22:50,13318041,13318041,9941870
2020-06-09T23:00,13318041,13318041,9919220
2020-06-09T23:10,13302463,13302463,9914640
2020-06-09T23:20,13287990,13287990,9933250
2020-06-09T23:30,13287990,13287990,9963550
2020-06-09T23:40,13256994,13256994,10010660
2020-06-09T23:50,13234164,13234164,9957730
2020-06-10T00:00,13234164,13234164,9937460
2020-06-10T00:10,13279898,13279898,9915400
2020-06-10T00:20,13341788,13341788,9968090
2020-06-10T00:30,13341788,13341788,9944530
2020-06-10T00:40,13479437,13479437,9987290
2020-06-10T00:50,13624048,13624048,9968190
2020-06-10T01:00,13624048,13624048,9951420
2020-06-10T01:10,13578975,13578975,9939380
2020-06-10T01:20,13617325,13617325,10125440
2020-06-10T01:30,13617325,13617325,10146910
2020-06-10T01:40,13725642,13725642,10094410
2020-06-10T01:50,13945641,13945641,10080140
2020-06-10T02:00,13945641,13945641,10074310
2020-06-10T02:10,13981893,13981893,10059520
2020-06-10T02:20,13994641,13994641,10120120
2020-06-10T02:30,13994641,13994641,10089420
2020-06-10T02:40,13951542,13951542,10039830
2020-06-10T02:50,13917918,13917918,10041340
2020-06-10T03:00,13917918,13917918,10031610
2020-06-10T03:10,13950545,13950545,10027270
2020-06-10T03:20,13908575,13908575,10053010
2020-06-10T03:30,13908575,13908575,10062280
2020-06-10T03:40,13911418,13911418,10037670
2020-06-10T03:50,13940130,13940130,10034650
2020-06-10T04:00,13940130,13940130,10052080
2020-06-10T04:10,13961408,13961408,10026100
2020-06-10T04:20,13924961,13924961,10026670
2020-06-10T04:30,13924961,13924961,10035890
2020-06-10T04:40,13913858,13913858,10033020
2020-06-10T04:50,14146111,14146111,10071700
2020-06-10T05:00,14146111,14146111,10111360
2020-06-10T05:10,14251604,14251604,10206360
2020-06-10T05:20,15186682,15186682,10779210
2020-06-10T05:30,15186682,15186682,10646660
2020-06-10T05:40,15586854,15586854,10709460
2020-06-10T05:50,15628936,15628936,10936630
2020-06-10T06:00,15628936,15628936,10960630
2020-06-10T06:10,15368119,15368119,11050150
2020-06-10T06:20,15140124,15140124,11028600
