date,Binance,Bitmex,Ftx,Huobi,Okex
2020-06-05T19:10,13368662,13368662,8544407,9726680,8887630
2020-06-05T19:20,13368662,13368662,8543118,9725780,8889530
2020-06-05T19:30,13542964,13542964,8536948,9730490,8889010
2020-06-05T19:40,13574077,13574077,8528995,9695510,8918610
2020-06-05T19:50,13574077,13574077,8531931,9704180,8925810
2020-06-05T20:00,13620453,13620453,8523908,9700730,8940010
2020-06-05T20:10,13669415,13669415,8534706,9735700,8952710
2020-06-05T20:20,13669415,13669415,8540733,9736730,8968390
2020-06-05T20:30,13693713,13693713,8501271,9723660,8994920
2020-06-05T20:40,13575409,13575409,8514282,9759070,8969290
2020-06-05T20:50,13575409,13575409,8517521,9699160,8977480
2020-06-05T21:00,13643637,13643637,8544027,9721620,8968470
2020-06-05T21:10,13638773,13638773,8545610,9731040,8976320
2020-06-05T21:20,13638773,13638773,8556047,9735660,8967410
2020-06-05T21:30,13602178,13602178,8557637,9737820,8967250
2020-06-05T21:40,13505225,13505225,8565925,9733870,8960480
2020-06-05T21:50,13505225,13505225,8574143,9728070,8956410
2020-06-05T22:00,13500073,13500073,8550682,9746720,8946140
2020-06-05T22:10,13498441,13498441,8536568,9890930,8945330
2020-06-05T22:20,13498441,13498441,8598424,9877770,8946610
2020-06-05T22:30,13478703,13478703,8534423,9798300,8945210
2020-06-05T22:40,13478514,13478514,8516180,9825420,8945330
2020-06-05T22:50,13478514,13478514,8520373,9824650,8939630
2020-06-05T23:00,13500137,13500137,8524410,9822740,8939750
2020-06-05T23:10,13566438,13566438,8523481,9808470,8935020
2020-06-05T23:20,13566438,13566438,8488308,9854620,8952690
2020-06-05T23:30,13545817,13545817,8551524,9942720,8960200
2020-06-05T23:40,13601897,13601897,8550805,9877300,8970640
2020-06-05T23:50,13601897,13601897,8498560,9913520,8968300
2020-06-06T00:00,13579844,13579844,8460675,9971480,9016730
