date,Binance,Bitmex
2020-06-12T07:10,10148249,10148249
2020-06-12T07:20,10148249,10148249
2020-06-12T07:30,10121019,10121019
2020-06-12T07:40,10121019,10121019
2020-06-12T07:50,10155654,10155654
2020-06-12T08:00,10184113,10184113
2020-06-12T08:10,10184113,10184113
2020-06-12T08:20,10192537,10192537
2020-06-12T08:30,10259686,10259686
2020-06-12T08:40,10259686,10259686
2020-06-12T08:50,10252057,10252057
2020-06-12T09:00,10275598,10275598
2020-06-12T09:10,10275598,10275598
2020-06-12T09:20,10274891,10274891
2020-06-12T09:30,10279693,10279693
2020-06-12T09:40,10279693,10279693
2020-06-12T09:50,10276236,10276236
2020-06-12T10:00,10281686,10281686
2020-06-12T10:10,10281686,10281686
2020-06-12T10:20,10295372,10295372
2020-06-12T10:30,10303464,10303464
2020-06-12T10:40,10303464,10303464
2020-06-12T10:50,10327403,10327403
2020-06-12T11:00,10332085,10332085
2020-06-12T11:10,10332085,10332085
2020-06-12T11:20,10329585,10329585
2020-06-12T11:30,10333500,10333500
2020-06-12T11:40,10333500,10333500
2020-06-12T11:50,10337994,10337994
2020-06-12T12:00,10307111,10307111
2020-06-12T12:10,10307111,10307111
2020-06-12T12:20,10286806,10286806
2020-06-12T12:30,10281715,10281715
2020-06-12T12:40,10281715,10281715
2020-06-12T12:50,10258250,10258250
2020-06-12T13:00,10274962,10274962
2020-06-12T13:10,10274962,10274962
2020-06-12T13:20,10330728,10330728
2020-06-12T13:30,10347971,10347971
2020-06-12T13:40,10347971,10347971
2020-06-12T13:50,10360478,10360478
2020-06-12T14:00,10333108,10333108
2020-06-12T14:10,10333108,10333108
2020-06-12T14:20,10227193,10227193
2020-06-12T14:30,10241268,10241268
2020-06-12T14:40,10241268,10241268
2020-06-12T14:50,10260271,10260271
2020-06-12T15:00,10223316,10223316
2020-06-12T15:10,10223316,10223316
2020-06-12T15:20,10197644,10197644
2020-06-12T15:30,10201719,10201719
2020-06-12T15:40,10201719,10201719
2020-06-12T15:50,10202842,10202842
2020-06-12T16:00,10199681,10199681
2020-06-12T16:10,10199681,10199681
2020-06-12T16:20,10220717,10220717
2020-06-12T16:30,10201522,10201522
2020-06-12T16:40,10201522,10201522
2020-06-12T16:50,10209043,10209043
2020-06-12T17:00,10223040,10223040
2020-06-12T17:10,10223040,10223040
2020-06-12T17:20,10236355,10236355
2020-06-12T17:30,10233369,10233369
2020-06-12T17:40,10233369,10233369
2020-06-12T17:50,10203004,10203004
2020-06-12T18:00,10191610,10191610
2020-06-12T18:10,10191610,10191610
2020-06-12T18:20,10204808,10204808
2020-06-12T18:30,10167641,10167641
2020-06-12T18:40,10167641,10167641
2020-06-12T18:50,10179361,10179361
2020-06-12T19:00,10181377,10181377
2020-06-12T19:10,10181377,10181377
