date,Binance,Bitmex
2020-06-11T19:10,10116241,10116241
2020-06-11T19:20,10116241,10116241
2020-06-11T19:30,10133944,10133944
2020-06-11T19:40,10133944,10133944
2020-06-11T19:50,10155353,10155353
2020-06-11T20:00,10149188,10149188
2020-06-11T20:10,10149188,10149188
2020-06-11T20:20,10132500,10132500
2020-06-11T20:30,10138355,10138355
2020-06-11T20:40,10144340,10144340
2020-06-11T20:50,10144340,10144340
2020-06-11T21:00,10179158,10179158
2020-06-11T21:10,10158850,10158850
2020-06-11T21:20,10158850,10158850
2020-06-11T21:30,10160469,10160469
2020-06-11T21:40,10160469,10160469
2020-06-11T21:50,10132349,10132349
2020-06-11T22:00,10136902,10136902
2020-06-11T22:10,10136902,10136902
2020-06-11T22:20,10136347,10136347
2020-06-11T22:30,10132759,10132759
2020-06-11T22:40,10132759,10132759
2020-06-11T22:50,10154796,10154796
2020-06-11T23:00,10192323,10192323
2020-06-11T23:10,10192323,10192323
2020-06-11T23:20,10281615,10281615
2020-06-11T23:30,10293208,10293208
2020-06-11T23:40,10293208,10293208
2020-06-11T23:50,10263351,10263351
2020-06-12T00:00,10275737,10275737
2020-06-12T00:10,10275737,10275737
2020-06-12T00:20,10334399,10334399
2020-06-12T00:30,10348948,10348948
2020-06-12T00:40,10348948,10348948
2020-06-12T00:50,10363639,10363639
2020-06-12T01:00,10351050,10351050
2020-06-12T01:10,10351050,10351050
2020-06-12T01:20,10349813,10349813
2020-06-12T01:30,10356229,10356229
2020-06-12T01:40,10356229,10356229
2020-06-12T01:50,10345286,10345286
2020-06-12T02:00,10266665,10266665
2020-06-12T02:10,10266665,10266665
2020-06-12T02:20,10263742,10263742
2020-06-12T02:30,10195482,10195482
2020-06-12T02:40,10195482,10195482
2020-06-12T02:50,10178367,10178367
2020-06-12T03:00,10163877,10163877
2020-06-12T03:10,10163877,10163877
2020-06-12T03:20,10190093,10190093
2020-06-12T03:30,10171175,10171175
2020-06-12T03:40,10171175,10171175
2020-06-12T03:50,10164218,10164218
2020-06-12T04:00,10154198,10154198
2020-06-12T04:10,10154198,10154198
2020-06-12T04:20,10130516,10130516
2020-06-12T04:30,10149929,10149929
2020-06-12T04:40,10149929,10149929
2020-06-12T04:50,10147110,10147110
2020-06-12T05:00,10137989,10137989
2020-06-12T05:10,10137989,10137989
2020-06-12T05:20,10130424,10130424
2020-06-12T05:30,10144343,10144343
2020-06-12T05:40,10144343,10144343
2020-06-12T05:50,10148142,10148142
2020-06-12T06:00,10148935,10148935
2020-06-12T06:10,10148935,10148935
2020-06-12T06:20,10153088,10153088
2020-06-12T06:30,10139526,10139526
2020-06-12T06:40,10139526,10139526
2020-06-12T06:50,10137569,10137569
2020-06-12T07:00,10157021,10157021
2020-06-12T07:10,10157021,10157021
2020-06-12T07:20,10148249,10148249
2020-06-12T07:30,10121019,10121019
2020-06-12T07:40,10121019,10121019
2020-06-12T07:50,10155654,10155654
2020-06-12T08:00,10184113,10184113
2020-06-12T08:10,10184113,10184113
2020-06-12T08:20,10192537,10192537
2020-06-12T08:30,10259686,10259686
2020-06-12T08:40,10259686,10259686
2020-06-12T08:50,10252057,10252057
2020-06-12T09:00,10275598,10275598
2020-06-12T09:10,10275598,10275598
2020-06-12T09:20,10274891,10274891
2020-06-12T09:30,10279693,10279693
2020-06-12T09:40,10279693,10279693
2020-06-12T09:50,10276236,10276236
2020-06-12T10:00,10281686,10281686
2020-06-12T10:10,10281686,10281686
2020-06-12T10:20,10295372,10295372
2020-06-12T10:30,10303464,10303464
2020-06-12T10:40,10303464,10303464
2020-06-12T10:50,10327403,10327403
2020-06-12T11:00,10332085,10332085
2020-06-12T11:10,10332085,10332085
2020-06-12T11:20,10329585,10329585
2020-06-12T11:30,10333500,10333500
2020-06-12T11:40,10333500,10333500
2020-06-12T11:50,10337994,10337994
2020-06-12T12:00,10307111,10307111
2020-06-12T12:10,10307111,10307111
2020-06-12T12:20,10286806,10286806
2020-06-12T12:30,10281715,10281715
2020-06-12T12:40,10281715,10281715
2020-06-12T12:50,10258250,10258250
2020-06-12T13:00,10274962,10274962
2020-06-12T13:10,10274962,10274962
2020-06-12T13:20,10330728,10330728
2020-06-12T13:30,10347971,10347971
2020-06-12T13:40,10347971,10347971
2020-06-12T13:50,10360478,10360478
2020-06-12T14:00,10333108,10333108
2020-06-12T14:10,10333108,10333108
2020-06-12T14:20,10227193,10227193
2020-06-12T14:30,10241268,10241268
2020-06-12T14:40,10241268,10241268
2020-06-12T14:50,10260271,10260271
2020-06-12T15:00,10223316,10223316
2020-06-12T15:10,10223316,10223316
2020-06-12T15:20,10197644,10197644
2020-06-12T15:30,10201719,10201719
2020-06-12T15:40,10201719,10201719
2020-06-12T15:50,10202842,10202842
2020-06-12T16:00,10199681,10199681
2020-06-12T16:10,10199681,10199681
2020-06-12T16:20,10220717,10220717
2020-06-12T16:30,10201522,10201522
2020-06-12T16:40,10201522,10201522
2020-06-12T16:50,10209043,10209043
2020-06-12T17:00,10223040,10223040
2020-06-12T17:10,10223040,10223040
2020-06-12T17:20,10236355,10236355
2020-06-12T17:30,10233369,10233369
2020-06-12T17:40,10233369,10233369
2020-06-12T17:50,10203004,10203004
2020-06-12T18:00,10191610,10191610
2020-06-12T18:10,10191610,10191610
2020-06-12T18:20,10204808,10204808
2020-06-12T18:30,10167641,10167641
2020-06-12T18:40,10167641,10167641
2020-06-12T18:50,10179361,10179361
2020-06-12T19:00,10181377,10181377
2020-06-12T19:10,10181377,10181377
