date,Binance,Bitmex
2020-06-12T17:10,586660,586660
2020-06-12T17:20,586660,586660
2020-06-12T17:30,586489,586489
2020-06-12T17:40,586489,586489
2020-06-12T17:50,584748,584748
2020-06-12T18:00,584095,584095
2020-06-12T18:10,584095,584095
2020-06-12T18:20,584852,584852
2020-06-12T18:30,582722,582722
2020-06-12T18:40,582722,582722
2020-06-12T18:50,583393,583393
2020-06-12T19:00,583509,583509
2020-06-12T19:10,583509,583509
2020-06-12T17:10,586660,586660
2020-06-12T17:20,586660,586660
2020-06-12T17:30,586489,586489
2020-06-12T17:40,586489,586489
2020-06-12T17:50,584748,584748
2020-06-12T18:00,584095,584095
2020-06-12T18:10,584095,584095
2020-06-12T18:20,584852,584852
2020-06-12T18:30,582722,582722
2020-06-12T18:40,582722,582722
2020-06-12T18:50,583393,583393
2020-06-12T19:00,583509,583509
2020-06-12T19:10,583509,583509
