date,Binance,Bitmex
2020-06-09T19:10,613801,613801
2020-06-09T19:20,613801,613801
2020-06-09T19:30,614747,614747
2020-06-09T19:40,615407,615407
2020-06-09T19:50,615407,615407
2020-06-09T20:00,615879,615879
2020-06-09T20:10,615541,615541
2020-06-09T20:20,615541,615541
2020-06-09T20:30,615546,615546
2020-06-09T20:40,615242,615242
2020-06-09T20:50,615242,615242
2020-06-09T21:00,613790,613790
2020-06-09T21:10,613447,613447
2020-06-09T21:20,613447,613447
2020-06-09T21:30,611991,611991
2020-06-09T21:40,612717,612717
2020-06-09T21:50,612717,612717
2020-06-09T22:00,611776,611776
2020-06-09T22:10,607840,607840
2020-06-09T22:20,607840,607840
2020-06-09T22:30,607886,607886
2020-06-09T22:40,607775,607775
2020-06-09T22:50,607775,607775
2020-06-09T23:00,607665,607665
2020-06-09T23:10,607567,607567
2020-06-09T23:20,607567,607567
2020-06-09T23:30,605835,605835
2020-06-09T23:40,605363,605363
2020-06-09T23:50,605363,605363
2020-06-10T00:00,604153,604153
2020-06-10T00:10,603152,603152
2020-06-10T00:20,603152,603152
2020-06-10T00:30,603277,603277
2020-06-10T00:40,602661,602661
2020-06-10T00:50,602661,602661
2020-06-10T01:00,603248,603248
2020-06-10T01:10,605736,605736
2020-06-10T01:20,605736,605736
2020-06-10T01:30,606090,606090
2020-06-10T01:40,608245,608245
2020-06-10T01:50,608245,608245
2020-06-10T02:00,608192,608192
2020-06-10T02:10,609031,609031
2020-06-10T02:20,609031,609031
2020-06-10T02:30,612608,612608
2020-06-10T02:40,611936,611936
2020-06-10T02:50,611936,611936
2020-06-10T03:00,611222,611222
2020-06-10T03:10,610919,610919
2020-06-10T03:20,610919,610919
2020-06-10T03:30,610930,610930
2020-06-10T03:40,611391,611391
2020-06-10T03:50,611391,611391
2020-06-10T04:00,611328,611328
2020-06-10T04:10,610104,610104
2020-06-10T04:20,610104,610104
2020-06-10T04:30,609875,609875
2020-06-10T04:40,610402,610402
2020-06-10T04:50,610402,610402
2020-06-10T05:00,609985,609985
2020-06-10T05:10,609839,609839
2020-06-10T05:20,609839,609839
2020-06-10T05:30,609339,609339
2020-06-10T05:40,609199,609199
2020-06-10T05:50,609199,609199
2020-06-10T06:00,609202,609202
2020-06-10T06:10,609191,609191
2020-06-10T06:20,609191,609191
2020-06-10T06:30,609517,609517
2020-06-10T06:40,594675,594675
2020-06-10T06:50,594675,594675
2020-06-10T07:00,594602,594602
2020-06-10T07:10,594045,594045
2020-06-10T07:20,594045,594045
2020-06-10T07:30,591253,591253
2020-06-10T07:40,591217,591217
2020-06-10T07:50,591217,591217
2020-06-10T08:00,591219,591219
2020-06-10T08:10,591503,591503
2020-06-10T08:20,591503,591503
2020-06-10T08:30,591688,591688
2020-06-10T08:40,591827,591827
2020-06-10T08:50,591827,591827
2020-06-10T09:00,591989,591989
2020-06-10T09:10,592247,592247
2020-06-10T09:20,592247,592247
2020-06-10T09:30,592570,592570
2020-06-10T09:40,592617,592617
2020-06-10T09:50,592617,592617
2020-06-10T10:00,592742,592742
2020-06-10T10:10,593045,593045
