Ftx,Huobi,Okex
52168,52168,52168
52168,52168,52168
52848,52848,52848
52970,52970,52970
52970,52970,52970
53151,53151,53151
53342,53342,53342
53342,53342,53342
53437,53437,53437
52975,52975,52975
52975,52975,52975
53241,53241,53241
53222,53222,53222
53222,53222,53222
53079,53079,53079
52701,52701,52701
52701,52701,52701
52681,52681,52681
52675,52675,52675
52675,52675,52675
52598,52598,52598
52597,52597,52597
52597,52597,52597
52681,52681,52681
52940,52940,52940
52940,52940,52940
52860,52860,52860
53078,53078,53078
53078,53078,53078
52992,52992,52992
54579,54579,54579
54579,54579,54579
55822,55822,55822
56265,56265,56265
56265,56265,56265
56351,56351,56351
56923,56923,56923
56923,56923,56923
57038,57038,57038
57011,57011,57011
57011,57011,57011
56589,56589,56589
56588,56588,56588
56588,56588,56588
57039,57039,57039
57041,57041,57041
57041,57041,57041
56956,56956,56956
57107,57107,57107
57107,57107,57107
57494,57494,57494
57614,57614,57614
57614,57614,57614
57634,57634,57634
56855,56855,56855
56855,56855,56855
56890,56890,56890
57043,57043,57043
57043,57043,57043
57072,57072,57072
57254,57254,57254
57254,57254,57254
57184,57184,57184
57025,57025,57025
57025,57025,57025
57380,57380,57380
56806,56806,56806
56806,56806,56806
57631,57631,57631
57673,57673,57673
57673,57673,57673
57706,57706,57706
57598,57598,57598
57598,57598,57598
57870,57870,57870
58136,58136,58136
58136,58136,58136
58012,58012,58012
58492,58492,58492
58492,58492,58492
58905,58905,58905
59092,59092,59092
59092,59092,59092
59258,59258,59258
58162,58162,58162
58162,58162,58162
57037,57037,57037
57316,57316,57316
57316,57316,57316
56820,56820,56820
56706,56706,56706
56706,56706,56706
56650,56650,56650
55959,55959,55959
55959,55959,55959
55968,55968,55968
55933,55933,55933
55933,55933,55933
55971,55971,55971
55963,55963,55963
55963,55963,55963
55749,55749,55749
56763,56763,56763
56763,56763,56763
56470,56470,56470
56469,56469,56469
56469,56469,56469
56846,56846,56846
56911,56911,56911
56911,56911,56911
56834,56834,56834
56550,56550,56550
56550,56550,56550
56595,56595,56595
57283,57283,57283
57283,57283,57283
57264,57264,57264
57264,57264,57264
57809,57809,57809
57796,57796,57796
57796,57796,57796
57872,57872,57872
57852,57852,57852
57852,57852,57852
57997,57997,57997
58035,58035,58035
58164,58164,58164
58164,58164,58164
58077,58077,58077
58231,58231,58231
58231,58231,58231
57030,57030,57030
58691,58691,58691
58691,58691,58691
59006,59006,59006
59103,59103,59103
59103,59103,59103
58572,58572,58572
58413,58413,58413
58413,58413,58413
58282,58282,58282
58282,58282,58282
58053,58053,58053
57644,57644,57644
57644,57644,57644
57382,57382,57382
57202,57202,57202
57202,57202,57202
57422,57422,57422
57342,57342,57342
57342,57342,57342
57345,57345,57345
57145,57145,57145
57145,57145,57145
57173,57173,57173
57189,57189,57189
57189,57189,57189
57045,57045,57045
56949,56949,56949
56949,56949,56949
56743,56743,56743
56790,56790,56790
56790,56790,56790
56666,56666,56666
56650,56650,56650
56812,56812,56812
56812,56812,56812
56919,56919,56919
56919,56919,56919
57058,57058,57058
56980,56980,56980
56980,56980,56980
56333,56333,56333
56277,56277,56277
56277,56277,56277
56635,56635,56635
56892,56892,56892
56892,56892,56892
56758,56758,56758
56461,56461,56461
56461,56461,56461
56313,56313,56313
56355,56355,56355
56355,56355,56355
56898,56898,56898
56792,56792,56792
56792,56792,56792
56501,56501,56501
57655,57655,57655
57655,57655,57655
57767,57767,57767
57842,57842,57842
57842,57842,57842
57687,57687,57687
57551,57551,57551
