date,Binance,Huobi
2020-06-11T19:10,308172555,138420600
2020-06-11T19:20,308172555,138450800
2020-06-11T19:30,309598799,138278900
2020-06-11T19:40,310035676,138616300
2020-06-11T19:50,310035676,137893900
2020-06-11T20:00,312830086,137952300
2020-06-11T20:10,313975345,137953900
2020-06-11T20:20,313975345,137214500
2020-06-11T20:30,317782265,137073200
2020-06-11T20:40,315030484,137237800
2020-06-11T20:50,315030484,137570900
2020-06-11T21:00,313008938,137560400
2020-06-11T21:10,311829667,137908900
2020-06-11T21:20,311829667,137333100
2020-06-11T21:30,309731878,137519700
2020-06-11T21:40,310982103,137577800
2020-06-11T21:50,310982103,138199400
2020-06-11T22:00,311502240,138480600
2020-06-11T22:10,311201769,138528000
2020-06-11T22:20,311201769,138133800
2020-06-11T22:30,311590875,138435600
2020-06-11T22:40,312262197,138660000
2020-06-11T22:50,312262197,138781900
2020-06-11T23:00,311409869,138388500
2020-06-11T23:10,312224420,139013700
2020-06-11T23:20,312224420,139491700
2020-06-11T23:30,310894798,139422400
2020-06-11T23:40,312184663,139013700
2020-06-11T23:50,312184663,140280200
2020-06-12T00:00,312864612,142460100
2020-06-12T00:10,312584753,143729600
2020-06-12T00:20,312584753,144294000
2020-06-12T00:30,311005354,143974800
2020-06-12T00:40,309377095,144477500
2020-06-12T00:50,309377095,145960100
2020-06-12T01:00,309803715,147085000
2020-06-12T01:10,309803715,146641200
2020-06-12T01:20,309685969,147891600
2020-06-12T01:30,309531726,149062600
2020-06-12T01:40,308668044,149073000
2020-06-12T01:50,308668044,148951900
2020-06-12T02:00,308453482,147535600
2020-06-12T02:10,308837871,146037900
2020-06-12T02:20,308837871,145762700
2020-06-12T02:30,309031230,146341000
2020-06-12T02:40,309689986,146746800
2020-06-12T02:50,309689986,146644800
2020-06-12T03:00,310041829,146122800
2020-06-12T03:10,311574232,146655100
2020-06-12T03:20,311574232,146278800
2020-06-12T03:30,312017699,145564800
2020-06-12T03:40,311855867,145437100
2020-06-12T03:50,311855867,145291900
2020-06-12T04:00,311599133,145028700
2020-06-12T04:10,311777489,144829400
2020-06-12T04:20,311777489,145339900
2020-06-12T04:30,312415887,145376300
2020-06-12T04:40,312415887,145641800
2020-06-12T04:50,312245885,144870000
2020-06-12T05:00,311931402,145156200
2020-06-12T05:10,311931402,145297300
2020-06-12T05:20,311513719,145730800
2020-06-12T05:30,312045306,145290500
2020-06-12T05:40,312045306,144646200
2020-06-12T05:50,312210873,145147600
2020-06-12T06:00,313247012,145136500
2020-06-12T06:10,313247012,145695100
2020-06-12T06:20,313188168,145561800
2020-06-12T06:30,313244742,145893100
2020-06-12T06:40,313671449,146431800
2020-06-12T06:50,313671449,146679300
2020-06-12T07:00,314929884,146886100
2020-06-12T07:10,314513628,146854200
2020-06-12T07:20,314513628,146543200
2020-06-12T07:30,309884267,146748000
2020-06-12T07:40,309205812,147989600
2020-06-12T07:50,309205812,148415500
2020-06-12T08:00,309461907,147896900
2020-06-12T08:10,309461907,148078400
2020-06-12T08:20,309832953,148118200
2020-06-12T08:30,311182148,148074100
2020-06-12T08:40,311182148,148115600
2020-06-12T08:50,310774023,147936300
2020-06-12T09:00,310766930,148423200
2020-06-12T09:10,310766930,148588400
2020-06-12T09:20,311824825,148813800
2020-06-12T09:30,311026411,148340400
2020-06-12T09:40,311026411,148483200
2020-06-12T09:50,311405764,147973200
2020-06-12T10:00,311657278,148297700
2020-06-12T10:10,311657278,148287700
2020-06-12T10:20,309419831,148583300
2020-06-12T10:30,309450466,148855100
2020-06-12T10:40,309450466,149328600
2020-06-12T10:50,310676762,149498200
2020-06-12T11:00,309973717,149731100
2020-06-12T11:10,308954997,149273500
2020-06-12T11:20,308954997,148675200
2020-06-12T11:30,309509310,149138800
2020-06-12T11:40,309509310,151030300
2020-06-12T11:50,311308201,150677600
2020-06-12T12:00,311426734,150307400
2020-06-12T12:10,311426734,149536600
2020-06-12T12:20,309820823,150024000
2020-06-12T12:30,308948631,151135000
2020-06-12T12:40,308948631,151193500
2020-06-12T12:50,307943030,151389600
2020-06-12T13:00,308906380,151858500
2020-06-12T13:10,308906380,151370800
2020-06-12T13:20,308746713,152612300
2020-06-12T13:30,308105065,151709800
2020-06-12T13:40,308105065,151132100
2020-06-12T13:50,310525216,152257300
2020-06-12T14:00,310511718,149664700
2020-06-12T14:10,310511718,151230800
2020-06-12T14:20,302970958,150976700
2020-06-12T14:30,302869805,150930900
2020-06-12T14:40,302869805,151296100
2020-06-12T14:50,303778135,151390000
2020-06-12T15:00,305366773,150861700
2020-06-12T15:10,305366773,151796800
2020-06-12T15:20,309438685,150301000
2020-06-12T15:30,307625627,151065800
2020-06-12T15:40,307625627,151796900
2020-06-12T15:50,305828802,152040600
2020-06-12T16:00,305689358,152194700
2020-06-12T16:10,305689358,151681300
2020-06-12T16:20,307908368,151651100
2020-06-12T16:30,305903697,151885700
2020-06-12T16:40,305903697,152559700
2020-06-12T16:50,307359702,152898100
2020-06-12T17:00,307848456,152509900
2020-06-12T17:10,307848456,152945200
2020-06-12T17:20,308692507,152835700
2020-06-12T17:30,308686996,153918500
2020-06-12T17:40,308686996,151274400
2020-06-12T17:50,306749330,151014300
2020-06-12T18:00,306859070,150373300
2020-06-12T18:10,306859070,149746600
2020-06-12T18:20,309098119,149612800
2020-06-12T18:30,308941469,150253900
2020-06-12T18:40,308941469,149211300
2020-06-12T18:50,306172299,149516100
2020-06-12T19:00,305324085,149610300
2020-06-12T19:10,305324085,149052000
