date,Binance,Huobi
2020-06-12T17:10,31811,31811
2020-06-12T17:20,31811,31811
2020-06-12T17:30,31810,31810
2020-06-12T17:40,31810,31810
2020-06-12T17:50,31611,31611
2020-06-12T18:00,31622,31622
2020-06-12T18:10,31622,31622
2020-06-12T18:20,31853,31853
2020-06-12T18:30,31836,31836
2020-06-12T18:40,31836,31836
2020-06-12T18:50,31551,31551
2020-06-12T19:00,31464,31464
2020-06-12T19:10,31464,31464
2020-06-12T17:10,16219,16219
2020-06-12T17:20,16249,16249
2020-06-12T17:30,16400,16400
2020-06-12T17:40,16196,16196
2020-06-12T17:50,16193,16193
2020-06-12T18:00,16110,16110
2020-06-12T18:10,16007,16007
2020-06-12T18:20,15960,15960
2020-06-12T18:30,16009,16009
2020-06-12T18:40,15909,15909
2020-06-12T18:50,15934,15934
2020-06-12T19:00,15921,15921
2020-06-12T19:10,15796,15796
