date,Binance,Huobi
2020-06-12T17:10,308692507,152632300
2020-06-12T17:20,308692507,152835700
2020-06-12T17:30,308686996,153918500
2020-06-12T17:40,308686996,151274400
2020-06-12T17:50,306749330,151014300
2020-06-12T18:00,306859070,150373300
2020-06-12T18:10,306859070,149746600
2020-06-12T18:20,309098119,149612800
2020-06-12T18:30,308941469,150253900
2020-06-12T18:40,308941469,149211300
2020-06-12T18:50,306172299,149516100
2020-06-12T19:00,305324085,149610300
2020-06-12T19:10,305324085,149052000
