date,Binance,Bitmex,Huobi
2020-06-09T19:10,288964150,607801574,141218600
2020-06-09T19:20,288964150,608060948,141221100
2020-06-09T19:30,288997493,607580643,141545500
2020-06-09T19:40,287741513,607713019,141947900
2020-06-09T19:50,287741513,608620578,141849000
2020-06-09T20:00,288156372,607205361,140779500
2020-06-09T20:10,287800017,608889877,140568400
2020-06-09T20:20,287800017,609379460,140901300
2020-06-09T20:30,288143039,609772928,140569600
2020-06-09T20:40,288301532,609586459,140803000
2020-06-09T20:50,288301532,605991125,140037000
2020-06-09T21:00,284121353,607307760,139762900
2020-06-09T21:10,287266868,608380224,140121600
2020-06-09T21:20,287266868,618668016,140135100
2020-06-09T21:30,291102482,620542203,140037200
2020-06-09T21:40,291735494,622985699,140450800
2020-06-09T21:50,291735494,624975522,140046400
2020-06-09T22:00,292374570,635386373,141898300
2020-06-09T22:10,287928914,631312433,140749900
2020-06-09T22:20,287928914,631135164,142013900
2020-06-09T22:30,289287861,634335648,142323200
2020-06-09T22:40,291119842,636650871,142919100
2020-06-09T22:50,291119842,637269682,142840800
2020-06-09T23:00,291339082,637782771,143345500
2020-06-09T23:10,291494072,637977346,141785500
2020-06-09T23:20,291494072,637942351,142228800
2020-06-09T23:30,290577086,638194526,142581500
2020-06-09T23:40,291038117,636520942,143693900
2020-06-09T23:50,291038117,636383519,143591900
2020-06-10T00:00,291991841,638361264,143642800
2020-06-10T00:10,292523796,637996891,144448800
2020-06-10T00:20,292523796,635155653,144278500
2020-06-10T00:30,293552900,634483581,144555000
2020-06-10T00:40,295215190,636074296,145654700
2020-06-10T00:50,295215190,636197851,145647800
2020-06-10T01:00,294406704,637363756,146626200
2020-06-10T01:10,295594960,637588125,146361700
2020-06-10T01:20,295594960,639121043,147922200
2020-06-10T01:30,296642200,639128917,148771200
2020-06-10T01:40,297917520,639775040,150616600
2020-06-10T01:50,297917520,639756622,151039400
2020-06-10T02:00,300953313,638942432,151328500
2020-06-10T02:10,300171444,638411180,151336000
2020-06-10T02:20,300171444,637819863,151125300
2020-06-10T02:30,299961482,638077310,150263300
2020-06-10T02:40,300430033,638561389,149393000
2020-06-10T02:50,300430033,638439907,149227600
2020-06-10T03:00,301288805,638824927,149055200
2020-06-10T03:10,301282565,636695575,148501500
2020-06-10T03:20,301282565,636414934,149109700
2020-06-10T03:30,300836256,636484777,149028100
2020-06-10T03:40,299942627,635765152,146989300
2020-06-10T03:50,299942627,634769168,146543700
2020-06-10T04:00,301153271,634998374,146135800
2020-06-10T04:10,300482366,634908747,145264800
2020-06-10T04:20,300482366,634811525,145736800
2020-06-10T04:30,300680053,634898330,145205700
2020-06-10T04:40,301164062,634392094,144937400
2020-06-10T04:50,301164062,630605025,144286500
2020-06-10T05:00,301509441,630097115,144521100
2020-06-10T05:10,300638307,630974590,145079500
2020-06-10T05:20,300638307,631510896,145471700
2020-06-10T05:30,301389996,633286801,145853200
2020-06-10T05:40,299885850,636027117,146124400
2020-06-10T05:50,299885850,635830490,146196600
2020-06-10T06:00,298356920,635964405,145692600
2020-06-10T06:10,297290127,635459914,146204800
2020-06-10T06:20,297290127,635558095,145833800
2020-06-10T06:30,296396314,635443724,146146600
2020-06-10T06:40,295833762,635415868,145848000
2020-06-10T06:50,295833762,635245639,145841600
2020-06-10T07:00,294109931,634110434,145803100
2020-06-10T07:10,294909975,634034396,146459700
2020-06-10T07:20,294909975,629791132,146409300
2020-06-10T07:30,290437710,629950074,146651900
2020-06-10T07:40,289497037,629813253,146800400
2020-06-10T07:50,289497037,629772124,145447600
2020-06-10T08:00,285626548,629290754,145284800
2020-06-10T08:10,283512184,627199430,144607800
2020-06-10T08:20,283512184,627880560,144737000
2020-06-10T08:30,285035554,627448908,144831000
2020-06-10T08:40,284712765,627435304,145271700
2020-06-10T08:50,284712765,627321600,144681100
2020-06-10T09:00,284802292,627081417,144544200
2020-06-10T09:10,285164576,627007993,145605700
2020-06-10T09:20,285164576,627723827,144120100
2020-06-10T09:30,284763574,628159835,145390100
2020-06-10T09:40,284941552,625608854,145514200
2020-06-10T09:50,284941552,625841818,145526700
2020-06-10T10:00,284604431,624776389,145793200
2020-06-10T10:10,282425692,624621417,146020400
2020-06-10T10:20,282425692,628850854,145064100
2020-06-10T10:30,283057423,629209129,144717700
2020-06-10T10:40,282838688,629089903,144839000
2020-06-10T10:50,282838688,628923556,144812100
2020-06-10T11:00,282604980,630548583,144845800
2020-06-10T11:10,282649919,630840045,144434400
2020-06-10T11:20,282649919,629992017,144463500
2020-06-10T11:30,282566669,630035568,144587600
2020-06-10T11:40,283982559,629636121,144712200
2020-06-10T11:50,283982559,629172498,144907800
2020-06-10T12:00,282852661,629244795,145076600
2020-06-10T12:10,282977181,631176497,144821400
2020-06-10T12:20,282977181,629742280,145515400
2020-06-10T12:30,284174705,630126282,145628500
2020-06-10T12:40,285030789,630153406,145576700
2020-06-10T12:50,285030789,630949835,146187000
2020-06-10T13:00,286739192,631075145,145858200
2020-06-10T13:10,286395908,631298668,146758800
2020-06-10T13:20,286395908,631133535,147305100
