date,Binance,Bitmex,Ftx,Huobi,Okex
2020-06-05T19:10,286950095,568534463,125601253,138834100,113210900
2020-06-05T19:20,286950095,568965187,125486438,138809500,113020900
2020-06-05T19:30,286909912,569262447,124969947,138808100,112940500
2020-06-05T19:40,286909912,568048186,124643465,138871500,112946300
2020-06-05T19:50,286828846,567542023,125188585,138350100,112860400
2020-06-05T20:00,286603774,567362219,124655788,138303900,112949600
2020-06-05T20:10,286603774,567534547,124966207,138304700,112880100
2020-06-05T20:20,287055635,567990195,124902518,138224600,112767000
2020-06-05T20:30,286778366,567295066,124340928,138529600,112509400
2020-06-05T20:40,286778366,567271025,123863378,137979000,112745200
2020-06-05T20:50,286701065,566333119,124962334,136883500,112747200
2020-06-05T21:00,286743898,564932781,124487356,136579100,112637300
2020-06-05T21:10,286743898,565790754,124206367,136187400,112489100
2020-06-05T21:20,285434790,565840121,124043320,136078800,112414400
2020-06-05T21:30,285434790,564664734,124456383,135824100,112509900
2020-06-05T21:40,285222285,565362862,124141082,136017400,112803300
2020-06-05T21:50,285585209,566610474,123830517,136062200,112749600
2020-06-05T22:00,285585209,565006880,123539956,136413500,112557600
2020-06-05T22:10,286918403,566659699,123162112,137060700,113129900
2020-06-05T22:20,286364244,567504327,123812835,137383800,112896500
2020-06-05T22:30,286588006,567998131,123436486,137965500,113659100
2020-06-05T22:40,286588006,568022137,123720246,138216400,113424600
2020-06-05T22:50,286069975,568288047,123836430,138606600,113428700
2020-06-05T23:00,285968512,569263435,123942994,139104100,113342400
2020-06-05T23:10,285968512,569451417,123738349,139445400,113305900
2020-06-05T23:20,285593147,570412064,123301391,141227300,113588500
2020-06-05T23:30,287770770,571308512,124039710,141324800,113395800
2020-06-05T23:40,287770770,571273721,124075533,139219000,113443900
2020-06-05T23:50,289386355,576574743,123986471,140894900,113635800
2020-06-06T00:00,289568448,577894427,123943382,142140300,114176700
