date,Binance,Bitmex,Huobi
2020-06-12T07:10,3355203,3355203,3355203
2020-06-12T07:20,3355203,3355203,3355203
2020-06-12T07:30,3362588,3362588,3362588
2020-06-12T07:40,3360642,3360642,3360642
2020-06-12T07:50,3360642,3360642,3360642
2020-06-12T08:00,3332798,3332798,3332798
2020-06-12T08:10,3332798,3332798,3332798
2020-06-12T08:20,3343575,3343575,3343575
2020-06-12T08:30,3344008,3344008,3344008
2020-06-12T08:40,3344008,3344008,3344008
2020-06-12T08:50,3332858,3332858,3332858
2020-06-12T09:00,3353083,3353083,3353083
2020-06-12T09:10,3353083,3353083,3353083
2020-06-12T09:20,3343548,3343548,3343548
2020-06-12T09:30,3354999,3354999,3354999
2020-06-12T09:40,3354999,3354999,3354999
2020-06-12T09:50,3350744,3350744,3350744
2020-06-12T10:00,3348383,3348383,3348383
2020-06-12T10:10,3348383,3348383,3348383
2020-06-12T10:20,3340771,3340771,3340771
2020-06-12T10:30,3342735,3342735,3342735
2020-06-12T10:40,3342735,3342735,3342735
2020-06-12T10:50,3347111,3347111,3347111
2020-06-12T11:00,3378124,3378124,3378124
2020-06-12T11:10,3378124,3378124,3378124
2020-06-12T11:20,3373131,3373131,3373131
2020-06-12T11:30,3375271,3375271,3375271
2020-06-12T11:40,3375271,3375271,3375271
2020-06-12T11:50,3341221,3341221,3341221
2020-06-12T12:00,3358949,3358949,3358949
2020-06-12T12:10,3358949,3358949,3358949
2020-06-12T12:20,3352224,3352224,3352224
2020-06-12T12:30,3310325,3310325,3310325
2020-06-12T12:40,3310325,3310325,3310325
2020-06-12T12:50,3339289,3339289,3339289
2020-06-12T13:00,3332455,3332455,3332455
2020-06-12T13:10,3332455,3332455,3332455
2020-06-12T13:20,3321628,3321628,3321628
2020-06-12T13:30,3318984,3318984,3318984
2020-06-12T13:40,3318984,3318984,3318984
2020-06-12T13:50,3355697,3355697,3355697
2020-06-12T14:00,3336687,3336687,3336687
2020-06-12T14:10,3336687,3336687,3336687
2020-06-12T14:20,3346017,3346017,3346017
2020-06-12T14:30,3352203,3352203,3352203
2020-06-12T14:40,3352203,3352203,3352203
2020-06-12T14:50,3350029,3350029,3350029
2020-06-12T15:00,3364046,3364046,3364046
2020-06-12T15:10,3364046,3364046,3364046
2020-06-12T15:20,3466357,3466357,3466357
2020-06-12T15:30,3510932,3510932,3510932
2020-06-12T15:40,3510932,3510932,3510932
2020-06-12T15:50,3510959,3510959,3510959
2020-06-12T16:00,3482804,3482804,3482804
2020-06-12T16:10,3482804,3482804,3482804
2020-06-12T16:20,3477754,3477754,3477754
2020-06-12T16:30,3470246,3470246,3470246
2020-06-12T16:40,3470246,3470246,3470246
2020-06-12T16:50,3478727,3478727,3478727
2020-06-12T17:00,3508080,3508080,3508080
2020-06-12T17:10,3508080,3508080,3508080
2020-06-12T17:20,3507703,3507703,3507703
2020-06-12T17:30,3506684,3506684,3506684
2020-06-12T17:40,3506684,3506684,3506684
2020-06-12T17:50,3521884,3521884,3521884
2020-06-12T18:00,3521500,3521500,3521500
2020-06-12T18:10,3521500,3521500,3521500
2020-06-12T18:20,3508064,3508064,3508064
2020-06-12T18:30,3515019,3515019,3515019
2020-06-12T18:40,3515019,3515019,3515019
2020-06-12T18:50,3518010,3518010,3518010
2020-06-12T19:00,3520165,3520165,3520165
2020-06-12T19:10,3520165,3520165,3520165
2020-06-12T07:10,3355203,3355203,3355203
2020-06-12T07:20,3355203,3355203,3355203
2020-06-12T07:30,1820359,1820359,1820359
2020-06-12T07:40,1719511,1719511,1719511
2020-06-12T07:50,3360642,3360642,3360642
2020-06-12T08:00,3332798,3332798,3332798
2020-06-12T08:10,3332798,3332798,3332798
2020-06-12T08:20,3343575,3343575,3343575
2020-06-12T08:30,3344008,3344008,3344008
2020-06-12T08:40,3344008,3344008,3344008
2020-06-12T08:50,3332858,3332858,3332858
2020-06-12T09:00,3353083,3353083,3353083
2020-06-12T09:10,3353083,3353083,3353083
2020-06-12T09:20,3343548,3343548,3343548
2020-06-12T09:30,3354999,3354999,3354999
2020-06-12T09:40,3354999,3354999,3354999
2020-06-12T09:50,3350744,3350744,3350744
2020-06-12T10:00,3348383,3348383,3348383
2020-06-12T10:10,1791617,1791617,1791617
2020-06-12T10:20,1793748,1793748,1793748
2020-06-12T10:30,1791313,1791313,1791313
2020-06-12T10:40,1788930,1788930,1788930
