date,Binance,Bitmex,Huobi
2020-06-12T17:10,9542397,4415290,11518970
2020-06-12T17:20,9542397,4415288,11506160
2020-06-12T17:30,9539625,9539625,11432730
2020-06-12T17:40,9539625,9539625,11483960
2020-06-12T17:50,9580974,9580974,11517910
2020-06-12T18:00,9579930,4525974,11598160
2020-06-12T18:10,9579930,9579930,11417820
2020-06-12T18:20,9543380,9543380,11547960
2020-06-12T18:30,9562300,9562300,11569260
2020-06-12T18:40,9562300,9562300,11465580
2020-06-12T18:50,9570435,9570435,11357530
2020-06-12T19:00,9576300,9576300,11334340
2020-06-12T19:10,9576300,9576300,11388410
