date,Binance,Bitmex,Huobi
2020-06-09T19:10,11573172,5020290,12043140
2020-06-09T19:20,11573172,11573172,12048170
2020-06-09T19:30,11542047,11542047,12172390
2020-06-09T19:40,11401258,11401258,12233910
2020-06-09T19:50,11401258,11401258,12302370
2020-06-09T20:00,11386717,11386717,12407590
2020-06-09T20:10,11353457,11353457,12410080
2020-06-09T20:20,11353457,4752254,12400600
2020-06-09T20:30,11342494,4767552,12424320
2020-06-09T20:40,11369287,4765810,12469390
2020-06-09T20:50,11369287,4756862,12450110
2020-06-09T21:00,11349511,4695060,12480950
2020-06-09T21:10,11354721,4600984,12366120
2020-06-09T21:20,11354721,4613514,12247930
2020-06-09T21:30,11231998,4613926,12234810
2020-06-09T21:40,11175136,4617812,12260400
2020-06-09T21:50,11175136,4585116,12300340
2020-06-09T22:00,11085813,4655156,12311080
2020-06-09T22:10,11010026,4694910,12200570
2020-06-09T22:20,11010026,4692984,12171770
2020-06-09T22:30,11098969,4614414,12258020
2020-06-09T22:40,11198273,4534356,12308410
2020-06-09T22:50,11198273,11198273,12105170
2020-06-09T23:00,11227286,11227286,12093510
2020-06-09T23:10,11150944,4575068,12235330
2020-06-09T23:20,11150944,4682422,12191670
2020-06-09T23:30,11188085,4608970,12198140
2020-06-09T23:40,11194955,4739946,12223050
2020-06-09T23:50,11194955,4816036,12227170
2020-06-10T00:00,11082857,11082857,12316790
2020-06-10T00:10,11060833,11060833,12342610
2020-06-10T00:20,11060833,11060833,12324030
2020-06-10T00:30,11038554,11038554,12344570
2020-06-10T00:40,11098921,11098921,12315690
2020-06-10T00:50,11098921,11098921,12340910
2020-06-10T01:00,11168678,11168678,12356220
2020-06-10T01:10,11208045,11208045,12331590
2020-06-10T01:20,11208045,11208045,12343170
2020-06-10T01:30,11266126,11266126,12385680
2020-06-10T01:40,11252009,11252009,12386370
2020-06-10T01:50,11252009,11252009,12400410
2020-06-10T02:00,11266811,4816026,12395690
2020-06-10T02:10,11295004,4875152,12327920
2020-06-10T02:20,11295004,4889146,12337080
2020-06-10T02:30,11269325,4885646,12352540
2020-06-10T02:40,11263619,4819726,12317390
2020-06-10T02:50,11263619,11263619,12274970
2020-06-10T03:00,11279794,11279794,12192670
2020-06-10T03:10,11327285,11327285,12107840
2020-06-10T03:20,11327285,11327285,12164910
2020-06-10T03:30,11308719,11308719,12193660
2020-06-10T03:40,11247499,11247499,12164960
2020-06-10T03:50,11247499,11247499,12189420
2020-06-10T04:00,11225165,11225165,12214280
2020-06-10T04:10,11216026,11216026,12233450
2020-06-10T04:20,11216026,11216026,12230900
2020-06-10T04:30,11233697,11233697,12218120
2020-06-10T04:40,11319431,4743134,12224700
2020-06-10T04:50,11319431,4860386,12272270
2020-06-10T05:00,11335108,4870598,12267830
2020-06-10T05:10,11381281,4890042,12380210
2020-06-10T05:20,11381281,4886308,12399420
2020-06-10T05:30,11421691,4796664,12294400
2020-06-10T05:40,11383922,4815606,12344060
2020-06-10T05:50,11383922,4694812,12251200
2020-06-10T06:00,11421172,4775008,12274430
2020-06-10T06:10,11448567,4776192,12251750
2020-06-10T06:20,11448567,4779302,12167140
2020-06-10T06:30,11374494,4784228,12140610
2020-06-10T06:40,11375511,4963610,12239530
2020-06-10T06:50,11375511,4959458,12233760
2020-06-10T07:00,11352116,11352116,12245010
2020-06-10T07:10,11282479,11282479,12243750
2020-06-10T07:20,11282479,11282479,12219810
2020-06-10T07:30,11128358,4902104,12406610
2020-06-10T07:40,11070602,4841890,12457280
2020-06-10T07:50,11070602,4843304,12458920
2020-06-10T08:00,11115775,4751298,12430880
2020-06-10T08:10,11121186,4842958,12506300
2020-06-10T08:20,11121186,4810202,12686000
2020-06-10T08:30,11310432,4871000,12718190
