date,Binance,Bitmex,Ftx,Huobi,Okex
2020-06-05T19:10,5084840,5084840,5084840,5084840,5084840
2020-06-05T19:20,5084840,5084840,5084840,5084840,5084840
2020-06-05T19:30,5156753,5156753,5156753,5156753,5156753
2020-06-05T19:40,5156753,5156753,5156753,5156753,5156753
2020-06-05T19:50,5253703,5253703,5253703,5253703,5253703
2020-06-05T20:00,5262253,5262253,5262253,5262253,5262253
2020-06-05T20:10,5262253,5262253,5262253,5262253,5262253
2020-06-05T20:20,5308778,5308778,5308778,5308778,5308778
2020-06-05T20:30,5327747,5327747,5327747,5327747,5327747
2020-06-05T20:40,5327747,5327747,5327747,5327747,5327747
2020-06-05T20:50,5356586,5356586,5356586,5356586,5356586
2020-06-05T21:00,5326491,5326491,5326491,5326491,5326491
2020-06-05T21:10,5326491,5326491,5326491,5326491,5326491
2020-06-05T21:20,5255624,5255624,5255624,5255624,5255624
2020-06-05T21:30,5275174,5275174,5275174,5275174,5275174
2020-06-05T21:40,5275174,5275174,5275174,5275174,5275174
2020-06-05T21:50,5301215,5301215,5301215,5301215,5301215
2020-06-05T22:00,5293415,5293415,5293415,5293415,5293415
2020-06-05T22:10,5293415,5293415,5293415,5293415,5293415
2020-06-05T22:20,5278068,5278068,5278068,5278068,5278068
2020-06-05T22:30,5313227,5313227,5313227,5313227,5313227
2020-06-05T22:40,5313227,5313227,5313227,5313227,5313227
2020-06-05T22:50,5349393,5349393,5349393,5349393,5349393
2020-06-05T23:00,5401600,5401600,5401600,5401600,5401600
2020-06-05T23:10,5401600,5401600,5401600,5401600,5401600
2020-06-05T23:20,5421058,5421058,5421058,5421058,5421058
2020-06-05T23:30,5323193,5323193,5323193,5323193,5323193
2020-06-05T23:40,5323193,5323193,5323193,5323193,5323193
2020-06-05T23:50,5447302,5447302,5447302,5447302,5447302
2020-06-06T00:00,5447247,5447247,5447247,5447247,5447247
2020-06-06T00:10,5447247,5447247,5447247,5447247,5447247
2020-06-06T00:20,5381944,5381944,5381944,5381944,5381944
2020-06-06T00:30,5334741,5334741,5334741,5334741,5334741
2020-06-06T00:40,5334741,5334741,5334741,5334741,5334741
2020-06-06T00:50,5388448,5388448,5388448,5388448,5388448
2020-06-06T01:00,5450880,5450880,5450880,5450880,5450880
2020-06-06T01:10,5450880,5450880,5450880,5450880,5450880
2020-06-06T01:20,5475886,5475886,5475886,5475886,5475886
2020-06-06T01:30,5547173,5547173,5547173,5547173,5547173
2020-06-06T01:40,5547173,5547173,5547173,5547173,5547173
2020-06-06T01:50,5543051,5543051,5543051,5543051,5543051
2020-06-06T02:00,5509797,5509797,5509797,5509797,5509797
2020-06-06T02:10,5509797,5509797,5509797,5509797,5509797
2020-06-06T02:20,5514183,5514183,5514183,5514183,5514183
2020-06-06T02:30,5528901,5528901,5528901,5528901,5528901
2020-06-06T02:40,5528901,5528901,5528901,5528901,5528901
2020-06-06T02:50,5544982,5544982,5544982,5544982,5544982
2020-06-06T03:00,5535984,5535984,5535984,5535984,5535984
2020-06-06T03:10,5535984,5535984,5535984,5535984,5535984
2020-06-06T03:20,5539470,5539470,5539470,5539470,5539470
2020-06-06T03:30,5510609,5510609,5510609,5510609,5510609
2020-06-06T03:40,5510609,5510609,5510609,5510609,5510609
2020-06-06T03:50,5507536,5507536,5507536,5507536,5507536
2020-06-06T04:00,5507758,5507758,5507758,5507758,5507758
2020-06-06T04:10,5507758,5507758,5507758,5507758,5507758
2020-06-06T04:20,5515343,5515343,5515343,5515343,5515343
2020-06-06T04:30,5515425,5515425,5515425,5515425,5515425
2020-06-06T04:40,5515425,5515425,5515425,5515425,5515425
2020-06-06T04:50,5486816,5486816,5486816,5486816,5486816
2020-06-06T05:00,5506329,5506329,5506329,5506329,5506329
2020-06-06T05:10,5506329,5506329,5506329,5506329,5506329
2020-06-06T05:20,5534076,5534076,5534076,5534076,5534076
2020-06-06T05:30,5524885,5524885,5524885,5524885,5524885
2020-06-06T05:40,5524885,5524885,5524885,5524885,5524885
2020-06-06T05:50,5436126,5436126,5436126,5436126,5436126
2020-06-06T06:00,5458971,5458971,5458971,5458971,5458971
2020-06-06T06:10,5458971,5458971,5458971,5458971,5458971
2020-06-06T06:20,5463431,5463431,5463431,5463431,5463431
2020-06-06T06:30,5445464,5445464,5445464,5445464,5445464
2020-06-06T06:40,5445464,5445464,5445464,5445464,5445464
2020-06-06T06:50,5458540,5458540,5458540,5458540,5458540
2020-06-06T07:00,5457978,5457978,5457978,5457978,5457978
2020-06-06T07:10,5457978,5457978,5457978,5457978,5457978
2020-06-06T07:20,5491149,5491149,5491149,5491149,5491149
2020-06-06T07:30,5516803,5516803,5516803,5516803,5516803
2020-06-06T07:40,5516803,5516803,5516803,5516803,5516803
2020-06-06T07:50,5529614,5529614,5529614,5529614,5529614
2020-06-06T08:00,5506669,5506669,5506669,5506669,5506669
2020-06-06T08:10,5506669,5506669,5506669,5506669,5506669
2020-06-06T08:20,5477881,5477881,5477881,5477881,5477881
2020-06-06T08:30,5469593,5469593,5469593,5469593,5469593
2020-06-06T08:40,5469593,5469593,5469593,5469593,5469593
2020-06-06T08:50,5442675,5442675,5442675,5442675,5442675
2020-06-06T09:00,5441537,5441537,5441537,5441537,5441537
2020-06-06T09:10,5441537,5441537,5441537,5441537,5441537
2020-06-06T09:20,5434158,5434158,5434158,5434158,5434158
2020-06-06T09:30,5515037,5515037,5515037,5515037,5515037
2020-06-06T09:40,5515037,5515037,5515037,5515037,5515037
2020-06-06T09:50,5557342,5557342,5557342,5557342,5557342
2020-06-06T10:00,5544483,5544483,5544483,5544483,5544483
2020-06-06T10:10,5544483,5544483,5544483,5544483,5544483
2020-06-06T10:20,5543248,5543248,5543248,5543248,5543248
2020-06-06T10:30,5559758,5559758,5559758,5559758,5559758
2020-06-06T10:40,5559758,5559758,5559758,5559758,5559758
2020-06-06T10:50,5530227,5530227,5530227,5530227,5530227
2020-06-06T11:00,5521885,5521885,5521885,5521885,5521885
2020-06-06T11:10,5521885,5521885,5521885,5521885,5521885
2020-06-06T11:20,5519628,5519628,5519628,5519628,5519628
2020-06-06T11:30,5520171,5520171,5520171,5520171,5520171
2020-06-06T11:40,5520171,5520171,5520171,5520171,5520171
2020-06-06T11:50,5535147,5535147,5535147,5535147,5535147
2020-06-06T12:00,5531897,5531897,5531897,5531897,5531897
2020-06-06T12:10,5531897,5531897,5531897,5531897,5531897
2020-06-06T12:20,5542894,5542894,5542894,5542894,5542894
2020-06-06T12:30,5536104,5536104,5536104,5536104,5536104
2020-06-06T12:40,5536104,5536104,5536104,5536104,5536104
2020-06-06T12:50,5451484,5451484,5451484,5451484,5451484
2020-06-06T13:00,5533232,5533232,5533232,5533232,5533232
2020-06-06T13:10,5533232,5533232,5533232,5533232,5533232
2020-06-06T13:20,5446254,5446254,5446254,5446254,5446254
2020-06-06T13:30,5435985,5435985,5435985,5435985,5435985
2020-06-06T13:40,5435985,5435985,5435985,5435985,5435985
2020-06-06T13:50,5421934,5421934,5421934,5421934,5421934
2020-06-06T14:00,5386444,5386444,5386444,5386444,5386444
2020-06-06T14:10,5386444,5386444,5386444,5386444,5386444
2020-06-06T14:20,5386254,5386254,5386254,5386254,5386254
2020-06-06T14:30,5353417,5353417,5353417,5353417,5353417
2020-06-06T14:40,5353417,5353417,5353417,5353417,5353417
2020-06-06T14:50,5330684,5330684,5330684,5330684,5330684
2020-06-06T15:00,5328241,5328241,5328241,5328241,5328241
2020-06-06T15:10,5328241,5328241,5328241,5328241,5328241
2020-06-06T15:20,5314331,5314331,5314331,5314331,5314331
2020-06-06T15:30,5313228,5313228,5313228,5313228,5313228
2020-06-06T15:40,5313228,5313228,5313228,5313228,5313228
2020-06-06T15:50,5287848,5287848,5287848,5287848,5287848
2020-06-06T16:00,5253433,5253433,5253433,5253433,5253433
2020-06-06T16:10,5253433,5253433,5253433,5253433,5253433
2020-06-06T16:20,5214454,5214454,5214454,5214454,5214454
2020-06-06T16:30,5213987,5213987,5213987,5213987,5213987
2020-06-06T16:40,5213987,5213987,5213987,5213987,5213987
2020-06-06T16:50,5232985,5232985,5232985,5232985,5232985
2020-06-06T17:00,5179792,5179792,5179792,5179792,5179792
2020-06-06T17:10,5179792,5179792,5179792,5179792,5179792
