date,Binance,Bitmex,Ftx,Huobi,Okex
2020-06-05T19:10,13832859,13832859,18924335,11070840,11111920
2020-06-05T19:20,13832859,4894936,18920342,11081620,11077550
2020-06-05T19:30,14028493,4893014,18933301,11074100,11102420
2020-06-05T19:40,14028493,4901972,18959050,11229660,11084820
2020-06-05T19:50,14292238,5016768,19051664,11329670,11054540
2020-06-05T20:00,14315496,5001746,19008344,11309180,11045490
2020-06-05T20:10,14315496,4997952,19004445,11272960,11056980
2020-06-05T20:20,14442062,14442062,18998350,11315260,11043060
2020-06-05T20:30,14493667,14493667,18871473,11234740,11043250
2020-06-05T20:40,14493667,14493667,18909935,10987200,10996870
2020-06-05T20:50,14572119,14572119,18896179,11018400,11036770
2020-06-05T21:00,14490249,4716312,18973160,11003570,11011440
2020-06-05T21:10,14490249,4706200,18881329,10965300,10999190
2020-06-05T21:20,14297462,4783998,18874805,10957950,10993700
2020-06-05T21:30,14350645,14350645,18859371,10980290,10983580
2020-06-05T21:40,14350645,14350645,18869505,10955260,10984990
2020-06-05T21:50,14421488,14421488,18876171,10941060,10961040
2020-06-05T22:00,14400271,14400271,18834713,10988280,10964000
2020-06-05T22:10,14400271,14400271,18745645,10867730,10962540
2020-06-05T22:20,14358519,14358519,18825449,10880700,10990560
2020-06-05T22:30,14454166,14454166,18784007,10914460,10983930
2020-06-05T22:40,14454166,14454166,18808606,10964260,10978640
2020-06-05T22:50,14552552,14552552,18847290,10976560,11024110
2020-06-05T23:00,14694577,14694577,18851877,11017220,11022690
2020-06-05T23:10,14694577,14694577,18782088,11003130,11010400
2020-06-05T23:20,14747511,14747511,18696714,10931840,10992970
2020-06-05T23:30,14481279,14481279,18801946,10952690,11087900
2020-06-05T23:40,14481279,14481279,18810532,11066670,11086600
2020-06-05T23:50,14818906,14818906,18787798,10965530,11083980
