date,Binance,Bitmex,Huobi
2020-06-11T19:10,255476,255476,255476
2020-06-11T19:20,255045,255045,255045
2020-06-11T19:30,255045,255045,255045
2020-06-11T19:40,253468,253468,253468
2020-06-11T19:50,254718,254718,254718
2020-06-11T20:00,254718,254718,254718
2020-06-11T20:10,254718,254718,254718
2020-06-11T20:20,255940,255940,255940
2020-06-11T20:30,255940,255940,255940
2020-06-11T20:40,256743,256743,256743
2020-06-11T20:50,254468,254468,254468
2020-06-11T21:00,254468,254468,254468
2020-06-11T21:10,255194,255194,255194
2020-06-11T21:20,254103,254103,254103
2020-06-11T21:30,254103,254103,254103
2020-06-11T21:40,254996,254996,254996
2020-06-11T21:50,255886,255886,255886
2020-06-11T22:00,255886,255886,255886
2020-06-11T22:10,256393,256393,256393
2020-06-11T22:20,256453,256453,256453
2020-06-11T22:30,256453,256453,256453
2020-06-11T22:40,256432,256432,256432
2020-06-11T22:50,257768,257768,257768
2020-06-11T23:00,257768,257768,257768
2020-06-11T23:10,258061,258061,258061
2020-06-11T23:20,258824,258824,258824
2020-06-11T23:30,258824,258824,258824
2020-06-11T23:40,259097,259097,259097
2020-06-11T23:50,258491,258491,258491
2020-06-12T00:00,258491,258491,258491
2020-06-12T00:10,257446,257446,257446
2020-06-12T00:20,256427,256427,256427
2020-06-12T00:30,256427,256427,256427
2020-06-12T00:40,256760,256760,256760
2020-06-12T00:50,258358,258358,258358
2020-06-12T01:00,258358,258358,258358
2020-06-12T01:10,256897,256897,256897
2020-06-12T01:20,257326,257326,257326
2020-06-12T01:30,257326,257326,257326
2020-06-12T01:40,257424,257424,257424
2020-06-12T01:50,258415,258415,258415
2020-06-12T02:00,258415,258415,258415
2020-06-12T02:10,259072,259072,259072
2020-06-12T02:20,259007,259007,259007
2020-06-12T02:30,259007,259007,259007
2020-06-12T02:40,258733,258733,258733
2020-06-12T02:50,258661,258661,258661
2020-06-12T03:00,258661,258661,258661
2020-06-12T03:10,258952,258952,258952
2020-06-12T03:20,260357,260357,260357
2020-06-12T03:30,260357,260357,260357
2020-06-12T03:40,261389,261389,261389
2020-06-12T03:50,261652,261652,261652
2020-06-12T04:00,261652,261652,261652
2020-06-12T04:10,263247,263247,263247
2020-06-12T04:20,262615,262615,262615
2020-06-12T04:30,262615,262615,262615
2020-06-12T04:40,263022,263022,263022
2020-06-12T04:50,264106,264106,264106
2020-06-12T05:00,264106,264106,264106
2020-06-12T05:10,264250,264250,264250
2020-06-12T05:20,265319,265319,265319
2020-06-12T05:30,265319,265319,265319
2020-06-12T05:40,265208,265208,265208
2020-06-12T05:50,265232,265232,265232
2020-06-12T06:00,265232,265232,265232
2020-06-12T06:10,264869,264869,264869
2020-06-12T06:20,264099,264099,264099
2020-06-12T06:30,264099,264099,264099
2020-06-12T06:40,263805,263805,263805
2020-06-12T06:50,263992,263992,263992
2020-06-12T07:00,263992,263992,263992
2020-06-12T07:10,263902,263902,263902
2020-06-12T07:20,264098,264098,264098
2020-06-12T07:30,264098,264098,264098
2020-06-12T07:40,263729,263729,263729
2020-06-12T07:50,262579,262579,262579
2020-06-12T08:00,262579,262579,262579
2020-06-12T08:10,264658,264658,264658
2020-06-12T08:20,261460,261460,261460
2020-06-12T08:30,261460,261460,261460
2020-06-12T08:40,261311,261311,261311
2020-06-12T08:50,261101,261101,261101
2020-06-12T09:00,261101,261101,261101
2020-06-12T09:10,260343,260343,260343
2020-06-12T09:20,260272,260272,260272
2020-06-12T09:30,260272,260272,260272
2020-06-12T09:40,259675,259675,259675
2020-06-12T09:50,258860,258860,258860
2020-06-12T10:00,258860,258860,258860
2020-06-12T10:10,258016,258016,258016
2020-06-12T10:20,258681,258681,258681
2020-06-12T10:30,258681,258681,258681
2020-06-12T10:40,259017,259017,259017
2020-06-12T10:50,258378,258378,258378
2020-06-12T11:00,258378,258378,258378
2020-06-12T11:10,257743,257743,257743
2020-06-12T11:20,258270,258270,258270
2020-06-12T11:30,258270,258270,258270
2020-06-12T11:40,258449,258449,258449
2020-06-12T11:50,257576,257576,257576
2020-06-12T12:00,257576,257576,257576
2020-06-12T12:10,256921,256921,256921
2020-06-12T12:20,254446,254446,254446
2020-06-12T12:30,254446,254446,254446
2020-06-12T12:40,255041,255041,255041
2020-06-12T12:50,255273,255273,255273
2020-06-12T13:00,255273,255273,255273
2020-06-12T13:10,255061,255061,255061
2020-06-12T13:20,255417,255417,255417
2020-06-12T13:30,255417,255417,255417
2020-06-12T13:40,256364,256364,256364
2020-06-12T13:50,257569,257569,257569
2020-06-12T14:00,257569,257569,257569
2020-06-12T14:10,252720,252720,252720
2020-06-12T14:20,251666,251666,251666
2020-06-12T14:30,251666,251666,251666
2020-06-12T14:40,251658,251658,251658
2020-06-12T14:50,251658,251658,251658
2020-06-12T15:00,252222,252222,252222
2020-06-12T15:10,251251,251251,251251
2020-06-12T15:20,251251,251251,251251
2020-06-12T15:30,251339,251339,251339
2020-06-12T15:40,251489,251489,251489
2020-06-12T15:50,251489,251489,251489
2020-06-12T16:00,252518,252518,252518
2020-06-12T16:10,251394,251394,251394
2020-06-12T16:20,251701,251701,251701
2020-06-12T16:30,251701,251701,251701
2020-06-12T16:40,250679,250679,250679
2020-06-12T16:50,251011,251011,251011
2020-06-12T17:00,251011,251011,251011
2020-06-12T17:10,251174,251174,251174
2020-06-12T17:20,251787,251787,251787
2020-06-12T17:30,251787,251787,251787
2020-06-12T17:40,251522,251522,251522
2020-06-12T17:50,248366,248366,248366
2020-06-12T18:00,248366,248366,248366
2020-06-12T18:10,248082,248082,248082
2020-06-12T18:20,248082,248082,248082
2020-06-12T18:30,247486,247486,247486
2020-06-12T18:40,248025,248025,248025
2020-06-12T18:50,248025,248025,248025
2020-06-12T19:00,247268,247268,247268
2020-06-12T19:10,247890,247890,247890
2020-06-11T19:10,137481,137481,137481
2020-06-11T19:20,137859,137859,137859
2020-06-11T19:30,135946,135946,135946
2020-06-11T19:40,135661,135661,135661
2020-06-11T19:50,135147,135147,135147
2020-06-11T20:00,254718,254718,254718
2020-06-11T20:10,254718,254718,254718
2020-06-11T20:20,255940,255940,255940
2020-06-11T20:30,255940,255940,255940
2020-06-11T20:40,256743,256743,256743
2020-06-11T20:50,254468,254468,254468
2020-06-11T21:00,254468,254468,254468
2020-06-11T21:10,139136,139136,139136
2020-06-11T21:20,139175,139175,139175
2020-06-11T21:30,140789,140789,140789
2020-06-11T21:40,254996,254996,254996
2020-06-11T21:50,255886,255886,255886
2020-06-11T22:00,255886,255886,255886
2020-06-11T22:10,256393,256393,256393
2020-06-11T22:20,256453,256453,256453
2020-06-11T22:30,256453,256453,256453
2020-06-11T22:40,256432,256432,256432
2020-06-11T22:50,257768,257768,257768
2020-06-11T23:00,257768,257768,257768
2020-06-11T23:10,258061,258061,258061
2020-06-11T23:20,258824,258824,258824
2020-06-11T23:30,258824,258824,258824
2020-06-11T23:40,259097,259097,259097
2020-06-11T23:50,139534,139534,139534
2020-06-12T00:00,142080,142080,142080
2020-06-12T00:10,144554,144554,144554
2020-06-12T00:20,144046,144046,144046
2020-06-12T00:30,143849,143849,143849
2020-06-12T00:40,144284,144284,144284
2020-06-12T00:50,143680,143680,143680
2020-06-12T01:00,143969,143969,143969
2020-06-12T01:10,256897,256897,256897
2020-06-12T01:20,257326,257326,257326
2020-06-12T01:30,257326,257326,257326
2020-06-12T01:40,257424,257424,257424
2020-06-12T01:50,258415,258415,258415
2020-06-12T02:00,258415,258415,258415
2020-06-12T02:10,259072,259072,259072
2020-06-12T02:20,143482,143482,143482
2020-06-12T02:30,143366,143366,143366
2020-06-12T02:40,143452,143452,143452
2020-06-12T02:50,143118,143118,143118
2020-06-12T03:00,141625,141625,141625
2020-06-12T03:10,140975,140975,140975
2020-06-12T03:20,141156,141156,141156
2020-06-12T03:30,141452,141452,141452
2020-06-12T03:40,141198,141198,141198
2020-06-12T03:50,140480,140480,140480
2020-06-12T04:00,140949,140949,140949
2020-06-12T04:10,140431,140431,140431
2020-06-12T04:20,140736,140736,140736
2020-06-12T04:30,141049,141049,141049
2020-06-12T04:40,263022,263022,263022
2020-06-12T04:50,264106,264106,264106
2020-06-12T05:00,141508,141508,141508
2020-06-12T05:10,140958,140958,140958
2020-06-12T05:20,140914,140914,140914
2020-06-12T05:30,142102,142102,142102
2020-06-12T05:40,141491,141491,141491
2020-06-12T05:50,141446,141446,141446
2020-06-12T06:00,265232,265232,265232
2020-06-12T06:10,264869,264869,264869
2020-06-12T06:20,264099,264099,264099
2020-06-12T06:30,264099,264099,264099
2020-06-12T06:40,263805,263805,263805
2020-06-12T06:50,263992,263992,263992
2020-06-12T07:00,263992,263992,263992
2020-06-12T07:10,263902,263902,263902
2020-06-12T07:20,264098,264098,264098
2020-06-12T07:30,135231,135231,135231
2020-06-12T07:40,134840,134840,134840
2020-06-12T07:50,133937,133937,133937
2020-06-12T08:00,262579,262579,262579
2020-06-12T08:10,264658,264658,264658
2020-06-12T08:20,261460,261460,261460
2020-06-12T08:30,261460,261460,261460
2020-06-12T08:40,261311,261311,261311
2020-06-12T08:50,261101,261101,261101
2020-06-12T09:00,261101,261101,261101
2020-06-12T09:10,260343,260343,260343
2020-06-12T09:20,260272,260272,260272
2020-06-12T09:30,260272,260272,260272
2020-06-12T09:40,259675,259675,259675
2020-06-12T09:50,258860,258860,258860
2020-06-12T10:00,258860,258860,258860
2020-06-12T10:10,130991,130991,130991
2020-06-12T10:20,130901,130901,130901
2020-06-12T10:30,130828,130828,130828
2020-06-12T10:40,131232,131232,131232
2020-06-12T10:50,131411,131411,131411
2020-06-12T11:00,131455,131455,131455
2020-06-12T11:10,130677,130677,130677
2020-06-12T11:20,130834,130834,130834
2020-06-12T11:30,258270,258270,258270
2020-06-12T11:40,258449,258449,258449
2020-06-12T11:50,257576,257576,257576
2020-06-12T12:00,257576,257576,257576
2020-06-12T12:10,256921,256921,256921
2020-06-12T12:20,254446,254446,254446
2020-06-12T12:30,254446,254446,254446
2020-06-12T12:40,255041,255041,255041
2020-06-12T12:50,128328,128328,128328
2020-06-12T13:00,128517,128517,128517
2020-06-12T13:10,128609,128609,128609
2020-06-12T13:20,128145,128145,128145
2020-06-12T13:30,127479,127479,127479
2020-06-12T13:40,127402,127402,127402
2020-06-12T13:50,128892,128892,128892
2020-06-12T14:00,125998,125998,125998
2020-06-12T14:10,124860,124860,124860
2020-06-12T14:20,124327,124327,124327
2020-06-12T14:30,124921,124921,124921
2020-06-12T14:40,124682,124682,124682
2020-06-12T14:50,251658,251658,251658
2020-06-12T15:00,252222,252222,252222
2020-06-12T15:10,251251,251251,251251
2020-06-12T15:20,123467,123467,123467
2020-06-12T15:30,122587,122587,122587
2020-06-12T15:40,122467,122467,122467
2020-06-12T15:50,122068,122068,122068
2020-06-12T16:00,121938,121938,121938
2020-06-12T16:10,121272,121272,121272
2020-06-12T16:20,121394,121394,121394
2020-06-12T16:30,121256,121256,121256
2020-06-12T16:40,122470,122470,122470
2020-06-12T16:50,122750,122750,122750
2020-06-12T17:00,122149,122149,122149
2020-06-12T17:10,122251,122251,122251
2020-06-12T17:20,251787,251787,251787
2020-06-12T17:30,251787,251787,251787
2020-06-12T17:40,251522,251522,251522
2020-06-12T17:50,248366,248366,248366
2020-06-12T18:00,120924,120924,120924
2020-06-12T18:10,248082,248082,248082
2020-06-12T18:20,248082,248082,248082
2020-06-12T18:30,247486,247486,247486
2020-06-12T18:40,248025,248025,248025
2020-06-12T18:50,248025,248025,248025
2020-06-12T19:00,247268,247268,247268
2020-06-12T19:10,247890,247890,247890
2020-06-11T19:10,185210,185210,185210
2020-06-11T19:20,185391,185391,185391
2020-06-11T19:30,185129,185129,185129
2020-06-11T19:40,185974,185974,185974
2020-06-11T19:50,186254,186254,186254
2020-06-11T20:00,186476,186476,186476
2020-06-11T20:10,186197,186197,186197
2020-06-11T20:20,185182,185182,185182
2020-06-11T20:30,185524,185524,185524
2020-06-11T20:40,184784,184784,184784
2020-06-11T20:50,184351,184351,184351
2020-06-11T21:00,182284,182284,182284
2020-06-11T21:10,182045,182045,182045
2020-06-11T21:20,181970,181970,181970
2020-06-11T21:30,181962,181962,181962
2020-06-11T21:40,182082,182082,182082
2020-06-11T21:50,181568,181568,181568
2020-06-11T22:00,182256,182256,182256
2020-06-11T22:10,183733,183733,183733
2020-06-11T22:20,183925,183925,183925
2020-06-11T22:30,183652,183652,183652
2020-06-11T22:40,183569,183569,183569
2020-06-11T22:50,184081,184081,184081
2020-06-11T23:00,185770,185770,185770
2020-06-11T23:10,185670,185670,185670
2020-06-11T23:20,186799,186799,186799
2020-06-11T23:30,187277,187277,187277
2020-06-11T23:40,188412,188412,188412
2020-06-11T23:50,188427,188427,188427
2020-06-12T00:00,190849,190849,190849
2020-06-12T00:10,192896,192896,192896
2020-06-12T00:20,190591,190591,190591
2020-06-12T00:30,191823,191823,191823
2020-06-12T00:40,192561,192561,192561
2020-06-12T00:50,192620,192620,192620
2020-06-12T01:00,192331,192331,192331
2020-06-12T01:10,192009,192009,192009
2020-06-12T01:20,191943,191943,191943
2020-06-12T01:30,191702,191702,191702
2020-06-12T01:40,190313,190313,190313
2020-06-12T01:50,190738,190738,190738
