date,Binance,Bitmex,Huobi
2020-06-12T17:10,251174,251174,251174
2020-06-12T17:20,251787,251787,251787
2020-06-12T17:30,251787,251787,251787
2020-06-12T17:40,251522,251522,251522
2020-06-12T17:50,248366,248366,248366
2020-06-12T18:00,248366,248366,248366
2020-06-12T18:10,248082,248082,248082
2020-06-12T18:20,248082,248082,248082
2020-06-12T18:30,247486,247486,247486
2020-06-12T18:40,248025,248025,248025
2020-06-12T18:50,248025,248025,248025
2020-06-12T19:00,247268,247268,247268
2020-06-12T19:10,247890,247890,247890
2020-06-12T17:10,122228,122228,122228
2020-06-12T17:20,251787,251787,251787
2020-06-12T17:30,251787,251787,251787
2020-06-12T17:40,251522,251522,251522
2020-06-12T17:50,248366,248366,248366
2020-06-12T18:00,120924,120924,120924
2020-06-12T18:10,248082,248082,248082
2020-06-12T18:20,248082,248082,248082
2020-06-12T18:30,247486,247486,247486
2020-06-12T18:40,248025,248025,248025
2020-06-12T18:50,248025,248025,248025
2020-06-12T19:00,247268,247268,247268
2020-06-12T19:10,247890,247890,247890
2020-06-12T17:10,177381,177381,177381
2020-06-12T17:20,177546,177546,177546
2020-06-12T17:30,178013,178013,178013
2020-06-12T17:40,178121,178121,178121
2020-06-12T17:50,177516,177516,177516
2020-06-12T18:00,177636,177636,177636
2020-06-12T18:10,177361,177361,177361
2020-06-12T18:20,176243,176243,176243
2020-06-12T18:30,175842,175842,175842
2020-06-12T18:40,176119,176119,176119
2020-06-12T18:50,176020,176020,176020
2020-06-12T19:00,176439,176439,176439
2020-06-12T19:10,175911,175911,175911
