date,Binance,Bitmex,Huobi
2020-06-09T19:10,63372696,63372696,35581510
2020-06-09T19:20,63372696,63372696,35464150
2020-06-09T19:30,63372696,63372696,36068020
2020-06-09T19:40,64088193,64088193,36499830
2020-06-09T19:50,64369229,64369229,36346390
2020-06-09T20:00,64369229,64369229,36285320
2020-06-09T20:10,64176359,64176359,36285990
2020-06-09T20:20,64022633,40403845,36287290
2020-06-09T20:30,64022633,30098374,36303240
2020-06-09T20:40,63808540,30169228,36166070
2020-06-09T20:50,63581955,30362346,35820040
2020-06-09T21:00,63588250,30389350,35695660
2020-06-09T21:10,63588250,30461812,35902820
2020-06-09T21:20,63415691,30272280,35673790
2020-06-09T21:30,63218164,30534254,35690540
2020-06-09T21:40,63218164,30574532,35469250
2020-06-09T21:50,63249749,30562272,35675130
2020-06-09T22:00,63258210,31114126,35609220
2020-06-09T22:10,63258210,30558346,35016350
2020-06-09T22:20,63000278,30527276,35371080
2020-06-09T22:30,63273197,30745138,35067000
2020-06-09T22:40,63273197,63273197,34809780
2020-06-09T22:50,63753800,63753800,35286380
2020-06-09T23:00,63753800,63753800,35456310
2020-06-09T23:10,63650732,31272942,35307980
2020-06-09T23:20,63402757,31300694,35227400
2020-06-09T23:30,63402757,31253768,35094690
2020-06-09T23:40,63460573,31283508,35109910
2020-06-09T23:50,63465843,31343858,35090890
2020-06-10T00:00,63465843,32196442,34775440
2020-06-10T00:10,63255216,63255216,35151540
2020-06-10T00:20,63195232,63195232,35174110
2020-06-10T00:30,63195232,63195232,35113540
2020-06-10T00:40,63106903,63106903,35033070
2020-06-10T00:50,63287563,39932624,35023840
2020-06-10T01:00,63287563,39957418,34991940
2020-06-10T01:10,63186404,39946127,35036290
2020-06-10T01:20,63374800,39950653,34951010
2020-06-10T01:30,63374800,40180856,35076900
2020-06-10T01:40,63913637,40372856,35340010
2020-06-10T01:50,64309493,40432066,35478830
2020-06-10T02:00,64309493,32763402,35305500
2020-06-10T02:10,64233195,32806168,35081490
2020-06-10T02:20,64279622,32810086,34747390
2020-06-10T02:30,64259314,32933098,34724210
2020-06-10T02:40,64259314,32929926,35490910
2020-06-10T02:50,64381930,64381930,35597890
2020-06-10T03:00,64381930,64381930,35593810
2020-06-10T03:10,64275087,40271485,35592510
2020-06-10T03:20,64205437,40245561,35588260
2020-06-10T03:30,64205437,40237551,35708680
2020-06-10T03:40,64130599,64130599,35617940
2020-06-10T03:50,63717829,63717829,35617070
2020-06-10T04:00,63717829,63717829,35641210
2020-06-10T04:10,63595836,63595836,35625500
2020-06-10T04:20,63590964,63590964,35573680
2020-06-10T04:30,63590964,63590964,35550030
2020-06-10T04:40,63563927,31941162,35556130
2020-06-10T04:50,63345938,31928932,35770140
2020-06-10T05:00,63345938,31872546,35509370
2020-06-10T05:10,63377965,31911376,35322320
2020-06-10T05:20,63446286,32418632,35692190
2020-06-10T05:30,63446286,40588999,35769900
2020-06-10T05:40,63514889,40443370,35680030
2020-06-10T05:50,63313369,40476024,35781800
2020-06-10T06:00,63313369,40580755,35722360
2020-06-10T06:10,63804801,40592477,35692530
2020-06-10T06:20,63931370,40579002,35835430
2020-06-10T06:30,63931370,40529445,35954760
2020-06-10T06:40,64137034,40541986,35781060
2020-06-10T06:50,63792986,63792986,35952470
2020-06-10T07:00,63792986,63792986,36013050
2020-06-10T07:10,63539898,63539898,35963690
2020-06-10T07:20,63530449,63530449,35579910
2020-06-10T07:30,63530449,32373882,35303820
2020-06-10T07:40,62695113,32387298,35337160
2020-06-10T07:50,62714987,40128670,35647760
2020-06-10T08:00,62714987,40319847,35648840
2020-06-10T08:10,62678827,40298650,35362260
2020-06-10T08:20,62582616,40234410,35301330
2020-06-10T08:30,62582616,40237790,35337910
2020-06-10T08:40,62659071,40289607,35793930
2020-06-10T08:50,62750452,40245950,35784240
2020-06-10T09:00,62750452,40245655,35757710
