date,Binance,Bitmex,Ftx,Huobi,Okex
2020-06-05T19:10,254366,254366,254366,254366,254366
2020-06-05T19:20,254366,254366,254366,254366,254366
2020-06-05T19:30,254835,254835,254835,254835,254835
2020-06-05T19:40,255149,255149,255149,255149,255149
2020-06-05T19:50,255149,255149,255149,255149,255149
2020-06-05T20:00,255289,255289,255289,255289,255289
2020-06-05T20:10,254831,254831,254831,254831,254831
2020-06-05T20:20,254831,254831,254831,254831,254831
2020-06-05T20:30,254803,254803,254803,254803,254803
2020-06-05T20:40,253897,253897,253897,253897,253897
2020-06-05T20:50,253897,253897,253897,253897,253897
2020-06-05T21:00,254207,254207,254207,254207,254207
2020-06-05T21:10,253730,253730,253730,253730,253730
2020-06-05T21:20,253730,253730,253730,253730,253730
2020-06-05T21:30,253324,253324,253324,253324,253324
2020-06-05T21:40,253689,253689,253689,253689,253689
2020-06-05T21:50,253689,253689,253689,253689,253689
2020-06-05T22:00,253428,253428,253428,253428,253428
2020-06-05T22:10,252444,252444,252444,252444,252444
2020-06-05T22:20,252444,252444,252444,252444,252444
2020-06-05T22:30,252294,252294,252294,252294,252294
2020-06-05T22:40,252517,252517,252517,252517,252517
2020-06-05T22:50,252517,252517,252517,252517,252517
2020-06-05T23:00,252325,252325,252325,252325,252325
2020-06-05T23:10,252133,252133,252133,252133,252133
2020-06-05T23:20,252133,252133,252133,252133,252133
2020-06-05T23:30,248839,248839,248839,248839,248839
2020-06-05T23:40,249105,249105,249105,249105,249105
2020-06-05T23:50,249105,249105,249105,249105,249105
2020-06-06T00:00,249174,249174,249174,249174,249174
2020-06-06T00:10,250464,250464,250464,250464,250464
2020-06-06T00:20,250464,250464,250464,250464,250464
2020-06-06T00:30,249479,249479,249479,249479,249479
2020-06-06T00:40,249635,249635,249635,249635,249635
2020-06-06T00:50,249635,249635,249635,249635,249635
2020-06-06T01:00,247836,247836,247836,247836,247836
2020-06-06T01:10,247974,247974,247974,247974,247974
2020-06-06T01:20,247974,247974,247974,247974,247974
2020-06-06T01:30,250062,250062,250062,250062,250062
2020-06-06T01:40,250894,250894,250894,250894,250894
2020-06-06T01:50,250894,250894,250894,250894,250894
2020-06-06T02:00,250944,250944,250944,250944,250944
2020-06-06T02:10,251076,251076,251076,251076,251076
2020-06-06T02:20,251076,251076,251076,251076,251076
2020-06-06T02:30,252064,252064,252064,252064,252064
2020-06-06T02:40,251708,251708,251708,251708,251708
2020-06-06T02:50,251708,251708,251708,251708,251708
2020-06-06T03:00,250473,250473,250473,250473,250473
2020-06-06T03:10,250346,250346,250346,250346,250346
2020-06-06T03:20,250346,250346,250346,250346,250346
2020-06-06T03:30,250316,250316,250316,250316,250316
2020-06-06T03:40,249862,249862,249862,249862,249862
2020-06-06T03:50,249862,249862,249862,249862,249862
2020-06-06T04:00,249846,249846,249846,249846,249846
2020-06-06T04:10,249349,249349,249349,249349,249349
2020-06-06T04:20,249349,249349,249349,249349,249349
2020-06-06T04:30,249465,249465,249465,249465,249465
2020-06-06T04:40,249678,249678,249678,249678,249678
2020-06-06T04:50,249678,249678,249678,249678,249678
2020-06-06T05:00,250909,250909,250909,250909,250909
2020-06-06T05:10,251129,251129,251129,251129,251129
2020-06-06T05:20,251129,251129,251129,251129,251129
2020-06-06T05:30,251012,251012,251012,251012,251012
2020-06-06T05:40,250853,250853,250853,250853,250853
2020-06-06T05:50,250853,250853,250853,250853,250853
2020-06-06T06:00,250843,250843,250843,250843,250843
2020-06-06T06:10,251317,251317,251317,251317,251317
2020-06-06T06:20,251317,251317,251317,251317,251317
2020-06-06T06:30,251410,251410,251410,251410,251410
2020-06-06T06:40,251134,251134,251134,251134,251134
2020-06-06T06:50,251134,251134,251134,251134,251134
2020-06-06T07:00,251096,251096,251096,251096,251096
2020-06-06T07:10,250932,250932,250932,250932,250932
2020-06-06T07:20,250932,250932,250932,250932,250932
2020-06-06T07:30,252491,252491,252491,252491,252491
