date,Binance,Bitmex,Huobi
2020-06-12T07:10,145259,145259,145259
2020-06-12T07:20,145317,145317,145317
2020-06-12T07:30,145317,145317,145317
2020-06-12T07:40,145575,145575,145575
2020-06-12T07:50,145696,145696,145696
2020-06-12T08:00,145696,145696,145696
2020-06-12T08:10,148930,148930,148930
2020-06-12T08:20,148027,148027,148027
2020-06-12T08:30,148027,148027,148027
2020-06-12T08:40,147306,147306,147306
2020-06-12T08:50,147885,147885,147885
2020-06-12T09:00,147885,147885,147885
2020-06-12T09:10,147502,147502,147502
2020-06-12T09:20,146951,146951,146951
2020-06-12T09:30,146951,146951,146951
2020-06-12T09:40,146910,146910,146910
2020-06-12T09:50,146900,146900,146900
2020-06-12T10:00,146900,146900,146900
2020-06-12T10:10,146432,146432,146432
2020-06-12T10:20,145960,145960,145960
2020-06-12T10:30,145960,145960,145960
2020-06-12T10:40,146035,146035,146035
2020-06-12T10:50,146473,146473,146473
2020-06-12T11:00,146473,146473,146473
2020-06-12T11:10,146577,146577,146577
2020-06-12T11:20,148007,148007,148007
2020-06-12T11:30,148007,148007,148007
2020-06-12T11:40,148575,148575,148575
2020-06-12T11:50,148575,148575,148575
2020-06-12T12:00,148496,148496,148496
2020-06-12T12:10,148473,148473,148473
2020-06-12T12:20,146206,146206,146206
2020-06-12T12:30,146206,146206,146206
2020-06-12T12:40,148530,148530,148530
2020-06-12T12:50,149277,149277,149277
2020-06-12T13:00,149277,149277,149277
2020-06-12T13:10,149005,149005,149005
2020-06-12T13:20,148618,148618,148618
2020-06-12T13:30,148618,148618,148618
2020-06-12T13:40,148375,148375,148375
2020-06-12T13:50,148973,148973,148973
2020-06-12T14:00,148973,148973,148973
2020-06-12T14:10,146335,146335,146335
2020-06-12T14:20,145091,145091,145091
2020-06-12T14:30,145091,145091,145091
2020-06-12T14:40,145378,145378,145378
2020-06-12T14:50,145378,145378,145378
2020-06-12T15:00,146086,146086,146086
2020-06-12T15:10,143495,143495,143495
2020-06-12T15:20,143495,143495,143495
2020-06-12T15:30,143209,143209,143209
2020-06-12T15:40,143190,143190,143190
2020-06-12T15:50,143190,143190,143190
2020-06-12T16:00,142876,142876,142876
2020-06-12T16:10,143286,143286,143286
2020-06-12T16:20,143286,143286,143286
2020-06-12T16:30,144661,144661,144661
2020-06-12T16:40,148477,148477,148477
2020-06-12T16:50,148896,148896,148896
2020-06-12T17:00,148896,148896,148896
2020-06-12T17:10,147766,147766,147766
2020-06-12T17:20,146612,146612,146612
2020-06-12T17:30,146612,146612,146612
2020-06-12T17:40,142133,142133,142133
