date,Binance,Bitmex,Huobi
2020-06-12T07:10,6895963,6895963,4067900
2020-06-12T07:20,6898726,6898726,4144230
2020-06-12T07:30,6898726,6898726,4113060
2020-06-12T07:40,6910993,6910993,4133040
2020-06-12T07:50,6916735,6916735,4053740
2020-06-12T08:00,6916735,6916735,4043860
2020-06-12T08:10,7070255,7070255,4054120
2020-06-12T08:20,7027371,7027371,4130270
2020-06-12T08:30,7027371,7027371,4047970
2020-06-12T08:40,6993139,6993139,4059380
2020-06-12T08:50,7020618,7020618,4008280
2020-06-12T09:00,7020618,7020618,3980240
2020-06-12T09:10,7002461,7002461,3976960
2020-06-12T09:20,6976313,6976313,4009840
2020-06-12T09:30,6976313,6976313,4060910
2020-06-12T09:40,6974377,6974377,4056860
2020-06-12T09:50,6973901,6973901,4031850
2020-06-12T10:00,6973901,6973901,4015490
2020-06-12T10:10,6951648,6951648,4007760
2020-06-12T10:20,6929235,6929235,3980070
2020-06-12T10:30,6929235,6929235,4014880
2020-06-12T10:40,6932791,6932791,3999730
2020-06-12T10:50,6953613,6953613,4039720
2020-06-12T11:00,6953613,6953613,4045090
2020-06-12T11:10,6958550,6958550,3989230
2020-06-12T11:20,7026453,7026453,3958080
2020-06-12T11:30,7026453,7026453,4012780
2020-06-12T11:40,7053374,7053374,4026100
2020-06-12T11:50,7053374,7053374,3991030
2020-06-12T12:00,7049638,7049638,3991470
2020-06-12T12:10,7048566,7048566,3949290
2020-06-12T12:20,6940950,6940950,3866920
2020-06-12T12:30,6940950,6940950,3954070
2020-06-12T12:40,7051278,7051278,3916050
2020-06-12T12:50,7086702,7086702,3922780
2020-06-12T13:00,7086702,7086702,3930050
2020-06-12T13:10,7073806,7073806,3944210
2020-06-12T13:20,7055420,7055420,3924190
2020-06-12T13:30,7055420,7055420,3901110
2020-06-12T13:40,7043927,7043927,3883530
2020-06-12T13:50,7072313,7072313,3881460
2020-06-12T14:00,7072313,7072313,3804260
2020-06-12T14:10,6947077,6947077,3801240
2020-06-12T14:20,6887986,6887986,3814310
2020-06-12T14:30,6887986,6887986,3830610
2020-06-12T14:40,6901626,6901626,3769250
2020-06-12T14:50,6901626,6901626,3781790
2020-06-12T15:00,6935222,6935222,3795110
2020-06-12T15:10,6812231,6812231,3793510
2020-06-12T15:20,6812231,6812231,3793550
2020-06-12T15:30,6798658,6798658,3800850
2020-06-12T15:40,6797760,6797760,3898010
2020-06-12T15:50,6797760,6797760,3894000
2020-06-12T16:00,6782828,6782828,3889800
2020-06-12T16:10,6802325,6802325,3886920
2020-06-12T16:20,6802325,6802325,3915990
2020-06-12T16:30,6867608,6867608,3949460
2020-06-12T16:40,7048749,7048749,3956560
2020-06-12T16:50,7068648,7068648,3985660
2020-06-12T17:00,7068648,7068648,3991710
2020-06-12T17:10,7014991,7014991,3978160
2020-06-12T17:20,6960185,6960185,4015580
2020-06-12T17:30,6960185,6960185,4008380
2020-06-12T17:40,6747563,6747563,3992210
2020-06-12T17:50,6843389,6843389,4003480
2020-06-12T18:00,6843389,6843389,4051980
2020-06-12T18:10,6805080,6805080,4023110
2020-06-12T18:20,6805080,6805080,4062160
2020-06-12T18:30,6808226,6808226,4078050
2020-06-12T18:40,6779901,6779901,4031960
2020-06-12T18:50,6779901,6779901,4029480
2020-06-12T19:00,6795377,6795377,4030550
2020-06-12T19:10,6799337,6799337,4024400
