date,Binance,Bitmex,Huobi
2020-06-09T19:10,9007893,9007893,5123860
2020-06-09T19:20,9007893,9007893,5123860
2020-06-09T19:30,9007893,9007893,5311450
2020-06-09T19:40,9162896,9162896,5329890
2020-06-09T19:50,9384811,9384811,5328130
2020-06-09T20:00,9384811,9384811,5318320
2020-06-09T20:10,9322297,9322297,5341420
2020-06-09T20:20,9322622,9322622,5348450
2020-06-09T20:30,9322622,9322622,5348070
2020-06-09T20:40,9376092,9376092,5353070
2020-06-09T20:50,9484851,9484851,5357260
2020-06-09T21:00,9484851,9484851,5353420
2020-06-09T21:10,9543365,9543365,5332780
2020-06-09T21:20,9442108,9442108,5319560
2020-06-09T21:30,9442108,9442108,5327630
2020-06-09T21:40,9359575,9359575,5329270
2020-06-09T21:50,9384372,9384372,5363190
2020-06-09T22:00,9345566,9345566,5373600
2020-06-09T22:10,9345566,9345566,5394550
2020-06-09T22:20,9363495,9363495,5393210
2020-06-09T22:30,9355068,9355068,5400470
2020-06-09T22:40,9355068,9355068,5383400
2020-06-09T22:50,9280729,9280729,5389980
2020-06-09T23:00,9280729,9280729,5411830
2020-06-09T23:10,9291943,9291943,5412860
2020-06-09T23:20,9285659,9285659,5417740
2020-06-09T23:30,9285659,9285659,5430680
2020-06-09T23:40,9263292,9263292,5414810
2020-06-09T23:50,9268875,9268875,5411750
2020-06-10T00:00,9268875,9268875,5429270
2020-06-10T00:10,9235357,9235357,5431750
2020-06-10T00:20,9228155,9228155,5430380
2020-06-10T00:30,9228155,9228155,5431380
2020-06-10T00:40,9216294,9216294,5425850
2020-06-10T00:50,9237137,9237137,5422080
2020-06-10T01:00,9237137,9237137,5423280
2020-06-10T01:10,9213260,9213260,5422680
2020-06-10T01:20,9201725,9201725,5444790
2020-06-10T01:30,9201725,9201725,5446120
2020-06-10T01:40,9202864,9202864,5434840
2020-06-10T01:50,9121227,9121227,5504170
2020-06-10T02:00,9121227,9121227,5504320
2020-06-10T02:10,9138545,9138545,5461120
2020-06-10T02:20,9182821,9182821,5435780
2020-06-10T02:30,9182821,9182821,5434440
2020-06-10T02:40,9161688,9161688,5461540
2020-06-10T02:50,9154746,9154746,5438180
2020-06-10T03:00,9154746,9154746,5433390
2020-06-10T03:10,9158180,9158180,5433300
2020-06-10T03:20,9183106,9183106,5438300
2020-06-10T03:30,9183106,9183106,5433180
2020-06-10T03:40,9175697,9175697,5430430
2020-06-10T03:50,9181799,9181799,5376180
2020-06-10T04:00,9181799,9181799,5399110
2020-06-10T04:10,9177500,9177500,5399650
2020-06-10T04:20,9200552,9200552,5400000
2020-06-10T04:30,9200552,9200552,5423580
2020-06-10T04:40,9195019,9195019,5420380
2020-06-10T04:50,9194949,9194949,5436310
2020-06-10T05:00,9194949,9194949,5436320
2020-06-10T05:10,9205901,9205901,5472710
2020-06-10T05:20,9184257,9184257,5531630
2020-06-10T05:30,9184257,9184257,5535710
2020-06-10T05:40,9209011,9209011,5668300
2020-06-10T05:50,9127755,9127755,5727060
2020-06-10T06:00,9127755,9127755,5692460
2020-06-10T06:10,9133819,9133819,5668880
2020-06-10T06:20,9148820,9148820,5638780
2020-06-10T06:30,9148820,9148820,5639500
2020-06-10T06:40,9129894,9129894,5603030
2020-06-10T06:50,9128334,9128334,5493170
2020-06-10T07:00,9128334,9128334,5479910
2020-06-10T07:10,9113006,9113006,5436710
2020-06-10T07:20,9097239,9097239,5349290
2020-06-10T07:30,9097239,9097239,5328520
2020-06-10T07:40,9060915,9060915,5343690
2020-06-10T07:50,9054486,9054486,5372820
2020-06-10T08:00,9054486,9054486,5377410
2020-06-10T08:10,9035624,9035624,5392530
2020-06-10T08:20,9037787,9037787,5400110
2020-06-10T08:30,9037787,9037787,5403780
2020-06-10T08:40,9022934,9022934,5381870
2020-06-10T08:50,9045110,9045110,5374770
2020-06-10T09:00,9045110,9045110,5400920
2020-06-10T09:10,9060977,9060977,5412750
2020-06-10T09:20,9116640,9116640,5393000
2020-06-10T09:30,9116640,9116640,5509210
2020-06-10T09:40,9171240,9171240,5526880
2020-06-10T09:50,9339138,9339138,5534270
2020-06-10T10:00,9339138,9339138,5543720
2020-06-10T10:10,9326251,9326251,5552560
2020-06-10T10:20,9347426,9347426,5589460
2020-06-10T10:30,9347426,9347426,5602180
2020-06-10T10:40,9347384,9347384,5612000
2020-06-10T10:50,9321345,9321345,5587850
2020-06-10T11:00,9321345,9321345,5576620
2020-06-10T11:10,9308793,9308793,5575200
2020-06-10T11:20,9292431,9292431,5548730
2020-06-10T11:30,9292431,9292431,5520510
2020-06-10T11:40,9279616,9279616,5519030
2020-06-10T11:50,9276036,9276036,5513910
2020-06-10T12:00,9276036,9276036,5521400
2020-06-10T12:10,9278958,9278958,5529780
2020-06-10T12:20,9250648,9250648,5530220
2020-06-10T12:30,9250648,9250648,5531660
2020-06-10T12:40,9257388,9257388,5534380
2020-06-10T12:50,9232257,9232257,5534890
2020-06-10T13:00,9232257,9232257,5513960
2020-06-10T13:10,9232754,9232754,5521570
2020-06-10T13:20,9207415,9207415,5485090
2020-06-10T13:30,9207415,9207415,5399830
2020-06-10T13:40,9106778,9106778,5377900
2020-06-10T13:50,9108911,9108911,5389370
2020-06-10T14:00,9108911,9108911,5268190
2020-06-10T14:10,9165680,9165680,5251310
2020-06-10T14:20,9192349,9192349,5233180
2020-06-10T14:30,9192349,9192349,5216070
2020-06-10T14:40,9221930,9221930,5259560
2020-06-10T14:50,9132784,9132784,5262010
2020-06-10T15:00,9132784,9132784,5249970
2020-06-10T15:10,9127199,9127199,5272400
2020-06-10T15:20,9120529,9120529,5266240
2020-06-10T15:30,9120529,9120529,5207520
2020-06-10T15:40,9104222,9104222,5155610
2020-06-10T15:50,9099234,9099234,5158670
2020-06-10T16:00,9099234,9099234,5157250
2020-06-10T16:10,9104136,9104136,5187820
2020-06-10T16:20,9129241,9129241,5208010
2020-06-10T16:30,9129241,9129241,5211640
2020-06-10T16:40,9076796,9076796,5222400
2020-06-10T16:50,9070148,9070148,5171690
2020-06-10T17:00,9070148,9070148,5158650
2020-06-10T17:10,9111283,9111283,5132800
2020-06-10T17:20,9106622,9106622,5145460
2020-06-10T17:30,9106622,9106622,5140140
2020-06-10T17:40,9080841,9080841,5138480
2020-06-10T17:50,9241587,9241587,5191940
2020-06-10T18:00,9241587,9241587,5232360
2020-06-10T18:10,9321322,9321322,5238160
2020-06-10T18:20,9400703,9400703,5208180
2020-06-10T18:30,9400703,9400703,5195050
2020-06-10T18:40,9477453,9477453,4941630
2020-06-10T18:50,9310192,9310192,4913590
2020-06-10T19:00,9310192,9310192,4692630
2020-06-10T19:10,9014238,9014238,4681600
2020-06-10T19:20,8961043,8961043,4683240
2020-06-10T19:30,8961043,8961043,4673340
2020-06-10T19:40,8923916,8923916,4667720
2020-06-10T19:50,8954938,8954938,4665080
2020-06-10T20:00,8954938,8954938,4666310
2020-06-10T20:10,8998099,8998099,4667190
2020-06-10T20:20,9099302,9099302,4682720
2020-06-10T20:30,9099302,9099302,4649060
2020-06-10T20:40,9145720,9145720,4649660
2020-06-10T20:50,9111823,9111823,4664110
2020-06-10T21:00,9111823,9111823,4668440
2020-06-10T21:10,9090951,9090951,4658380
2020-06-10T21:20,9044424,9044424,4652980
2020-06-10T21:30,9044424,9044424,4660460
2020-06-10T21:40,9050823,9050823,4664400
2020-06-10T21:50,9046242,9046242,4664850
2020-06-10T22:00,9046242,9046242,4672570
2020-06-10T22:10,9029262,9029262,4651150
2020-06-10T22:20,9054732,9054732,4648900
2020-06-10T22:30,9054732,9054732,4617060
2020-06-10T22:40,9006526,9006526,4596020
2020-06-10T22:50,9072333,9072333,4600660
2020-06-10T23:00,9072333,9072333,4608370
