date,Binance,Bitmex,Huobi,Okex
2020-06-05T19:10,176299,176299,176299,176299
2020-06-05T19:20,176299,176299,176299,176299
2020-06-05T19:30,176417,176417,176417,176417
2020-06-05T19:40,176941,176941,176941,176941
2020-06-05T19:50,176941,176941,176941,176941
2020-06-05T20:00,177469,177469,177469,177469
2020-06-05T20:10,177824,177824,177824,177824
2020-06-05T20:20,177824,177824,177824,177824
2020-06-05T20:30,178704,178704,178704,178704
2020-06-05T20:40,177807,177807,177807,177807
2020-06-05T20:50,177807,177807,177807,177807
2020-06-05T21:00,176920,176920,176920,176920
2020-06-05T21:10,177165,177165,177165,177165
2020-06-05T21:20,177165,177165,177165,177165
2020-06-05T21:30,178178,178178,178178,178178
2020-06-05T21:40,178261,178261,178261,178261
2020-06-05T21:50,178261,178261,178261,178261
2020-06-05T22:00,178843,178843,178843,178843
2020-06-05T22:10,179244,179244,179244,179244
2020-06-05T22:20,179244,179244,179244,179244
2020-06-05T22:30,180026,180026,180026,180026
2020-06-05T22:40,179888,179888,179888,179888
2020-06-05T22:50,179888,179888,179888,179888
2020-06-05T23:00,179474,179474,179474,179474
2020-06-05T23:10,179091,179091,179091,179091
2020-06-05T23:20,179091,179091,179091,179091
2020-06-05T23:30,176314,176314,176314,176314
2020-06-05T23:40,174525,174525,174525,174525
2020-06-05T23:50,174525,174525,174525,174525
2020-06-06T00:00,174927,174927,174927,174927
2020-06-06T00:10,176695,176695,176695,176695
2020-06-06T00:20,176695,176695,176695,176695
2020-06-06T00:30,174712,174712,174712,174712
2020-06-06T00:40,173764,173764,173764,173764
2020-06-06T00:50,173764,173764,173764,173764
2020-06-06T01:00,172895,172895,172895,172895
2020-06-06T01:10,174503,174503,174503,174503
2020-06-06T01:20,174503,174503,174503,174503
2020-06-06T01:30,175852,175852,175852,175852
2020-06-06T01:40,176649,176649,176649,176649
2020-06-06T01:50,176649,176649,176649,176649
2020-06-06T02:00,177077,177077,177077,177077
2020-06-06T02:10,178333,178333,178333,178333
2020-06-06T02:20,178333,178333,178333,178333
2020-06-06T02:30,178082,178082,178082,178082
2020-06-06T02:40,178471,178471,178471,178471
2020-06-06T02:50,178471,178471,178471,178471
