date,Binance,Bitmex,Huobi
2020-06-12T07:10,4078165,4078165,1245100
2020-06-12T07:20,4078165,4078165,1208550
2020-06-12T07:30,4097737,4097737,1208110
2020-06-12T07:40,4097737,4097737,1197940
2020-06-12T07:50,4125032,4125032,1209520
2020-06-12T08:00,4116887,4116887,1217480
2020-06-12T08:10,4116887,4116887,1210400
2020-06-12T08:20,4112427,4112427,1192610
2020-06-12T08:30,4074898,4074898,1201590
2020-06-12T08:40,4074898,4074898,1221050
2020-06-12T08:50,4078000,4078000,1235030
2020-06-12T09:00,4068148,4068148,1219730
2020-06-12T09:10,4068148,4068148,1229450
2020-06-12T09:20,4075389,4075389,1227170
2020-06-12T09:30,4064803,4064803,1218180
2020-06-12T09:40,4064803,4064803,1220400
2020-06-12T09:50,4059125,4059125,1221590
2020-06-12T10:00,4054175,4054175,1219110
2020-06-12T10:10,4054175,4054175,1228770
2020-06-12T10:20,4073862,4073862,1235660
2020-06-12T10:30,4037426,4037426,1228170
2020-06-12T10:40,4037426,4037426,1228960
2020-06-12T10:50,4062918,4062918,1225590
2020-06-12T11:00,4057186,4057186,1226660
2020-06-12T11:10,4057186,4057186,1230570
2020-06-12T11:20,4066481,4066481,1237600
2020-06-12T11:30,4037726,4037726,1245100
2020-06-12T11:40,4037726,4037726,1250680
2020-06-12T11:50,3972046,3972046,1248820
2020-06-12T12:00,3992289,3992289,1262170
2020-06-12T12:10,3992289,3992289,1264010
2020-06-12T12:20,4012877,4012877,1274090
2020-06-12T12:30,4030487,4030487,1282740
2020-06-12T12:40,4030487,4030487,1273150
2020-06-12T12:50,3985309,3985309,1276130
2020-06-12T13:00,3993872,3993872,1274930
2020-06-12T13:10,3993872,3993872,1266830
2020-06-12T13:20,4009847,4009847,1269360
2020-06-12T13:30,4082861,4082861,1253470
2020-06-12T13:40,4082861,4082861,1250310
2020-06-12T13:50,4118620,4118620,1252900
2020-06-12T14:00,4118605,4118605,1238160
2020-06-12T14:10,4118605,4118605,1229030
2020-06-12T14:20,3984757,3984757,1214320
2020-06-12T14:30,3984023,3984023,1233590
2020-06-12T14:40,3984023,3984023,1243910
2020-06-12T14:50,3944120,3944120,1263450
2020-06-12T15:00,3916967,3916967,1281340
2020-06-12T15:10,3916967,3916967,1284850
2020-06-12T15:20,3969983,3969983,1285230
2020-06-12T15:30,3974562,3974562,1262950
2020-06-12T15:40,3974562,3974562,1262750
2020-06-12T15:50,3944354,3944354,1281010
2020-06-12T16:00,3950130,3950130,1280510
2020-06-12T16:10,3950130,3950130,1265060
2020-06-12T16:20,3889013,3889013,1257650
2020-06-12T16:30,3876837,3876837,1258200
2020-06-12T16:40,3876837,3876837,1290530
2020-06-12T16:50,3865347,3865347,1248240
2020-06-12T17:00,3817563,3817563,1237500
2020-06-12T17:10,3817563,3817563,1240560
2020-06-12T17:20,3808040,3808040,1239370
2020-06-12T17:30,3813811,3813811,1235080
2020-06-12T17:40,3813811,3813811,1251910
2020-06-12T17:50,3765044,3765044,1252170
2020-06-12T18:00,3685099,3685099,1255270
2020-06-12T18:10,3685099,3685099,1325890
2020-06-12T18:20,3676372,3676372,1325620
2020-06-12T18:30,3702318,3702318,1325900
2020-06-12T18:40,3702318,3702318,1326340
2020-06-12T18:50,3705984,3705984,1324210
2020-06-12T19:00,3766466,3766466,1324250
2020-06-12T19:10,3766466,3766466,1324750
