date,Binance,Bitmex,Huobi
2020-06-09T19:10,343434791,343434791,343434791
2020-06-09T19:20,343434791,343434791,343434791
2020-06-09T19:30,344592161,344592161,344592161
2020-06-09T19:40,337594261,337594261,337594261
2020-06-09T19:50,337594261,337594261,337594261
2020-06-09T20:00,338985979,338985979,338985979
2020-06-09T20:10,339231707,339231707,339231707
2020-06-09T20:20,339231707,339231707,339231707
2020-06-09T20:30,339884803,339884803,339884803
2020-06-09T20:40,340520265,340520265,340520265
2020-06-09T20:50,340520265,340520265,340520265
2020-06-09T21:00,340457511,340457511,340457511
2020-06-09T21:10,339129369,339129369,339129369
2020-06-09T21:20,339129369,339129369,339129369
2020-06-09T21:30,336906556,336906556,336906556
2020-06-09T21:40,336924872,336924872,336924872
2020-06-09T21:50,336924872,336924872,336924872
2020-06-09T22:00,336781736,336781736,336781736
2020-06-09T22:10,328007746,328007746,328007746
2020-06-09T22:20,328007746,328007746,328007746
2020-06-09T22:30,327149354,327149354,327149354
2020-06-09T22:40,328810297,328810297,328810297
2020-06-09T22:50,328810297,328810297,328810297
2020-06-09T23:00,326841426,326841426,326841426
2020-06-09T23:10,327318146,327318146,327318146
2020-06-09T23:20,327318146,327318146,327318146
2020-06-09T23:30,327656375,327656375,327656375
2020-06-09T23:40,327694137,327694137,327694137
2020-06-09T23:50,327694137,327694137,327694137
2020-06-10T00:00,327170405,327170405,327170405
2020-06-10T00:10,325567958,325567958,325567958
2020-06-10T00:20,325567958,325567958,325567958
2020-06-10T00:30,324391219,324391219,324391219
2020-06-10T00:40,322781864,322781864,322781864
2020-06-10T00:50,322781864,322781864,322781864
2020-06-10T01:00,323620769,323620769,323620769
2020-06-10T01:10,323470300,323470300,323470300
2020-06-10T01:20,323470300,323470300,323470300
2020-06-10T01:30,322420037,322420037,322420037
2020-06-10T01:40,323129243,323129243,323129243
2020-06-10T01:50,323129243,323129243,323129243
2020-06-10T02:00,321867818,321867818,321867818
2020-06-10T02:10,322080519,322080519,322080519
2020-06-10T02:20,322080519,322080519,322080519
2020-06-10T02:30,322623206,322623206,322623206
2020-06-10T02:40,323262791,323262791,323262791
2020-06-10T02:50,323262791,323262791,323262791
2020-06-10T03:00,323614234,323614234,323614234
2020-06-10T03:10,324631547,324631547,324631547
2020-06-10T03:20,324631547,324631547,324631547
2020-06-10T03:30,324003370,324003370,324003370
2020-06-10T03:40,325285822,325285822,325285822
2020-06-10T03:50,325285822,325285822,325285822
2020-06-10T04:00,325796254,325796254,325796254
2020-06-10T04:10,325957046,325957046,325957046
2020-06-10T04:20,325957046,325957046,325957046
2020-06-10T04:30,326478122,326478122,326478122
2020-06-10T04:40,326110010,326110010,326110010
2020-06-10T04:50,326110010,326110010,326110010
2020-06-10T05:00,326037136,326037136,326037136
2020-06-10T05:10,325801813,325801813,325801813
2020-06-10T05:20,325801813,325801813,325801813
2020-06-10T05:30,325513309,325513309,325513309
2020-06-10T05:40,327696474,327696474,327696474
2020-06-10T05:50,327696474,327696474,327696474
2020-06-10T06:00,328778317,328778317,328778317
2020-06-10T06:10,329179127,329179127,329179127
2020-06-10T06:20,329179127,329179127,329179127
2020-06-10T06:30,330182991,330182991,330182991
2020-06-10T06:40,331663050,331663050,331663050
2020-06-10T06:50,331663050,331663050,331663050
2020-06-10T07:00,333727067,333727067,333727067
2020-06-10T07:10,336414989,336414989,336414989
2020-06-10T07:20,336414989,336414989,336414989
2020-06-10T07:30,333818677,333818677,333818677
2020-06-10T07:40,333579758,333579758,333579758
2020-06-10T07:50,333579758,333579758,333579758
2020-06-10T08:00,332212206,332212206,332212206
2020-06-10T08:10,331874131,331874131,331874131
2020-06-10T08:20,331874131,331874131,331874131
2020-06-10T08:30,329610015,329610015,329610015
2020-06-10T08:40,329921389,329921389,329921389
2020-06-10T08:50,329921389,329921389,329921389
2020-06-10T09:00,330749091,330749091,330749091
2020-06-10T09:10,330546421,330546421,330546421
2020-06-10T09:20,330546421,330546421,330546421
2020-06-10T09:30,331211152,331211152,331211152
2020-06-10T09:40,330983200,330983200,330983200
2020-06-10T09:50,330983200,330983200,330983200
2020-06-10T10:00,331695454,331695454,331695454
2020-06-10T10:10,335438564,335438564,335438564
2020-06-10T10:20,335438564,335438564,335438564
2020-06-10T10:30,337461276,337461276,337461276
2020-06-10T10:40,339010587,339010587,339010587
2020-06-10T10:50,339010587,339010587,339010587
2020-06-10T11:00,340304353,340304353,340304353
2020-06-10T11:10,336770922,336770922,336770922
2020-06-10T11:20,336770922,336770922,336770922
2020-06-10T11:30,333257969,333257969,333257969
2020-06-10T11:40,334477199,334477199,334477199
2020-06-10T11:50,334477199,334477199,334477199
2020-06-10T12:00,332942112,332942112,332942112
2020-06-10T12:10,334128855,334128855,334128855
2020-06-10T12:20,334128855,334128855,334128855
2020-06-10T12:30,334795697,334795697,334795697
2020-06-10T12:40,335623170,335623170,335623170
2020-06-10T12:50,335623170,335623170,335623170
2020-06-10T13:00,335904023,335904023,335904023
2020-06-10T13:10,336328462,336328462,336328462
2020-06-10T13:20,336328462,336328462,336328462
2020-06-10T13:30,336636106,336636106,336636106
2020-06-10T13:40,337943226,337943226,337943226
2020-06-10T13:50,337943226,337943226,337943226
2020-06-10T14:00,342141387,342141387,342141387
2020-06-10T14:10,345850694,345850694,345850694
2020-06-10T14:20,345850694,345850694,345850694
2020-06-10T14:30,344218136,344218136,344218136
2020-06-10T14:40,343041900,343041900,343041900
2020-06-10T14:50,343041900,343041900,343041900
2020-06-10T15:00,344553244,344553244,344553244
2020-06-10T15:10,343545588,343545588,343545588
2020-06-10T15:20,343545588,343545588,343545588
2020-06-10T15:30,343019071,343019071,343019071
2020-06-10T15:40,344342392,344342392,344342392
2020-06-10T15:50,344342392,344342392,344342392
2020-06-10T16:00,346264536,346264536,346264536
2020-06-10T16:10,346569747,346569747,346569747
2020-06-10T16:20,346569747,346569747,346569747
2020-06-10T16:30,346555683,346555683,346555683
2020-06-10T16:40,347861547,347861547,347861547
2020-06-10T16:50,347861547,347861547,347861547
2020-06-10T17:00,347839156,347839156,347839156
2020-06-10T17:10,347418481,347418481,347418481
2020-06-10T17:20,347418481,347418481,347418481
2020-06-10T17:30,348078900,348078900,348078900
2020-06-10T17:40,348083812,348083812,348083812
2020-06-10T17:50,348083812,348083812,348083812
2020-06-10T18:00,348067644,348067644,348067644
2020-06-10T18:10,348590896,348590896,348590896
2020-06-10T18:20,348590896,348590896,348590896
2020-06-10T18:30,346958895,346958895,346958895
2020-06-10T18:40,342378519,342378519,342378519
2020-06-10T18:50,342378519,342378519,342378519
2020-06-10T19:00,336843850,336843850,336843850
2020-06-10T19:10,334017405,334017405,334017405
2020-06-10T19:20,334017405,334017405,334017405
2020-06-10T19:30,333876263,333876263,333876263
2020-06-10T19:40,331793663,331793663,331793663
2020-06-10T19:50,331793663,331793663,331793663
2020-06-10T20:00,327138736,327138736,327138736
2020-06-10T20:10,325410303,325410303,325410303
2020-06-10T20:20,325410303,325410303,325410303
2020-06-10T20:30,326221812,326221812,326221812
2020-06-10T20:40,326626675,326626675,326626675
2020-06-10T20:50,326626675,326626675,326626675
2020-06-10T21:00,326634348,326634348,326634348
2020-06-10T21:10,328604506,328604506,328604506
2020-06-10T21:20,328604506,328604506,328604506
2020-06-10T21:30,329457360,329457360,329457360
2020-06-10T21:40,329579812,329579812,329579812
2020-06-10T21:50,329579812,329579812,329579812
2020-06-10T22:00,329970749,329970749,329970749
2020-06-10T22:10,329864841,329864841,329864841
2020-06-10T22:20,329864841,329864841,329864841
2020-06-10T22:30,331044388,331044388,331044388
2020-06-10T22:40,330398261,330398261,330398261
2020-06-10T22:50,330398261,330398261,330398261
2020-06-10T23:00,330347969,330347969,330347969
2020-06-10T23:10,331699549,331699549,331699549
2020-06-10T23:20,331699549,331699549,331699549
2020-06-10T23:30,331235865,331235865,331235865
2020-06-10T23:40,330010132,330010132,330010132
2020-06-10T23:50,330010132,330010132,330010132
2020-06-11T00:00,327169454,327169454,327169454
