date,Binance,Bitmex,Huobi
2020-06-09T19:10,5781209,5781209,1218580
2020-06-09T19:20,5781209,5781209,1216580
2020-06-09T19:30,5800691,5800691,1211670
2020-06-09T19:40,5682892,5682892,1199260
2020-06-09T19:50,5682892,5682892,1185610
2020-06-09T20:00,5706320,5706320,1183810
2020-06-09T20:10,5710456,5710456,1183580
2020-06-09T20:20,5710456,5710456,1183230
2020-06-09T20:30,5721450,5721450,1186310
2020-06-09T20:40,5732147,5732147,1187410
2020-06-09T20:50,5732147,5732147,1188690
2020-06-09T21:00,5731091,5731091,1195250
2020-06-09T21:10,5708734,5708734,1206220
2020-06-09T21:20,5708734,5708734,1207040
2020-06-09T21:30,5671316,5671316,1206140
2020-06-09T21:40,5671624,5671624,1204800
2020-06-09T21:50,5671624,5671624,1205080
2020-06-09T22:00,5669215,5669215,1198480
2020-06-09T22:10,5521518,5521518,1152550
2020-06-09T22:20,5521518,5521518,1152220
2020-06-09T22:30,5507068,5507068,1149730
2020-06-09T22:40,5535027,5535027,1137840
2020-06-09T22:50,5535027,5535027,1138250
2020-06-09T23:00,5501884,5501884,1138960
2020-06-09T23:10,5509909,5509909,1143240
2020-06-09T23:20,5509909,5509909,1151130
2020-06-09T23:30,5515603,5515603,1150090
2020-06-09T23:40,5516239,5516239,1147920
2020-06-09T23:50,5516239,5516239,1154870
2020-06-10T00:00,5507422,5507422,1154260
2020-06-10T00:10,5480448,5480448,1161410
2020-06-10T00:20,5480448,5480448,1155940
2020-06-10T00:30,5460639,5460639,1153830
2020-06-10T00:40,5433548,5433548,1167380
2020-06-10T00:50,5433548,5433548,1161410
2020-06-10T01:00,5447670,5447670,1197540
2020-06-10T01:10,5445137,5445137,1203400
2020-06-10T01:20,5445137,5445137,1218010
2020-06-10T01:30,5427457,5427457,1214770
2020-06-10T01:40,5439395,5439395,1213460
2020-06-10T01:50,5439395,5439395,1215840
2020-06-10T02:00,5418161,5418161,1196790
2020-06-10T02:10,5421742,5421742,1199660
2020-06-10T02:20,5421742,5421742,1202250
2020-06-10T02:30,5430877,5430877,1202120
2020-06-10T02:40,5441644,5441644,1202460
2020-06-10T02:50,5441644,5441644,1211200
2020-06-10T03:00,5447560,5447560,1209220
2020-06-10T03:10,5464684,5464684,1212300
2020-06-10T03:20,5464684,5464684,1210990
2020-06-10T03:30,5454110,5454110,1219130
2020-06-10T03:40,5475698,5475698,1233650
2020-06-10T03:50,5475698,5475698,1233960
2020-06-10T04:00,5484291,5484291,1231600
2020-06-10T04:10,5486997,5486997,1241120
2020-06-10T04:20,5486997,5486997,1232310
2020-06-10T04:30,5495769,5495769,1230880
2020-06-10T04:40,5489572,5489572,1239830
2020-06-10T04:50,5489572,5489572,1241030
2020-06-10T05:00,5488345,5488345,1246860
2020-06-10T05:10,5484384,5484384,1246470
2020-06-10T05:20,5484384,5484384,1215790
2020-06-10T05:30,5479528,5479528,1225960
2020-06-10T05:40,5516278,5516278,1226310
2020-06-10T05:50,5516278,5516278,1219660
2020-06-10T06:00,5534489,5534489,1213970
2020-06-10T06:10,5541236,5541236,1209440
2020-06-10T06:20,5541236,5541236,1209020
2020-06-10T06:30,5558135,5558135,1213560
2020-06-10T06:40,5583049,5583049,1214040
2020-06-10T06:50,5583049,5583049,1211050
2020-06-10T07:00,5617794,5617794,1203140
2020-06-10T07:10,5663041,5663041,1204590
2020-06-10T07:20,5663041,5663041,1192220
2020-06-10T07:30,5619336,5619336,1184980
2020-06-10T07:40,5615314,5615314,1172980
2020-06-10T07:50,5615314,5615314,1168840
2020-06-10T08:00,5592293,5592293,1168430
2020-06-10T08:10,5586602,5586602,1176560
2020-06-10T08:20,5586602,5586602,1189670
2020-06-10T08:30,5548490,5548490,1188630
2020-06-10T08:40,5553731,5553731,1191420
2020-06-10T08:50,5553731,5553731,1190110
2020-06-10T09:00,5567664,5567664,1187800
2020-06-10T09:10,5564252,5564252,1210330
2020-06-10T09:20,5564252,5564252,1212350
2020-06-10T09:30,5575442,5575442,1215120
2020-06-10T09:40,5571605,5571605,1196030
2020-06-10T09:50,5571605,5571605,1202040
2020-06-10T10:00,5583595,5583595,1229470
2020-06-10T10:10,5646604,5646604,1217190
2020-06-10T10:20,5646604,5646604,1217690
2020-06-10T10:30,5680654,5680654,1218630
2020-06-10T10:40,5706734,5706734,1219240
2020-06-10T10:50,5706734,5706734,1218700
2020-06-10T11:00,5728513,5728513,1218830
2020-06-10T11:10,5669033,5669033,1195250
2020-06-10T11:20,5669033,5669033,1184580
2020-06-10T11:30,5609897,5609897,1188030
2020-06-10T11:40,5630421,5630421,1192660
2020-06-10T11:50,5630421,5630421,1191120
2020-06-10T12:00,5604580,5604580,1196030
2020-06-10T12:10,5624557,5624557,1231290
2020-06-10T12:20,5624557,5624557,1191330
2020-06-10T12:30,5635783,5635783,1180680
2020-06-10T12:40,5649712,5649712,1178640
2020-06-10T12:50,5649712,5649712,1178440
2020-06-10T13:00,5654440,5654440,1167300
2020-06-10T13:10,5661584,5661584,1184460
2020-06-10T13:20,5661584,5661584,1185180
2020-06-10T13:30,5666763,5666763,1209360
2020-06-10T13:40,5688767,5688767,1176920
2020-06-10T13:50,5688767,5688767,1167090
2020-06-10T14:00,5759436,5759436,1179660
2020-06-10T14:10,5821877,5821877,1161040
2020-06-10T14:20,5821877,5821877,1159070
2020-06-10T14:30,5794395,5794395,1152240
2020-06-10T14:40,5774595,5774595,1171110
2020-06-10T14:50,5774595,5774595,1158540
2020-06-10T15:00,5800036,5800036,1158070
2020-06-10T15:10,5783074,5783074,1167220
2020-06-10T15:20,5783074,5783074,1166640
2020-06-10T15:30,5774211,5774211,1164370
2020-06-10T15:40,5796487,5796487,1163580
2020-06-10T15:50,5796487,5796487,1163600
2020-06-10T16:00,5828843,5828843,1155970
2020-06-10T16:10,5833981,5833981,1157130
2020-06-10T16:20,5833981,5833981,1153500
2020-06-10T16:30,5833744,5833744,1153160
2020-06-10T16:40,5855727,5855727,1153560
2020-06-10T16:50,5855727,5855727,1143930
2020-06-10T17:00,5855350,5855350,1137320
2020-06-10T17:10,5848268,5848268,1121520
2020-06-10T17:20,5848268,5848268,1121960
2020-06-10T17:30,5859385,5859385,1133530
2020-06-10T17:40,5859468,5859468,1133750
2020-06-10T17:50,5859468,5859468,1135890
2020-06-10T18:00,5859196,5859196,1127870
2020-06-10T18:10,5868004,5868004,1132470
2020-06-10T18:20,5868004,5868004,1138610
2020-06-10T18:30,5840532,5840532,1136520
2020-06-10T18:40,5763428,5763428,1120480
2020-06-10T18:50,5763428,5763428,1121710
2020-06-10T19:00,5670260,5670260,1093770
2020-06-10T19:10,5622681,5622681,1079600
2020-06-10T19:20,5622681,5622681,1081490
2020-06-10T19:30,5620305,5620305,1080710
2020-06-10T19:40,5585248,5585248,1082090
2020-06-10T19:50,5585248,5585248,1087440
2020-06-10T20:00,5506889,5506889,1088930
2020-06-10T20:10,5477794,5477794,1091070
2020-06-10T20:20,5477794,5477794,1087140
2020-06-10T20:30,5491454,5491454,1087430
2020-06-10T20:40,5498269,5498269,1096700
2020-06-10T20:50,5498269,5498269,1097950
2020-06-10T21:00,5498399,5498399,1100770
2020-06-10T21:10,5531563,5531563,1099300
2020-06-10T21:20,5531563,5531563,1100060
2020-06-10T21:30,5545920,5545920,1105750
2020-06-10T21:40,5547981,5547981,1114940
2020-06-10T21:50,5547981,5547981,1122010
2020-06-10T22:00,5554562,5554562,1125510
2020-06-10T22:10,5552779,5552779,1122470
2020-06-10T22:20,5552779,5552779,1120950
2020-06-10T22:30,5572635,5572635,1119220
2020-06-10T22:40,5561758,5561758,1120740
2020-06-10T22:50,5561758,5561758,1122300
2020-06-10T23:00,5560912,5560912,1126030
2020-06-10T23:10,5583664,5583664,1124810
2020-06-10T23:20,5583664,5583664,1124550
2020-06-10T23:30,5575858,5575858,1123590
2020-06-10T23:40,5555225,5555225,1124040
2020-06-10T23:50,5555225,5555225,1133740
2020-06-11T00:00,5507406,5507406,1132140
2020-06-11T00:10,5522290,5522290,1132370
2020-06-11T00:20,5522290,5522290,1135380
2020-06-11T00:30,5516819,5516819,1137620
2020-06-11T00:40,5520982,5520982,1148370
2020-06-11T00:50,5520982,5520982,1148650
2020-06-11T01:00,5521010,5521010,1134580
2020-06-11T01:10,5533820,5533820,1144430
2020-06-11T01:20,5533820,5533820,1144920
2020-06-11T01:30,5524232,5524232,1159900
2020-06-11T01:40,5471760,5471760,1152630
2020-06-11T01:50,5471760,5471760,1151520
2020-06-11T02:00,5485110,5485110,1142700
2020-06-11T02:10,5464463,5464463,1135670
2020-06-11T02:20,5464463,5464463,1131500
2020-06-11T02:30,5450454,5450454,1126450
2020-06-11T02:40,5431595,5431595,1130900
2020-06-11T02:50,5431595,5431595,1123940
2020-06-11T03:00,5429051,5429051,1126210
2020-06-11T03:10,5456177,5456177,1148500
2020-06-11T03:20,5456177,5456177,1143960
2020-06-11T03:30,5470210,5470210,1143610
2020-06-11T03:40,5432356,5432356,1140620
2020-06-11T03:50,5432356,5432356,1138400
2020-06-11T04:00,5471984,5471984,1137520
2020-06-11T04:10,5485763,5485763,1135730
2020-06-11T04:20,5485763,5485763,1109710
2020-06-11T04:30,5496578,5496578,1105050
2020-06-11T04:40,5495680,5495680,1105340
2020-06-11T04:50,5495680,5495680,1105120
2020-06-11T05:00,5503970,5503970,1104790
2020-06-11T05:10,5502382,5502382,1104790
2020-06-11T05:20,5502382,5502382,1105280
2020-06-11T05:30,5507909,5507909,1102770
2020-06-11T05:40,5512980,5512980,1101440
2020-06-11T05:50,5512980,5512980,1099910
2020-06-11T06:00,5497516,5497516,1134340
2020-06-11T06:10,5416404,5416404,1145530
2020-06-11T06:20,5416404,5416404,1146480
2020-06-11T06:30,5438205,5438205,1244190
2020-06-11T06:40,5443309,5443309,1188240
2020-06-11T06:50,5443309,5443309,1191320
2020-06-11T07:00,5442066,5442066,1194230
2020-06-11T07:10,5436620,5436620,1193930
2020-06-11T07:20,5436620,5436620,1194270
2020-06-11T07:30,5448867,5448867,1171770
2020-06-11T07:40,5436194,5436194,1236270
2020-06-11T07:50,5436194,5436194,1235080
2020-06-11T08:00,5453089,5453089,1235080
2020-06-11T08:10,5422535,5422535,1238120
2020-06-11T08:20,5422535,5422535,1237800
2020-06-11T08:30,5405024,5405024,1236520
2020-06-11T08:40,5403027,5403027,1225660
2020-06-11T08:50,5403027,5403027,1226270
2020-06-11T09:00,5402701,5402701,1228890
2020-06-11T09:10,5411614,5411614,1230840
2020-06-11T09:20,5411614,5411614,1271400
2020-06-11T09:30,5437107,5437107,1273810
2020-06-11T09:40,5422691,5422691,1270650
2020-06-11T09:50,5422691,5422691,1266830
2020-06-11T10:00,5428132,5428132,1283420
2020-06-11T10:10,5436322,5436322,1264010
2020-06-11T10:20,5436322,5436322,1264660
2020-06-11T10:30,5432062,5432062,1261940
2020-06-11T10:40,5432812,5432812,1273060
2020-06-11T10:50,5432812,5432812,1274870
2020-06-11T11:00,5442694,5442694,1275440
2020-06-11T11:10,5442694,5442694,1276920
2020-06-11T11:20,5440118,5440118,1277210
2020-06-11T11:30,5437270,5437270,1281970
2020-06-11T11:40,5425445,5425445,1296780
2020-06-11T11:50,5425445,5425445,1301930
2020-06-11T12:00,5450570,5450570,1309550
2020-06-11T12:10,5424927,5424927,1310550
2020-06-11T12:20,5424927,5424927,1309670
2020-06-11T12:30,5404658,5404658,1321250
2020-06-11T12:40,5383045,5383045,1269420
2020-06-11T12:50,5383045,5383045,1309680
2020-06-11T13:00,5374678,5374678,1326840
2020-06-11T13:10,5143467,5143467,1306610
2020-06-11T13:20,5143467,5143467,1291260
2020-06-11T13:30,5115831,5115831,1324290
2020-06-11T13:40,5051197,5051197,1320620
2020-06-11T13:50,5051197,5051197,1346260
2020-06-11T14:00,5079671,5079671,1355710
2020-06-11T14:10,5095689,5095689,1366550
2020-06-11T14:20,5095689,5095689,1365520
2020-06-11T14:30,5073445,5073445,1362210
2020-06-11T14:40,5073445,5073445,1353530
2020-06-11T14:50,5044876,5044876,1355810
