date,Binance,Bitmex,Huobi
2020-06-12T07:10,47242974,47242974,47242974
2020-06-12T07:20,47242974,47242974,47242974
2020-06-12T07:30,47146417,47146417,47146417
2020-06-12T07:40,47146417,47146417,47146417
2020-06-12T07:50,47121376,47121376,47121376
2020-06-12T08:00,47352894,47352894,47352894
2020-06-12T08:10,47352894,47352894,47352894
2020-06-12T08:20,47604703,47604703,47604703
2020-06-12T08:30,47912788,47912788,47912788
2020-06-12T08:40,47912788,47912788,47912788
2020-06-12T08:50,48061791,48061791,48061791
2020-06-12T09:00,47997642,47997642,47997642
2020-06-12T09:10,47997642,47997642,47997642
2020-06-12T09:20,48034215,48034215,48034215
2020-06-12T09:30,48125893,48125893,48125893
2020-06-12T09:40,48125893,48125893,48125893
2020-06-12T09:50,48221947,48221947,48221947
2020-06-12T10:00,48158179,48158179,48158179
2020-06-12T10:10,48158179,48158179,48158179
2020-06-12T10:20,48020252,48020252,48020252
2020-06-12T10:30,47923076,47923076,47923076
2020-06-12T10:40,47923076,47923076,47923076
2020-06-12T10:50,47984418,47984418,47984418
2020-06-12T11:00,47972927,47972927,47972927
2020-06-12T11:10,47972927,47972927,47972927
2020-06-12T11:20,47891861,47891861,47891861
2020-06-12T11:30,47490043,47490043,47490043
2020-06-12T11:40,47490043,47490043,47490043
2020-06-12T11:50,47660738,47660738,47660738
2020-06-12T12:00,47754591,47754591,47754591
2020-06-12T12:10,47754591,47754591,47754591
2020-06-12T12:20,48168644,48168644,48168644
2020-06-12T12:30,47482241,47482241,47482241
2020-06-12T12:40,47482241,47482241,47482241
2020-06-12T12:50,47648294,47648294,47648294
2020-06-12T13:00,47517659,47517659,47517659
2020-06-12T13:10,47517659,47517659,47517659
2020-06-12T13:20,47553447,47553447,47553447
2020-06-12T13:30,47884156,47884156,47884156
2020-06-12T13:40,47884156,47884156,47884156
2020-06-12T13:50,49018118,49018118,49018118
2020-06-12T14:00,49322531,49322531,49322531
2020-06-12T14:10,49322531,49322531,49322531
2020-06-12T14:20,48892690,48892690,48892690
2020-06-12T14:30,48875116,48875116,48875116
2020-06-12T14:40,48875116,48875116,48875116
2020-06-12T14:50,49912078,49912078,49912078
2020-06-12T15:00,48895784,48895784,48895784
2020-06-12T15:10,48895784,48895784,48895784
2020-06-12T15:20,49934082,49934082,49934082
2020-06-12T15:30,49915891,49915891,49915891
2020-06-12T15:40,49915891,49915891,49915891
2020-06-12T15:50,49923765,49923765,49923765
2020-06-12T16:00,50122529,50122529,50122529
2020-06-12T16:10,50122529,50122529,50122529
2020-06-12T16:20,50779632,50779632,50779632
2020-06-12T16:30,50747263,50747263,50747263
2020-06-12T16:40,50747263,50747263,50747263
2020-06-12T16:50,50338772,50338772,50338772
2020-06-12T17:00,50401344,50401344,50401344
2020-06-12T17:10,50401344,50401344,50401344
2020-06-12T17:20,50551276,50551276,50551276
2020-06-12T17:30,50504988,50504988,50504988
2020-06-12T17:40,50504988,50504988,50504988
2020-06-12T17:50,50434971,50434971,50434971
2020-06-12T18:00,50419918,50419918,50419918
2020-06-12T18:10,50419918,50419918,50419918
2020-06-12T18:20,50373631,50373631,50373631
2020-06-12T18:30,50312621,50312621,50312621
2020-06-12T18:40,50312621,50312621,50312621
2020-06-12T18:50,50168353,50168353,50168353
2020-06-12T19:00,50330712,50330712,50330712
2020-06-12T19:10,50330712,50330712,50330712
2020-06-12T07:10,62352193,62352193,62352193
2020-06-12T07:20,62205286,62205286,62205286
2020-06-12T07:30,47146417,47146417,47146417
2020-06-12T07:40,47146417,47146417,47146417
2020-06-12T07:50,47121376,47121376,47121376
2020-06-12T08:00,47352894,47352894,47352894
2020-06-12T08:10,47352894,47352894,47352894
2020-06-12T08:20,47604703,47604703,47604703
2020-06-12T08:30,47912788,47912788,47912788
2020-06-12T08:40,47912788,47912788,47912788
2020-06-12T08:50,48061791,48061791,48061791
2020-06-12T09:00,47997642,47997642,47997642
2020-06-12T09:10,47997642,47997642,47997642
2020-06-12T09:20,48034215,48034215,48034215
2020-06-12T09:30,48125893,48125893,48125893
2020-06-12T09:40,48125893,48125893,48125893
2020-06-12T09:50,48221947,48221947,48221947
2020-06-12T10:00,48158179,48158179,48158179
2020-06-12T10:10,60324149,60324149,60324149
2020-06-12T10:20,60416166,60416166,60416166
2020-06-12T10:30,60509906,60509906,60509906
2020-06-12T10:40,60450218,60450218,60450218
2020-06-12T10:50,60387729,60387729,60387729
2020-06-12T11:00,47972927,47972927,47972927
2020-06-12T11:10,47972927,47972927,47972927
2020-06-12T11:20,47891861,47891861,47891861
2020-06-12T11:30,47490043,47490043,47490043
2020-06-12T11:40,47490043,47490043,47490043
2020-06-12T11:50,47660738,47660738,47660738
