date,Binance,Bitmex,Huobi
2020-06-09T19:10,10006034,10006034,3174100
2020-06-09T19:20,10006034,10006034,3174100
2020-06-09T19:30,9983271,9983271,3197520
2020-06-09T19:40,10053065,10053065,3218010
2020-06-09T19:50,10053065,10053065,3237540
2020-06-09T20:00,10183540,10183540,3230380
2020-06-09T20:10,10162344,10162344,3246780
2020-06-09T20:20,10162344,20358612,3255520
2020-06-09T20:30,10270848,20338471,3282530
2020-06-09T20:40,10312631,12372408,3305570
2020-06-09T20:50,10312631,12371956,3311230
2020-06-09T21:00,10286438,12361050,3296230
2020-06-09T21:10,10308549,12361050,3296230
2020-06-09T21:20,10308549,12319710,3300560
2020-06-09T21:30,10175390,12320750,3304690
2020-06-09T21:40,10095814,12318750,3314390
2020-06-09T21:50,10095814,12321638,3315130
2020-06-09T22:00,10103841,12293872,3297210
2020-06-09T22:10,10016577,12381142,3255120
2020-06-09T22:20,10016577,12298776,3257200
2020-06-09T22:30,9989465,12261882,3262390
2020-06-09T22:40,9976647,9976647,3280630
2020-06-09T22:50,9976647,9976647,3274740
2020-06-09T23:00,10035882,10035882,3292990
2020-06-09T23:10,9992345,12169870,3316150
2020-06-09T23:20,9992345,12170128,3315850
2020-06-09T23:30,10015297,12182084,3306570
2020-06-09T23:40,10051132,12183284,3311020
2020-06-09T23:50,10051132,12198962,3314660
2020-06-10T00:00,10023555,12225600,3346240
2020-06-10T00:10,10054987,10054987,3371410
2020-06-10T00:20,10054987,10054987,3404050
2020-06-10T00:30,10069497,10069497,3381650
2020-06-10T00:40,10089291,10089291,3365540
2020-06-10T00:50,10089291,20886377,3357200
2020-06-10T01:00,10070943,20887927,3351710
2020-06-10T01:10,10010352,20895151,3335650
2020-06-10T01:20,10010352,20884849,3358390
2020-06-10T01:30,9983119,21034858,3343030
2020-06-10T01:40,9982084,21054987,3278880
2020-06-10T01:50,9982084,21014176,3242000
2020-06-10T02:00,9979187,12164504,3245190
2020-06-10T02:10,10004524,12150320,3274730
2020-06-10T02:20,10004524,12147064,3307630
2020-06-10T02:30,10071495,12147064,3324130
2020-06-10T02:40,10110005,12125258,3365670
2020-06-10T02:50,10110005,10110005,3371470
2020-06-10T03:00,10098765,10098765,3371470
2020-06-10T03:10,10101319,21035158,3369480
2020-06-10T03:20,10101319,21020318,3389120
2020-06-10T03:30,10109538,21042390,3421050
2020-06-10T03:40,10125315,21026495,3405150
2020-06-10T03:50,10125315,10125315,3405160
2020-06-10T04:00,10124903,10124903,3404930
2020-06-10T04:10,10182057,10182057,3383120
2020-06-10T04:20,10182057,10182057,3339610
2020-06-10T04:30,10173029,10173029,3322830
2020-06-10T04:40,10177182,12166170,3323170
2020-06-10T04:50,10177182,12173048,3302170
2020-06-10T05:00,10174885,12176886,3311930
2020-06-10T05:10,10147628,12181296,3257720
2020-06-10T05:20,10147628,12083812,3183930
2020-06-10T05:30,10140304,20821771,3233330
2020-06-10T05:40,10086376,20834250,3194220
2020-06-10T05:50,10086376,20835591,3164220
2020-06-10T06:00,10333812,20802139,3179140
2020-06-10T06:10,10339623,20756118,3165370
