date,Binance,Bitmex,Huobi,Okex
2020-06-05T19:10,10024960,11732354,2938580,4524240
2020-06-05T19:20,10024960,11729356,2935680,4524130
2020-06-05T19:30,10095813,11727124,2933730,4530720
2020-06-05T19:40,10095813,11722702,2927830,4540190
2020-06-05T19:50,10088228,11771376,2924900,4539570
2020-06-05T20:00,10031266,11729552,2925680,4537760
2020-06-05T20:10,10031266,19439678,2925840,4537450
2020-06-05T20:20,10016243,19439675,2894190,4535310
2020-06-05T20:30,10016614,19455792,2908100,4541570
2020-06-05T20:40,10016614,19402175,2943680,4540330
2020-06-05T20:50,9982644,19338993,2946350,4539830
2020-06-05T21:00,9927131,11846146,2945550,4529940
2020-06-05T21:10,9927131,11846982,2942640,4530540
2020-06-05T21:20,9891648,11845692,2928270,4531050
2020-06-05T21:30,9872672,9872672,2927140,4534940
2020-06-05T21:40,9872672,9872672,2929980,4534170
2020-06-05T21:50,9929808,9929808,2933120,4531780
2020-06-05T22:00,9963791,9963791,2935150,4537650
2020-06-05T22:10,9963791,9963791,2940950,4539960
2020-06-05T22:20,9976552,9976552,2925570,4540490
2020-06-05T22:30,10001780,10001780,2941320,4541320
2020-06-05T22:40,10001780,19365031,2937760,4541340
2020-06-05T22:50,10018099,19357551,2943190,4542390
2020-06-05T23:00,10069782,19334140,2962970,4539930
2020-06-05T23:10,10069782,19330674,2964140,4542550
2020-06-05T23:20,10058388,19307499,3017480,4554330
2020-06-05T23:30,10131582,19260039,3033670,4531210
2020-06-05T23:40,10131582,19260418,3009970,4531150
2020-06-05T23:50,10117193,19226059,2990940,4527980
2020-06-06T00:00,10099602,11906888,3061950,4551450
2020-06-06T00:10,10099602,11816288,3131560,4558360
2020-06-06T00:20,10018981,11831560,3066150,4585220
2020-06-06T00:30,9563134,11832030,3079900,4617870
2020-06-06T00:40,9563134,11852396,3132910,4630330
2020-06-06T00:50,9441327,19320921,3098580,4635440
2020-06-06T01:00,9390436,19305595,2958460,4629290
2020-06-06T01:10,9390436,19382528,2949340,4630230
2020-06-06T01:20,9450605,19367630,2922720,4630620
2020-06-06T01:30,9491366,19369735,2922260,4633580
2020-06-06T01:40,9491366,19373070,2991260,4634300
2020-06-06T01:50,9508691,9508691,2968790,4636910
2020-06-06T02:00,9535653,9535653,3008580,4641470
2020-06-06T02:10,9535653,9535653,3029540,4651520
2020-06-06T02:20,9540884,9540884,3022370,4652240
2020-06-06T02:30,9533085,9533085,3058280,4651910
2020-06-06T02:40,9533085,9533085,3046140,4651430
2020-06-06T02:50,9524356,11592114,3041350,4652470
2020-06-06T03:00,9510140,11602870,3087230,4651770
2020-06-06T03:10,9510140,11602814,3051520,4656800
2020-06-06T03:20,9468141,19469127,3052960,4657710
2020-06-06T03:30,9434492,19475633,3059970,4657180
2020-06-06T03:40,9434492,19483173,3054420,4668710
2020-06-06T03:50,9402274,19480713,3038400,4668580
2020-06-06T04:00,9381353,19661268,3007040,4672650
2020-06-06T04:10,9381353,19664113,3040630,4672060
2020-06-06T04:20,9375304,19665647,3033490,4673220
2020-06-06T04:30,9400797,19693421,3050000,4672930
2020-06-06T04:40,9400797,19696945,3025980,4672320
2020-06-06T04:50,9413294,19696945,3009860,4671230
2020-06-06T05:00,9430390,19720564,3033610,4671080
2020-06-06T05:10,9430390,19701744,3037010,4657390
2020-06-06T05:20,9376570,9376570,3050610,4658860
2020-06-06T05:30,9391823,9391823,3042260,4657450
2020-06-06T05:40,9391823,11731044,3034430,4658280
2020-06-06T05:50,9391707,11730982,3013540,4659410
2020-06-06T06:00,9485397,9485397,2985170,4648150
2020-06-06T06:10,9485397,9485397,2985330,4647490
2020-06-06T06:20,9553321,9553321,2959530,4642650
2020-06-06T06:30,9501754,9501754,2959920,4645270
2020-06-06T06:40,9501754,9501754,2965290,4644720
2020-06-06T06:50,9512077,9512077,3047370,4638870
2020-06-06T07:00,9504449,9504449,3047370,4637570
