date,value
2020-06-10T15:39:22,42589342
2020-06-10T15:40:23,42616554
2020-06-10T15:41:23,42613117
2020-06-10T15:42:24,42618525
2020-06-10T15:43:24,42596997
2020-06-10T15:44:24,42596995
2020-06-10T15:45:25,42596995
2020-06-10T15:46:25,42596995
2020-06-10T15:47:26,42596995
2020-06-10T15:48:26,42596995
2020-06-10T15:49:26,42596995
2020-06-10T15:50:27,42596995
2020-06-10T15:51:27,42596995
2020-06-10T15:52:28,42596995
2020-06-10T15:53:28,42596995
2020-06-10T15:54:28,42596995
2020-06-10T15:55:29,42593495
2020-06-10T15:56:29,42593495
2020-06-10T15:57:30,42593495
2020-06-10T15:58:30,42593495
2020-06-10T15:59:31,42593495
2020-06-10T16:00:31,42594495
2020-06-10T16:01:31,42594995
2020-06-10T16:02:32,42594995
2020-06-10T16:03:32,42594995
2020-06-10T16:04:33,42594995
2020-06-10T16:05:33,42594995
2020-06-10T16:06:34,42605395
2020-06-10T16:07:34,42565395
2020-06-10T16:08:34,42565395
2020-06-10T16:09:35,42565395
2020-06-10T16:10:35,42566395
2020-06-10T16:11:36,42566395
2020-06-10T16:12:36,42566395
2020-06-10T16:13:37,42566395
2020-06-10T16:14:37,42566395
2020-06-10T16:15:37,42566395
2020-06-10T16:16:38,42566395
2020-06-10T16:17:38,42566395
2020-06-10T16:18:39,42566395
2020-06-10T16:19:39,42566395
2020-06-10T16:20:39,42566695
2020-06-10T16:21:40,42566995
2020-06-10T16:22:40,42606995
2020-06-10T16:23:41,42606995
2020-06-10T16:24:41,42606995
2020-06-10T16:25:42,42606995
2020-06-10T16:26:42,42606995
2020-06-10T16:27:42,42606995
2020-06-10T16:28:43,42606995
2020-06-10T16:29:43,42606995
2020-06-10T16:30:44,42606995
2020-06-10T16:31:44,42606995
2020-06-10T16:32:44,42606995
2020-06-10T16:33:45,42604195
2020-06-10T16:34:45,42604195
2020-06-10T16:35:46,42604195
2020-06-10T16:36:46,42617008
2020-06-10T16:37:47,42831369
2020-06-10T16:38:47,42839369
2020-06-10T16:39:47,42839369
2020-06-10T16:40:48,42839369
2020-06-10T16:41:48,42658199
2020-06-10T16:42:49,42658199
2020-06-10T16:43:49,42525573
2020-06-10T16:44:49,42525573
2020-06-10T16:45:50,42525573
2020-06-10T16:46:50,42525573
2020-06-10T16:47:51,42525573
2020-06-10T16:48:51,42525573
2020-06-10T16:49:51,42525573
2020-06-10T16:50:52,42525573
2020-06-10T16:51:52,42525573
2020-06-10T16:52:53,42525573
2020-06-10T16:53:53,42525573
2020-06-10T16:54:53,42525573
2020-06-10T16:55:54,42525573
2020-06-10T16:56:54,42525573
2020-06-10T16:57:55,42525573
2020-06-10T16:58:55,42525573
2020-06-10T16:59:56,42525573
2020-06-10T17:00:56,42525573
2020-06-10T17:01:56,42525573
2020-06-10T17:02:57,42525573
2020-06-10T17:03:57,42525573
2020-06-10T17:04:58,42525573
2020-06-10T17:05:58,42525573
2020-06-10T17:06:58,42525573
2020-06-10T17:07:59,42525573
2020-06-10T17:08:59,42525573
2020-06-10T17:10:00,42525573
2020-06-10T17:11:00,42525623
2020-06-10T17:12:01,42525623
2020-06-10T17:13:01,42525623
2020-06-10T17:14:01,42525623
2020-06-10T17:15:02,42525623
2020-06-10T17:16:02,42525623
2020-06-10T17:17:03,42525623
2020-06-10T17:18:03,42540623
2020-06-10T17:19:04,42540623
2020-06-10T17:20:04,42540623
2020-06-10T17:21:04,42540623
2020-06-10T17:22:05,42540623
2020-06-10T17:23:05,42540623
2020-06-10T17:24:06,42580623
2020-06-10T17:25:06,42584373
2020-06-10T17:26:06,42585373
2020-06-10T17:27:07,42585763
2020-06-10T17:28:07,42585943
2020-06-10T17:29:08,42671624
2020-06-10T17:30:08,42675624
2020-06-10T17:31:09,42675824
2020-06-10T17:32:09,42675824
2020-06-10T17:33:09,42675824
2020-06-10T17:34:10,42675824
2020-06-10T17:35:10,42675824
2020-06-10T17:36:11,42675824
2020-06-10T17:37:11,42675824
2020-06-10T17:38:11,42675824
2020-06-10T17:39:12,42675824
2020-06-10T17:40:12,42675824
2020-06-10T17:41:13,42675824
2020-06-10T17:42:13,42675824
2020-06-10T17:43:13,42675824
2020-06-10T17:44:14,42676724
2020-06-10T17:45:14,42679124
2020-06-10T17:46:15,42679124
2020-06-10T17:47:15,42679174
2020-06-10T17:48:16,42679174
2020-06-10T17:49:16,42679174
2020-06-10T17:50:16,42679174
2020-06-10T17:51:17,42679174
2020-06-10T17:52:17,42679174
2020-06-10T17:53:17,42678774
2020-06-10T17:54:18,42678774
2020-06-10T17:55:18,42240974
2020-06-10T17:56:19,42240974
2020-06-10T17:57:19,42240974
2020-06-10T17:58:20,42240974
2020-06-10T17:59:20,42240974
2020-06-10T18:00:21,42240974
2020-06-10T18:01:21,42240974
2020-06-10T18:02:21,42237224
2020-06-10T18:03:22,42237224
2020-06-10T18:04:22,42237224
2020-06-10T18:05:23,42237224
2020-06-10T18:06:23,42237224
2020-06-10T18:07:24,42237224
2020-06-10T18:08:24,42237224
2020-06-10T18:09:24,42237224
2020-06-10T18:10:25,42237224
2020-06-10T18:11:25,42237224
2020-06-10T18:12:26,42237224
2020-06-10T18:13:26,42237224
2020-06-10T18:14:26,42237224
2020-06-10T18:15:27,42237224
2020-06-10T18:16:27,42237224
2020-06-10T18:17:28,42236324
2020-06-10T18:18:28,42236324
2020-06-10T18:19:29,42236324
2020-06-10T18:20:29,42236224
2020-06-10T18:21:30,42236224
2020-06-10T18:22:30,42236224
2020-06-10T18:23:31,42236224
2020-06-10T18:24:31,42236224
2020-06-10T18:25:31,42236224
2020-06-10T18:26:32,42236224
2020-06-10T18:27:32,42238224
2020-06-10T18:28:33,42239624
2020-06-10T18:29:33,42239624
2020-06-10T18:30:34,42239624
2020-06-10T18:31:34,42239624
2020-06-10T18:32:34,42189624
2020-06-10T18:33:35,42189624
2020-06-10T18:34:35,42189624
2020-06-10T18:35:36,42211826
2020-06-10T18:36:37,42275405
2020-06-10T18:37:37,41787482
2020-06-10T18:38:38,41867438
2020-06-10T18:39:38,41758419
2020-06-10T18:40:39,41639568
2020-06-10T18:41:40,41638635
2020-06-10T18:42:40,41638635
