date,value
2020-06-10T15:39:22,40178293
2020-06-10T15:40:23,40178293
2020-06-10T15:41:23,40159669
2020-06-10T15:42:24,40159669
2020-06-10T15:43:24,40158569
2020-06-10T15:44:24,40158568
2020-06-10T15:45:25,40169056
2020-06-10T15:46:25,40169212
2020-06-10T15:47:26,40169212
2020-06-10T15:48:26,40174254
2020-06-10T15:49:26,40174312
2020-06-10T15:50:27,40174654
2020-06-10T15:51:27,40179543
2020-06-10T15:52:28,40179543
2020-06-10T15:53:28,40178543
2020-06-10T15:54:28,40180587
2020-06-10T15:55:29,40180637
2020-06-10T15:56:29,40182711
2020-06-10T15:57:30,40182810
2020-06-10T15:58:30,40181710
2020-06-10T15:59:31,40182893
2020-06-10T16:00:31,40182886
2020-06-10T16:01:31,40183427
2020-06-10T16:02:32,40183296
2020-06-10T16:03:32,40140665
2020-06-10T16:04:33,40137818
2020-06-10T16:05:33,40136409
2020-06-10T16:06:34,40136493
2020-06-10T16:07:34,40134625
2020-06-10T16:08:34,40133649
2020-06-10T16:09:35,40129024
2020-06-10T16:10:35,40099523
2020-06-10T16:11:36,40099623
2020-06-10T16:12:36,40099766
2020-06-10T16:13:37,40078408
2020-06-10T16:14:37,40073805
2020-06-10T16:15:37,40074135
2020-06-10T16:16:38,40074931
2020-06-10T16:17:38,40073833
2020-06-10T16:18:39,40081042
2020-06-10T16:19:39,40081041
2020-06-10T16:20:39,40077008
2020-06-10T16:21:40,40077008
2020-06-10T16:22:40,40077008
2020-06-10T16:23:41,40078208
2020-06-10T16:24:41,40078304
2020-06-10T16:25:42,40091158
2020-06-10T16:26:42,40093181
2020-06-10T16:27:42,40093181
2020-06-10T16:28:43,40098961
2020-06-10T16:29:43,40074558
2020-06-10T16:30:44,40084467
2020-06-10T16:31:44,40084467
2020-06-10T16:32:44,40086012
2020-06-10T16:33:45,40086060
2020-06-10T16:34:45,40086553
2020-06-10T16:35:46,40086552
2020-06-10T16:36:46,40086552
2020-06-10T16:37:47,40086148
2020-06-10T16:38:47,40087148
2020-06-10T16:39:47,40087729
2020-06-10T16:40:48,40087924
2020-06-10T16:41:48,40089772
2020-06-10T16:42:49,40089772
2020-06-10T16:43:49,40089772
2020-06-10T16:44:49,40087234
2020-06-10T16:45:50,40100004
2020-06-10T16:46:50,40095640
2020-06-10T16:47:51,40099326
2020-06-10T16:48:51,40097490
2020-06-10T16:49:51,40098509
2020-06-10T16:50:52,40098508
2020-06-10T16:51:52,40098131
2020-06-10T16:52:53,40096881
2020-06-10T16:53:53,40096043
2020-06-10T16:54:53,40094814
2020-06-10T16:55:54,40094014
2020-06-10T16:56:54,40092664
