date,value
2020-06-10T03:39:13,71752568
2020-06-10T03:40:14,71752568
2020-06-10T03:41:14,71743219
2020-06-10T03:42:14,71741117
2020-06-10T03:43:15,71740116
2020-06-10T03:44:15,71740116
2020-06-10T03:45:16,71740016
2020-06-10T03:46:16,71740016
2020-06-10T03:47:16,71740015
2020-06-10T03:48:17,71740015
2020-06-10T03:49:17,71740015
2020-06-10T03:50:18,71740075
2020-06-10T03:51:18,71739643
2020-06-10T03:52:19,71739641
2020-06-10T03:53:19,71739640
2020-06-10T03:54:19,71739640
2020-06-10T03:55:20,71739640
2020-06-10T03:56:20,71739640
2020-06-10T03:57:21,71739639
2020-06-10T03:58:21,71739158
2020-06-10T03:59:22,71732254
2020-06-10T04:00:22,71732254
2020-06-10T04:01:23,71732096
2020-06-10T04:02:23,71732245
2020-06-10T04:03:24,71732245
2020-06-10T04:04:24,71729894
2020-06-10T04:05:25,71729894
2020-06-10T04:06:25,71729686
2020-06-10T04:07:25,71729684
2020-06-10T04:08:26,71729683
2020-06-10T04:09:26,71725082
2020-06-10T04:10:27,71725082
2020-06-10T04:11:27,71725082
2020-06-10T04:12:28,71725080
2020-06-10T04:13:28,71725079
2020-06-10T04:14:28,71725079
2020-06-10T04:15:29,71725079
2020-06-10T04:16:29,71722728
2020-06-10T04:17:30,71722571
2020-06-10T04:18:30,71722570
2020-06-10T04:19:30,71722570
2020-06-10T04:20:31,71721946
2020-06-10T04:21:31,71721946
2020-06-10T04:22:32,71721788
2020-06-10T04:23:32,71721787
2020-06-10T04:24:33,71721787
2020-06-10T04:25:33,71721787
2020-06-10T04:26:33,71721786
2020-06-10T04:27:34,71721785
2020-06-10T04:28:34,71721784
2020-06-10T04:29:35,71721784
2020-06-10T04:30:35,71721784
2020-06-10T04:31:36,71727423
2020-06-10T04:32:36,71727690
2020-06-10T04:33:36,71727369
2020-06-10T04:34:37,71727359
2020-06-10T04:35:37,71727359
2020-06-10T04:36:38,71727359
2020-06-10T04:37:38,71727357
2020-06-10T04:38:38,71727356
2020-06-10T04:39:39,71728418
2020-06-10T04:40:39,71731618
2020-06-10T04:41:40,71734787
2020-06-10T04:42:40,71733997
2020-06-10T04:43:40,71733997
2020-06-10T04:44:41,71733997
2020-06-10T04:45:41,71733997
2020-06-10T04:46:42,71733997
2020-06-10T04:47:42,71733996
2020-06-10T04:48:42,71733995
2020-06-10T04:49:43,71733995
2020-06-10T04:50:43,71733914
2020-06-10T04:51:44,71733914
2020-06-10T04:52:44,71738914
2020-06-10T04:53:44,71738914
2020-06-10T04:54:45,71738914
2020-06-10T04:55:45,71736567
2020-06-10T04:56:46,71736666
2020-06-10T04:57:46,71736666
2020-06-10T04:58:47,71736666
2020-06-10T04:59:47,71736696
2020-06-10T05:00:48,71737396
2020-06-10T05:01:48,71737116
2020-06-10T05:02:49,71737366
2020-06-10T05:03:50,71737586
2020-06-10T05:04:50,71737686
2020-06-10T05:05:51,71737686
2020-06-10T05:06:51,71738056
2020-06-10T05:07:52,71738197
2020-06-10T05:08:52,71740713
2020-06-10T05:09:52,71740713
2020-06-10T05:10:53,71742029
2020-06-10T05:11:53,71749244
2020-06-10T05:12:54,71752704
2020-06-10T05:13:54,71755664
2020-06-10T05:14:54,71756644
2020-06-10T05:15:55,71755490
2020-06-10T05:16:55,71782609
2020-06-10T05:17:56,71783209
2020-06-10T05:18:56,71784789
2020-06-10T05:19:56,71788179
2020-06-10T05:20:57,71791329
2020-06-10T05:21:57,71794167
2020-06-10T05:22:58,71794418
2020-06-10T05:23:58,71794417
2020-06-10T05:24:59,71794417
2020-06-10T05:25:59,71790615
2020-06-10T05:26:59,71789734
2020-06-10T05:28:00,71789734
2020-06-10T05:29:00,71798440
2020-06-10T05:30:01,71798440
2020-06-10T05:31:01,71798440
2020-06-10T05:32:02,71791532
2020-06-10T05:33:02,71791532
2020-06-10T05:34:02,71792660
2020-06-10T05:35:03,71792660
2020-06-10T05:36:03,71837248
2020-06-10T05:37:04,71807666
2020-06-10T05:38:04,71805679
2020-06-10T05:39:05,71806112
2020-06-10T05:40:05,71804812
2020-06-10T05:41:06,71807368
2020-06-10T05:42:06,71832496
2020-06-10T05:43:06,71832395
2020-06-10T05:44:07,71836395
2020-06-10T05:45:07,71836412
2020-06-10T05:46:08,71836412
2020-06-10T05:47:08,71829549
2020-06-10T05:48:08,71784829
2020-06-10T05:49:09,71784945
2020-06-10T05:50:09,71784945
2020-06-10T05:51:10,71780514
2020-06-10T05:52:10,71780513
2020-06-10T05:53:11,71780513
2020-06-10T05:54:11,71780512
2020-06-10T05:55:11,71780512
2020-06-10T05:56:12,71780512
2020-06-10T05:57:12,71780512
2020-06-10T05:58:13,71781107
2020-06-10T05:59:13,71781106
2020-06-10T06:00:13,71781006
2020-06-10T06:01:14,71780988
2020-06-10T06:02:14,71781174
2020-06-10T06:03:15,71781174
2020-06-10T06:04:15,71781173
2020-06-10T06:05:16,71781173
2020-06-10T06:06:16,71781173
2020-06-10T06:07:17,71781172
2020-06-10T06:08:17,71781172
2020-06-10T06:09:17,71781171
2020-06-10T06:10:18,71776391
2020-06-10T06:11:18,71776391
2020-06-10T06:12:19,71776390
2020-06-10T06:13:19,71781218
2020-06-10T06:14:19,71781218
2020-06-10T06:15:20,71781218
2020-06-10T06:16:20,71781218
2020-06-10T06:17:21,71781083
2020-06-10T06:18:21,71786254
2020-06-10T06:19:21,71786253
2020-06-10T06:20:22,71786253
2020-06-10T06:21:22,71785783
2020-06-10T06:22:23,71785682
2020-06-10T06:23:23,71785681
2020-06-10T06:24:24,71785681
2020-06-10T06:25:24,71786110
2020-06-10T06:26:24,71796123
2020-06-10T06:27:25,71796121
2020-06-10T06:28:25,71796120
2020-06-10T06:29:26,71796590
2020-06-10T06:30:26,71796590
2020-06-10T06:31:27,71796590
2020-06-10T06:32:27,71796589
2020-06-10T06:33:27,71796588
2020-06-10T06:34:28,71796588
2020-06-10T06:35:28,71796588
2020-06-10T06:36:29,71793700
2020-06-10T06:37:29,71790810
2020-06-10T06:38:30,71790809
2020-06-10T06:39:30,71790809
2020-06-10T06:40:30,71790837
2020-06-10T06:41:31,71790837
2020-06-10T06:42:31,71792706
2020-06-10T06:43:32,71792705
2020-06-10T06:44:32,71792705
2020-06-10T06:45:32,71795571
2020-06-10T06:46:33,71795571
2020-06-10T06:47:33,71787014
2020-06-10T06:48:34,71787013
2020-06-10T06:49:34,71787013
2020-06-10T06:50:35,71787013
2020-06-10T06:51:35,71787013
2020-06-10T06:52:36,71787012
2020-06-10T06:53:36,71787131
2020-06-10T06:54:37,71788887
2020-06-10T06:55:37,71789187
2020-06-10T06:56:38,71787182
2020-06-10T06:57:38,71787231
2020-06-10T06:58:38,71787231
2020-06-10T06:59:39,71784974
2020-06-10T07:00:39,71784974
2020-06-10T07:01:40,71785824
2020-06-10T07:02:40,71785823
2020-06-10T07:03:41,71785269
2020-06-10T07:04:41,71785299
2020-06-10T07:05:41,71785299
2020-06-10T07:06:42,71787243
2020-06-10T07:07:42,71787242
2020-06-10T07:08:43,71787241
2020-06-10T07:09:43,71789558
2020-06-10T07:10:44,71787839
2020-06-10T07:11:44,71787839
2020-06-10T07:12:44,71787888
2020-06-10T07:13:45,71788990
2020-06-10T07:14:45,71789239
2020-06-10T07:15:46,71789239
2020-06-10T07:16:46,71794826
2020-06-10T07:17:47,71791444
2020-06-10T07:18:47,71772591
2020-06-10T07:19:48,71773644
2020-06-10T07:20:48,71773836
2020-06-10T07:21:49,71773836
2020-06-10T07:22:49,71773836
2020-06-10T07:23:50,71797008
2020-06-10T07:24:50,71799508
2020-06-10T07:25:51,71781908
2020-06-10T07:26:51,71784489
2020-06-10T07:27:51,71784487
2020-06-10T07:28:52,71784476
2020-06-10T07:29:52,71784476
2020-06-10T07:30:53,71784476
2020-06-10T07:31:53,71784476
2020-06-10T07:32:54,71777524
2020-06-10T07:33:54,71777523
2020-06-10T07:34:54,71777523
2020-06-10T07:35:55,71774523
2020-06-10T07:36:55,71774523
2020-06-10T07:37:56,71774523
2020-06-10T07:38:56,71774523
2020-06-10T07:39:56,71774523
2020-06-10T07:40:57,71774523
2020-06-10T07:41:57,71779523
2020-06-10T07:42:58,71779522
2020-06-10T07:43:58,71637102
2020-06-10T07:44:59,71579993
2020-06-10T07:45:59,71580044
2020-06-10T07:46:59,71574578
2020-06-10T07:48:00,71571841
2020-06-10T07:49:00,71568140
2020-06-10T07:50:01,71569250
2020-06-10T07:51:01,71569805
2020-06-10T07:52:01,71569805
2020-06-10T07:53:02,71569804
2020-06-10T07:54:02,71569804
2020-06-10T07:55:03,71570304
2020-06-10T07:56:03,71570304
2020-06-10T07:57:04,71570304
2020-06-10T07:58:04,71569241
2020-06-10T07:59:04,71563003
2020-06-10T08:00:05,71563103
2020-06-10T08:01:05,71544971
2020-06-10T08:02:06,71544971
2020-06-10T08:03:06,71555537
2020-06-10T08:04:06,71555537
2020-06-10T08:05:07,71554937
2020-06-10T08:06:07,71554937
2020-06-10T08:07:08,71547877
2020-06-10T08:08:08,71547076
2020-06-10T08:09:09,71547076
2020-06-10T08:10:09,71541325
2020-06-10T08:11:10,71541325
2020-06-10T08:12:10,71555325
2020-06-10T08:13:11,71555484
2020-06-10T08:14:11,71555454
2020-06-10T08:15:12,71555954
2020-06-10T08:16:12,71555904
2020-06-10T08:17:12,71555706
2020-06-10T08:18:13,71555705
2020-06-10T08:19:13,71555705
2020-06-10T08:20:14,71555705
2020-06-10T08:21:14,71555705
2020-06-10T08:22:14,71555705
2020-06-10T08:23:15,71555704
2020-06-10T08:24:15,71555704
2020-06-10T08:25:16,71555704
2020-06-10T08:26:16,71555993
2020-06-10T08:27:17,71554189
2020-06-10T08:28:17,71554188
2020-06-10T08:29:17,71554188
2020-06-10T08:30:18,71554188
2020-06-10T08:31:18,71553922
2020-06-10T08:32:19,71551922
