date,value
2020-06-10T03:39:13,635653040
2020-06-10T03:40:14,635765152
2020-06-10T03:41:14,635118565
2020-06-10T03:42:14,634965956
2020-06-10T03:43:15,634992997
2020-06-10T03:44:15,634977312
2020-06-10T03:45:16,634947136
2020-06-10T03:46:16,634921936
2020-06-10T03:47:16,634845377
2020-06-10T03:48:17,634776586
2020-06-10T03:49:17,634840196
2020-06-10T03:50:18,634769168
2020-06-10T03:51:18,634718436
2020-06-10T03:52:18,634694991
2020-06-10T03:53:19,634680090
2020-06-10T03:54:19,634667014
2020-06-10T03:55:20,634608228
2020-06-10T03:56:20,634636372
2020-06-10T03:57:21,634813986
2020-06-10T03:58:21,634694486
2020-06-10T03:59:22,634987736
2020-06-10T04:00:22,634998374
2020-06-10T04:01:23,634826138
2020-06-10T04:02:23,634867721
2020-06-10T04:03:24,634915375
2020-06-10T04:04:24,634848035
2020-06-10T04:05:25,634833687
2020-06-10T04:06:25,634925775
2020-06-10T04:07:25,634912694
2020-06-10T04:08:26,634901977
2020-06-10T04:09:26,634903569
2020-06-10T04:10:27,634908747
2020-06-10T04:11:27,634913768
2020-06-10T04:12:28,634914967
2020-06-10T04:13:28,634915176
2020-06-10T04:14:28,634915262
2020-06-10T04:15:29,634903659
2020-06-10T04:16:29,634885547
2020-06-10T04:17:30,634848819
2020-06-10T04:18:30,634776151
2020-06-10T04:19:30,634778158
2020-06-10T04:20:31,634811525
2020-06-10T04:21:31,634836149
2020-06-10T04:22:32,634823274
2020-06-10T04:23:32,634874903
2020-06-10T04:24:33,634883823
2020-06-10T04:25:33,634890049
2020-06-10T04:26:33,634901550
2020-06-10T04:27:34,634901697
2020-06-10T04:28:34,634899276
2020-06-10T04:29:35,634899379
2020-06-10T04:30:35,634898330
2020-06-10T04:31:36,634863424
2020-06-10T04:32:36,634888675
2020-06-10T04:33:36,634847815
2020-06-10T04:34:37,634884597
2020-06-10T04:35:37,634879387
2020-06-10T04:36:38,634919456
2020-06-10T04:37:38,634978077
2020-06-10T04:38:38,635000656
2020-06-10T04:39:39,635231118
2020-06-10T04:40:39,634392094
2020-06-10T04:41:40,633115774
2020-06-10T04:42:40,630725036
2020-06-10T04:43:40,630620615
2020-06-10T04:44:41,630675186
2020-06-10T04:45:41,630484571
2020-06-10T04:46:42,630472102
2020-06-10T04:47:42,630531279
2020-06-10T04:48:42,630604418
2020-06-10T04:49:43,630582981
2020-06-10T04:50:43,630605025
2020-06-10T04:51:44,630627071
2020-06-10T04:52:44,630592498
2020-06-10T04:53:44,630706805
2020-06-10T04:54:45,630641620
2020-06-10T04:55:45,630563351
2020-06-10T04:56:46,630559610
2020-06-10T04:57:46,630363999
2020-06-10T04:58:47,630344056
2020-06-10T04:59:47,630251199
2020-06-10T05:00:48,630097115
2020-06-10T05:01:48,630193419
2020-06-10T05:02:49,630166458
2020-06-10T05:03:50,630293711
2020-06-10T05:04:50,630373686
2020-06-10T05:05:51,630496553
2020-06-10T05:06:51,630485945
2020-06-10T05:07:52,630765414
2020-06-10T05:08:52,630980249
2020-06-10T05:09:52,630956994
2020-06-10T05:10:53,630974590
2020-06-10T05:11:53,630999197
2020-06-10T05:12:54,631007545
2020-06-10T05:13:54,631010116
2020-06-10T05:14:54,631015716
2020-06-10T05:15:55,630987191
2020-06-10T05:16:55,631191495
2020-06-10T05:17:56,631265000
2020-06-10T05:18:56,631320376
2020-06-10T05:19:56,631433452
2020-06-10T05:20:57,631510896
2020-06-10T05:21:57,631478235
2020-06-10T05:22:58,631304695
2020-06-10T05:23:58,631252259
2020-06-10T05:24:59,631249939
2020-06-10T05:25:59,630879833
2020-06-10T05:26:59,631039926
2020-06-10T05:28:00,631098164
2020-06-10T05:29:00,633201505
2020-06-10T05:30:01,633286801
2020-06-10T05:31:01,633289719
2020-06-10T05:32:02,633292233
2020-06-10T05:33:02,633281376
2020-06-10T05:34:02,633078435
2020-06-10T05:35:03,633031063
2020-06-10T05:36:03,636652259
2020-06-10T05:37:04,636479859
2020-06-10T05:38:04,636456375
2020-06-10T05:39:05,636168872
2020-06-10T05:40:05,636027117
2020-06-10T05:41:06,635899070
2020-06-10T05:42:06,635883214
2020-06-10T05:43:06,635896250
2020-06-10T05:44:07,635896300
2020-06-10T05:45:07,635863179
2020-06-10T05:46:08,635855411
2020-06-10T05:47:08,635892239
2020-06-10T05:48:08,635816551
2020-06-10T05:49:09,635844375
2020-06-10T05:50:09,635830490
2020-06-10T05:51:10,635873177
2020-06-10T05:52:10,635873734
2020-06-10T05:53:11,635918797
2020-06-10T05:54:11,635936004
2020-06-10T05:55:11,635929172
2020-06-10T05:56:12,635968867
2020-06-10T05:57:12,635961053
2020-06-10T05:58:13,635962932
2020-06-10T05:59:13,635997442
2020-06-10T06:00:13,635964405
2020-06-10T06:01:14,635952060
2020-06-10T06:02:14,635915962
2020-06-10T06:03:15,635934451
2020-06-10T06:04:15,636117537
2020-06-10T06:05:16,636117726
2020-06-10T06:06:16,636116476
2020-06-10T06:07:16,636109156
2020-06-10T06:08:17,636085882
2020-06-10T06:09:17,635897277
2020-06-10T06:10:18,635459914
2020-06-10T06:11:18,635503168
2020-06-10T06:12:19,635596012
2020-06-10T06:13:19,635593059
2020-06-10T06:14:19,635635274
2020-06-10T06:15:20,635694972
2020-06-10T06:16:20,635693044
2020-06-10T06:17:21,635580814
2020-06-10T06:18:21,635547324
2020-06-10T06:19:21,635551987
2020-06-10T06:20:22,635558095
2020-06-10T06:21:22,635511587
2020-06-10T06:22:23,635507086
2020-06-10T06:23:23,635488568
2020-06-10T06:24:24,635487726
2020-06-10T06:25:24,635442678
2020-06-10T06:26:24,635441156
2020-06-10T06:27:25,635449311
2020-06-10T06:28:25,635441075
2020-06-10T06:29:26,635449649
2020-06-10T06:30:26,635443724
2020-06-10T06:31:27,635512612
2020-06-10T06:32:27,635471331
2020-06-10T06:33:27,635565696
2020-06-10T06:34:28,635527898
2020-06-10T06:35:28,635526287
2020-06-10T06:36:29,635513231
2020-06-10T06:37:29,635354157
2020-06-10T06:38:30,635350795
2020-06-10T06:39:30,635420404
2020-06-10T06:40:30,635415868
2020-06-10T06:41:31,635431019
2020-06-10T06:42:31,635420758
2020-06-10T06:43:32,635420625
2020-06-10T06:44:32,635420522
2020-06-10T06:45:32,635401952
2020-06-10T06:46:33,635390210
2020-06-10T06:47:33,635390108
2020-06-10T06:48:34,635355975
2020-06-10T06:49:34,635351034
2020-06-10T06:50:35,635245639
2020-06-10T06:51:35,635219852
2020-06-10T06:52:36,635119948
2020-06-10T06:53:36,634787377
2020-06-10T06:54:37,634787997
2020-06-10T06:55:37,634581058
2020-06-10T06:56:38,634611990
2020-06-10T06:57:38,634476707
2020-06-10T06:58:38,634482344
2020-06-10T06:59:39,634150634
2020-06-10T07:00:39,634110434
2020-06-10T07:01:40,633992628
2020-06-10T07:02:40,633929617
2020-06-10T07:03:41,633682053
2020-06-10T07:04:41,633996744
2020-06-10T07:05:41,633991323
2020-06-10T07:06:42,634019051
2020-06-10T07:07:42,634020007
2020-06-10T07:08:43,634035029
2020-06-10T07:09:43,634119338
2020-06-10T07:10:44,634034396
2020-06-10T07:11:44,634194155
2020-06-10T07:12:44,634511835
2020-06-10T07:13:45,634479012
2020-06-10T07:14:45,634409652
2020-06-10T07:15:46,634686779
2020-06-10T07:16:46,634417000
2020-06-10T07:17:47,634389145
2020-06-10T07:18:47,633048636
2020-06-10T07:19:48,629796000
2020-06-10T07:20:48,629791132
2020-06-10T07:21:49,629698652
2020-06-10T07:22:49,629694893
2020-06-10T07:23:50,629455286
2020-06-10T07:24:50,629615265
