date,value
2020-06-11T02:39:08,210969
2020-06-11T02:40:08,210969
2020-06-11T02:41:09,210967
2020-06-11T02:42:09,210967
2020-06-11T02:43:10,210967
2020-06-11T02:44:10,210967
2020-06-11T02:45:11,210967
2020-06-11T02:46:11,210967
2020-06-11T02:47:11,210967
2020-06-11T02:48:12,210967
2020-06-11T02:49:12,210967
2020-06-11T02:50:13,210967
2020-06-11T02:51:14,210967
2020-06-11T02:52:15,210967
2020-06-11T02:53:15,210804
2020-06-11T02:54:15,210804
2020-06-11T02:55:16,210804
2020-06-11T02:56:16,210804
2020-06-11T02:57:17,210804
2020-06-11T02:58:17,210804
2020-06-11T02:59:18,210804
2020-06-11T03:00:18,210804
2020-06-11T03:01:19,210792
2020-06-11T03:02:19,210792
2020-06-11T03:03:19,210792
2020-06-11T03:04:20,210792
2020-06-11T03:05:20,210792
2020-06-11T03:06:21,210792
2020-06-11T03:07:21,210792
2020-06-11T03:08:22,210792
2020-06-11T03:09:22,210792
2020-06-11T03:10:22,210792
2020-06-11T03:11:23,210792
2020-06-11T03:12:23,210792
2020-06-11T03:13:24,210792
2020-06-11T03:14:24,210792
2020-06-11T03:15:24,210792
2020-06-11T03:16:25,210792
2020-06-11T03:17:25,210792
2020-06-11T03:18:26,210792
2020-06-11T03:19:26,210792
2020-06-11T03:20:27,210792
2020-06-11T03:21:27,210789
2020-06-11T03:22:28,210548
2020-06-11T03:23:28,210548
2020-06-11T03:24:28,210548
2020-06-11T03:25:29,210548
2020-06-11T03:26:29,210548
2020-06-11T03:27:30,210548
2020-06-11T03:28:30,210548
2020-06-11T03:29:31,210548
2020-06-11T03:30:31,210548
2020-06-11T03:31:32,210548
2020-06-11T03:32:32,210404
2020-06-11T03:33:32,210404
2020-06-11T03:34:33,210404
2020-06-11T03:35:33,210404
2020-06-11T03:36:34,210404
2020-06-11T03:37:34,210404
2020-06-11T03:38:34,210404
