date,value
2020-06-11T02:39:08,642030774
2020-06-11T02:40:08,641847984
2020-06-11T02:41:09,642036890
2020-06-11T02:42:09,642172539
2020-06-11T02:43:10,642092797
2020-06-11T02:44:10,642112127
2020-06-11T02:45:10,642094839
2020-06-11T02:46:11,642078855
2020-06-11T02:47:11,641999665
2020-06-11T02:48:12,641954481
2020-06-11T02:49:12,641957318
2020-06-11T02:50:13,641962917
2020-06-11T02:51:14,641779724
2020-06-11T02:52:14,642052250
2020-06-11T02:53:15,642051159
2020-06-11T02:54:15,641958397
2020-06-11T02:55:16,642003941
2020-06-11T02:56:16,642011463
2020-06-11T02:57:17,642099137
2020-06-11T02:58:17,642710196
2020-06-11T02:59:18,642703162
2020-06-11T03:00:18,642768767
2020-06-11T03:01:19,643919630
2020-06-11T03:02:19,643908489
2020-06-11T03:03:19,644091665
2020-06-11T03:04:20,644135218
2020-06-11T03:05:20,643907598
2020-06-11T03:06:21,643926503
2020-06-11T03:07:21,644036176
2020-06-11T03:08:22,644075779
2020-06-11T03:09:22,644126401
2020-06-11T03:10:22,644134686
2020-06-11T03:11:23,644129656
2020-06-11T03:12:23,644157174
2020-06-11T03:13:24,644202494
2020-06-11T03:14:24,644203615
2020-06-11T03:15:24,644206807
2020-06-11T03:16:25,644219745
2020-06-11T03:17:25,644219417
2020-06-11T03:18:26,644205572
2020-06-11T03:19:26,642966514
2020-06-11T03:20:27,643389272
2020-06-11T03:21:27,645018552
2020-06-11T03:22:28,645092522
2020-06-11T03:23:28,645042605
2020-06-11T03:24:28,644682924
2020-06-11T03:25:29,644561054
2020-06-11T03:26:29,644615718
2020-06-11T03:27:30,644610347
2020-06-11T03:28:30,644648498
2020-06-11T03:29:31,644756473
2020-06-11T03:30:31,644311158
2020-06-11T03:31:32,638843883
2020-06-11T03:32:32,639138973
2020-06-11T03:33:32,639159491
2020-06-11T03:34:33,639360755
2020-06-11T03:35:33,639437095
2020-06-11T03:36:34,639467162
2020-06-11T03:37:34,639444431
2020-06-11T03:38:34,639488869
