date,value
2020-06-10T03:38:49,4842114
2020-06-10T03:39:49,4842114
2020-06-10T03:40:50,4842122
2020-06-10T03:41:50,4842130
2020-06-10T03:42:51,4842946
2020-06-10T03:43:51,4815662
2020-06-10T03:44:52,4738392
2020-06-10T03:45:52,4738392
2020-06-10T03:46:53,4738392
2020-06-10T03:47:53,4738392
2020-06-10T03:48:54,4738392
2020-06-10T03:49:54,4738392
2020-06-10T03:50:55,4738392
2020-06-10T03:51:55,4738392
2020-06-10T03:52:55,4738392
2020-06-10T03:53:56,4738392
2020-06-10T03:54:57,4738392
2020-06-10T03:55:57,4738392
2020-06-10T03:56:58,4738392
2020-06-10T03:57:58,4738392
2020-06-10T03:58:59,4738392
2020-06-10T04:00:00,4738392
2020-06-10T04:01:00,4739820
2020-06-10T04:02:01,4739820
2020-06-10T04:03:01,4739822
2020-06-10T04:04:02,4739824
2020-06-10T04:05:02,4739826
2020-06-10T04:06:03,4739828
2020-06-10T04:07:03,4739830
2020-06-10T04:08:03,4739832
2020-06-10T04:09:04,4739832
2020-06-10T04:10:05,4739834
2020-06-10T04:11:05,4739840
2020-06-10T04:12:06,4739840
2020-06-10T04:13:06,4739842
2020-06-10T04:14:06,4739844
2020-06-10T04:15:07,4739846
2020-06-10T04:16:07,4739850
2020-06-10T04:17:08,4740850
2020-06-10T04:18:08,4740852
2020-06-10T04:19:09,4740852
2020-06-10T04:20:09,4742084
2020-06-10T04:21:10,4742084
2020-06-10T04:22:10,4742084
2020-06-10T04:23:11,4742084
2020-06-10T04:24:11,4742084
2020-06-10T04:25:12,4742084
2020-06-10T04:26:12,4742084
2020-06-10T04:27:13,4742084
2020-06-10T04:28:13,4742084
2020-06-10T04:29:14,4742084
2020-06-10T04:30:14,4742084
2020-06-10T04:31:15,4741742
2020-06-10T04:32:15,4741744
2020-06-10T04:33:16,4741744
2020-06-10T04:34:16,4741746
2020-06-10T04:35:17,4741748
2020-06-10T04:36:17,4741750
2020-06-10T04:37:18,4741750
2020-06-10T04:38:18,4741752
2020-06-10T04:39:19,4741752
2020-06-10T04:40:19,4743970
2020-06-10T04:41:20,4743970
2020-06-10T04:42:21,4743970
2020-06-10T04:43:21,4743970
2020-06-10T04:44:22,4743970
2020-06-10T04:45:22,4861406
2020-06-10T04:46:23,4860386
2020-06-10T04:47:23,4860386
2020-06-10T04:48:24,4860386
2020-06-10T04:49:24,4860386
2020-06-10T04:50:25,4860384
2020-06-10T04:51:25,4860384
2020-06-10T04:52:26,4860384
2020-06-10T04:53:26,4860382
2020-06-10T04:54:27,4861172
2020-06-10T04:55:27,4863492
2020-06-10T04:56:28,4862720
2020-06-10T04:57:28,4870598
2020-06-10T04:58:29,4870598
2020-06-10T04:59:29,4870598
2020-06-10T05:00:30,4889258
2020-06-10T05:01:30,4889228
2020-06-10T05:02:31,4889228
2020-06-10T05:03:31,4889228
2020-06-10T05:04:32,4889228
2020-06-10T05:05:32,4891468
2020-06-10T05:06:33,4891468
2020-06-10T05:07:33,4891468
2020-06-10T05:08:34,4891468
2020-06-10T05:09:34,4891468
2020-06-10T05:10:35,4891464
2020-06-10T05:11:35,4891464
2020-06-10T05:12:36,4891462
2020-06-10T05:13:36,4891460
2020-06-10T05:14:37,4891458
2020-06-10T05:15:37,4891456
2020-06-10T05:16:38,4889440
2020-06-10T05:17:38,4889440
2020-06-10T05:18:39,4889240
2020-06-10T05:19:39,4886316
2020-06-10T05:20:40,4886308
2020-06-10T05:21:41,4886308
2020-06-10T05:22:41,4891492
2020-06-10T05:23:42,4891522
2020-06-10T05:24:42,4891142
2020-06-10T05:25:43,4891244
2020-06-10T05:26:43,4891246
2020-06-10T05:27:44,4891246
2020-06-10T05:28:44,4888324
2020-06-10T05:29:45,4796640
2020-06-10T05:30:45,4797324
2020-06-10T05:31:46,4781324
2020-06-10T05:32:46,4755316
2020-06-10T05:33:47,4755316
2020-06-10T05:34:48,4755318
2020-06-10T05:35:48,4756056
2020-06-10T05:36:48,4821316
2020-06-10T05:37:49,4821316
2020-06-10T05:38:49,4817314
2020-06-10T05:39:50,4817314
2020-06-10T05:40:50,4815606
2020-06-10T05:41:51,4815306
2020-06-10T05:42:51,4815306
2020-06-10T05:43:52,4815306
2020-06-10T05:44:52,4815306
2020-06-10T05:45:53,4815306
2020-06-10T05:46:54,4816670
2020-06-10T05:47:54,4796670
2020-06-10T05:48:55,4785826
2020-06-10T05:49:55,4777822
2020-06-10T05:50:56,4694812
2020-06-10T05:51:56,4694812
2020-06-10T05:52:57,4695138
2020-06-10T05:53:57,4695140
2020-06-10T05:54:58,4775776
2020-06-10T05:55:58,4775776
2020-06-10T05:56:59,4775852
2020-06-10T05:57:59,4775008
2020-06-10T05:59:00,4775008
2020-06-10T06:00:00,4775008
2020-06-10T06:01:01,4775008
2020-06-10T06:02:01,4777874
2020-06-10T06:03:02,4777074
2020-06-10T06:04:02,4777074
2020-06-10T06:05:03,4777072
2020-06-10T06:06:03,4777072
2020-06-10T06:07:04,4777072
2020-06-10T06:08:04,4777074
2020-06-10T06:09:05,4777072
2020-06-10T06:10:05,4777398
2020-06-10T06:11:06,4776192
2020-06-10T06:12:06,4776192
2020-06-10T06:13:07,4776300
2020-06-10T06:14:07,4776302
2020-06-10T06:15:08,4768416
2020-06-10T06:16:08,4768416
2020-06-10T06:17:09,4768384
2020-06-10T06:18:09,4769534
2020-06-10T06:19:10,4779294
2020-06-10T06:20:10,4779302
2020-06-10T06:21:11,4779302
2020-06-10T06:22:11,4779304
2020-06-10T06:23:12,4779306
2020-06-10T06:24:12,4779308
2020-06-10T06:25:13,4779308
2020-06-10T06:26:13,4779310
2020-06-10T06:27:14,4779448
2020-06-10T06:28:14,4784228
2020-06-10T06:29:15,4784228
2020-06-10T06:30:15,4784228
2020-06-10T06:31:16,4784228
2020-06-10T06:32:16,4831934
2020-06-10T06:33:17,4823034
2020-06-10T06:34:17,4821456
2020-06-10T06:35:18,4875870
2020-06-10T06:36:18,4964328
2020-06-10T06:37:19,4964198
2020-06-10T06:38:19,4963610
2020-06-10T06:39:20,4963610
2020-06-10T06:40:20,4963610
2020-06-10T06:41:21,4963610
2020-06-10T06:42:21,4963680
2020-06-10T06:43:22,4963680
2020-06-10T06:44:22,4957780
2020-06-10T06:45:23,4957780
2020-06-10T06:46:23,4957780
2020-06-10T06:47:24,4957496
2020-06-10T06:48:24,4957498
2020-06-10T06:49:25,4959314
2020-06-10T06:50:25,4959322
2020-06-10T06:51:26,4959458
2020-06-10T06:52:26,4959460
2020-06-10T06:53:27,4959462
2020-06-10T06:54:27,4959484
2020-06-10T06:55:28,4959484
2020-06-10T06:56:28,4959434
2020-06-10T06:57:29,4959434
2020-06-10T06:58:29,4959434
2020-06-10T06:59:30,4959474
2020-06-10T07:00:30,4962000
2020-06-10T07:01:31,4962000
2020-06-10T07:02:31,4962000
2020-06-10T07:03:32,4962000
2020-06-10T07:04:32,4962000
2020-06-10T07:05:33,4962000
2020-06-10T07:06:33,4962038
2020-06-10T07:07:34,4962038
2020-06-10T07:08:34,4962038
2020-06-10T07:09:35,4962054
2020-06-10T07:10:35,4962048
2020-06-10T07:11:36,4962048
2020-06-10T07:12:36,4962046
2020-06-10T07:13:37,4962044
2020-06-10T07:14:37,4962042
