date,value
2020-06-11T02:38:31,215413728
2020-06-11T02:39:31,215378934
2020-06-11T02:40:32,215365028
2020-06-11T02:41:32,215607618
2020-06-11T02:42:33,216164680
2020-06-11T02:43:33,216167476
2020-06-11T02:44:34,216162796
2020-06-11T02:45:34,216344816
2020-06-11T02:46:35,216253754
2020-06-11T02:47:35,216320144
2020-06-11T02:48:36,216362966
2020-06-11T02:49:36,216263040
2020-06-11T02:50:37,216248256
2020-06-11T02:51:37,216449500
2020-06-11T02:52:38,216494868
2020-06-11T02:53:38,216516094
2020-06-11T02:54:39,216622810
2020-06-11T02:55:39,216284714
2020-06-11T02:56:40,216361316
2020-06-11T02:57:40,216548030
2020-06-11T02:58:41,216473950
2020-06-11T02:59:41,216470998
2020-06-11T03:00:42,216809038
2020-06-11T03:01:42,216896024
2020-06-11T03:02:43,217040708
2020-06-11T03:03:43,217038052
2020-06-11T03:04:43,217030986
2020-06-11T03:05:44,217026128
2020-06-11T03:06:45,217093930
2020-06-11T03:07:45,217120846
2020-06-11T03:08:45,217096084
2020-06-11T03:09:46,217073308
2020-06-11T03:10:46,217100168
2020-06-11T03:11:47,217164082
2020-06-11T03:12:47,217227494
2020-06-11T03:13:48,217215922
2020-06-11T03:14:48,217215422
2020-06-11T03:15:49,217284764
2020-06-11T03:16:49,217267542
2020-06-11T03:17:50,217979650
2020-06-11T03:18:50,218161552
2020-06-11T03:19:51,218455876
2020-06-11T03:20:51,218565588
2020-06-11T03:21:52,218348612
2020-06-11T03:22:52,218378708
2020-06-11T03:23:53,218445074
2020-06-11T03:24:53,218441996
2020-06-11T03:25:54,218586690
2020-06-11T03:26:54,218541274
2020-06-11T03:27:55,218552400
2020-06-11T03:28:55,218544918
2020-06-11T03:29:56,218534782
2020-06-11T03:30:56,218569888
2020-06-11T03:31:57,213793220
2020-06-11T03:32:57,213764672
2020-06-11T03:33:58,213979514
2020-06-11T03:34:58,214488412
2020-06-11T03:35:59,214573750
2020-06-11T03:36:59,214656122
2020-06-11T03:38:00,214828536
