date,value
2020-06-11T02:38:31,35954230
2020-06-11T02:39:31,35954230
2020-06-11T02:40:32,35956686
2020-06-11T02:41:32,35955058
2020-06-11T02:42:33,35955874
2020-06-11T02:43:33,35955874
2020-06-11T02:44:34,35955876
2020-06-11T02:45:34,35923016
2020-06-11T02:46:35,35923616
2020-06-11T02:47:35,35923616
2020-06-11T02:48:36,35924112
2020-06-11T02:49:36,35925556
2020-06-11T02:50:37,35925602
2020-06-11T02:51:37,35917598
2020-06-11T02:52:38,35919246
2020-06-11T02:53:38,35919246
2020-06-11T02:54:39,35919246
2020-06-11T02:55:39,35919248
2020-06-11T02:56:40,35916490
2020-06-11T02:57:40,35919456
2020-06-11T02:58:41,35918794
2020-06-11T02:59:41,35911756
2020-06-11T03:00:42,36053496
2020-06-11T03:01:42,36053250
2020-06-11T03:02:43,36054250
2020-06-11T03:03:43,36054964
2020-06-11T03:04:44,36054964
2020-06-11T03:05:44,36081868
2020-06-11T03:06:45,36083356
2020-06-11T03:07:45,36096718
2020-06-11T03:08:45,36096720
2020-06-11T03:09:46,36099726
2020-06-11T03:10:46,36099776
2020-06-11T03:11:47,36097700
2020-06-11T03:12:47,36102066
2020-06-11T03:13:48,36103228
2020-06-11T03:14:48,36103258
2020-06-11T03:15:49,36209258
2020-06-11T03:16:49,36226918
2020-06-11T03:17:50,36227448
2020-06-11T03:18:50,36335338
2020-06-11T03:19:51,36184914
2020-06-11T03:20:51,36184288
2020-06-11T03:21:52,36220912
2020-06-11T03:22:52,36221428
2020-06-11T03:23:53,36197032
2020-06-11T03:24:53,36158866
2020-06-11T03:25:54,36160782
2020-06-11T03:26:54,36160802
2020-06-11T03:27:55,36143416
2020-06-11T03:28:55,36143396
2020-06-11T03:29:56,36143440
2020-06-11T03:30:56,36143196
2020-06-11T03:31:57,35727276
2020-06-11T03:32:57,35724978
2020-06-11T03:33:58,35756454
2020-06-11T03:34:58,35773448
2020-06-11T03:35:59,35773866
2020-06-11T03:36:59,35773866
2020-06-11T03:38:00,35774064
