date,value
2020-06-08T14:28:27,222807
2020-06-08T14:29:32,222807
2020-06-08T14:30:37,222627
2020-06-08T14:31:43,222151
2020-06-08T14:32:48,222331
2020-06-08T14:33:53,222441
2020-06-08T14:34:58,222250
2020-06-08T14:36:03,221942
2020-06-08T14:37:09,222325
2020-06-08T14:38:15,221873
2020-06-08T14:39:21,222087
2020-06-08T14:40:26,222076
2020-06-08T14:41:31,222076
2020-06-08T14:42:36,222110
2020-06-08T14:43:42,221873
2020-06-08T14:44:47,222052
2020-06-08T14:45:52,222220
2020-06-08T14:46:57,222423
2020-06-08T14:48:02,222041
2020-06-08T14:49:08,221959
2020-06-08T14:50:13,222447
2020-06-08T14:51:18,222533
2020-06-08T14:52:23,221971
2020-06-08T14:53:28,222615
2020-06-08T14:54:33,221768
2020-06-08T14:55:39,221780
2020-06-08T14:56:44,221768
2020-06-08T14:57:49,221600
2020-06-08T14:58:54,221803
2020-06-08T15:00:00,222011
2020-06-08T15:01:05,222116
2020-06-08T15:02:10,222383
2020-06-08T15:03:16,221867
2020-06-08T15:04:21,222836
2020-06-08T15:05:27,222499
2020-06-08T15:06:32,222395
2020-06-08T15:07:37,222395
2020-06-08T15:08:42,222012
2020-06-08T15:09:47,222516
2020-06-08T15:10:53,220580
2020-06-08T15:11:58,220944
2020-06-08T15:13:04,221228
2020-06-08T15:14:09,220967
2020-06-08T15:15:14,220967
2020-06-08T15:16:19,221182
2020-06-08T15:17:24,221348
2020-06-08T15:18:29,220446
2020-06-08T15:19:34,220817
2020-06-08T15:20:39,220893
2020-06-08T15:21:44,220557
2020-06-08T15:22:49,220591
2020-06-08T15:23:54,220649
2020-06-08T15:24:59,220504
2020-06-08T15:26:04,220492
2020-06-08T15:27:09,220887
2020-06-08T15:28:15,220887
2020-06-08T15:29:19,220615
2020-06-08T15:30:24,220412
2020-06-08T15:31:29,221302
2020-06-08T15:32:34,220377
2020-06-08T15:33:39,220343
2020-06-08T15:34:44,220128
2020-06-08T15:35:49,220801
2020-06-08T15:36:55,220801
2020-06-08T15:38:00,220151
2020-06-08T15:39:05,220534
2020-06-08T15:40:10,220522
2020-06-08T15:41:15,221298
2020-06-08T15:42:20,221025
2020-06-08T15:43:25,220799
2020-06-08T15:44:30,220868
2020-06-08T15:45:35,220608
2020-06-08T15:46:40,220538
2020-06-08T15:47:45,220711
2020-06-08T15:48:50,220910
2020-06-08T15:49:55,220515
2020-06-08T15:51:00,221425
2020-06-08T15:52:05,221152
2020-06-08T15:53:11,220769
2020-06-08T15:54:16,221182
2020-06-08T15:55:23,220868
2020-06-08T15:56:28,220944
2020-06-08T15:57:33,221060
2020-06-08T15:58:38,221141
2020-06-08T15:59:43,220995
2020-06-08T16:00:48,221043
2020-06-08T16:01:53,220714
2020-06-08T16:02:58,220748
2020-06-08T16:04:04,221032
2020-06-08T16:05:09,220603
2020-06-08T16:06:14,220714
2020-06-08T16:07:19,220893
2020-06-08T16:08:24,220951
2020-06-08T16:09:29,221374
2020-06-08T16:10:34,220864
2020-06-08T16:11:39,221235
2020-06-08T16:12:44,222232
2020-06-08T16:13:49,221751
2020-06-08T16:14:55,222302
2020-06-08T16:16:00,222470
2020-06-08T16:17:05,221896
2020-06-08T16:18:10,221705
2020-06-08T16:19:15,221919
2020-06-08T16:20:20,222325
2020-06-08T16:21:25,221734
2020-06-08T16:22:30,221803
2020-06-08T16:23:35,221971
2020-06-08T16:24:40,221971
2020-06-08T16:25:45,221843
2020-06-08T16:26:51,222000
2020-06-08T16:27:56,221282
2020-06-08T16:29:01,221693
2020-06-08T16:30:06,222226
2020-06-08T16:31:11,221641
2020-06-08T16:32:16,222109
2020-06-08T16:33:21,221918
2020-06-08T16:34:26,221508
2020-06-08T16:35:31,221548
2020-06-08T16:36:36,221867
2020-06-08T16:37:41,221583
2020-06-08T16:38:46,221867
2020-06-08T16:39:51,221490
2020-06-08T16:40:56,221380
2020-06-08T16:42:01,222133
2020-06-08T16:43:06,221843
2020-06-08T16:44:11,221767
2020-06-08T16:45:16,221797
2020-06-08T16:46:21,221014
2020-06-08T16:47:26,220859
2020-06-08T16:48:31,221536
2020-06-08T16:49:36,221000
2020-06-08T16:50:41,220826
2020-06-08T16:51:46,221093
2020-06-08T16:52:51,221853
2020-06-08T16:53:56,222265
2020-06-08T16:55:01,222340
2020-06-08T16:56:06,221449
2020-06-08T16:57:12,222028
2020-06-08T16:58:17,223103
2020-06-08T16:59:22,222877
2020-06-08T17:00:27,223450
2020-06-08T17:01:32,222877
2020-06-08T17:02:37,223177
2020-06-08T17:03:42,223119
2020-06-08T17:04:47,223344
2020-06-08T17:05:52,222733
2020-06-08T17:06:57,224069
2020-06-08T17:08:02,223975
2020-06-08T17:09:08,223714
2020-06-08T17:10:13,224072
2020-06-08T17:11:18,224295
2020-06-08T17:12:26,224169
2020-06-08T17:13:32,223541
2020-06-08T17:14:37,223814
2020-06-08T17:15:43,223849
2020-06-08T17:16:48,223635
2020-06-08T17:17:53,223767
2020-06-08T17:18:58,224265
