date,value
2020-06-08T14:28:27,110609
2020-06-08T14:29:32,110607
2020-06-08T14:30:37,110608
2020-06-08T14:31:43,110609
2020-06-08T14:32:48,110972
2020-06-08T14:33:53,110987
2020-06-08T14:34:58,111011
2020-06-08T14:36:03,111008
2020-06-08T14:37:09,111008
2020-06-08T14:38:15,110972
2020-06-08T14:39:21,110481
2020-06-08T14:40:26,110481
2020-06-08T14:41:31,110489
2020-06-08T14:42:36,110489
2020-06-08T14:43:42,110491
2020-06-08T14:44:47,110678
2020-06-08T14:45:52,110628
2020-06-08T14:46:57,110625
2020-06-08T14:48:02,110635
2020-06-08T14:49:08,110635
2020-06-08T14:50:13,110594
2020-06-08T14:51:18,110611
2020-06-08T14:52:23,110613
2020-06-08T14:53:28,110615
2020-06-08T14:54:33,110605
2020-06-08T14:55:38,110516
2020-06-08T14:56:44,110371
2020-06-08T14:57:49,110292
2020-06-08T14:58:54,110284
2020-06-08T15:00:00,110243
2020-06-08T15:01:05,109482
2020-06-08T15:02:10,109428
2020-06-08T15:03:16,109014
2020-06-08T15:04:21,109014
2020-06-08T15:05:27,109040
2020-06-08T15:06:32,108971
2020-06-08T15:07:37,108722
2020-06-08T15:08:42,108722
2020-06-08T15:09:47,108725
2020-06-08T15:10:53,108739
2020-06-08T15:11:58,108739
2020-06-08T15:13:04,108698
2020-06-08T15:14:09,108693
2020-06-08T15:15:14,108968
2020-06-08T15:16:19,108911
2020-06-08T15:17:24,108916
2020-06-08T15:18:29,108912
2020-06-08T15:19:34,108917
2020-06-08T15:20:39,108912
2020-06-08T15:21:44,108876
2020-06-08T15:22:49,108853
2020-06-08T15:23:54,108863
2020-06-08T15:24:59,108847
2020-06-08T15:26:04,108840
2020-06-08T15:27:09,108825
2020-06-08T15:28:15,108825
2020-06-08T15:29:19,108806
2020-06-08T15:30:24,108776
2020-06-08T15:31:29,108805
2020-06-08T15:32:34,108919
2020-06-08T15:33:39,108919
2020-06-08T15:34:44,108814
2020-06-08T15:35:49,108814
2020-06-08T15:36:55,108814
2020-06-08T15:38:00,108796
2020-06-08T15:39:05,108769
2020-06-08T15:40:10,108769
2020-06-08T15:41:15,108769
2020-06-08T15:42:20,108757
2020-06-08T15:43:25,108676
2020-06-08T15:44:30,108658
2020-06-08T15:45:35,108499
2020-06-08T15:46:40,108541
2020-06-08T15:47:45,108541
2020-06-08T15:48:50,108626
2020-06-08T15:49:55,108645
2020-06-08T15:51:00,108471
2020-06-08T15:52:05,108469
2020-06-08T15:53:10,108469
2020-06-08T15:54:16,108469
2020-06-08T15:55:23,108483
2020-06-08T15:56:28,108483
2020-06-08T15:57:33,108467
2020-06-08T15:58:38,108439
2020-06-08T15:59:43,108446
2020-06-08T16:00:48,107731
2020-06-08T16:01:53,107750
2020-06-08T16:02:58,107726
2020-06-08T16:04:04,107717
2020-06-08T16:05:09,107707
2020-06-08T16:06:14,107694
2020-06-08T16:07:19,107719
2020-06-08T16:08:24,107715
2020-06-08T16:09:29,107709
2020-06-08T16:10:34,107709
2020-06-08T16:11:39,107709
2020-06-08T16:12:44,107749
2020-06-08T16:13:49,107749
2020-06-08T16:14:54,107745
2020-06-08T16:15:59,107717
2020-06-08T16:17:04,107732
2020-06-08T16:18:09,107752
2020-06-08T16:19:15,107694
2020-06-08T16:20:20,107664
2020-06-08T16:21:25,107665
2020-06-08T16:22:30,107674
2020-06-08T16:23:35,107676
2020-06-08T16:24:40,107712
2020-06-08T16:25:45,107709
2020-06-08T16:26:50,107709
2020-06-08T16:27:56,107710
2020-06-08T16:29:01,107710
2020-06-08T16:30:06,107697
2020-06-08T16:31:11,107712
2020-06-08T16:32:16,107712
2020-06-08T16:33:21,107672
2020-06-08T16:34:26,107669
2020-06-08T16:35:31,107665
2020-06-08T16:36:36,107690
2020-06-08T16:37:41,107691
2020-06-08T16:38:46,107706
2020-06-08T16:39:51,107671
2020-06-08T16:40:56,107619
2020-06-08T16:42:01,107637
