date,value
2020-06-08T14:28:27,9195600
2020-06-08T14:29:32,9161598
2020-06-08T14:30:37,9178353
2020-06-08T14:31:43,9189019
2020-06-08T14:32:48,9183475
2020-06-08T14:33:53,9183389
2020-06-08T14:34:58,9208598
2020-06-08T14:36:03,9171445
2020-06-08T14:37:09,9193442
2020-06-08T14:38:15,9194292
2020-06-08T14:39:21,9189522
2020-06-08T14:40:26,9185010
2020-06-08T14:41:31,9185044
2020-06-08T14:42:37,9192358
2020-06-08T14:43:42,9182554
2020-06-08T14:44:47,9161935
2020-06-08T14:45:52,9160102
2020-06-08T14:46:57,9176316
2020-06-08T14:48:02,9170942
2020-06-08T14:49:08,9233743
2020-06-08T14:50:13,9139287
2020-06-08T14:51:18,9191070
2020-06-08T14:52:23,9165144
2020-06-08T14:53:28,9159482
2020-06-08T14:54:33,9158940
2020-06-08T14:55:39,9175494
2020-06-08T14:56:44,9156478
2020-06-08T14:57:49,9158249
2020-06-08T14:58:54,9193080
2020-06-08T15:00:00,9111784
2020-06-08T15:01:05,9083019
2020-06-08T15:02:10,9246851
2020-06-08T15:03:16,9150352
2020-06-08T15:04:21,9153349
2020-06-08T15:05:27,9137209
2020-06-08T15:06:32,9148416
2020-06-08T15:07:37,9153187
2020-06-08T15:08:42,9149846
2020-06-08T15:09:47,9160791
2020-06-08T15:10:53,9151974
2020-06-08T15:11:58,9151885
2020-06-08T15:13:04,9148608
2020-06-08T15:14:09,9147744
2020-06-08T15:15:14,9162083
2020-06-08T15:16:19,9132662
2020-06-08T15:17:24,9133606
2020-06-08T15:18:29,9144993
2020-06-08T15:19:34,9125288
2020-06-08T15:20:39,9152664
2020-06-08T15:21:44,9100328
2020-06-08T15:22:49,9113195
2020-06-08T15:23:54,9112660
2020-06-08T15:24:59,9120659
2020-06-08T15:26:04,9119314
2020-06-08T15:27:09,9125957
2020-06-08T15:28:15,9118686
2020-06-08T15:29:20,9150188
2020-06-08T15:30:25,9129082
2020-06-08T15:31:29,9121036
2020-06-08T15:32:34,9104941
2020-06-08T15:33:39,9104966
2020-06-08T15:34:45,9130052
2020-06-08T15:35:50,9113795
2020-06-08T15:36:55,9120687
2020-06-08T15:38:00,9135219
2020-06-08T15:39:05,9227914
2020-06-08T15:40:10,9232941
2020-06-08T15:41:15,9245620
2020-06-08T15:42:20,9246594
2020-06-08T15:43:25,9265109
2020-06-08T15:44:30,9250821
2020-06-08T15:45:35,9246733
2020-06-08T15:46:40,9248119
2020-06-08T15:47:45,9247495
2020-06-08T15:48:50,9264033
2020-06-08T15:49:55,9251446
2020-06-08T15:51:00,9249288
2020-06-08T15:52:05,9242876
2020-06-08T15:53:11,9257445
2020-06-08T15:54:17,9259298
2020-06-08T15:55:23,9235733
2020-06-08T15:56:28,9252561
2020-06-08T15:57:33,9249125
2020-06-08T15:58:38,9263647
2020-06-08T15:59:43,9262024
2020-06-08T16:00:48,9243889
2020-06-08T16:01:53,9088215
2020-06-08T16:02:58,9161744
2020-06-08T16:04:04,9186668
2020-06-08T16:05:09,9232342
2020-06-08T16:06:14,9248909
2020-06-08T16:07:19,9232354
2020-06-08T16:08:24,9226983
2020-06-08T16:09:29,9239638
2020-06-08T16:10:34,9255594
2020-06-08T16:11:39,9237381
2020-06-08T16:12:44,9226313
2020-06-08T16:13:49,9232448
2020-06-08T16:14:55,9230527
2020-06-08T16:16:00,9221734
2020-06-08T16:17:05,9226959
2020-06-08T16:18:10,9217028
2020-06-08T16:19:15,9227113
2020-06-08T16:20:20,9092900
2020-06-08T16:21:25,9106262
2020-06-08T16:22:30,9101065
2020-06-08T16:23:35,9098931
2020-06-08T16:24:40,9095916
2020-06-08T16:25:45,9079097
2020-06-08T16:26:51,9094398
2020-06-08T16:27:56,9097505
2020-06-08T16:29:01,9093072
2020-06-08T16:30:06,9095567
2020-06-08T16:31:11,9097830
2020-06-08T16:32:16,9071238
2020-06-08T16:33:21,9067731
2020-06-08T16:34:26,9067456
2020-06-08T16:35:31,9071319
2020-06-08T16:36:36,9074028
2020-06-08T16:37:41,9069266
2020-06-08T16:38:46,9066073
2020-06-08T16:39:51,9098600
2020-06-08T16:40:56,8992767
2020-06-08T16:42:01,9014145
2020-06-08T16:43:06,9042750
2020-06-08T16:44:11,9062144
2020-06-08T16:45:16,9100678
2020-06-08T16:46:21,9097091
2020-06-08T16:47:26,9091033
2020-06-08T16:48:31,9094318
2020-06-08T16:49:36,9087974
2020-06-08T16:50:41,9107641
2020-06-08T16:51:46,9157681
2020-06-08T16:52:51,9175354
2020-06-08T16:53:56,9115346
2020-06-08T16:55:01,9115553
2020-06-08T16:56:07,9132000
2020-06-08T16:57:12,9127073
2020-06-08T16:58:17,9178450
2020-06-08T16:59:22,9044923
2020-06-08T17:00:27,9134678
2020-06-08T17:01:32,9136139
2020-06-08T17:02:37,9136977
2020-06-08T17:03:42,9120027
2020-06-08T17:04:47,9130694
2020-06-08T17:05:52,9123999
2020-06-08T17:06:57,9124563
2020-06-08T17:08:03,9156484
2020-06-08T17:09:08,9125799
2020-06-08T17:10:13,9121190
2020-06-08T17:11:18,9532915
2020-06-08T17:12:26,9530421
2020-06-08T17:13:32,9514032
2020-06-08T17:14:37,9542955
2020-06-08T17:15:43,9536042
2020-06-08T17:16:48,9542765
2020-06-08T17:17:53,9543697
2020-06-08T17:18:58,9571216
2020-06-08T17:20:04,9553289
2020-06-08T17:21:09,9535057
2020-06-08T17:22:15,9543061
2020-06-08T17:23:20,9544248
2020-06-08T17:24:25,9541611
2020-06-08T17:25:30,9535530
2020-06-08T17:26:36,9546937
2020-06-08T17:27:41,9546058
2020-06-08T17:28:47,9551037
2020-06-08T17:29:52,9546789
2020-06-08T17:30:57,9538688
2020-06-08T17:32:03,9525284
2020-06-08T17:33:08,9524189
2020-06-08T17:34:13,9523406
2020-06-08T17:35:19,9530707
2020-06-08T17:36:24,9531501
