date,value
2020-06-03T14:50:02,81
2020-06-03T14:51:07,81
2020-06-03T14:52:12,82
2020-06-03T14:53:17,81
2020-06-03T14:54:22,81
2020-06-03T14:55:27,81
2020-06-03T14:56:32,82
2020-06-03T14:57:37,82
2020-06-03T14:58:42,81
2020-06-03T14:59:47,82
2020-06-03T15:00:52,82
2020-06-03T15:01:57,81
2020-06-03T15:03:02,81
2020-06-03T15:04:08,81
2020-06-03T15:05:13,81
2020-06-03T15:06:18,84
2020-06-03T15:07:23,83
2020-06-03T15:08:29,83
2020-06-03T15:09:34,82
2020-06-03T15:10:39,81
2020-06-03T15:11:44,81
2020-06-03T15:12:49,81
2020-06-03T15:13:54,81
2020-06-03T15:16:04,81
2020-06-03T15:17:09,81
2020-06-03T15:18:14,81
2020-06-03T15:19:19,81
2020-06-03T15:20:24,81
2020-06-03T15:21:29,82
2020-06-03T15:22:34,82
2020-06-03T15:25:49,81
2020-06-03T15:26:54,82
2020-06-03T15:27:59,81
2020-06-03T15:29:04,81
2020-06-03T15:30:09,81
2020-06-03T15:32:20,81
2020-06-03T15:33:25,81
2020-06-03T15:34:30,81
2020-06-03T15:35:35,81
2020-06-03T15:36:40,81
2020-06-03T15:37:45,81
2020-06-03T15:38:50,80
2020-06-03T15:39:55,81
2020-06-03T15:41:00,80
2020-06-03T15:42:05,80
2020-06-03T15:43:10,80
2020-06-03T15:44:15,80
2020-06-03T15:45:20,80
2020-06-03T15:46:26,80
2020-06-03T15:48:36,80
2020-06-03T15:49:41,80
2020-06-03T15:50:46,81
2020-06-03T15:51:51,80
2020-06-03T15:52:56,80
2020-06-03T15:54:00,80
2020-06-03T15:56:11,81
2020-06-03T15:58:21,80
2020-06-03T15:59:26,81
2020-06-03T16:00:33,81
2020-06-03T16:01:38,81
2020-06-03T16:02:43,80
2020-06-03T16:03:48,80
2020-06-03T16:04:53,81
2020-06-03T16:05:58,81
2020-06-03T16:07:03,81
2020-06-03T16:08:08,81
2020-06-03T16:09:13,81
2020-06-03T16:10:18,81
2020-06-03T16:11:23,81
2020-06-03T16:12:28,81
2020-06-03T16:13:33,81
2020-06-03T16:14:38,81
2020-06-03T16:15:43,81
2020-06-03T16:16:48,81
2020-06-03T16:17:53,81
2020-06-03T16:18:58,81
2020-06-03T16:20:03,81
2020-06-03T16:21:08,80
2020-06-03T16:22:13,80
2020-06-03T16:23:18,80
2020-06-03T16:24:24,80
2020-06-03T16:25:29,81
2020-06-03T16:26:34,81
2020-06-03T16:27:39,81
2020-06-03T16:28:44,81
2020-06-03T16:29:49,81
2020-06-03T16:30:54,81
2020-06-03T16:31:59,81
2020-06-03T16:33:04,81
2020-06-03T16:34:09,81
2020-06-03T16:35:14,81
2020-06-03T16:36:19,81
2020-06-03T16:37:24,80
2020-06-03T16:38:30,82
2020-06-03T16:42:50,80
2020-06-03T16:43:55,80
2020-06-03T16:45:00,80
2020-06-03T16:47:11,80
2020-06-03T16:48:16,80
2020-06-03T16:49:21,80
2020-06-03T16:50:27,80
2020-06-03T16:51:38,80
2020-06-03T16:52:43,80
2020-06-03T16:53:48,79
2020-06-03T16:54:53,79
2020-06-03T16:58:08,80
2020-06-03T16:59:12,80
2020-06-03T17:00:18,80
2020-06-03T17:01:23,80
2020-06-03T17:02:28,80
2020-06-03T17:03:33,80
2020-06-03T17:04:38,80
2020-06-03T17:05:43,80
2020-06-03T17:06:48,80
2020-06-03T17:08:58,80
2020-06-03T17:11:08,80
2020-06-03T17:13:18,80
2020-06-03T17:15:28,79
2020-06-03T17:17:38,79
2020-06-03T17:18:43,80
2020-06-03T17:19:48,79
2020-06-03T17:20:53,79
2020-06-03T17:21:58,79
2020-06-03T17:23:03,79
2020-06-03T17:24:08,79
2020-06-03T17:25:13,79
2020-06-03T17:26:18,80
2020-06-03T17:27:23,80
2020-06-03T17:28:28,80
2020-06-03T17:29:33,79
2020-06-03T17:30:38,79
2020-06-03T17:31:43,79
2020-06-03T17:32:48,79
2020-06-03T17:33:53,79
2020-06-03T17:34:58,79
2020-06-03T17:36:03,79
2020-06-03T17:37:08,79
2020-06-03T17:38:13,79
2020-06-03T17:39:18,79
2020-06-03T17:40:23,79
2020-06-03T17:41:28,79
2020-06-03T17:42:33,79
2020-06-03T17:43:38,79
2020-06-03T17:44:43,79
2020-06-03T17:45:48,79
2020-06-03T17:46:54,79
2020-06-03T17:49:04,79
2020-06-03T17:50:08,79
2020-06-03T17:51:13,79
2020-06-03T17:52:18,79
2020-06-03T17:53:23,79
2020-06-03T17:54:28,79
2020-06-03T17:55:33,79
2020-06-03T17:56:39,79
2020-06-03T17:57:43,78
2020-06-03T17:58:48,78
2020-06-03T17:59:53,78
2020-06-03T18:00:58,78
2020-06-03T18:02:03,78
2020-06-03T18:03:08,78
2020-06-03T18:04:14,78
2020-06-03T18:05:18,78
2020-06-03T18:06:23,78
2020-06-03T18:07:28,78
2020-06-03T18:10:43,78
2020-06-03T18:11:49,77
2020-06-03T18:12:54,77
2020-06-03T18:15:04,77
2020-06-03T18:16:09,77
2020-06-03T18:17:14,77
2020-06-03T18:18:19,77
2020-06-03T18:19:24,78
2020-06-03T18:20:29,77
2020-06-03T18:21:34,77
2020-06-03T18:22:40,77
2020-06-03T18:23:44,78
2020-06-03T18:24:49,78
2020-06-03T18:25:54,77
2020-06-03T18:26:59,77
2020-06-03T18:28:04,77
2020-06-03T18:29:09,77
2020-06-03T18:30:14,77
2020-06-03T18:31:19,77
2020-06-03T18:32:24,77
2020-06-03T18:33:29,77
2020-06-03T18:34:34,77
2020-06-03T18:36:44,77
2020-06-03T18:38:54,78
