date,value
2020-06-03T02:50:16,1214670
2020-06-03T02:51:21,1214680
2020-06-03T02:52:26,1214590
2020-06-03T02:53:31,1214630
2020-06-03T02:54:36,1214170
2020-06-03T02:55:41,1211390
2020-06-03T02:56:46,1211300
2020-06-03T02:57:51,1209290
2020-06-03T02:58:56,1149230
2020-06-03T03:00:01,1148390
2020-06-03T03:01:06,1147980
2020-06-03T03:02:11,1147850
2020-06-03T03:03:18,1147900
2020-06-03T03:04:23,1147950
2020-06-03T03:05:28,1148290
2020-06-03T03:06:33,1148280
2020-06-03T03:07:38,1148520
2020-06-03T03:08:43,1149380
2020-06-03T03:09:48,1149020
2020-06-03T03:10:53,1149200
2020-06-03T03:11:58,1151410
2020-06-03T03:13:03,1153250
2020-06-03T03:14:08,1150580
2020-06-03T03:15:13,1150480
2020-06-03T03:16:18,1150480
2020-06-03T03:17:23,1150280
2020-06-03T03:18:28,1150320
2020-06-03T03:19:33,1149310
2020-06-03T03:20:38,1149620
2020-06-03T03:21:43,1149410
2020-06-03T03:22:48,1149470
2020-06-03T03:23:53,1149110
2020-06-03T03:24:58,1149110
2020-06-03T03:26:03,1149040
2020-06-03T03:27:08,1143930
2020-06-03T03:28:13,1141680
2020-06-03T03:29:18,1141450
2020-06-03T03:30:23,1141090
2020-06-03T03:31:28,1141020
2020-06-03T03:32:33,1141050
2020-06-03T03:33:38,1141120
2020-06-03T03:34:43,1136000
2020-06-03T03:35:48,1136100
2020-06-03T03:36:53,1136050
2020-06-03T03:37:58,1136070
2020-06-03T03:39:04,1136130
2020-06-03T03:40:09,1136020
2020-06-03T03:41:14,1148380
2020-06-03T03:42:19,1147750
2020-06-03T03:43:24,1147690
2020-06-03T03:44:29,1147690
2020-06-03T03:45:34,1147450
2020-06-03T03:46:39,1147750
2020-06-03T03:47:44,1147730
2020-06-03T03:48:49,1147830
2020-06-03T03:49:54,1147900
2020-06-03T03:50:59,1147840
2020-06-03T03:52:04,1152320
2020-06-03T03:53:09,1152230
2020-06-03T03:54:14,1152170
2020-06-03T03:55:19,1152330
2020-06-03T03:56:24,1151640
2020-06-03T03:57:29,1155840
2020-06-03T03:58:34,1155480
2020-06-03T03:59:39,1152870
2020-06-03T04:00:44,1153330
2020-06-03T04:01:49,1153380
2020-06-03T04:02:54,1147190
2020-06-03T04:03:59,1145780
2020-06-03T04:05:04,1145720
2020-06-03T04:06:09,1144150
2020-06-03T04:07:14,1144090
2020-06-03T04:08:19,1141850
2020-06-03T04:09:25,1137500
2020-06-03T04:10:30,1137690
2020-06-03T04:11:35,1140370
2020-06-03T04:12:40,1142960
2020-06-03T04:13:45,1144010
2020-06-03T04:14:49,1144130
2020-06-03T04:15:55,1144090
2020-06-03T04:17:00,1144150
2020-06-03T04:18:05,1144110
2020-06-03T04:19:10,1144090
2020-06-03T04:20:15,1144140
2020-06-03T04:21:20,1144000
2020-06-03T04:22:25,1143480
2020-06-03T04:23:30,1143600
2020-06-03T04:24:35,1144360
2020-06-03T04:25:40,1146940
2020-06-03T04:26:45,1147550
2020-06-03T04:27:50,1147380
2020-06-03T04:28:55,1148010
2020-06-03T04:30:00,1146510
2020-06-03T04:31:05,1147000
2020-06-03T04:32:10,1147100
2020-06-03T04:33:15,1147810
2020-06-03T04:34:20,1148040
