date,value
2020-06-08T02:28:43,2499526
2020-06-08T02:29:48,2500764
2020-06-08T02:30:53,2501372
2020-06-08T02:31:58,2493642
2020-06-08T02:33:04,2500165
2020-06-08T02:34:11,2501796
2020-06-08T02:35:16,2501621
2020-06-08T02:36:21,2499229
2020-06-08T02:37:26,2483565
2020-06-08T02:38:31,2466234
2020-06-08T02:39:36,2468660
2020-06-08T02:40:41,2464820
2020-06-08T02:41:46,2464638
2020-06-08T02:42:51,2466503
2020-06-08T02:43:56,2468006
2020-06-08T02:45:01,2467691
2020-06-08T02:46:06,2468734
2020-06-08T02:47:11,2466661
2020-06-08T02:48:16,2470128
2020-06-08T02:49:21,2471082
2020-06-08T02:50:26,2460155
2020-06-08T02:51:31,2462684
2020-06-08T02:52:36,2463656
2020-06-08T02:53:41,2462526
2020-06-08T02:54:46,2463290
2020-06-08T02:55:51,2463412
2020-06-08T02:56:56,2461172
2020-06-08T02:58:01,2462022
2020-06-08T02:59:06,2468261
2020-06-08T03:00:11,2470006
2020-06-08T03:01:16,2471215
2020-06-08T03:02:21,2471434
2020-06-08T03:03:26,2472623
2020-06-08T03:04:31,2471373
2020-06-08T03:05:36,2472781
2020-06-08T03:06:41,2473337
2020-06-08T03:07:46,2470572
2020-06-08T03:08:51,2471215
2020-06-08T03:09:56,2471505
2020-06-08T03:11:01,2472245
2020-06-08T03:12:06,2473337
2020-06-08T03:13:11,2475019
2020-06-08T03:14:16,2475372
2020-06-08T03:15:21,2474244
2020-06-08T03:16:26,2724800
2020-06-08T03:17:31,2725822
2020-06-08T03:18:36,2728377
2020-06-08T03:19:41,2727797
2020-06-08T03:20:46,2726924
2020-06-08T03:21:51,2725891
2020-06-08T03:22:56,2724616
2020-06-08T03:24:01,2726532
2020-06-08T03:25:06,2726236
2020-06-08T03:26:11,2725191
2020-06-08T03:27:16,2725660
2020-06-08T03:28:21,2723968
2020-06-08T03:29:26,2723244
2020-06-08T03:30:31,2722644
2020-06-08T03:31:36,2721188
2020-06-08T03:32:41,2724058
2020-06-08T03:33:46,2725061
2020-06-08T03:34:50,2728284
2020-06-08T03:35:56,2725429
2020-06-08T03:37:01,2727815
2020-06-08T03:38:06,2729364
2020-06-08T03:39:11,2725340
2020-06-08T03:40:16,2725061
2020-06-08T03:41:21,2727487
2020-06-08T03:42:26,2726639
2020-06-08T03:43:31,2724829
2020-06-08T03:44:36,2724016
2020-06-08T03:45:41,2725422
2020-06-08T03:46:46,2722314
2020-06-08T03:47:51,2724206
2020-06-08T03:48:56,2723203
2020-06-08T03:50:01,2725900
2020-06-08T03:51:06,2725267
2020-06-08T03:52:11,2726360
2020-06-08T03:53:16,2724064
2020-06-08T03:54:21,2724616
2020-06-08T03:55:26,2726360
2020-06-08T03:56:32,2725316
2020-06-08T03:57:37,2721739
2020-06-08T03:58:42,2724633
2020-06-08T03:59:47,2723844
2020-06-08T04:00:52,2727536
2020-06-08T04:01:57,2726817
2020-06-08T04:03:02,2725536
2020-06-08T04:04:07,2730219
2020-06-08T04:05:12,2662803
2020-06-08T04:06:17,2651778
2020-06-08T04:07:22,2666872
2020-06-08T04:08:27,2667081
2020-06-08T04:09:32,2662659
2020-06-08T04:10:37,2663775
2020-06-08T04:11:42,2665130
2020-06-08T04:12:48,2666674
2020-06-08T04:13:53,2667112
2020-06-08T04:14:58,2665662
2020-06-08T04:16:03,2667566
2020-06-08T04:17:08,2668078
2020-06-08T04:18:13,2668286
2020-06-08T04:19:18,2666695
2020-06-08T04:20:22,2666638
2020-06-08T04:21:27,2667728
2020-06-08T04:22:32,2665341
2020-06-08T04:23:38,2667472
2020-06-08T04:24:43,2666732
2020-06-08T04:25:48,2667253
2020-06-08T04:26:53,2666742
2020-06-08T04:27:58,2669461
2020-06-08T04:29:03,2666638
2020-06-08T04:30:08,2669283
2020-06-08T04:31:13,2667973
2020-06-08T04:32:18,2667994
2020-06-08T04:33:23,2667660
2020-06-08T04:34:28,2666079
2020-06-08T04:35:33,2666951
2020-06-08T04:36:38,2667321
2020-06-08T04:37:43,2662279
2020-06-08T04:38:48,2665766
2020-06-08T04:39:54,2664942
2020-06-08T04:40:59,2665292
2020-06-08T04:42:04,2664525
2020-06-08T04:43:09,2662044
2020-06-08T04:44:14,2660689
2020-06-08T04:45:19,2663530
2020-06-08T04:46:24,2661862
2020-06-08T04:47:29,2661372
2020-06-08T04:48:34,2663415
2020-06-08T04:49:40,2662044
2020-06-08T04:50:45,2660898
2020-06-08T04:51:50,2662070
2020-06-08T04:52:56,2660470
2020-06-08T04:54:01,2657397
2020-06-08T04:55:06,2658824
2020-06-08T04:56:11,2659162
2020-06-08T04:57:16,2660031
2020-06-08T04:58:21,2659532
2020-06-08T04:59:26,2659324
2020-06-08T05:00:31,2663237
2020-06-08T05:01:36,2664061
2020-06-08T05:02:41,2663342
2020-06-08T05:03:46,2662221
2020-06-08T05:04:51,2661189
2020-06-08T05:05:56,2660215
2020-06-08T05:07:01,2660750
2020-06-08T05:08:07,2660970
2020-06-08T05:09:12,2661549
2020-06-08T05:10:17,2660501
2020-06-08T05:11:22,2665066
2020-06-08T05:12:27,2662925
2020-06-08T05:13:32,2662357
2020-06-08T05:14:37,2662878
2020-06-08T05:15:42,2662726
2020-06-08T05:16:47,2663644
2020-06-08T05:17:53,2663900
2020-06-08T05:18:57,2660168
2020-06-08T05:20:02,2659949
2020-06-08T05:21:07,2659043
2020-06-08T05:22:13,2662299
2020-06-08T05:23:18,2661153
2020-06-08T05:24:23,2662279
2020-06-08T05:25:28,2663994
2020-06-08T05:26:33,2662461
2020-06-08T05:27:38,2664687
2020-06-08T05:28:43,2684298
2020-06-08T05:29:48,2668373
2020-06-08T05:30:53,2667046
2020-06-08T05:31:59,2669975
2020-06-08T05:33:04,2660397
2020-06-08T05:34:09,2663475
2020-06-08T05:35:15,2665568
2020-06-08T05:36:20,2665501
2020-06-08T05:37:25,2665454
2020-06-08T05:38:30,2659991
2020-06-08T05:39:35,2663446
2020-06-08T05:40:41,2663873
2020-06-08T05:41:46,2664724
2020-06-08T05:42:51,2663947
2020-06-08T05:43:56,2665900
2020-06-08T05:45:01,2666600
2020-06-08T05:46:06,2666345
2020-06-08T05:47:12,2665019
2020-06-08T05:48:16,2667263
2020-06-08T05:49:21,2666421
2020-06-08T05:50:26,2668165
2020-06-08T05:51:31,2666989
2020-06-08T05:52:37,2732751
2020-06-08T05:53:42,2707568
2020-06-08T05:54:47,2685743
2020-06-08T05:55:52,2671462
2020-06-08T05:56:57,2670598
2020-06-08T05:58:02,2671423
2020-06-08T05:59:07,2669164
2020-06-08T06:00:12,2672673
2020-06-08T06:01:17,2661711
2020-06-08T06:02:23,2673178
2020-06-08T06:03:28,2671735
2020-06-08T06:04:33,2671271
2020-06-08T06:05:38,2674564
