date,value
2020-06-08T02:28:43,53206
2020-06-08T02:29:48,53199
2020-06-08T02:30:53,53200
2020-06-08T02:31:58,53224
2020-06-08T02:33:04,53204
2020-06-08T02:34:11,53204
2020-06-08T02:35:16,53204
2020-06-08T02:36:21,53203
2020-06-08T02:37:26,53268
2020-06-08T02:38:31,53260
2020-06-08T02:39:36,53265
2020-06-08T02:40:41,53272
2020-06-08T02:41:46,53263
2020-06-08T02:42:51,53260
2020-06-08T02:43:56,53264
2020-06-08T02:45:01,53262
2020-06-08T02:46:06,53259
2020-06-08T02:47:11,53267
2020-06-08T02:48:16,53263
2020-06-08T02:49:21,53263
2020-06-08T02:50:26,53277
2020-06-08T02:51:31,53276
2020-06-08T02:52:36,53283
2020-06-08T02:53:41,53283
2020-06-08T02:54:46,53276
2020-06-08T02:55:51,53278
2020-06-08T02:56:56,53282
2020-06-08T02:58:01,53279
2020-06-08T02:59:06,53279
2020-06-08T03:00:11,53284
2020-06-08T03:01:16,53276
2020-06-08T03:02:21,53273
2020-06-08T03:03:26,53272
2020-06-08T03:04:31,53276
2020-06-08T03:05:36,53275
2020-06-08T03:06:41,53279
2020-06-08T03:07:46,53273
2020-06-08T03:08:51,53281
2020-06-08T03:09:56,53273
2020-06-08T03:11:01,53277
2020-06-08T03:12:06,53279
2020-06-08T03:13:11,53326
2020-06-08T03:14:16,53329
2020-06-08T03:15:21,53325
2020-06-08T03:16:26,53326
2020-06-08T03:17:31,53311
2020-06-08T03:18:36,53328
2020-06-08T03:19:41,53332
2020-06-08T03:20:46,53322
2020-06-08T03:21:51,53324
2020-06-08T03:22:56,53331
2020-06-08T03:24:01,53325
2020-06-08T03:25:06,53326
2020-06-08T03:26:11,53329
2020-06-08T03:27:16,53325
2020-06-08T03:28:21,53345
2020-06-08T03:29:26,53346
2020-06-08T03:30:31,53421
2020-06-08T03:31:36,53427
2020-06-08T03:32:41,53421
2020-06-08T03:33:46,53416
2020-06-08T03:34:50,53419
2020-06-08T03:35:56,53408
2020-06-08T03:37:01,53422
2020-06-08T03:38:06,53416
2020-06-08T03:39:11,53422
2020-06-08T03:40:16,53425
2020-06-08T03:41:21,53417
2020-06-08T03:42:26,53424
