date,value
2020-06-08T02:28:43,731130
2020-06-08T02:29:48,731160
2020-06-08T02:30:53,731350
2020-06-08T02:31:58,730800
2020-06-08T02:33:04,730740
2020-06-08T02:34:11,730730
2020-06-08T02:35:16,729870
2020-06-08T02:36:21,729930
2020-06-08T02:37:26,729910
2020-06-08T02:38:31,729960
2020-06-08T02:39:36,729930
2020-06-08T02:40:41,729930
2020-06-08T02:41:46,729900
2020-06-08T02:42:51,729950
2020-06-08T02:43:56,729930
2020-06-08T02:45:01,729850
2020-06-08T02:46:06,729910
2020-06-08T02:47:11,731420
2020-06-08T02:48:16,730730
2020-06-08T02:49:21,730110
2020-06-08T02:50:26,729720
2020-06-08T02:51:31,729960
2020-06-08T02:52:36,730000
2020-06-08T02:53:41,730060
2020-06-08T02:54:46,730030
2020-06-08T02:55:51,729960
2020-06-08T02:56:56,730110
2020-06-08T02:58:01,729260
2020-06-08T02:59:06,729340
2020-06-08T03:00:11,732250
2020-06-08T03:01:16,732320
2020-06-08T03:02:21,732330
2020-06-08T03:03:26,732370
2020-06-08T03:04:31,732340
2020-06-08T03:05:36,732340
2020-06-08T03:06:41,732370
2020-06-08T03:07:46,732360
2020-06-08T03:08:51,732350
2020-06-08T03:09:56,732270
2020-06-08T03:11:01,732350
2020-06-08T03:12:06,732330
2020-06-08T03:13:11,733120
2020-06-08T03:14:16,733060
2020-06-08T03:15:21,733130
2020-06-08T03:16:26,733110
2020-06-08T03:17:31,733190
2020-06-08T03:18:36,733080
2020-06-08T03:19:41,733180
2020-06-08T03:20:46,733130
2020-06-08T03:21:51,733130
2020-06-08T03:22:56,733090
2020-06-08T03:24:01,733040
2020-06-08T03:25:06,733100
2020-06-08T03:26:11,733140
2020-06-08T03:27:16,733110
2020-06-08T03:28:21,732270
2020-06-08T03:29:26,732330
2020-06-08T03:30:31,729330
2020-06-08T03:31:36,729920
2020-06-08T03:32:41,729900
2020-06-08T03:33:46,730000
2020-06-08T03:34:50,730030
2020-06-08T03:35:56,730060
2020-06-08T03:37:01,730000
2020-06-08T03:38:06,729990
2020-06-08T03:39:11,729980
2020-06-08T03:40:16,730040
2020-06-08T03:41:21,730050
2020-06-08T03:42:26,730010
2020-06-08T03:43:31,730100
2020-06-08T03:44:36,729400
2020-06-08T03:45:41,729410
2020-06-08T03:46:46,729430
2020-06-08T03:47:51,729460
2020-06-08T03:48:56,729400
2020-06-08T03:50:01,729490
2020-06-08T03:51:06,729450
2020-06-08T03:52:11,729400
2020-06-08T03:53:16,729450
2020-06-08T03:54:21,727890
2020-06-08T03:55:26,727880
2020-06-08T03:56:32,727960
2020-06-08T03:57:37,727910
2020-06-08T03:58:42,727990
2020-06-08T03:59:47,727950
2020-06-08T04:00:52,727940
2020-06-08T04:01:57,727880
2020-06-08T04:03:02,727890
2020-06-08T04:04:07,727950
2020-06-08T04:05:12,727950
2020-06-08T04:06:17,726810
2020-06-08T04:07:22,726830
2020-06-08T04:08:27,724120
2020-06-08T04:09:32,724790
2020-06-08T04:10:37,724610
2020-06-08T04:11:42,724780
2020-06-08T04:12:48,723500
2020-06-08T04:13:53,723750
2020-06-08T04:14:58,731590
2020-06-08T04:16:03,731340
2020-06-08T04:17:08,731930
2020-06-08T04:18:13,731920
2020-06-08T04:19:18,732510
2020-06-08T04:20:23,732430
2020-06-08T04:21:28,732890
2020-06-08T04:22:32,732540
2020-06-08T04:23:38,732560
2020-06-08T04:24:43,732610
2020-06-08T04:25:48,732560
2020-06-08T04:26:53,732070
2020-06-08T04:27:58,732050
2020-06-08T04:29:03,732070
2020-06-08T04:30:08,732060
2020-06-08T04:31:13,732110
2020-06-08T04:32:18,732070
2020-06-08T04:33:23,731760
2020-06-08T04:34:28,731730
2020-06-08T04:35:33,731710
2020-06-08T04:36:38,731770
2020-06-08T04:37:44,731770
2020-06-08T04:38:49,731730
2020-06-08T04:39:54,731790
2020-06-08T04:40:59,731790
2020-06-08T04:42:04,731750
2020-06-08T04:43:09,732370
2020-06-08T04:44:14,732330
2020-06-08T04:45:19,732120
2020-06-08T04:46:24,732360
2020-06-08T04:47:29,732270
2020-06-08T04:48:34,732340
2020-06-08T04:49:40,732330
2020-06-08T04:50:45,732360
2020-06-08T04:51:51,732300
2020-06-08T04:52:56,732340
2020-06-08T04:54:01,732380
2020-06-08T04:55:06,724270
2020-06-08T04:56:11,724290
2020-06-08T04:57:16,724290
2020-06-08T04:58:21,724280
2020-06-08T04:59:26,724250
2020-06-08T05:00:31,724130
2020-06-08T05:01:36,723800
2020-06-08T05:02:41,723800
2020-06-08T05:03:46,723770
2020-06-08T05:04:51,723810
2020-06-08T05:05:56,723860
2020-06-08T05:07:01,723780
2020-06-08T05:08:07,723830
2020-06-08T05:09:12,723760
2020-06-08T05:10:17,723790
2020-06-08T05:11:22,723750
2020-06-08T05:12:27,723780
2020-06-08T05:13:32,723800
2020-06-08T05:14:37,723790
2020-06-08T05:15:42,723750
2020-06-08T05:16:47,723780
2020-06-08T05:17:53,723780
2020-06-08T05:18:58,723790
2020-06-08T05:20:03,724270
2020-06-08T05:21:07,724290
2020-06-08T05:22:13,724250
2020-06-08T05:23:18,724310
2020-06-08T05:24:23,724270
2020-06-08T05:25:28,724260
2020-06-08T05:26:33,724340
2020-06-08T05:27:38,724220
2020-06-08T05:28:43,723970
2020-06-08T05:29:48,724020
2020-06-08T05:30:53,724060
2020-06-08T05:31:59,724050
2020-06-08T05:33:04,724070
2020-06-08T05:34:09,724070
2020-06-08T05:35:15,723970
2020-06-08T05:36:20,724020
2020-06-08T05:37:25,724050
2020-06-08T05:38:30,724000
2020-06-08T05:39:36,724080
2020-06-08T05:40:41,724020
2020-06-08T05:41:46,723990
2020-06-08T05:42:51,724030
2020-06-08T05:43:56,723540
2020-06-08T05:45:01,722840
2020-06-08T05:46:07,722860
2020-06-08T05:47:12,722820
2020-06-08T05:48:16,722870
2020-06-08T05:49:22,722890
2020-06-08T05:50:27,722860
2020-06-08T05:51:32,722880
2020-06-08T05:52:37,722320
2020-06-08T05:53:42,722260
2020-06-08T05:54:47,722270
2020-06-08T05:55:52,722170
2020-06-08T05:56:57,722250
2020-06-08T05:58:02,722310
2020-06-08T05:59:07,722010
2020-06-08T06:00:12,722080
2020-06-08T06:01:17,722650
2020-06-08T06:02:23,722360
2020-06-08T06:03:28,722310
2020-06-08T06:04:33,722380
2020-06-08T06:05:38,722620
2020-06-08T06:06:43,723440
2020-06-08T06:07:47,723440
2020-06-08T06:08:53,723400
2020-06-08T06:09:58,723460
2020-06-08T06:11:03,723200
2020-06-08T06:12:08,723430
2020-06-08T06:13:13,723460
2020-06-08T06:14:18,723490
2020-06-08T06:15:23,723420
2020-06-08T06:16:28,723480
2020-06-08T06:17:33,723480
2020-06-08T06:18:38,723440
2020-06-08T06:19:43,723450
2020-06-08T06:20:48,723490
2020-06-08T06:21:53,724590
2020-06-08T06:22:58,724560
2020-06-08T06:24:03,724490
2020-06-08T06:25:08,724390
2020-06-08T06:26:13,724420
2020-06-08T06:27:18,724460
2020-06-08T06:28:23,724420
2020-06-08T06:29:27,724450
2020-06-08T06:30:32,724420
2020-06-08T06:31:37,724390
2020-06-08T06:32:42,724460
2020-06-08T06:33:47,724430
2020-06-08T06:34:52,723960
2020-06-08T06:35:57,723960
2020-06-08T06:37:02,723980
2020-06-08T06:38:07,723980
2020-06-08T06:39:12,724000
2020-06-08T06:40:17,723980
2020-06-08T06:41:23,723930
2020-06-08T06:42:27,723940
2020-06-08T06:43:32,723880
2020-06-08T06:44:37,725170
2020-06-08T06:45:42,725110
2020-06-08T06:46:47,725120
2020-06-08T06:47:52,725160
2020-06-08T06:48:57,725180
2020-06-08T06:50:02,726220
2020-06-08T06:51:07,726280
2020-06-08T06:52:12,726260
2020-06-08T06:53:17,728030
2020-06-08T06:54:22,729280
2020-06-08T06:55:27,728600
2020-06-08T06:56:32,728620
2020-06-08T06:57:37,729860
2020-06-08T06:58:43,729920
2020-06-08T06:59:48,729860
2020-06-08T07:00:53,729910
2020-06-08T07:01:57,729840
2020-06-08T07:03:03,729960
2020-06-08T07:04:07,729910
2020-06-08T07:05:12,732460
2020-06-08T07:06:17,732500
2020-06-08T07:07:22,732510
2020-06-08T07:08:27,732430
2020-06-08T07:09:32,732470
2020-06-08T07:10:38,732450
2020-06-08T07:11:43,733070
2020-06-08T07:12:48,731740
2020-06-08T07:13:54,731800
2020-06-08T07:14:59,731320
2020-06-08T07:16:04,731620
2020-06-08T07:17:09,731560
2020-06-08T07:18:15,731630
2020-06-08T07:19:20,731560
2020-06-08T07:20:25,736980
2020-06-08T07:21:30,737020
2020-06-08T07:22:35,736800
2020-06-08T07:23:40,737100
2020-06-08T07:24:45,737070
2020-06-08T07:25:50,737050
2020-06-08T07:26:55,737030
2020-06-08T07:28:00,737010
2020-06-08T07:29:05,737070
2020-06-08T07:30:10,737060
2020-06-08T07:31:15,737070
2020-06-08T07:32:20,737030
2020-06-08T07:33:24,737030
2020-06-08T07:34:29,737050
2020-06-08T07:35:34,737020
2020-06-08T07:36:39,737410
2020-06-08T07:37:44,737820
2020-06-08T07:38:49,738440
2020-06-08T07:39:54,738420
2020-06-08T07:40:59,738430
2020-06-08T07:42:05,738420
2020-06-08T07:43:10,740050
2020-06-08T07:44:15,740250
2020-06-08T07:45:20,740300
2020-06-08T07:46:26,739740
2020-06-08T07:47:31,739680
2020-06-08T07:48:36,740460
2020-06-08T07:49:41,740580
2020-06-08T07:50:46,740570
2020-06-08T07:51:51,741020
2020-06-08T07:52:56,741050
2020-06-08T07:54:01,741020
2020-06-08T07:55:06,740990
2020-06-08T07:56:11,741040
2020-06-08T07:57:16,741040
2020-06-08T07:58:21,741230
2020-06-08T07:59:26,741790
2020-06-08T08:00:31,741790
2020-06-08T08:01:36,741240
2020-06-08T08:02:41,741810
2020-06-08T08:03:46,741780
2020-06-08T08:04:51,741790
2020-06-08T08:05:56,741730
2020-06-08T08:07:01,741790
2020-06-08T08:08:06,741770
2020-06-08T08:09:11,741760
2020-06-08T08:10:16,741780
2020-06-08T08:11:21,741740
2020-06-08T08:12:26,741820
2020-06-08T08:13:31,741740
2020-06-08T08:14:36,741790
2020-06-08T08:15:41,742600
2020-06-08T08:16:46,742520
2020-06-08T08:17:51,743750
2020-06-08T08:18:56,742250
2020-06-08T08:20:02,742130
2020-06-08T08:21:07,742280
2020-06-08T08:22:12,742240
2020-06-08T08:23:17,741660
2020-06-08T08:24:22,741750
2020-06-08T08:25:27,741670
2020-06-08T08:26:32,741710
2020-06-08T08:27:37,741740
2020-06-08T08:28:43,741690
2020-06-08T08:29:47,741750
2020-06-08T08:30:52,741710
2020-06-08T08:31:57,741680
2020-06-08T08:33:02,741670
2020-06-08T08:34:08,741740
2020-06-08T08:35:13,741650
2020-06-08T08:36:18,741700
2020-06-08T08:37:23,741700
2020-06-08T08:38:28,741720
2020-06-08T08:39:33,742760
2020-06-08T08:40:38,742810
2020-06-08T08:41:43,742810
2020-06-08T08:42:48,743650
2020-06-08T08:43:53,743650
2020-06-08T08:44:58,743650
2020-06-08T08:46:03,743650
2020-06-08T08:47:08,743650
2020-06-08T08:48:13,743650
2020-06-08T08:49:18,743650
2020-06-08T08:50:23,743650
2020-06-08T08:51:28,743650
2020-06-08T08:52:33,743650
2020-06-08T08:53:38,743650
2020-06-08T08:54:43,743650
2020-06-08T08:55:48,743650
2020-06-08T08:56:53,743650
2020-06-08T08:57:57,743650
2020-06-08T08:59:02,743650
2020-06-08T09:00:08,743650
2020-06-08T09:01:13,743650
2020-06-08T09:02:19,743650
2020-06-08T09:03:24,743870
2020-06-08T09:04:29,743870
2020-06-08T09:05:33,743870
2020-06-08T09:06:39,743870
2020-06-08T09:07:44,743870
2020-06-08T09:08:49,743870
