date,value
2020-06-03T02:50:16,1936
2020-06-03T02:51:21,1936
2020-06-03T02:52:26,1936
2020-06-03T02:53:31,1925
2020-06-03T02:54:36,1925
2020-06-03T02:55:41,1924
2020-06-03T02:56:46,1917
2020-06-03T02:57:51,1911
2020-06-03T02:58:56,1907
2020-06-03T03:00:01,1904
2020-06-03T03:01:06,1898
2020-06-03T03:02:11,1896
2020-06-03T03:03:18,1888
2020-06-03T03:04:23,1887
2020-06-03T03:05:28,1872
2020-06-03T03:06:33,1867
2020-06-03T03:07:38,1856
2020-06-03T03:08:43,1857
2020-06-03T03:09:48,1844
2020-06-03T03:10:53,1839
2020-06-03T03:11:58,1840
2020-06-03T03:13:03,1834
2020-06-03T03:14:08,1828
2020-06-03T03:15:13,1826
2020-06-03T03:16:18,1825
2020-06-03T03:17:23,1818
2020-06-03T03:18:28,1807
2020-06-03T03:19:33,1803
2020-06-03T03:20:38,1802
2020-06-03T03:21:43,1804
2020-06-03T03:22:48,1803
2020-06-03T03:23:53,1804
2020-06-03T03:24:57,1804
2020-06-03T03:26:03,1802
2020-06-03T03:27:08,1803
2020-06-03T03:28:13,1805
2020-06-03T03:29:18,1804
2020-06-03T03:30:23,1804
2020-06-03T03:31:28,1805
2020-06-03T03:32:33,1803
2020-06-03T03:33:38,1802
2020-06-03T03:34:43,1802
2020-06-03T03:35:48,1802
2020-06-03T03:36:53,1802
2020-06-03T03:37:58,1802
2020-06-03T03:39:03,1804
2020-06-03T03:40:08,1802
2020-06-03T03:41:13,1800
2020-06-03T03:42:18,1804
2020-06-03T03:43:23,1801
2020-06-03T03:44:29,1802
2020-06-03T03:45:34,1802
2020-06-03T03:46:39,1802
2020-06-03T03:47:44,1801
2020-06-03T03:48:49,1802
2020-06-03T03:49:54,1804
2020-06-03T03:50:59,1800
2020-06-03T03:52:04,1804
2020-06-03T03:53:09,1802
2020-06-03T03:54:14,1803
2020-06-03T03:55:19,1803
2020-06-03T03:56:24,1803
2020-06-03T03:57:29,1805
2020-06-03T03:58:34,1801
2020-06-03T03:59:39,1804
2020-06-03T04:00:44,1802
2020-06-03T04:01:49,1802
2020-06-03T04:02:54,1802
2020-06-03T04:03:59,1803
2020-06-03T04:05:04,1804
2020-06-03T04:06:09,1802
2020-06-03T04:07:14,1804
2020-06-03T04:08:19,1794
2020-06-03T04:09:24,1798
2020-06-03T04:10:29,1800
2020-06-03T04:11:34,1799
2020-06-03T04:12:39,1799
2020-06-03T04:13:44,1800
2020-06-03T04:14:49,1799
2020-06-03T04:15:55,1797
2020-06-03T04:16:59,1797
2020-06-03T04:18:04,1799
2020-06-03T04:19:09,1799
2020-06-03T04:20:14,1800
2020-06-03T04:21:19,1799
2020-06-03T04:22:24,1799
2020-06-03T04:23:29,1797
2020-06-03T04:24:34,1798
2020-06-03T04:25:39,1799
2020-06-03T04:26:45,1798
2020-06-03T04:27:50,1799
2020-06-03T04:28:55,1800
2020-06-03T04:30:00,1798
2020-06-03T04:31:05,1797
2020-06-03T04:32:10,1799
2020-06-03T04:33:15,1796
2020-06-03T04:34:20,1798
2020-06-03T04:35:25,1799
2020-06-03T04:36:30,1797
2020-06-03T04:37:35,1801
2020-06-03T04:38:40,1799
2020-06-03T04:39:45,1797
2020-06-03T04:40:50,1799
2020-06-03T04:41:55,1797
2020-06-03T04:43:00,1799
2020-06-03T04:44:05,1800
2020-06-03T04:45:10,1797
2020-06-03T04:46:15,1799
2020-06-03T04:47:20,1797
2020-06-03T04:48:25,1800
2020-06-03T04:49:30,1794
2020-06-03T04:50:36,1798
2020-06-03T04:51:41,1801
2020-06-03T04:52:46,1800
2020-06-03T04:53:51,1798
2020-06-03T04:54:56,1801
2020-06-03T04:56:01,1799
2020-06-03T04:57:06,1800
2020-06-03T04:58:12,1797
2020-06-03T04:59:17,1800
2020-06-03T05:00:22,1799
2020-06-03T05:01:27,1800
2020-06-03T05:02:32,1801
2020-06-03T05:03:37,1800
2020-06-03T05:04:42,1800
2020-06-03T05:05:47,1798
2020-06-03T05:06:52,1801
2020-06-03T05:07:57,1800
2020-06-03T05:09:02,1799
2020-06-03T05:10:07,1799
2020-06-03T05:11:12,1801
2020-06-03T05:12:17,1801
2020-06-03T05:13:22,1802
2020-06-03T05:14:27,1801
2020-06-03T05:15:32,1800
2020-06-03T05:16:38,1799
2020-06-03T05:17:43,1805
2020-06-03T05:18:47,1801
2020-06-03T05:19:53,1805
2020-06-03T05:20:58,1806
2020-06-03T05:22:03,1804
2020-06-03T05:23:08,1803
2020-06-03T05:24:14,1801
2020-06-03T05:25:19,1798
2020-06-03T05:26:24,1798
2020-06-03T05:27:29,1804
2020-06-03T05:28:34,1796
2020-06-03T05:29:39,1794
2020-06-03T05:30:44,1795
2020-06-03T05:31:49,1794
2020-06-03T05:32:54,1786
2020-06-03T05:33:59,1785
2020-06-03T05:35:04,1784
2020-06-03T05:36:09,1785
2020-06-03T05:37:14,1783
2020-06-03T05:38:19,1782
2020-06-03T05:39:24,1785
2020-06-03T05:40:29,1785
2020-06-03T05:41:34,1787
2020-06-03T05:42:39,1784
2020-06-03T05:43:44,1784
2020-06-03T05:44:49,1787
2020-06-03T05:45:54,1784
2020-06-03T05:46:59,1786
2020-06-03T05:48:04,1787
2020-06-03T05:49:09,1789
2020-06-03T05:50:14,1785
2020-06-03T05:51:19,1783
2020-06-03T05:52:24,1787
2020-06-03T05:53:29,1787
2020-06-03T05:54:34,1785
2020-06-03T05:55:40,1783
2020-06-03T05:56:45,1785
2020-06-03T05:57:50,1783
2020-06-03T05:58:55,1786
2020-06-03T06:00:00,1786
2020-06-03T06:01:05,1783
2020-06-03T06:02:10,1784
2020-06-03T06:03:15,1784
2020-06-03T06:04:20,1785
2020-06-03T06:05:25,1784
2020-06-03T06:06:30,1785
2020-06-03T06:07:35,1786
2020-06-03T06:08:39,1783
2020-06-03T06:09:44,1783
2020-06-03T06:10:50,1785
2020-06-03T06:11:54,1785
2020-06-03T06:12:59,1785
2020-06-03T06:14:05,1782
2020-06-03T06:15:10,1785
2020-06-03T06:16:15,1787
2020-06-03T06:17:20,1786
2020-06-03T06:18:25,1786
2020-06-03T06:19:30,1784
2020-06-03T06:20:35,1785
2020-06-03T06:21:40,1783
2020-06-03T06:22:45,1784
2020-06-03T06:23:50,1785
2020-06-03T06:24:55,1782
2020-06-03T06:26:00,1784
2020-06-03T06:27:05,1785
2020-06-03T06:28:10,1785
2020-06-03T06:29:14,1785
