date,value
2020-06-08T02:28:44,319034100
2020-06-08T02:29:48,319018900
2020-06-08T02:30:53,319013300
2020-06-08T02:31:59,319014100
2020-06-08T02:33:05,319003400
2020-06-08T02:34:11,318948400
2020-06-08T02:35:16,318959800
2020-06-08T02:36:21,319012400
2020-06-08T02:37:26,318941400
2020-06-08T02:38:31,319012200
2020-06-08T02:39:36,319765300
2020-06-08T02:40:41,319704000
2020-06-08T02:41:46,319835800
2020-06-08T02:42:51,319926000
2020-06-08T02:43:56,319905700
2020-06-08T02:45:01,319973100
2020-06-08T02:46:06,320015900
2020-06-08T02:47:11,320055200
2020-06-08T02:48:16,320083400
2020-06-08T02:49:21,319806400
2020-06-08T02:50:26,319871200
2020-06-08T02:51:31,319859500
2020-06-08T02:52:36,319845000
2020-06-08T02:53:41,319797600
2020-06-08T02:54:46,319918100
2020-06-08T02:55:51,319833300
2020-06-08T02:56:56,319742300
2020-06-08T02:58:01,319677800
2020-06-08T02:59:06,319816800
2020-06-08T03:00:11,319890900
2020-06-08T03:01:16,320073700
2020-06-08T03:02:21,320117700
2020-06-08T03:03:26,320257000
2020-06-08T03:04:31,320287300
2020-06-08T03:05:36,320283500
2020-06-08T03:06:41,320398100
2020-06-08T03:07:46,320489100
2020-06-08T03:08:51,320438100
2020-06-08T03:09:56,320451300
2020-06-08T03:11:01,320497500
2020-06-08T03:12:06,320487300
2020-06-08T03:13:11,320687800
2020-06-08T03:14:16,320742600
2020-06-08T03:15:21,320865900
2020-06-08T03:16:26,320822300
2020-06-08T03:17:31,320814500
2020-06-08T03:18:36,320815400
2020-06-08T03:19:41,320822100
2020-06-08T03:20:46,320832400
2020-06-08T03:21:51,320836800
2020-06-08T03:22:56,320808100
2020-06-08T03:24:01,320805100
2020-06-08T03:25:06,320805200
2020-06-08T03:26:11,320800400
2020-06-08T03:27:16,320812100
2020-06-08T03:28:21,320818800
2020-06-08T03:29:26,320792800
2020-06-08T03:30:31,320730500
2020-06-08T03:31:36,320730600
2020-06-08T03:32:41,320728900
2020-06-08T03:33:46,320715700
2020-06-08T03:34:51,320764700
2020-06-08T03:35:56,320692400
2020-06-08T03:37:01,320692500
2020-06-08T03:38:06,320752000
2020-06-08T03:39:11,320612000
2020-06-08T03:40:16,320665500
2020-06-08T03:41:21,320605200
2020-06-08T03:42:26,320615800
2020-06-08T03:43:31,320688200
2020-06-08T03:44:36,320817900
2020-06-08T03:45:41,320729500
2020-06-08T03:46:46,320772300
2020-06-08T03:47:51,320720700
2020-06-08T03:48:56,320757200
2020-06-08T03:50:01,320786800
2020-06-08T03:51:06,320827400
