date,value
2020-06-08T02:28:43,143047
2020-06-08T02:29:48,142809
2020-06-08T02:30:53,143023
2020-06-08T02:31:58,142409
2020-06-08T02:33:04,142982
2020-06-08T02:34:11,142858
2020-06-08T02:35:16,143511
2020-06-08T02:36:21,142974
2020-06-08T02:37:26,140553
2020-06-08T02:38:31,141099
2020-06-08T02:39:36,141889
2020-06-08T02:40:41,142334
2020-06-08T02:41:46,142539
2020-06-08T02:42:51,142175
2020-06-08T02:43:56,142065
2020-06-08T02:45:01,142678
2020-06-08T02:46:06,142618
2020-06-08T02:47:11,142580
2020-06-08T02:48:16,141754
2020-06-08T02:49:21,142382
2020-06-08T02:50:26,142630
2020-06-08T02:51:31,141927
2020-06-08T02:52:36,142161
2020-06-08T02:53:41,142424
2020-06-08T02:54:46,142615
2020-06-08T02:55:51,142625
2020-06-08T02:56:56,142742
2020-06-08T02:58:01,140189
2020-06-08T02:59:06,142401
2020-06-08T03:00:11,142228
2020-06-08T03:01:16,142204
2020-06-08T03:02:21,142168
2020-06-08T03:03:26,142343
2020-06-08T03:04:31,142675
2020-06-08T03:05:36,142361
2020-06-08T03:06:41,142104
2020-06-08T03:07:46,142405
2020-06-08T03:08:51,142500
2020-06-08T03:09:56,142492
2020-06-08T03:11:01,142262
2020-06-08T03:12:06,142533
2020-06-08T03:13:11,142523
2020-06-08T03:14:16,142450
2020-06-08T03:15:21,142599
2020-06-08T03:16:26,142786
2020-06-08T03:17:31,142306
2020-06-08T03:18:36,141932
2020-06-08T03:19:41,142277
2020-06-08T03:20:46,142566
2020-06-08T03:21:51,142388
2020-06-08T03:22:56,142424
2020-06-08T03:24:01,142395
2020-06-08T03:25:06,142386
2020-06-08T03:26:11,142091
2020-06-08T03:27:16,142311
2020-06-08T03:28:21,140656
2020-06-08T03:29:26,140684
2020-06-08T03:30:31,141502
2020-06-08T03:31:36,141937
2020-06-08T03:32:41,142373
2020-06-08T03:33:46,142712
2020-06-08T03:34:50,142410
2020-06-08T03:35:56,142662
2020-06-08T03:37:01,142601
2020-06-08T03:38:06,142877
2020-06-08T03:39:11,140544
2020-06-08T03:40:16,140806
2020-06-08T03:41:21,141654
2020-06-08T03:42:26,141863
2020-06-08T03:43:31,141971
2020-06-08T03:44:36,142226
2020-06-08T03:45:41,142265
2020-06-08T03:46:46,142615
2020-06-08T03:47:51,142542
2020-06-08T03:48:56,142405
2020-06-08T03:50:01,142657
2020-06-08T03:51:06,142411
2020-06-08T03:52:11,142558
2020-06-08T03:53:16,142571
2020-06-08T03:54:21,142545
2020-06-08T03:55:26,142452
2020-06-08T03:56:32,141893
2020-06-08T03:57:37,142077
2020-06-08T03:58:42,142280
2020-06-08T03:59:47,142499
2020-06-08T04:00:52,142647
2020-06-08T04:01:57,142652
2020-06-08T04:03:02,142568
2020-06-08T04:04:07,142865
2020-06-08T04:05:12,142649
2020-06-08T04:06:17,143299
2020-06-08T04:07:22,142748
2020-06-08T04:08:27,142537
2020-06-08T04:09:32,142579
2020-06-08T04:10:37,142281
2020-06-08T04:11:42,142589
2020-06-08T04:12:48,142513
2020-06-08T04:13:53,142635
2020-06-08T04:14:58,142615
2020-06-08T04:16:03,142357
2020-06-08T04:17:08,142718
2020-06-08T04:18:13,142604
2020-06-08T04:19:18,142575
2020-06-08T04:20:22,142049
2020-06-08T04:21:27,142408
2020-06-08T04:22:32,142575
2020-06-08T04:23:38,142882
2020-06-08T04:24:43,142738
2020-06-08T04:25:48,142624
2020-06-08T04:26:53,142379
2020-06-08T04:27:58,142573
2020-06-08T04:29:03,142645
2020-06-08T04:30:08,142548
2020-06-08T04:31:13,143263
2020-06-08T04:32:18,143027
2020-06-08T04:33:23,143163
2020-06-08T04:34:28,142976
2020-06-08T04:35:33,144320
2020-06-08T04:36:38,144167
2020-06-08T04:37:43,143975
2020-06-08T04:38:48,143251
2020-06-08T04:39:54,143396
2020-06-08T04:40:59,143204
2020-06-08T04:42:04,143224
2020-06-08T04:43:09,143217
2020-06-08T04:44:14,143221
2020-06-08T04:45:19,142710
2020-06-08T04:46:24,142781
2020-06-08T04:47:29,143164
2020-06-08T04:48:34,143229
2020-06-08T04:49:40,143230
2020-06-08T04:50:45,143217
2020-06-08T04:51:51,143209
2020-06-08T04:52:56,143209
