date,value
2020-06-08T02:28:43,18930230
2020-06-08T02:29:48,18968510
2020-06-08T02:30:53,18953760
2020-06-08T02:31:58,18952230
2020-06-08T02:33:04,18955820
2020-06-08T02:34:11,18954370
2020-06-08T02:35:16,18962090
2020-06-08T02:36:21,18956840
2020-06-08T02:37:26,18934350
2020-06-08T02:38:31,18911070
2020-06-08T02:39:36,18923200
2020-06-08T02:40:41,18913930
2020-06-08T02:41:46,18908590
2020-06-08T02:42:51,19255090
2020-06-08T02:43:56,19264910
2020-06-08T02:45:01,19264910
2020-06-08T02:46:06,19262120
2020-06-08T02:47:11,19259240
2020-06-08T02:48:16,19259130
2020-06-08T02:49:21,19228110
2020-06-08T02:50:26,19225860
2020-06-08T02:51:31,19215340
2020-06-08T02:52:36,19200950
2020-06-08T02:53:41,19198080
2020-06-08T02:54:46,19199330
2020-06-08T02:55:51,19199700
2020-06-08T02:56:56,19199470
2020-06-08T02:58:01,19203760
2020-06-08T02:59:06,19201270
2020-06-08T03:00:11,19262150
2020-06-08T03:01:16,19275680
2020-06-08T03:02:21,19331840
2020-06-08T03:03:26,19355230
2020-06-08T03:04:31,19372090
2020-06-08T03:05:36,19422970
2020-06-08T03:06:41,19451870
2020-06-08T03:07:46,19466580
2020-06-08T03:08:51,19466980
2020-06-08T03:09:56,19409790
2020-06-08T03:11:01,19421420
2020-06-08T03:12:06,19466410
2020-06-08T03:13:11,19467720
2020-06-08T03:14:16,19467780
2020-06-08T03:15:21,19474010
2020-06-08T03:16:26,19485330
2020-06-08T03:17:31,19484760
2020-06-08T03:18:36,19492300
2020-06-08T03:19:41,19492120
2020-06-08T03:20:46,19490850
2020-06-08T03:21:51,19491260
2020-06-08T03:22:56,19490250
2020-06-08T03:24:01,19490250
2020-06-08T03:25:06,19490250
2020-06-08T03:26:11,19490160
2020-06-08T03:27:16,19484120
2020-06-08T03:28:21,19491720
2020-06-08T03:29:26,19481260
2020-06-08T03:30:31,19464610
2020-06-08T03:31:36,19466000
2020-06-08T03:32:41,19477480
2020-06-08T03:33:46,19489990
2020-06-08T03:34:50,19488430
2020-06-08T03:35:56,19490400
2020-06-08T03:37:01,19494370
2020-06-08T03:38:06,19490050
2020-06-08T03:39:11,19501740
2020-06-08T03:40:16,19501740
2020-06-08T03:41:21,19501650
2020-06-08T03:42:26,19500070
2020-06-08T03:43:31,19501580
2020-06-08T03:44:36,19520160
2020-06-08T03:45:41,19518960
2020-06-08T03:46:46,19527940
2020-06-08T03:47:51,19525580
2020-06-08T03:48:56,19526930
2020-06-08T03:50:01,19526980
2020-06-08T03:51:06,19528730
2020-06-08T03:52:11,19541530
2020-06-08T03:53:16,19536820
2020-06-08T03:54:21,19535790
