date,value
2020-06-08T02:28:43,107946
2020-06-08T02:29:48,107804
2020-06-08T02:30:53,107685
2020-06-08T02:31:58,107717
2020-06-08T02:33:04,107847
2020-06-08T02:34:10,107815
2020-06-08T02:35:16,107788
2020-06-08T02:36:21,107735
2020-06-08T02:37:26,107813
2020-06-08T02:38:31,107770
2020-06-08T02:39:36,107684
2020-06-08T02:40:41,107695
2020-06-08T02:41:46,107554
2020-06-08T02:42:51,107618
2020-06-08T02:43:56,107845
2020-06-08T02:45:01,107833
2020-06-08T02:46:06,107814
2020-06-08T02:47:11,107732
2020-06-08T02:48:16,107821
2020-06-08T02:49:21,107798
2020-06-08T02:50:26,107821
2020-06-08T02:51:31,107815
2020-06-08T02:52:36,107914
2020-06-08T02:53:41,107875
2020-06-08T02:54:46,107865
2020-06-08T02:55:51,107800
2020-06-08T02:56:56,107796
2020-06-08T02:58:01,107782
2020-06-08T02:59:06,107638
2020-06-08T03:00:11,107607
2020-06-08T03:01:16,107700
2020-06-08T03:02:21,107531
2020-06-08T03:03:26,107861
2020-06-08T03:04:31,108009
2020-06-08T03:05:36,108040
2020-06-08T03:06:41,107968
2020-06-08T03:07:46,108049
2020-06-08T03:08:51,108044
2020-06-08T03:09:56,108063
2020-06-08T03:11:01,108030
2020-06-08T03:12:06,108047
2020-06-08T03:13:11,108030
2020-06-08T03:14:16,108035
2020-06-08T03:15:21,108047
2020-06-08T03:16:26,108051
2020-06-08T03:17:31,108072
2020-06-08T03:18:36,108069
2020-06-08T03:19:41,108059
2020-06-08T03:20:46,108055
2020-06-08T03:21:51,108067
2020-06-08T03:22:56,108049
2020-06-08T03:24:01,108056
2020-06-08T03:25:06,108052
2020-06-08T03:26:11,108043
2020-06-08T03:27:16,108032
2020-06-08T03:28:21,108252
2020-06-08T03:29:26,107819
2020-06-08T03:30:31,107856
2020-06-08T03:31:36,107911
2020-06-08T03:32:40,107863
2020-06-08T03:33:45,107904
2020-06-08T03:34:50,107919
2020-06-08T03:35:56,107974
2020-06-08T03:37:01,108011
2020-06-08T03:38:06,108183
2020-06-08T03:39:11,107972
2020-06-08T03:40:16,107974
2020-06-08T03:41:21,108074
2020-06-08T03:42:26,108078
2020-06-08T03:43:31,108076
2020-06-08T03:44:36,108302
2020-06-08T03:45:41,108293
2020-06-08T03:46:46,108271
2020-06-08T03:47:51,108373
2020-06-08T03:48:56,108413
2020-06-08T03:50:01,108413
2020-06-08T03:51:06,108039
2020-06-08T03:52:11,108204
2020-06-08T03:53:16,108234
2020-06-08T03:54:21,108404
2020-06-08T03:55:26,108427
2020-06-08T03:56:32,108477
2020-06-08T03:57:37,108526
2020-06-08T03:58:42,108629
2020-06-08T03:59:47,108809
2020-06-08T04:00:52,108762
2020-06-08T04:01:57,108770
2020-06-08T04:03:02,108790
2020-06-08T04:04:07,108646
2020-06-08T04:05:12,108671
2020-06-08T04:06:17,108965
2020-06-08T04:07:22,108877
2020-06-08T04:08:27,108904
2020-06-08T04:09:32,109010
2020-06-08T04:10:37,109008
2020-06-08T04:11:42,108941
2020-06-08T04:12:48,108900
2020-06-08T04:13:53,108951
2020-06-08T04:14:58,108868
2020-06-08T04:16:02,108855
2020-06-08T04:17:08,108864
2020-06-08T04:18:13,108857
2020-06-08T04:19:17,108822
2020-06-08T04:20:22,108778
2020-06-08T04:21:27,108743
2020-06-08T04:22:32,108735
2020-06-08T04:23:37,108698
2020-06-08T04:24:42,108685
2020-06-08T04:25:48,108688
2020-06-08T04:26:53,108692
2020-06-08T04:27:58,108692
2020-06-08T04:29:03,108731
2020-06-08T04:30:08,108837
2020-06-08T04:31:13,108902
2020-06-08T04:32:18,108900
2020-06-08T04:33:23,108864
2020-06-08T04:34:28,108853
2020-06-08T04:35:33,108693
2020-06-08T04:36:38,108721
2020-06-08T04:37:43,108749
2020-06-08T04:38:48,109050
2020-06-08T04:39:54,109016
2020-06-08T04:40:59,109011
2020-06-08T04:42:04,109011
2020-06-08T04:43:09,108943
2020-06-08T04:44:14,108647
2020-06-08T04:45:19,108583
2020-06-08T04:46:24,108513
2020-06-08T04:47:29,108499
2020-06-08T04:48:34,108495
2020-06-08T04:49:40,108495
2020-06-08T04:50:45,108505
2020-06-08T04:51:50,108515
2020-06-08T04:52:56,108515
2020-06-08T04:54:01,108515
2020-06-08T04:55:06,108515
2020-06-08T04:56:11,108515
2020-06-08T04:57:16,108515
2020-06-08T04:58:21,108556
2020-06-08T04:59:26,108548
2020-06-08T05:00:31,108417
2020-06-08T05:01:36,108417
2020-06-08T05:02:41,108417
2020-06-08T05:03:46,108366
2020-06-08T05:04:51,108365
2020-06-08T05:05:56,108362
2020-06-08T05:07:01,108362
2020-06-08T05:08:07,108362
2020-06-08T05:09:12,108363
2020-06-08T05:10:17,108487
2020-06-08T05:11:22,108433
2020-06-08T05:12:27,108325
2020-06-08T05:13:32,108341
2020-06-08T05:14:37,108341
2020-06-08T05:15:42,108322
2020-06-08T05:16:47,108321
2020-06-08T05:17:52,108322
2020-06-08T05:18:57,108341
2020-06-08T05:20:02,108341
2020-06-08T05:21:07,108351
2020-06-08T05:22:13,108247
2020-06-08T05:23:18,108243
2020-06-08T05:24:23,108244
2020-06-08T05:25:28,108248
2020-06-08T05:26:33,108248
2020-06-08T05:27:38,108249
2020-06-08T05:28:43,108243
2020-06-08T05:29:48,108206
2020-06-08T05:30:53,108260
2020-06-08T05:31:59,108284
2020-06-08T05:33:04,108244
2020-06-08T05:34:09,108234
2020-06-08T05:35:15,108213
2020-06-08T05:36:19,108228
2020-06-08T05:37:25,108262
2020-06-08T05:38:30,108262
2020-06-08T05:39:35,108259
2020-06-08T05:40:41,108289
2020-06-08T05:41:46,108277
2020-06-08T05:42:51,108267
2020-06-08T05:43:56,108264
2020-06-08T05:45:01,108277
2020-06-08T05:46:06,108149
2020-06-08T05:47:11,108251
2020-06-08T05:48:16,108144
2020-06-08T05:49:21,108150
2020-06-08T05:50:26,108150
2020-06-08T05:51:31,108150
2020-06-08T05:52:36,108149
2020-06-08T05:53:42,108152
2020-06-08T05:54:46,108059
2020-06-08T05:55:52,108088
2020-06-08T05:56:57,108159
2020-06-08T05:58:02,108143
2020-06-08T05:59:07,108144
2020-06-08T06:00:12,108146
2020-06-08T06:01:17,108147
2020-06-08T06:02:23,108147
2020-06-08T06:03:28,108144
2020-06-08T06:04:33,108145
2020-06-08T06:05:38,108146
2020-06-08T06:06:42,108145
2020-06-08T06:07:47,108229
2020-06-08T06:08:52,108229
2020-06-08T06:09:57,108110
2020-06-08T06:11:02,108157
2020-06-08T06:12:08,108156
2020-06-08T06:13:13,108175
2020-06-08T06:14:18,108132
2020-06-08T06:15:23,108136
2020-06-08T06:16:28,108142
2020-06-08T06:17:33,108141
2020-06-08T06:18:38,108053
2020-06-08T06:19:43,108077
2020-06-08T06:20:48,108079
2020-06-08T06:21:53,108027
2020-06-08T06:22:58,108021
2020-06-08T06:24:03,107999
2020-06-08T06:25:08,108001
2020-06-08T06:26:13,108009
2020-06-08T06:27:18,108003
2020-06-08T06:28:23,108010
2020-06-08T06:29:27,108005
2020-06-08T06:30:32,108694
2020-06-08T06:31:37,108746
2020-06-08T06:32:42,108748
2020-06-08T06:33:47,108744
2020-06-08T06:34:52,108727
2020-06-08T06:35:57,108725
2020-06-08T06:37:02,108722
2020-06-08T06:38:07,108703
2020-06-08T06:39:12,108836
2020-06-08T06:40:17,108824
2020-06-08T06:41:22,108734
2020-06-08T06:42:27,108686
2020-06-08T06:43:32,108688
2020-06-08T06:44:37,108718
2020-06-08T06:45:42,108806
2020-06-08T06:46:47,108805
2020-06-08T06:47:52,108612
2020-06-08T06:48:57,108618
2020-06-08T06:50:02,108610
2020-06-08T06:51:07,108608
2020-06-08T06:52:12,108518
2020-06-08T06:53:17,108593
2020-06-08T06:54:22,108728
2020-06-08T06:55:27,108648
2020-06-08T06:56:32,108798
2020-06-08T06:57:37,108815
2020-06-08T06:58:42,108815
2020-06-08T06:59:47,108843
2020-06-08T07:00:52,108862
2020-06-08T07:01:57,108856
2020-06-08T07:03:02,108862
2020-06-08T07:04:07,108861
2020-06-08T07:05:12,108824
2020-06-08T07:06:17,108828
2020-06-08T07:07:22,108941
2020-06-08T07:08:27,108942
2020-06-08T07:09:32,108942
2020-06-08T07:10:38,108942
2020-06-08T07:11:43,108957
2020-06-08T07:12:48,108923
2020-06-08T07:13:54,108999
2020-06-08T07:14:59,109001
2020-06-08T07:16:04,108999
2020-06-08T07:17:09,108983
2020-06-08T07:18:15,109008
2020-06-08T07:19:20,108958
2020-06-08T07:20:25,109147
2020-06-08T07:21:30,109130
2020-06-08T07:22:35,109083
2020-06-08T07:23:40,109104
2020-06-08T07:24:45,109106
2020-06-08T07:25:50,109367
2020-06-08T07:26:55,109406
2020-06-08T07:28:00,109412
2020-06-08T07:29:05,109413
2020-06-08T07:30:10,109263
2020-06-08T07:31:15,109264
2020-06-08T07:32:20,109266
2020-06-08T07:33:24,109264
2020-06-08T07:34:29,109036
2020-06-08T07:35:34,109048
2020-06-08T07:36:39,109056
2020-06-08T07:37:44,108972
2020-06-08T07:38:49,108762
2020-06-08T07:39:54,108762
2020-06-08T07:40:59,108609
2020-06-08T07:42:05,108611
2020-06-08T07:43:10,108622
2020-06-08T07:44:14,108622
2020-06-08T07:45:20,108584
2020-06-08T07:46:25,108572
2020-06-08T07:47:31,108572
2020-06-08T07:48:36,108885
2020-06-08T07:49:41,108746
2020-06-08T07:50:46,108685
2020-06-08T07:51:51,108628
2020-06-08T07:52:56,108617
2020-06-08T07:54:01,108618
2020-06-08T07:55:06,108619
