date,value
2020-06-08T02:28:43,303760
2020-06-08T02:29:48,303468
2020-06-08T02:30:53,303133
2020-06-08T02:31:58,303546
2020-06-08T02:33:04,303912
2020-06-08T02:34:10,303822
2020-06-08T02:35:16,303746
2020-06-08T02:36:21,303489
2020-06-08T02:37:26,303277
2020-06-08T02:38:31,303049
2020-06-08T02:39:36,302807
2020-06-08T02:40:41,302622
2020-06-08T02:41:46,302119
2020-06-08T02:42:51,302837
2020-06-08T02:43:56,303583
2020-06-08T02:45:01,303442
2020-06-08T02:46:06,303388
2020-06-08T02:47:11,303050
2020-06-08T02:48:16,303516
2020-06-08T02:49:21,303451
2020-06-08T02:50:26,303516
2020-06-08T02:51:31,303391
2020-06-08T02:52:36,303562
2020-06-08T02:53:41,303560
2020-06-08T02:54:46,303424
2020-06-08T02:55:51,303241
2020-06-08T02:56:56,303230
2020-06-08T02:58:01,303082
2020-06-08T02:59:06,302678
2020-06-08T03:00:11,303236
2020-06-08T03:01:16,303498
2020-06-08T03:02:21,302699
2020-06-08T03:03:26,303844
2020-06-08T03:04:31,304153
2020-06-08T03:05:36,304240
2020-06-08T03:06:41,303821
2020-06-08T03:07:46,304049
2020-06-08T03:08:51,304143
2020-06-08T03:09:56,303981
2020-06-08T03:11:01,303888
2020-06-08T03:12:06,304044
2020-06-08T03:13:11,303888
2020-06-08T03:14:16,304010
2020-06-08T03:15:21,303828
2020-06-08T03:16:26,303947
2020-06-08T03:17:31,304114
2020-06-08T03:18:36,303890
2020-06-08T03:19:41,303969
2020-06-08T03:20:46,303742
2020-06-08T03:21:51,303668
2020-06-08T03:22:56,303617
2020-06-08T03:24:01,303853
2020-06-08T03:25:06,303842
2020-06-08T03:26:11,303708
2020-06-08T03:27:16,303569
2020-06-08T03:28:21,303971
2020-06-08T03:29:26,302755
2020-06-08T03:30:31,302859
2020-06-08T03:31:36,303014
2020-06-08T03:32:40,302987
2020-06-08T03:33:45,303210
2020-06-08T03:34:50,303360
2020-06-08T03:35:56,303406
2020-06-08T03:37:01,303294
2020-06-08T03:38:06,303777
2020-06-08T03:39:11,303293
2020-06-08T03:40:16,303298
2020-06-08T03:41:21,303579
2020-06-08T03:42:26,303591
2020-06-08T03:43:31,303585
2020-06-08T03:44:36,304220
2020-06-08T03:45:41,304086
2020-06-08T03:46:46,304133
2020-06-08T03:47:51,304311
2020-06-08T03:48:56,304423
2020-06-08T03:50:01,304532
2020-06-08T03:51:06,303481
2020-06-08T03:52:11,304377
2020-06-08T03:53:16,304462
2020-06-08T03:54:21,304723
2020-06-08T03:55:26,304896
2020-06-08T03:56:32,304928
2020-06-08T03:57:37,305175
2020-06-08T03:58:42,305790
2020-06-08T03:59:47,306188
2020-06-08T04:00:52,306056
2020-06-08T04:01:57,306187
2020-06-08T04:03:02,306243
2020-06-08T04:04:07,305838
2020-06-08T04:05:12,306343
2020-06-08T04:06:17,306845
2020-06-08T04:07:22,306597
2020-06-08T04:08:27,306564
2020-06-08T04:09:32,306972
2020-06-08T04:10:37,306857
2020-06-08T04:11:42,306777
2020-06-08T04:12:48,306444
2020-06-08T04:13:53,306479
2020-06-08T04:14:58,306245
2020-06-08T04:16:02,306100
2020-06-08T04:17:08,306343
2020-06-08T04:18:13,306214
2020-06-08T04:19:17,306116
2020-06-08T04:20:22,306101
2020-06-08T04:21:27,306329
2020-06-08T04:22:32,306089
2020-06-08T04:23:37,306202
2020-06-08T04:24:42,306056
2020-06-08T04:25:48,305956
2020-06-08T04:26:53,305967
2020-06-08T04:27:58,306076
2020-06-08T04:29:03,306186
2020-06-08T04:30:08,306267
2020-06-08T04:31:13,306668
2020-06-08T04:32:18,306771
2020-06-08T04:33:23,306452
2020-06-08T04:34:28,306312
2020-06-08T04:35:33,305753
2020-06-08T04:36:38,305832
2020-06-08T04:37:43,306019
2020-06-08T04:38:48,306430
2020-06-08T04:39:54,306225
2020-06-08T04:40:59,306211
2020-06-08T04:42:04,306211
2020-06-08T04:43:09,305911
2020-06-08T04:44:14,304863
2020-06-08T04:45:19,305335
2020-06-08T04:46:24,304813
2020-06-08T04:47:29,304882
2020-06-08T04:48:34,304870
2020-06-08T04:49:40,304870
2020-06-08T04:50:45,304899
2020-06-08T04:51:50,304927
2020-06-08T04:52:56,304927
2020-06-08T04:54:01,304927
2020-06-08T04:55:06,304927
2020-06-08T04:56:11,304927
2020-06-08T04:57:16,304818
2020-06-08T04:58:21,305042
2020-06-08T04:59:26,305019
2020-06-08T05:00:31,304543
2020-06-08T05:01:36,304977
2020-06-08T05:02:41,304868
2020-06-08T05:03:46,304508
2020-06-08T05:04:51,304288
2020-06-08T05:05:56,304388
2020-06-08T05:07:01,304388
2020-06-08T05:08:07,304388
2020-06-08T05:09:12,304391
2020-06-08T05:10:17,304848
2020-06-08T05:11:22,304913
2020-06-08T05:12:27,304284
2020-06-08T05:13:32,304329
2020-06-08T05:14:37,304438
2020-06-08T05:15:42,304276
2020-06-08T05:16:47,304273
2020-06-08T05:17:52,304384
2020-06-08T05:18:57,304221
2020-06-08T05:20:02,304221
2020-06-08T05:21:07,304141
2020-06-08T05:22:13,304174
2020-06-08T05:23:18,303946
2020-06-08T05:24:23,303840
2020-06-08T05:25:28,303852
2020-06-08T05:26:33,304068
2020-06-08T05:27:38,303963
2020-06-08T05:28:43,303946
2020-06-08T05:29:48,303950
2020-06-08T05:30:53,304318
2020-06-08T05:31:59,304278
2020-06-08T05:33:04,304057
2020-06-08T05:34:09,303921
2020-06-08T05:35:15,303753
2020-06-08T05:36:19,303795
2020-06-08T05:37:25,303891
2020-06-08T05:38:30,303999
2020-06-08T05:39:35,303883
2020-06-08T05:40:41,303967
2020-06-08T05:41:46,303825
2020-06-08T05:42:51,303688
2020-06-08T05:43:56,304005
2020-06-08T05:45:01,303933
2020-06-08T05:46:06,303682
2020-06-08T05:47:11,304185
2020-06-08T05:48:16,303776
2020-06-08T05:49:21,303793
2020-06-08T05:50:26,303793
2020-06-08T05:51:31,303901
2020-06-08T05:52:36,303790
2020-06-08T05:53:42,303798
2020-06-08T05:54:46,303537
2020-06-08T05:55:52,303511
2020-06-08T05:56:57,303818
2020-06-08T05:58:02,303773
2020-06-08T05:59:07,303884
2020-06-08T06:00:12,303890
2020-06-08T06:01:17,304001
2020-06-08T06:02:23,304001
2020-06-08T06:03:28,303668
2020-06-08T06:04:33,303779
2020-06-08T06:05:38,303782
2020-06-08T06:06:42,303671
2020-06-08T06:07:47,303582
2020-06-08T06:08:52,303582
2020-06-08T06:09:57,302816
2020-06-08T06:11:02,303055
2020-06-08T06:12:08,303053
2020-06-08T06:13:13,302998
2020-06-08T06:14:18,302985
2020-06-08T06:15:23,302997
2020-06-08T06:16:28,303013
2020-06-08T06:17:33,303011
2020-06-08T06:18:38,302764
2020-06-08T06:19:43,302723
2020-06-08T06:20:48,302729
2020-06-08T06:21:53,302799
2020-06-08T06:22:58,302782
2020-06-08T06:24:03,302937
2020-06-08T06:25:08,302834
2020-06-08T06:26:13,302965
2020-06-08T06:27:18,302840
2020-06-08T06:28:23,302860
2020-06-08T06:29:27,303170
2020-06-08T06:30:32,305538
2020-06-08T06:31:37,305576
2020-06-08T06:32:42,305581
2020-06-08T06:33:47,305570
2020-06-08T06:34:52,305414
2020-06-08T06:35:57,305408
2020-06-08T06:37:02,305400
2020-06-08T06:38:07,305346
2020-06-08T06:39:12,305502
2020-06-08T06:40:17,305468
2020-06-08T06:41:22,305433
2020-06-08T06:42:27,305081
2020-06-08T06:43:32,305195
2020-06-08T06:44:37,305280
2020-06-08T06:45:42,305309
2020-06-08T06:46:47,305306
2020-06-08T06:47:52,304656
2020-06-08T06:48:57,304347
2020-06-08T06:50:02,304325
2020-06-08T06:51:07,304319
2020-06-08T06:52:12,304175
2020-06-08T06:53:17,304603
2020-06-08T06:54:22,305308
2020-06-08T06:55:27,304866
2020-06-08T06:56:32,305613
2020-06-08T06:57:37,305552
2020-06-08T06:58:42,305552
2020-06-08T06:59:47,305739
2020-06-08T07:00:52,305793
2020-06-08T07:01:57,305667
2020-06-08T07:03:02,305902
2020-06-08T07:04:07,305572
2020-06-08T07:05:12,305795
2020-06-08T07:06:17,305806
2020-06-08T07:07:22,306233
2020-06-08T07:08:27,306235
2020-06-08T07:09:32,306344
2020-06-08T07:10:38,306235
2020-06-08T07:11:43,306060
2020-06-08T07:12:48,305529
2020-06-08T07:13:54,306178
2020-06-08T07:14:59,306183
2020-06-08T07:16:04,306178
2020-06-08T07:17:09,306133
2020-06-08T07:18:15,306094
2020-06-08T07:19:20,306063
2020-06-08T07:20:25,306703
2020-06-08T07:21:30,306655
2020-06-08T07:22:35,306741
2020-06-08T07:23:40,306800
2020-06-08T07:24:45,306806
2020-06-08T07:25:50,306883
2020-06-08T07:26:55,306993
2020-06-08T07:28:00,307010
2020-06-08T07:29:05,307012
2020-06-08T07:30:10,306482
2020-06-08T07:31:15,306704
2020-06-08T07:32:20,306600
2020-06-08T07:33:24,306485
2020-06-08T07:34:29,305845
2020-06-08T07:35:34,305661
2020-06-08T07:36:39,305683
2020-06-08T07:37:44,305666
2020-06-08T07:38:49,304968
2020-06-08T07:39:54,304859
2020-06-08T07:40:59,304213
2020-06-08T07:42:05,304219
2020-06-08T07:43:10,304250
2020-06-08T07:44:14,304250
2020-06-08T07:45:20,304252
2020-06-08T07:46:25,304110
2020-06-08T07:47:31,304327
2020-06-08T07:48:36,305422
2020-06-08T07:49:41,305141
2020-06-08T07:50:46,304970
2020-06-08T07:51:51,304810
2020-06-08T07:52:56,304562
2020-06-08T07:54:01,304564
2020-06-08T07:55:06,304567
2020-06-08T07:56:11,304564
2020-06-08T07:57:16,304500
2020-06-08T07:58:21,304748
2020-06-08T07:59:26,304748
2020-06-08T08:00:31,304901
2020-06-08T08:01:36,305166
2020-06-08T08:02:41,305060
2020-06-08T08:03:46,305063
2020-06-08T08:04:51,304607
2020-06-08T08:05:56,304799
2020-06-08T08:07:01,304814
2020-06-08T08:08:06,304816
2020-06-08T08:09:11,304925
2020-06-08T08:10:16,304930
2020-06-08T08:11:21,304828
2020-06-08T08:12:26,304828
2020-06-08T08:13:31,304694
2020-06-08T08:14:36,304705
2020-06-08T08:15:41,304170
2020-06-08T08:16:46,304606
2020-06-08T08:17:51,301371
2020-06-08T08:18:56,301746
2020-06-08T08:20:02,302431
2020-06-08T08:21:07,302654
2020-06-08T08:22:12,302648
2020-06-08T08:23:17,304089
2020-06-08T08:24:22,303638
2020-06-08T08:25:27,303538
2020-06-08T08:26:32,303518
2020-06-08T08:27:37,303702
2020-06-08T08:28:42,302243
2020-06-08T08:29:47,303891
2020-06-08T08:30:52,304495
2020-06-08T08:31:57,304486
2020-06-08T08:33:02,304486
2020-06-08T08:34:08,304486
2020-06-08T08:35:13,304406
2020-06-08T08:36:17,302668
2020-06-08T08:37:23,303264
2020-06-08T08:38:28,303649
2020-06-08T08:39:33,303320
2020-06-08T08:40:38,303200
2020-06-08T08:41:43,303166
2020-06-08T08:42:48,303275
2020-06-08T08:43:53,303275
2020-06-08T08:44:58,303166
2020-06-08T08:46:03,303161
2020-06-08T08:47:08,303270
2020-06-08T08:48:13,303270
2020-06-08T08:49:17,303270
2020-06-08T08:50:22,303270
2020-06-08T08:51:28,303270
2020-06-08T08:52:33,303161
2020-06-08T08:53:38,303270
2020-06-08T08:54:43,303161
2020-06-08T08:55:47,303270
2020-06-08T08:56:52,303270
2020-06-08T08:57:57,303270
2020-06-08T08:59:02,303270
2020-06-08T09:00:08,303270
2020-06-08T09:01:13,303270
2020-06-08T09:02:18,303270
2020-06-08T09:03:23,303161
2020-06-08T09:04:28,303161
2020-06-08T09:05:33,303161
2020-06-08T09:06:39,303161
2020-06-08T09:07:44,303161
2020-06-08T09:08:49,303161
2020-06-08T09:09:54,303161
2020-06-08T09:10:59,303161
2020-06-08T09:12:04,303161
2020-06-08T09:13:09,303161
2020-06-08T09:14:14,303161
2020-06-08T09:15:19,303161
2020-06-08T09:16:24,303161
2020-06-08T09:17:29,303161
2020-06-08T09:18:34,303161
2020-06-08T09:19:39,303074
2020-06-08T09:20:44,303005
2020-06-08T09:21:49,305728
2020-06-08T09:22:54,304760
2020-06-08T09:23:59,306429
2020-06-08T09:25:04,307512
2020-06-08T09:26:09,306255
2020-06-08T09:27:14,308667
2020-06-08T09:28:19,307421
2020-06-08T09:29:24,307202
2020-06-08T09:30:29,306064
2020-06-08T09:31:33,306840
2020-06-08T09:32:38,308020
2020-06-08T09:33:43,307618
2020-06-08T09:34:48,306909
2020-06-08T09:35:53,308637
2020-06-08T09:36:58,309535
2020-06-08T09:38:03,309862
2020-06-08T09:39:08,310085
2020-06-08T09:40:13,309461
2020-06-08T09:41:18,309227
2020-06-08T09:42:23,309402
2020-06-08T09:43:28,309489
2020-06-08T09:44:33,309404
2020-06-08T09:45:38,309521
2020-06-08T09:46:43,309616
2020-06-08T09:47:48,309628
2020-06-08T09:48:53,309512
2020-06-08T09:49:58,309503
2020-06-08T09:51:03,309635
2020-06-08T09:52:08,309639
2020-06-08T09:53:12,309747
2020-06-08T09:54:17,308528
2020-06-08T09:55:22,308409
2020-06-08T09:56:27,308767
2020-06-08T09:57:32,309322
2020-06-08T09:58:37,309270
2020-06-08T09:59:42,309007
2020-06-08T10:00:46,308861
2020-06-08T10:01:51,308420
2020-06-08T10:02:56,308291
2020-06-08T10:04:01,308291
2020-06-08T10:05:06,308367
2020-06-08T10:06:11,308369
2020-06-08T10:07:16,307727
2020-06-08T10:08:21,308313
2020-06-08T10:09:26,308647
2020-06-08T10:10:31,308537
2020-06-08T10:11:36,308435
2020-06-08T10:12:41,308347
2020-06-08T10:13:45,308347
2020-06-08T10:14:50,308190
2020-06-08T10:15:55,308370
2020-06-08T10:17:00,308373
2020-06-08T10:18:05,308703
2020-06-08T10:19:10,308147
2020-06-08T10:20:15,308668
2020-06-08T10:21:20,308709
2020-06-08T10:22:25,308538
2020-06-08T10:23:30,308482
2020-06-08T10:24:35,308471
2020-06-08T10:25:39,308449
2020-06-08T10:26:44,308393
2020-06-08T10:27:49,308572
2020-06-08T10:28:54,308461
2020-06-08T10:29:59,308549
2020-06-08T10:31:04,308070
2020-06-08T10:32:09,308095
2020-06-08T10:33:14,307993
2020-06-08T10:34:19,307996
2020-06-08T10:35:24,307991
2020-06-08T10:36:28,307982
2020-06-08T10:37:33,308154
2020-06-08T10:38:38,307177
2020-06-08T10:39:43,307012
2020-06-08T10:40:48,306964
2020-06-08T10:41:53,306554
2020-06-08T10:42:58,306897
2020-06-08T10:44:03,306473
2020-06-08T10:45:08,306307
2020-06-08T10:46:13,306641
2020-06-08T10:47:18,306630
2020-06-08T10:48:23,306329
2020-06-08T10:49:27,306329
