date,value
2020-06-08T02:28:43,5932440
2020-06-08T02:29:48,5935140
2020-06-08T02:30:53,5943160
2020-06-08T02:31:58,5940130
2020-06-08T02:33:04,5939710
2020-06-08T02:34:11,5938780
2020-06-08T02:35:16,5937730
2020-06-08T02:36:21,5937020
2020-06-08T02:37:26,5943920
2020-06-08T02:38:31,5939160
2020-06-08T02:39:36,5945670
2020-06-08T02:40:41,5927830
2020-06-08T02:41:46,5929860
2020-06-08T02:42:51,5927210
2020-06-08T02:43:56,5931100
2020-06-08T02:45:01,5931350
2020-06-08T02:46:06,5932070
2020-06-08T02:47:11,5932430
2020-06-08T02:48:16,5936340
2020-06-08T02:49:21,5937790
2020-06-08T02:50:26,5938860
2020-06-08T02:51:31,5942040
2020-06-08T02:52:36,5941080
2020-06-08T02:53:41,5940580
2020-06-08T02:54:46,5940610
2020-06-08T02:55:51,5940970
2020-06-08T02:56:56,5941140
2020-06-08T02:58:01,5941300
2020-06-08T02:59:06,5940820
2020-06-08T03:00:11,5941040
2020-06-08T03:01:16,5940800
2020-06-08T03:02:21,5938990
2020-06-08T03:03:26,5939020
2020-06-08T03:04:31,5939020
2020-06-08T03:05:36,5939020
2020-06-08T03:06:41,5938970
2020-06-08T03:07:46,5939130
2020-06-08T03:08:51,5940550
2020-06-08T03:09:56,5940550
2020-06-08T03:11:01,5940180
2020-06-08T03:12:06,5937860
2020-06-08T03:13:11,5937770
2020-06-08T03:14:16,5937770
2020-06-08T03:15:21,5941970
2020-06-08T03:16:26,5941620
2020-06-08T03:17:31,5941620
2020-06-08T03:18:36,5940930
2020-06-08T03:19:41,5941000
2020-06-08T03:20:46,5941050
2020-06-08T03:21:51,5942630
2020-06-08T03:22:56,5940160
2020-06-08T03:24:01,5950480
2020-06-08T03:25:06,5961220
2020-06-08T03:26:11,5965880
2020-06-08T03:27:16,5965880
2020-06-08T03:28:21,5965770
2020-06-08T03:29:26,5964030
2020-06-08T03:30:31,5961570
2020-06-08T03:31:36,5963780
2020-06-08T03:32:41,5963500
2020-06-08T03:33:46,5963390
2020-06-08T03:34:50,5963020
2020-06-08T03:35:56,5963000
2020-06-08T03:37:01,5963000
2020-06-08T03:38:06,5962750
2020-06-08T03:39:11,5962590
2020-06-08T03:40:16,5962560
2020-06-08T03:41:21,5962280
2020-06-08T03:42:26,5961920
2020-06-08T03:43:31,5962210
2020-06-08T03:44:36,5963270
2020-06-08T03:45:41,5962800
2020-06-08T03:46:46,5962390
2020-06-08T03:47:51,5962180
2020-06-08T03:48:56,5962150
2020-06-08T03:50:01,5958060
2020-06-08T03:51:06,5958080
2020-06-08T03:52:11,5958950
2020-06-08T03:53:16,5959060
2020-06-08T03:54:21,5959150
2020-06-08T03:55:26,5959150
2020-06-08T03:56:32,5963940
2020-06-08T03:57:37,5963890
2020-06-08T03:58:42,5963890
2020-06-08T03:59:47,5963800
2020-06-08T04:00:52,5963800
2020-06-08T04:01:57,5964800
2020-06-08T04:03:02,5964500
2020-06-08T04:04:07,5961130
2020-06-08T04:05:12,5961840
2020-06-08T04:06:17,5962370
2020-06-08T04:07:22,5966380
2020-06-08T04:08:27,5966640
2020-06-08T04:09:32,5966670
2020-06-08T04:10:37,5967440
2020-06-08T04:11:42,5967680
2020-06-08T04:12:48,5967140
2020-06-08T04:13:53,5969290
2020-06-08T04:14:58,5968340
2020-06-08T04:16:03,5967900
2020-06-08T04:17:08,5967610
2020-06-08T04:18:13,5967690
2020-06-08T04:19:18,5967770
2020-06-08T04:20:23,5967850
2020-06-08T04:21:28,5967780
2020-06-08T04:22:32,5967780
2020-06-08T04:23:38,5967780
2020-06-08T04:24:43,5967780
2020-06-08T04:25:48,5968050
2020-06-08T04:26:53,5966780
2020-06-08T04:27:58,5966580
2020-06-08T04:29:03,5966640
2020-06-08T04:30:08,5966940
2020-06-08T04:31:13,5966930
2020-06-08T04:32:18,5966920
2020-06-08T04:33:23,5966820
2020-06-08T04:34:28,5963010
2020-06-08T04:35:33,5963710
2020-06-08T04:36:38,5963800
2020-06-08T04:37:44,5963800
2020-06-08T04:38:49,5971520
2020-06-08T04:39:54,5970770
2020-06-08T04:40:59,5970630
2020-06-08T04:42:04,5970090
2020-06-08T04:43:09,5970050
2020-06-08T04:44:14,5970050
2020-06-08T04:45:19,5967330
2020-06-08T04:46:24,5967320
2020-06-08T04:47:29,5966700
2020-06-08T04:48:34,5966940
2020-06-08T04:49:40,5966940
2020-06-08T04:50:45,5966940
2020-06-08T04:51:51,5967020
2020-06-08T04:52:56,5966970
2020-06-08T04:54:01,5965230
2020-06-08T04:55:06,5965440
2020-06-08T04:56:11,5965570
2020-06-08T04:57:16,5965570
2020-06-08T04:58:21,5965570
2020-06-08T04:59:26,5965570
2020-06-08T05:00:31,5964480
2020-06-08T05:01:36,5964480
2020-06-08T05:02:41,5964480
2020-06-08T05:03:46,5965660
2020-06-08T05:04:51,5965410
2020-06-08T05:05:56,5965180
2020-06-08T05:07:01,5965120
2020-06-08T05:08:07,5964770
2020-06-08T05:09:12,5965470
2020-06-08T05:10:17,5965550
2020-06-08T05:11:22,5965430
2020-06-08T05:12:27,5965310
2020-06-08T05:13:32,5965380
2020-06-08T05:14:37,5965380
2020-06-08T05:15:42,5965350
2020-06-08T05:16:47,5965350
2020-06-08T05:17:53,5965350
2020-06-08T05:18:58,5963350
2020-06-08T05:20:03,5962770
2020-06-08T05:21:07,5960390
2020-06-08T05:22:13,5960280
