date,value
2020-06-08T02:28:43,22993
2020-06-08T02:29:48,22989
2020-06-08T02:30:53,23000
2020-06-08T02:31:58,23013
2020-06-08T02:33:04,22999
2020-06-08T02:34:10,22992
2020-06-08T02:35:16,22996
2020-06-08T02:36:21,22999
2020-06-08T02:37:26,22915
2020-06-08T02:38:31,22939
2020-06-08T02:39:36,22942
2020-06-08T02:40:41,22963
2020-06-08T02:41:46,22902
2020-06-08T02:42:51,22952
2020-06-08T02:43:56,22952
2020-06-08T02:45:01,22982
2020-06-08T02:46:06,22976
2020-06-08T02:47:11,22949
2020-06-08T02:48:16,22942
2020-06-08T02:49:21,22939
2020-06-08T02:50:26,22949
2020-06-08T02:51:31,22935
2020-06-08T02:52:36,22959
2020-06-08T02:53:41,22942
2020-06-08T02:54:46,22973
2020-06-08T02:55:51,22936
2020-06-08T02:56:56,22959
2020-06-08T02:58:01,22929
2020-06-08T02:59:06,22925
2020-06-08T03:00:11,22912
2020-06-08T03:01:16,22956
2020-06-08T03:02:21,22952
2020-06-08T03:03:26,22949
2020-06-08T03:04:31,22942
2020-06-08T03:05:36,22949
2020-06-08T03:06:41,22963
2020-06-08T03:07:46,22936
2020-06-08T03:08:51,22942
2020-06-08T03:09:56,22942
2020-06-08T03:11:01,22959
2020-06-08T03:12:06,22959
2020-06-08T03:13:11,22942
2020-06-08T03:14:16,22946
2020-06-08T03:15:21,22929
2020-06-08T03:16:26,22905
2020-06-08T03:17:31,22925
2020-06-08T03:18:36,22939
2020-06-08T03:19:41,22952
2020-06-08T03:20:46,22919
2020-06-08T03:21:51,22919
2020-06-08T03:22:56,22902
2020-06-08T03:24:01,22898
2020-06-08T03:25:06,22915
2020-06-08T03:26:11,22915
2020-06-08T03:27:16,22929
2020-06-08T03:28:21,22915
2020-06-08T03:29:26,22888
2020-06-08T03:30:31,22925
2020-06-08T03:31:36,22919
2020-06-08T03:32:40,22919
2020-06-08T03:33:45,22945
2020-06-08T03:34:50,22932
2020-06-08T03:35:56,22936
2020-06-08T03:37:01,22932
2020-06-08T03:38:06,22925
2020-06-08T03:39:11,22936
2020-06-08T03:40:16,22919
2020-06-08T03:41:21,22915
2020-06-08T03:42:26,22912
2020-06-08T03:43:31,22885
2020-06-08T03:44:36,22882
2020-06-08T03:45:41,22905
2020-06-08T03:46:46,22912
2020-06-08T03:47:51,22898
2020-06-08T03:48:56,22905
2020-06-08T03:50:01,22895
2020-06-08T03:51:06,22932
2020-06-08T03:52:11,22942
2020-06-08T03:53:16,22915
2020-06-08T03:54:21,22905
2020-06-08T03:55:26,22898
2020-06-08T03:56:32,22915
2020-06-08T03:57:37,22912
2020-06-08T03:58:42,22936
2020-06-08T03:59:47,22908
2020-06-08T04:00:52,22915
2020-06-08T04:01:57,22905
2020-06-08T04:03:02,22919
2020-06-08T04:04:07,22936
2020-06-08T04:05:12,22946
2020-06-08T04:06:17,22946
2020-06-08T04:07:22,22942
2020-06-08T04:08:27,22956
2020-06-08T04:09:32,22946
2020-06-08T04:10:37,22946
2020-06-08T04:11:42,22935
2020-06-08T04:12:48,22946
2020-06-08T04:13:53,22969
2020-06-08T04:14:58,22963
2020-06-08T04:16:03,22962
2020-06-08T04:17:08,22973
2020-06-08T04:18:13,22989
2020-06-08T04:19:18,22966
2020-06-08T04:20:22,22959
2020-06-08T04:21:27,22973
2020-06-08T04:22:32,22983
2020-06-08T04:23:37,23006
2020-06-08T04:24:42,22959
2020-06-08T04:25:48,22952
2020-06-08T04:26:53,22969
2020-06-08T04:27:58,22962
2020-06-08T04:29:03,22976
2020-06-08T04:30:08,22956
2020-06-08T04:31:13,22966
2020-06-08T04:32:18,22973
2020-06-08T04:33:23,22983
2020-06-08T04:34:28,22959
2020-06-08T04:35:33,22956
2020-06-08T04:36:38,22949
2020-06-08T04:37:43,22963
2020-06-08T04:38:48,22925
2020-06-08T04:39:54,22942
2020-06-08T04:40:59,22942
2020-06-08T04:42:04,22939
2020-06-08T04:43:09,22946
2020-06-08T04:44:14,22949
2020-06-08T04:45:19,22963
2020-06-08T04:46:24,22952
2020-06-08T04:47:29,22946
2020-06-08T04:48:34,22932
2020-06-08T04:49:40,22935
2020-06-08T04:50:45,22946
2020-06-08T04:51:50,22946
2020-06-08T04:52:56,22949
2020-06-08T04:54:01,22935
2020-06-08T04:55:06,22942
2020-06-08T04:56:11,22956
2020-06-08T04:57:16,22956
2020-06-08T04:58:21,22925
2020-06-08T04:59:26,22932
2020-06-08T05:00:31,22939
2020-06-08T05:01:36,22922
2020-06-08T05:02:41,22979
2020-06-08T05:03:46,22946
2020-06-08T05:04:51,22929
2020-06-08T05:05:56,22939
2020-06-08T05:07:01,22929
2020-06-08T05:08:07,22929
2020-06-08T05:09:12,22932
2020-06-08T05:10:17,22936
2020-06-08T05:11:22,22942
2020-06-08T05:12:27,22932
2020-06-08T05:13:32,22922
2020-06-08T05:14:37,22936
2020-06-08T05:15:42,22936
2020-06-08T05:16:47,22925
2020-06-08T05:17:52,22905
2020-06-08T05:18:57,22915
2020-06-08T05:20:02,22915
2020-06-08T05:21:07,22899
2020-06-08T05:22:13,22915
2020-06-08T05:23:18,22898
2020-06-08T05:24:23,22902
2020-06-08T05:25:28,22919
2020-06-08T05:26:33,22915
2020-06-08T05:27:38,22902
2020-06-08T05:28:43,23095
2020-06-08T05:29:48,23191
2020-06-08T05:30:53,23266
2020-06-08T05:31:59,23327
2020-06-08T05:33:04,23382
2020-06-08T05:34:09,23481
2020-06-08T05:35:15,23550
2020-06-08T05:36:19,23690
2020-06-08T05:37:25,23762
2020-06-08T05:38:30,23775
2020-06-08T05:39:35,23786
2020-06-08T05:40:41,23772
2020-06-08T05:41:46,23775
2020-06-08T05:42:51,23761
2020-06-08T05:43:56,23782
2020-06-08T05:45:01,23779
2020-06-08T05:46:06,23803
2020-06-08T05:47:11,23796
2020-06-08T05:48:16,23807
2020-06-08T05:49:21,23800
2020-06-08T05:50:26,23854
2020-06-08T05:51:31,23882
2020-06-08T05:52:36,23865
2020-06-08T05:53:42,23861
2020-06-08T05:54:46,23824
2020-06-08T05:55:52,23868
2020-06-08T05:56:57,23854
2020-06-08T05:58:02,23854
2020-06-08T05:59:07,23848
2020-06-08T06:00:12,23861
2020-06-08T06:01:17,23957
2020-06-08T06:02:23,23887
2020-06-08T06:03:28,24009
2020-06-08T06:04:33,23968
2020-06-08T06:05:38,23931
2020-06-08T06:06:42,23931
2020-06-08T06:07:47,24026
2020-06-08T06:08:52,23969
2020-06-08T06:09:57,23903
2020-06-08T06:11:02,23906
2020-06-08T06:12:08,23872
2020-06-08T06:13:13,23875
2020-06-08T06:14:18,23872
2020-06-08T06:15:23,23910
2020-06-08T06:16:28,23868
2020-06-08T06:17:33,23886
2020-06-08T06:18:38,23872
2020-06-08T06:19:43,23889
2020-06-08T06:20:48,23889
2020-06-08T06:21:53,23914
2020-06-08T06:22:58,23924
2020-06-08T06:24:03,23900
2020-06-08T06:25:08,23917
2020-06-08T06:26:13,23910
2020-06-08T06:27:18,23914
2020-06-08T06:28:23,23914
2020-06-08T06:29:27,23935
2020-06-08T06:30:32,24090
2020-06-08T06:31:37,23959
2020-06-08T06:32:42,23969
2020-06-08T06:33:47,23962
2020-06-08T06:34:52,23959
2020-06-08T06:35:57,23942
2020-06-08T06:37:02,23854
2020-06-08T06:38:07,23936
2020-06-08T06:39:12,23977
2020-06-08T06:40:17,23980
2020-06-08T06:41:22,23970
2020-06-08T06:42:27,23966
2020-06-08T06:43:32,23980
2020-06-08T06:44:37,23952
2020-06-08T06:45:42,23952
2020-06-08T06:46:47,23952
2020-06-08T06:47:52,23925
2020-06-08T06:48:57,23918
2020-06-08T06:50:02,23939
2020-06-08T06:51:07,23932
2020-06-08T06:52:12,23928
2020-06-08T06:53:17,23929
2020-06-08T06:54:22,23881
2020-06-08T06:55:27,23888
2020-06-08T06:56:32,23885
2020-06-08T06:57:37,23867
2020-06-08T06:58:42,23874
2020-06-08T06:59:47,23867
2020-06-08T07:00:52,23860
2020-06-08T07:01:57,23857
2020-06-08T07:03:02,23874
2020-06-08T07:04:07,23856
2020-06-08T07:05:12,23857
2020-06-08T07:06:17,23857
2020-06-08T07:07:22,23870
2020-06-08T07:08:27,23867
2020-06-08T07:09:32,23874
2020-06-08T07:10:38,23877
2020-06-08T07:11:43,23850
2020-06-08T07:12:48,23580
2020-06-08T07:13:54,23665
2020-06-08T07:14:59,23727
2020-06-08T07:16:04,23781
2020-06-08T07:17:09,23836
2020-06-08T07:18:15,23860
2020-06-08T07:19:20,23832
2020-06-08T07:20:25,23911
2020-06-08T07:21:30,23870
2020-06-08T07:22:35,23867
2020-06-08T07:23:40,23871
2020-06-08T07:24:45,23857
2020-06-08T07:25:50,23723
2020-06-08T07:26:55,23784
2020-06-08T07:28:00,23818
2020-06-08T07:29:05,23822
2020-06-08T07:30:10,23842
2020-06-08T07:31:15,23839
2020-06-08T07:32:20,23849
2020-06-08T07:33:24,23801
2020-06-08T07:34:29,23811
2020-06-08T07:35:34,23811
2020-06-08T07:36:39,23818
2020-06-08T07:37:44,23835
2020-06-08T07:38:49,23842
2020-06-08T07:39:54,23835
2020-06-08T07:40:59,23783
2020-06-08T07:42:05,23776
2020-06-08T07:43:10,23793
2020-06-08T07:44:14,23838
2020-06-08T07:45:20,23807
2020-06-08T07:46:25,23800
2020-06-08T07:47:31,23815
2020-06-08T07:48:36,23996
2020-06-08T07:49:41,23945
2020-06-08T07:50:46,23849
2020-06-08T07:51:51,23818
2020-06-08T07:52:56,23818
2020-06-08T07:54:01,23832
2020-06-08T07:55:06,23832
2020-06-08T07:56:11,23832
2020-06-08T07:57:16,23832
2020-06-08T07:58:21,23846
2020-06-08T07:59:26,23846
2020-06-08T08:00:31,23850
2020-06-08T08:01:36,23870
2020-06-08T08:02:41,23867
2020-06-08T08:03:46,23819
2020-06-08T08:04:51,23843
2020-06-08T08:05:56,23829
2020-06-08T08:07:01,23853
2020-06-08T08:08:06,23849
2020-06-08T08:09:11,23849
2020-06-08T08:10:16,23839
2020-06-08T08:11:21,23815
2020-06-08T08:12:26,23836
2020-06-08T08:13:31,23822
2020-06-08T08:14:36,23856
