date,value
2020-06-08T02:28:43,21321
2020-06-08T02:29:48,21326
2020-06-08T02:30:53,21334
2020-06-08T02:31:58,21324
2020-06-08T02:33:04,21323
2020-06-08T02:34:10,21326
2020-06-08T02:35:16,21338
2020-06-08T02:36:21,21335
2020-06-08T02:37:26,21332
2020-06-08T02:38:31,21360
2020-06-08T02:39:36,21333
2020-06-08T02:40:41,21318
2020-06-08T02:41:46,21331
2020-06-08T02:42:51,21345
2020-06-08T02:43:56,21336
2020-06-08T02:45:01,21334
2020-06-08T02:46:06,21352
2020-06-08T02:47:11,21355
2020-06-08T02:48:16,21359
2020-06-08T02:49:21,21364
2020-06-08T02:50:26,21421
2020-06-08T02:51:31,21435
2020-06-08T02:52:36,21425
2020-06-08T02:53:41,21417
2020-06-08T02:54:46,21420
2020-06-08T02:55:51,21418
2020-06-08T02:56:56,21415
2020-06-08T02:58:01,21412
2020-06-08T02:59:06,21432
2020-06-08T03:00:11,21414
2020-06-08T03:01:16,21441
2020-06-08T03:02:21,21438
2020-06-08T03:03:26,21436
2020-06-08T03:04:31,21439
2020-06-08T03:05:36,21441
2020-06-08T03:06:41,21443
2020-06-08T03:07:46,21454
2020-06-08T03:08:51,21442
2020-06-08T03:09:56,21440
2020-06-08T03:11:01,21441
2020-06-08T03:12:06,21443
2020-06-08T03:13:11,21439
2020-06-08T03:14:16,21446
2020-06-08T03:15:21,21434
2020-06-08T03:16:26,21439
2020-06-08T03:17:31,21436
2020-06-08T03:18:36,21437
2020-06-08T03:19:41,21440
2020-06-08T03:20:46,21441
2020-06-08T03:21:51,21448
2020-06-08T03:22:56,21434
2020-06-08T03:24:01,21458
2020-06-08T03:25:06,21456
2020-06-08T03:26:11,21449
2020-06-08T03:27:16,21449
2020-06-08T03:28:21,21463
2020-06-08T03:29:26,21449
2020-06-08T03:30:31,21462
2020-06-08T03:31:36,21464
2020-06-08T03:32:40,21467
2020-06-08T03:33:45,21468
2020-06-08T03:34:50,21469
2020-06-08T03:35:56,21463
2020-06-08T03:37:01,21469
2020-06-08T03:38:06,21454
2020-06-08T03:39:11,21463
2020-06-08T03:40:16,21467
2020-06-08T03:41:21,21467
2020-06-08T03:42:26,21467
2020-06-08T03:43:31,21508
2020-06-08T03:44:36,21520
2020-06-08T03:45:41,21536
2020-06-08T03:46:46,21544
2020-06-08T03:47:51,21551
