date,value
2020-06-08T02:28:44,81770670
2020-06-08T02:29:48,81835570
2020-06-08T02:30:53,81854620
2020-06-08T02:31:59,81886450
2020-06-08T02:33:05,81932830
2020-06-08T02:34:11,81885680
2020-06-08T02:35:16,81881380
2020-06-08T02:36:21,81856940
2020-06-08T02:37:26,81427290
2020-06-08T02:38:31,81375420
2020-06-08T02:39:36,81398540
2020-06-08T02:40:41,81462840
2020-06-08T02:41:46,81445530
2020-06-08T02:42:51,81467800
2020-06-08T02:43:56,81471750
2020-06-08T02:45:01,81505750
2020-06-08T02:46:06,81508280
2020-06-08T02:47:11,81498790
2020-06-08T02:48:16,81526670
2020-06-08T02:49:21,81576450
2020-06-08T02:50:26,81551580
2020-06-08T02:51:31,81578720
2020-06-08T02:52:36,81596360
2020-06-08T02:53:41,81628720
2020-06-08T02:54:46,81629400
2020-06-08T02:55:51,81677670
2020-06-08T02:56:56,81686160
2020-06-08T02:58:01,81711850
2020-06-08T02:59:06,81737960
2020-06-08T03:00:11,81778060
2020-06-08T03:01:16,81801100
2020-06-08T03:02:21,81850410
2020-06-08T03:03:26,81878990
2020-06-08T03:04:31,81906460
2020-06-08T03:05:36,81923300
2020-06-08T03:06:41,81940880
2020-06-08T03:07:46,81989010
2020-06-08T03:08:51,81989670
2020-06-08T03:09:56,82000490
2020-06-08T03:11:01,82001900
2020-06-08T03:12:06,81993620
2020-06-08T03:13:11,81999690
2020-06-08T03:14:16,82004040
2020-06-08T03:15:21,82042310
2020-06-08T03:16:26,82060680
2020-06-08T03:17:31,82075330
2020-06-08T03:18:36,82026580
2020-06-08T03:19:41,82053840
2020-06-08T03:20:46,82050270
2020-06-08T03:21:51,82095580
2020-06-08T03:22:56,82096110
2020-06-08T03:24:01,82107950
2020-06-08T03:25:06,82121220
2020-06-08T03:26:11,82140520
2020-06-08T03:27:16,82147880
2020-06-08T03:28:21,82172160
2020-06-08T03:29:26,82169940
2020-06-08T03:30:31,82177340
2020-06-08T03:31:36,82181240
2020-06-08T03:32:41,82183710
2020-06-08T03:33:46,82182710
2020-06-08T03:34:51,82183400
2020-06-08T03:35:56,82203330
2020-06-08T03:37:01,82203930
2020-06-08T03:38:06,82207580
2020-06-08T03:39:11,82229450
2020-06-08T03:40:16,82245440
2020-06-08T03:41:21,82244920
2020-06-08T03:42:26,82255640
2020-06-08T03:43:31,82278900
2020-06-08T03:44:36,82291810
2020-06-08T03:45:41,82305880
2020-06-08T03:46:46,82332680
2020-06-08T03:47:51,82345540
2020-06-08T03:48:56,82353030
2020-06-08T03:50:01,82351990
2020-06-08T03:51:06,82382600
2020-06-08T03:52:11,82389950
2020-06-08T03:53:16,82406900
2020-06-08T03:54:21,82412870
2020-06-08T03:55:26,82436730
2020-06-08T03:56:32,82446720
2020-06-08T03:57:37,82446850
2020-06-08T03:58:42,82488530
2020-06-08T03:59:47,82483720
2020-06-08T04:00:52,82461440
2020-06-08T04:01:57,82472090
2020-06-08T04:03:02,82481800
2020-06-08T04:04:07,82522310
2020-06-08T04:05:12,82534570
2020-06-08T04:06:17,82548580
2020-06-08T04:07:22,82670090
2020-06-08T04:08:27,82668530
2020-06-08T04:09:32,82653320
2020-06-08T04:10:37,83284960
2020-06-08T04:11:42,83377610
2020-06-08T04:12:48,83519990
2020-06-08T04:13:53,83765810
2020-06-08T04:14:58,84021320
2020-06-08T04:16:03,84036140
2020-06-08T04:17:08,84022040
2020-06-08T04:18:13,84079140
2020-06-08T04:19:18,84115160
2020-06-08T04:20:23,84203780
2020-06-08T04:21:28,84219320
2020-06-08T04:22:32,84261070
2020-06-08T04:23:38,84413020
2020-06-08T04:24:43,84546340
2020-06-08T04:25:48,84638910
2020-06-08T04:26:53,84653780
2020-06-08T04:27:58,84656140
2020-06-08T04:29:03,84650750
2020-06-08T04:30:08,84622660
2020-06-08T04:31:13,84623150
2020-06-08T04:32:18,84621200
2020-06-08T04:33:23,84605490
2020-06-08T04:34:28,84608770
2020-06-08T04:35:33,84611310
2020-06-08T04:36:39,84619260
2020-06-08T04:37:44,84626380
2020-06-08T04:38:49,84643520
2020-06-08T04:39:54,84646630
2020-06-08T04:40:59,84626520
2020-06-08T04:42:04,84636960
2020-06-08T04:43:09,84648310
2020-06-08T04:44:14,84644180
2020-06-08T04:45:19,84645960
2020-06-08T04:46:24,84651510
2020-06-08T04:47:29,84630490
2020-06-08T04:48:34,84628620
2020-06-08T04:49:40,84618390
2020-06-08T04:50:45,84623370
2020-06-08T04:51:51,84619420
2020-06-08T04:52:56,84631050
2020-06-08T04:54:01,84653380
2020-06-08T04:55:06,84655300
2020-06-08T04:56:11,84665380
2020-06-08T04:57:16,84663150
2020-06-08T04:58:21,84664330
2020-06-08T04:59:26,84673780
2020-06-08T05:00:31,84708220
2020-06-08T05:01:36,84726210
2020-06-08T05:02:41,84743830
2020-06-08T05:03:46,84750080
2020-06-08T05:04:51,84759940
2020-06-08T05:05:56,84753590
2020-06-08T05:07:01,84750640
2020-06-08T05:08:07,84750150
2020-06-08T05:09:12,84754230
2020-06-08T05:10:17,84751340
2020-06-08T05:11:22,84760250
2020-06-08T05:12:27,84775270
2020-06-08T05:13:32,84788750
2020-06-08T05:14:37,84772470
2020-06-08T05:15:42,84773140
2020-06-08T05:16:47,84778630
2020-06-08T05:17:53,84784170
2020-06-08T05:18:58,84825410
2020-06-08T05:20:03,84843930
2020-06-08T05:21:08,84835310
2020-06-08T05:22:13,84846320
2020-06-08T05:23:18,84833040
2020-06-08T05:24:23,84823160
2020-06-08T05:25:29,84806340
2020-06-08T05:26:33,84817520
2020-06-08T05:27:38,84815160
2020-06-08T05:28:43,84780900
2020-06-08T05:29:48,84777330
2020-06-08T05:30:53,84779870
2020-06-08T05:31:59,84787020
2020-06-08T05:33:04,84808440
2020-06-08T05:34:09,84800610
2020-06-08T05:35:15,84820130
2020-06-08T05:36:20,84828330
2020-06-08T05:37:25,84810090
2020-06-08T05:38:30,84778400
2020-06-08T05:39:36,84780500
2020-06-08T05:40:41,84808560
2020-06-08T05:41:46,84807280
2020-06-08T05:42:51,84831840
2020-06-08T05:43:56,84845120
2020-06-08T05:45:01,84843020
2020-06-08T05:46:07,84888200
2020-06-08T05:47:12,84908980
2020-06-08T05:48:17,84921470
2020-06-08T05:49:22,84930080
2020-06-08T05:50:27,84925850
2020-06-08T05:51:32,84925990
2020-06-08T05:52:37,84927640
2020-06-08T05:53:42,84955850
2020-06-08T05:54:47,84977710
2020-06-08T05:55:52,84984570
2020-06-08T05:56:57,84988620
2020-06-08T05:58:02,84991480
2020-06-08T05:59:07,84972490
2020-06-08T06:00:12,84990330
2020-06-08T06:01:17,84973930
2020-06-08T06:02:23,84972620
2020-06-08T06:03:28,84983140
2020-06-08T06:04:33,85031210
2020-06-08T06:05:38,85036960
2020-06-08T06:06:43,85038080
2020-06-08T06:07:47,85040160
2020-06-08T06:08:53,85041740
2020-06-08T06:09:58,85046680
2020-06-08T06:11:03,85046140
2020-06-08T06:12:08,85042900
2020-06-08T06:13:13,85030340
2020-06-08T06:14:18,85038180
2020-06-08T06:15:23,85033820
2020-06-08T06:16:28,85036560
2020-06-08T06:17:33,85042610
2020-06-08T06:18:38,85046610
2020-06-08T06:19:43,85050410
2020-06-08T06:20:48,85050660
2020-06-08T06:21:53,85060620
2020-06-08T06:22:58,85091070
2020-06-08T06:24:03,85095710
2020-06-08T06:25:08,85097190
2020-06-08T06:26:13,85094710
2020-06-08T06:27:18,85092990
2020-06-08T06:28:23,85092590
2020-06-08T06:29:28,85062400
2020-06-08T06:30:32,85073410
2020-06-08T06:31:37,85085730
2020-06-08T06:32:42,85071750
2020-06-08T06:33:47,85067990
2020-06-08T06:34:52,85069890
2020-06-08T06:35:57,85073260
2020-06-08T06:37:02,85052510
2020-06-08T06:38:07,85050760
2020-06-08T06:39:12,85052860
2020-06-08T06:40:17,85047840
2020-06-08T06:41:23,85043440
2020-06-08T06:42:27,85053710
2020-06-08T06:43:32,85072770
2020-06-08T06:44:37,85091260
2020-06-08T06:45:42,85099560
2020-06-08T06:46:47,85100300
2020-06-08T06:47:52,85086740
2020-06-08T06:48:57,85085870
2020-06-08T06:50:02,85086880
2020-06-08T06:51:07,85086880
2020-06-08T06:52:12,85090690
2020-06-08T06:53:17,85188880
2020-06-08T06:54:22,85186170
2020-06-08T06:55:27,85191120
2020-06-08T06:56:32,85197430
2020-06-08T06:57:37,85201810
2020-06-08T06:58:43,85193960
2020-06-08T06:59:48,85192340
2020-06-08T07:00:53,85253450
2020-06-08T07:01:57,85275220
2020-06-08T07:03:03,85279710
2020-06-08T07:04:07,85277400
2020-06-08T07:05:12,85274330
2020-06-08T07:06:17,85269210
2020-06-08T07:07:22,85290380
2020-06-08T07:08:27,85293250
2020-06-08T07:09:32,85281570
2020-06-08T07:10:38,85272650
2020-06-08T07:11:43,85275650
2020-06-08T07:12:48,85269650
2020-06-08T07:13:54,85271360
2020-06-08T07:14:59,85268780
2020-06-08T07:16:04,85264140
2020-06-08T07:17:09,85261460
2020-06-08T07:18:15,85254370
2020-06-08T07:19:20,85254850
2020-06-08T07:20:25,85277430
2020-06-08T07:21:30,85279650
2020-06-08T07:22:35,85275530
2020-06-08T07:23:40,85279810
2020-06-08T07:24:45,85293440
2020-06-08T07:25:50,85278130
2020-06-08T07:26:55,85272670
2020-06-08T07:28:00,85273720
2020-06-08T07:29:05,85249710
2020-06-08T07:30:10,85248280
2020-06-08T07:31:15,85251590
2020-06-08T07:32:20,85256840
2020-06-08T07:33:25,85246990
2020-06-08T07:34:29,85247460
2020-06-08T07:35:34,85252920
2020-06-08T07:36:39,85258510
2020-06-08T07:37:44,85257720
2020-06-08T07:38:50,85313590
2020-06-08T07:39:54,85340180
2020-06-08T07:41:00,85302200
2020-06-08T07:42:05,85135240
2020-06-08T07:43:10,85071090
2020-06-08T07:44:15,85056460
2020-06-08T07:45:20,85053010
2020-06-08T07:46:26,84979670
2020-06-08T07:47:31,84946670
2020-06-08T07:48:36,84821780
2020-06-08T07:49:41,84752420
2020-06-08T07:50:46,84752160
2020-06-08T07:51:51,84745610
2020-06-08T07:52:56,84743150
2020-06-08T07:54:01,84733320
2020-06-08T07:55:06,84732370
2020-06-08T07:56:11,84731440
2020-06-08T07:57:16,84722300
2020-06-08T07:58:21,84736080
2020-06-08T07:59:26,84732690
2020-06-08T08:00:31,84713460
2020-06-08T08:01:36,84689470
2020-06-08T08:02:41,84687000
2020-06-08T08:03:46,84686910
2020-06-08T08:04:51,84690610
2020-06-08T08:05:56,84681710
2020-06-08T08:07:01,84683290
2020-06-08T08:08:06,84685440
2020-06-08T08:09:11,84686640
2020-06-08T08:10:16,84688790
2020-06-08T08:11:21,84688790
2020-06-08T08:12:26,84766420
2020-06-08T08:13:31,84876180
2020-06-08T08:14:36,84871540
2020-06-08T08:15:41,84868970
2020-06-08T08:16:46,84868620
2020-06-08T08:17:51,85003090
2020-06-08T08:18:56,85120210
2020-06-08T08:20:02,84996190
2020-06-08T08:21:07,84981550
2020-06-08T08:22:12,85029330
2020-06-08T08:23:17,84975360
2020-06-08T08:24:22,84944310
2020-06-08T08:25:27,84940220
2020-06-08T08:26:32,84969580
2020-06-08T08:27:37,84931300
2020-06-08T08:28:43,84797860
2020-06-08T08:29:48,84630600
2020-06-08T08:30:52,84525120
2020-06-08T08:31:57,84464680
2020-06-08T08:33:02,84412980
2020-06-08T08:34:08,84376530
2020-06-08T08:35:13,84417720
2020-06-08T08:36:18,84384990
2020-06-08T08:37:23,84405560
2020-06-08T08:38:28,84385930
2020-06-08T08:39:33,84393500
2020-06-08T08:40:38,84390550
2020-06-08T08:41:43,84312100
2020-06-08T08:42:48,84310320
2020-06-08T08:43:53,84305970
2020-06-08T08:44:58,84282840
2020-06-08T08:46:03,84282830
2020-06-08T08:47:08,84282810
2020-06-08T08:48:13,84281610
