date,value
2020-06-03T02:50:16,69795
2020-06-03T02:51:21,69736
2020-06-03T02:52:26,69621
2020-06-03T02:53:31,69703
2020-06-03T02:54:36,69671
2020-06-03T02:55:41,70863
2020-06-03T02:56:46,70773
2020-06-03T02:57:51,70792
2020-06-03T02:58:56,70553
2020-06-03T03:00:01,70787
2020-06-03T03:01:06,70834
2020-06-03T03:02:11,70819
2020-06-03T03:03:18,70854
2020-06-03T03:04:23,71097
2020-06-03T03:05:28,70800
2020-06-03T03:06:33,70802
2020-06-03T03:07:38,70814
2020-06-03T03:08:43,70306
2020-06-03T03:09:48,70609
2020-06-03T03:10:53,70789
2020-06-03T03:11:58,70827
2020-06-03T03:13:03,70804
2020-06-03T03:14:08,71070
2020-06-03T03:15:13,70841
2020-06-03T03:16:18,70836
2020-06-03T03:17:23,71001
2020-06-03T03:18:28,70878
2020-06-03T03:19:33,70835
2020-06-03T03:20:38,70697
2020-06-03T03:21:43,70631
2020-06-03T03:22:48,70600
2020-06-03T03:23:53,70608
2020-06-03T03:24:58,70592
2020-06-03T03:26:03,70688
2020-06-03T03:27:08,69394
2020-06-03T03:28:13,69818
2020-06-03T03:29:18,69955
2020-06-03T03:30:23,70142
2020-06-03T03:31:28,70345
2020-06-03T03:32:33,70488
2020-06-03T03:33:38,70532
2020-06-03T03:34:43,70787
2020-06-03T03:35:48,70876
2020-06-03T03:36:53,70878
2020-06-03T03:37:58,70820
2020-06-03T03:39:03,70814
2020-06-03T03:40:08,70821
2020-06-03T03:41:13,70855
2020-06-03T03:42:18,70820
2020-06-03T03:43:24,70742
2020-06-03T03:44:29,71122
2020-06-03T03:45:34,70945
2020-06-03T03:46:39,70027
2020-06-03T03:47:44,68882
2020-06-03T03:48:49,69003
2020-06-03T03:49:54,68868
2020-06-03T03:50:59,68904
2020-06-03T03:52:04,68868
2020-06-03T03:53:09,68973
2020-06-03T03:54:14,70576
2020-06-03T03:55:19,70602
2020-06-03T03:56:24,70543
2020-06-03T03:57:29,70597
2020-06-03T03:58:34,70588
2020-06-03T03:59:39,70620
2020-06-03T04:00:44,70591
2020-06-03T04:01:49,70607
2020-06-03T04:02:54,71365
2020-06-03T04:03:59,70816
2020-06-03T04:05:04,71267
2020-06-03T04:06:09,71265
2020-06-03T04:07:14,71208
2020-06-03T04:08:19,71184
2020-06-03T04:09:24,71225
2020-06-03T04:10:29,71173
2020-06-03T04:11:34,71269
2020-06-03T04:12:39,71222
2020-06-03T04:13:44,71185
2020-06-03T04:14:49,71215
2020-06-03T04:15:55,71145
2020-06-03T04:17:00,71295
2020-06-03T04:18:05,71145
2020-06-03T04:19:10,71152
2020-06-03T04:20:15,71180
2020-06-03T04:21:19,70252
2020-06-03T04:22:24,70188
2020-06-03T04:23:29,69455
2020-06-03T04:24:34,69422
2020-06-03T04:25:40,69396
2020-06-03T04:26:45,69378
2020-06-03T04:27:50,69351
2020-06-03T04:28:55,69396
2020-06-03T04:30:00,69458
2020-06-03T04:31:05,68938
2020-06-03T04:32:10,68934
2020-06-03T04:33:15,69061
2020-06-03T04:34:20,68954
2020-06-03T04:35:25,68996
2020-06-03T04:36:30,68978
2020-06-03T04:37:35,69011
2020-06-03T04:38:40,68580
2020-06-03T04:39:45,68611
2020-06-03T04:40:50,68600
2020-06-03T04:41:55,68573
2020-06-03T04:43:00,68907
2020-06-03T04:44:05,68933
2020-06-03T04:45:10,68951
2020-06-03T04:46:15,68953
2020-06-03T04:47:20,68486
2020-06-03T04:48:25,68449
2020-06-03T04:49:30,68629
2020-06-03T04:50:36,68503
2020-06-03T04:51:41,68400
2020-06-03T04:52:46,68560
2020-06-03T04:53:51,68525
2020-06-03T04:54:56,68157
2020-06-03T04:56:01,69200
2020-06-03T04:57:06,69143
2020-06-03T04:58:12,69202
2020-06-03T04:59:17,69350
2020-06-03T05:00:22,69256
2020-06-03T05:01:27,69213
2020-06-03T05:02:32,69208
2020-06-03T05:03:37,69204
2020-06-03T05:04:42,69235
2020-06-03T05:05:47,69127
2020-06-03T05:06:52,70673
2020-06-03T05:07:57,70072
2020-06-03T05:09:02,70053
2020-06-03T05:10:07,70018
2020-06-03T05:11:12,70122
2020-06-03T05:12:17,69931
2020-06-03T05:13:23,73505
2020-06-03T05:14:28,73059
2020-06-03T05:15:33,73419
2020-06-03T05:16:38,73470
2020-06-03T05:17:43,72959
2020-06-03T05:18:48,72928
2020-06-03T05:19:53,73065
2020-06-03T05:20:58,73348
2020-06-03T05:22:03,73174
2020-06-03T05:23:08,73665
2020-06-03T05:24:14,73733
2020-06-03T05:25:19,73761
2020-06-03T05:26:24,73556
2020-06-03T05:27:29,69239
2020-06-03T05:28:34,71129
2020-06-03T05:29:39,71794
2020-06-03T05:30:44,71734
2020-06-03T05:31:49,71861
2020-06-03T05:32:54,70334
2020-06-03T05:33:59,70355
2020-06-03T05:35:04,70496
2020-06-03T05:36:09,70842
2020-06-03T05:37:14,70599
2020-06-03T05:38:19,70596
2020-06-03T05:39:24,70449
2020-06-03T05:40:29,70613
2020-06-03T05:41:34,70693
2020-06-03T05:42:39,71026
2020-06-03T05:43:45,70875
2020-06-03T05:44:49,70757
2020-06-03T05:45:54,71284
2020-06-03T05:46:59,70698
2020-06-03T05:48:04,70300
2020-06-03T05:49:09,70729
2020-06-03T05:50:14,70883
2020-06-03T05:51:19,70795
2020-06-03T05:52:24,70791
2020-06-03T05:53:29,70801
2020-06-03T05:54:34,70382
2020-06-03T05:55:40,70921
2020-06-03T05:56:45,71012
2020-06-03T05:57:50,70919
2020-06-03T05:58:55,71466
2020-06-03T06:00:00,71369
2020-06-03T06:01:05,70925
2020-06-03T06:02:10,70881
2020-06-03T06:03:15,70896
2020-06-03T06:04:20,70848
2020-06-03T06:05:25,70939
2020-06-03T06:06:30,70877
2020-06-03T06:07:35,71070
2020-06-03T06:08:40,70952
2020-06-03T06:09:45,70884
2020-06-03T06:10:50,70896
2020-06-03T06:11:55,71025
2020-06-03T06:13:00,70926
2020-06-03T06:14:05,70894
2020-06-03T06:15:10,70815
2020-06-03T06:16:15,70867
2020-06-03T06:17:20,70679
2020-06-03T06:18:25,70780
2020-06-03T06:19:30,70636
2020-06-03T06:20:35,70668
2020-06-03T06:21:40,70395
2020-06-03T06:22:45,70955
2020-06-03T06:23:50,70431
2020-06-03T06:24:55,70509
2020-06-03T06:26:00,70413
2020-06-03T06:27:05,70502
2020-06-03T06:28:10,70484
2020-06-03T06:29:15,70604
2020-06-03T06:30:19,70562
2020-06-03T06:31:25,70505
2020-06-03T06:32:30,70793
2020-06-03T06:33:35,70776
2020-06-03T06:34:40,71353
2020-06-03T06:35:45,71377
2020-06-03T06:36:50,71423
2020-06-03T06:37:54,71436
2020-06-03T06:38:59,71430
2020-06-03T06:40:04,71443
2020-06-03T06:41:09,71440
2020-06-03T06:42:15,71401
2020-06-03T06:43:20,71439
2020-06-03T06:44:25,71345
2020-06-03T06:45:30,71380
2020-06-03T06:46:35,71324
2020-06-03T06:47:40,71382
2020-06-03T06:48:45,71307
2020-06-03T06:49:50,71114
2020-06-03T06:50:55,70122
2020-06-03T06:52:00,70158
2020-06-03T06:53:05,70500
2020-06-03T06:54:10,70441
2020-06-03T06:55:15,70396
2020-06-03T06:56:20,70422
2020-06-03T06:57:25,70461
2020-06-03T06:58:30,70469
2020-06-03T06:59:34,70432
2020-06-03T07:00:39,70455
2020-06-03T07:01:44,70407
2020-06-03T07:02:49,70624
2020-06-03T07:03:54,70788
2020-06-03T07:04:59,70776
2020-06-03T07:06:04,70830
2020-06-03T07:07:10,70686
2020-06-03T07:08:15,70705
2020-06-03T07:09:20,70683
2020-06-03T07:10:25,70725
2020-06-03T07:11:30,70620
2020-06-03T07:12:35,70734
2020-06-03T07:13:40,70734
2020-06-03T07:14:45,70666
2020-06-03T07:15:51,70726
2020-06-03T07:16:57,70748
2020-06-03T07:18:02,70724
2020-06-03T07:19:07,70769
2020-06-03T07:20:12,70738
2020-06-03T07:21:17,70717
2020-06-03T07:22:22,70632
2020-06-03T07:23:27,70739
2020-06-03T07:24:32,70774
2020-06-03T07:25:37,70776
2020-06-03T07:26:42,70760
2020-06-03T07:27:47,69939
2020-06-03T07:28:52,69940
2020-06-03T07:29:57,70001
2020-06-03T07:31:02,69946
2020-06-03T07:32:07,69398
2020-06-03T07:33:12,69891
2020-06-03T07:34:17,70041
2020-06-03T07:35:22,70174
2020-06-03T07:36:27,70176
2020-06-03T07:37:32,70181
2020-06-03T07:38:37,73075
2020-06-03T07:39:42,71136
2020-06-03T07:40:47,71136
2020-06-03T07:41:52,71131
2020-06-03T07:42:57,71160
2020-06-03T07:44:02,71146
2020-06-03T07:45:07,71121
2020-06-03T07:46:12,71090
2020-06-03T07:47:17,71180
2020-06-03T07:48:22,71127
2020-06-03T07:49:27,71147
2020-06-03T07:50:32,71128
2020-06-03T07:51:37,71123
2020-06-03T07:52:42,71167
2020-06-03T07:53:47,71110
2020-06-03T07:54:52,73061
2020-06-03T07:55:57,73054
2020-06-03T07:57:02,72661
2020-06-03T07:58:07,72608
2020-06-03T07:59:12,72675
2020-06-03T08:00:17,72596
2020-06-03T08:01:21,71902
2020-06-03T08:02:26,72566
2020-06-03T08:03:32,72483
2020-06-03T08:04:37,72483
2020-06-03T08:05:42,72483
2020-06-03T08:06:48,72483
2020-06-03T08:07:55,72483
2020-06-03T08:08:59,72483
2020-06-03T08:10:04,72483
2020-06-03T08:11:09,72483
2020-06-03T08:12:14,72483
2020-06-03T08:13:19,72483
2020-06-03T08:14:25,72483
2020-06-03T08:15:30,72483
2020-06-03T08:16:35,72483
2020-06-03T08:17:40,72483
2020-06-03T08:18:45,72483
2020-06-03T08:19:50,72483
2020-06-03T08:20:55,72483
2020-06-03T08:21:59,72483
2020-06-03T08:23:04,72483
2020-06-03T08:24:09,72606
2020-06-03T08:25:14,72606
2020-06-03T08:26:19,72606
2020-06-03T08:27:25,72606
2020-06-03T08:28:30,72606
2020-06-03T08:29:35,72606
2020-06-03T08:30:40,72606
2020-06-03T08:31:45,72606
2020-06-03T08:32:50,72606
2020-06-03T08:33:55,72606
2020-06-03T08:35:00,72623
2020-06-03T08:36:05,72623
2020-06-03T08:37:10,72623
2020-06-03T08:38:15,72619
2020-06-03T08:39:20,72619
2020-06-03T08:40:25,72619
2020-06-03T08:41:30,72193
2020-06-03T08:42:35,72193
2020-06-03T08:43:40,72193
2020-06-03T08:44:45,72173
2020-06-03T08:45:50,71763
2020-06-03T08:46:55,71763
2020-06-03T08:48:00,71763
2020-06-03T08:49:05,72173
2020-06-03T08:50:10,72173
2020-06-03T08:51:15,71746
2020-06-03T08:52:20,71746
2020-06-03T08:53:24,72173
2020-06-03T08:54:29,72156
2020-06-03T08:55:35,72105
2020-06-03T08:56:40,72127
2020-06-03T08:57:45,72140
2020-06-03T08:58:50,72100
2020-06-03T08:59:55,72116
2020-06-03T09:01:00,72080
2020-06-03T09:02:05,72095
2020-06-03T09:03:10,72114
2020-06-03T09:04:15,72183
2020-06-03T09:05:20,72102
2020-06-03T09:06:25,72111
2020-06-03T09:07:30,72296
2020-06-03T09:08:35,72489
2020-06-03T09:09:39,72455
2020-06-03T09:10:44,72339
2020-06-03T09:11:49,72346
2020-06-03T09:12:54,72353
2020-06-03T09:13:59,72342
2020-06-03T09:15:04,72328
2020-06-03T09:16:09,72342
2020-06-03T09:17:14,72310
2020-06-03T09:18:19,72372
2020-06-03T09:19:24,72394
2020-06-03T09:20:30,72376
2020-06-03T09:21:35,72388
2020-06-03T09:22:40,72349
2020-06-03T09:23:45,72373
2020-06-03T09:24:50,72369
2020-06-03T09:25:55,72979
2020-06-03T09:27:00,72978
2020-06-03T09:28:05,73007
2020-06-03T09:29:10,72960
2020-06-03T09:30:15,72970
2020-06-03T09:31:20,72939
2020-06-03T09:32:25,72971
2020-06-03T09:33:30,72561
2020-06-03T09:34:35,72793
2020-06-03T09:35:40,72965
2020-06-03T09:36:45,73045
2020-06-03T09:37:50,72962
2020-06-03T09:38:55,73102
2020-06-03T09:40:00,73052
2020-06-03T09:41:05,73045
2020-06-03T09:42:10,73010
2020-06-03T09:43:15,73016
2020-06-03T09:44:20,73014
2020-06-03T09:45:25,72792
2020-06-03T09:46:30,73010
2020-06-03T09:47:34,73044
2020-06-03T09:48:39,72807
2020-06-03T09:49:44,72985
2020-06-03T09:50:49,73028
2020-06-03T09:51:54,73068
2020-06-03T09:52:59,73209
2020-06-03T09:54:04,73171
2020-06-03T09:55:09,73010
2020-06-03T09:56:14,72912
2020-06-03T09:57:19,73278
2020-06-03T09:58:24,73139
2020-06-03T09:59:29,73076
2020-06-03T10:00:34,72676
2020-06-03T10:01:38,73502
2020-06-03T10:02:43,73626
2020-06-03T10:03:48,73963
2020-06-03T10:04:53,74273
2020-06-03T10:05:58,75242
2020-06-03T10:07:03,75271
2020-06-03T10:08:08,75107
2020-06-03T10:09:13,75247
2020-06-03T10:10:18,75087
2020-06-03T10:11:22,75357
2020-06-03T10:12:28,74883
2020-06-03T10:13:33,75225
2020-06-03T10:14:38,75754
2020-06-03T10:15:43,76162
2020-06-03T10:16:47,76168
2020-06-03T10:17:52,77129
2020-06-03T10:18:57,76252
2020-06-03T10:20:02,75903
2020-06-03T10:21:08,75464
2020-06-03T10:22:13,76139
2020-06-03T10:23:18,75686
2020-06-03T10:24:23,75607
2020-06-03T10:25:28,75680
2020-06-03T10:26:33,75634
2020-06-03T10:27:38,75442
2020-06-03T10:28:43,75431
2020-06-03T10:29:48,75394
2020-06-03T10:30:52,75545
2020-06-03T10:31:58,75396
2020-06-03T10:33:03,75792
2020-06-03T10:34:09,75566
2020-06-03T10:35:13,75512
2020-06-03T10:36:18,75515
2020-06-03T10:37:23,75501
2020-06-03T10:38:28,75667
2020-06-03T10:39:33,75424
2020-06-03T10:40:38,75541
2020-06-03T10:41:43,74537
2020-06-03T10:42:48,75662
2020-06-03T10:43:53,75487
2020-06-03T10:44:58,75595
2020-06-03T10:46:03,75554
2020-06-03T10:47:08,75597
2020-06-03T10:48:13,75565
2020-06-03T10:49:18,75570
2020-06-03T10:50:23,75585
2020-06-03T10:51:28,75559
2020-06-03T10:52:35,75556
2020-06-03T10:53:40,75621
2020-06-03T10:54:45,75451
2020-06-03T10:55:50,75605
2020-06-03T10:56:55,75607
2020-06-03T10:58:00,75596
2020-06-03T10:59:04,75683
2020-06-03T11:00:10,75526
2020-06-03T11:01:15,75599
2020-06-03T11:02:20,75621
2020-06-03T11:03:25,75335
2020-06-03T11:04:31,74771
2020-06-03T11:05:36,75422
2020-06-03T11:06:41,75661
2020-06-03T11:07:46,75251
2020-06-03T11:08:51,75528
2020-06-03T11:09:56,75578
2020-06-03T11:11:01,75509
2020-06-03T11:12:06,75375
2020-06-03T11:13:11,75479
2020-06-03T11:14:16,75515
2020-06-03T11:15:20,75534
2020-06-03T11:16:26,75622
2020-06-03T11:17:31,75376
2020-06-03T11:18:36,75792
2020-06-03T11:19:41,75419
2020-06-03T11:20:46,75172
2020-06-03T11:21:51,75409
2020-06-03T11:22:56,75352
2020-06-03T11:24:01,75168
2020-06-03T11:25:06,75311
2020-06-03T11:26:11,75274
2020-06-03T11:27:16,75347
2020-06-03T11:28:21,75290
2020-06-03T11:29:26,75893
2020-06-03T11:30:31,75237
2020-06-03T11:31:36,75204
2020-06-03T11:32:41,75400
2020-06-03T11:33:46,75258
2020-06-03T11:34:51,75218
2020-06-03T11:35:56,75270
2020-06-03T11:37:01,75271
2020-06-03T11:38:07,75246
2020-06-03T11:39:12,75330
2020-06-03T11:40:17,75640
2020-06-03T11:41:22,75517
2020-06-03T11:42:27,75214
2020-06-03T11:43:31,75152
2020-06-03T11:44:36,75243
2020-06-03T11:45:41,74994
2020-06-03T11:46:46,75103
2020-06-03T11:47:51,75414
2020-06-03T11:48:56,74867
2020-06-03T11:50:01,75258
2020-06-03T11:51:06,75271
2020-06-03T11:52:12,75329
2020-06-03T11:53:17,75478
2020-06-03T11:54:22,75344
2020-06-03T11:55:27,75314
2020-06-03T11:56:32,75324
2020-06-03T11:57:37,75291
2020-06-03T11:58:42,75366
2020-06-03T11:59:47,75364
2020-06-03T12:00:52,75327
2020-06-03T12:01:57,75399
2020-06-03T12:03:02,75319
2020-06-03T12:04:07,75497
2020-06-03T12:05:12,75485
2020-06-03T12:06:17,75306
2020-06-03T12:07:22,75521
2020-06-03T12:08:27,75419
2020-06-03T12:09:32,75391
2020-06-03T12:10:37,75422
2020-06-03T12:11:41,75469
2020-06-03T12:12:46,75302
2020-06-03T12:13:51,75320
2020-06-03T12:14:56,75411
2020-06-03T12:16:01,75431
2020-06-03T12:17:06,75304
2020-06-03T12:18:11,75309
2020-06-03T12:19:16,75423
2020-06-03T12:20:21,75526
2020-06-03T12:21:26,75100
2020-06-03T12:22:31,75404
2020-06-03T12:23:36,75402
2020-06-03T12:24:41,75475
2020-06-03T12:25:46,75406
2020-06-03T12:26:51,75420
2020-06-03T12:27:56,75423
2020-06-03T12:29:01,75381
2020-06-03T12:30:06,75444
2020-06-03T12:31:11,75407
2020-06-03T12:32:16,75276
2020-06-03T12:33:21,75481
2020-06-03T12:34:26,75492
2020-06-03T12:35:31,75440
2020-06-03T12:36:36,75474
2020-06-03T12:37:41,75489
2020-06-03T12:38:46,75482
2020-06-03T12:39:51,76070
2020-06-03T12:40:57,75471
2020-06-03T12:42:02,75459
2020-06-03T12:43:07,75360
2020-06-03T12:44:12,75408
2020-06-03T12:45:17,75337
2020-06-03T12:46:22,75379
2020-06-03T12:47:27,75459
2020-06-03T12:48:32,75442
2020-06-03T12:49:37,75418
2020-06-03T12:50:42,75443
2020-06-03T12:51:47,75447
2020-06-03T12:52:52,75444
2020-06-03T12:53:57,75545
2020-06-03T12:55:02,75447
2020-06-03T12:56:07,75459
2020-06-03T12:57:12,75247
2020-06-03T12:58:17,75474
2020-06-03T12:59:22,75476
2020-06-03T13:00:27,75338
2020-06-03T13:01:32,75593
2020-06-03T13:02:37,75591
2020-06-03T13:03:42,75418
2020-06-03T13:04:47,75507
2020-06-03T13:05:52,75459
2020-06-03T13:06:57,75485
2020-06-03T13:08:02,75392
2020-06-03T13:09:07,75436
2020-06-03T13:10:13,75353
2020-06-03T13:11:18,75432
2020-06-03T13:12:23,75549
2020-06-03T13:13:28,75887
2020-06-03T13:14:33,75466
2020-06-03T13:15:38,75456
2020-06-03T13:16:43,75778
2020-06-03T13:17:48,75553
2020-06-03T13:18:53,75441
2020-06-03T13:19:58,75486
2020-06-03T13:21:04,75310
2020-06-03T13:22:10,75458
2020-06-03T13:23:15,75817
2020-06-03T13:24:20,75673
2020-06-03T13:25:25,75417
2020-06-03T13:26:30,75434
2020-06-03T13:27:35,75716
2020-06-03T13:28:40,75449
2020-06-03T13:29:45,75419
2020-06-03T13:30:51,75371
2020-06-03T13:31:56,74564
2020-06-03T13:33:01,74493
2020-06-03T13:34:05,74548
2020-06-03T13:35:10,75121
2020-06-03T13:36:16,74989
2020-06-03T13:37:21,74988
2020-06-03T13:38:27,74993
2020-06-03T13:39:32,74993
2020-06-03T13:40:38,74993
2020-06-03T13:41:43,74922
2020-06-03T13:42:48,74819
2020-06-03T13:43:53,75344
2020-06-03T13:44:58,76554
2020-06-03T13:46:03,76070
2020-06-03T13:47:08,76061
2020-06-03T13:48:13,76070
2020-06-03T13:49:18,76037
2020-06-03T13:50:23,76068
2020-06-03T13:51:28,76118
2020-06-03T13:52:33,76075
2020-06-03T13:53:38,76016
2020-06-03T13:54:43,76059
2020-06-03T13:55:48,76026
2020-06-03T13:56:53,76050
2020-06-03T13:57:58,76042
2020-06-03T13:59:03,76053
2020-06-03T14:00:08,76075
2020-06-03T14:01:13,75802
2020-06-03T14:02:19,76011
2020-06-03T14:03:24,76047
2020-06-03T14:04:29,76039
2020-06-03T14:05:34,76102
2020-06-03T14:06:39,76097
2020-06-03T14:07:44,76013
2020-06-03T14:08:49,76060
2020-06-03T14:09:54,75861
2020-06-03T14:10:59,74182
2020-06-03T14:12:04,74852
2020-06-03T14:13:09,74987
2020-06-03T14:14:14,74136
2020-06-03T14:15:19,73874
2020-06-03T14:16:24,74198
2020-06-03T14:17:29,74067
2020-06-03T14:18:34,74175
2020-06-03T14:19:39,74105
2020-06-03T14:20:44,73882
2020-06-03T14:21:49,73579
2020-06-03T14:22:55,73589
2020-06-03T14:24:00,73777
2020-06-03T14:25:05,73673
2020-06-03T14:26:10,73410
2020-06-03T14:27:16,73758
2020-06-03T14:28:21,73929
2020-06-03T14:29:26,74072
2020-06-03T14:30:31,74178
2020-06-03T14:31:36,74142
2020-06-03T14:32:41,74165
2020-06-03T14:33:46,74142
2020-06-03T14:34:51,74137
2020-06-03T14:35:56,73505
2020-06-03T14:37:01,73429
2020-06-03T14:38:06,73658
2020-06-03T14:39:11,73729
2020-06-03T14:40:16,73697
2020-06-03T14:41:21,74230
2020-06-03T14:42:27,74029
2020-06-03T14:43:32,73903
2020-06-03T14:44:37,73313
2020-06-03T14:45:42,73804
2020-06-03T14:46:47,73619
2020-06-03T14:47:52,73391
2020-06-03T14:48:57,73180
2020-06-03T14:50:02,73156
2020-06-03T14:51:07,73353
2020-06-03T14:52:12,73231
2020-06-03T14:53:17,73292
2020-06-03T14:54:22,73280
2020-06-03T14:55:27,73272
2020-06-03T14:56:32,72866
2020-06-03T14:57:37,72779
2020-06-03T14:58:42,72678
2020-06-03T14:59:47,72826
2020-06-03T15:00:52,72566
2020-06-03T15:01:57,72716
2020-06-03T15:03:02,72738
2020-06-03T15:04:08,72685
2020-06-03T15:05:13,72710
2020-06-03T15:06:18,72695
2020-06-03T15:07:23,72637
2020-06-03T15:08:29,72884
2020-06-03T15:09:34,72648
2020-06-03T15:10:39,72955
2020-06-03T15:11:44,73092
2020-06-03T15:12:49,72855
2020-06-03T15:13:54,72687
2020-06-03T15:14:59,72632
2020-06-03T15:16:04,72750
2020-06-03T15:18:14,72658
2020-06-03T15:19:19,72667
2020-06-03T15:20:24,72685
2020-06-03T15:22:34,72668
2020-06-03T15:23:39,72634
2020-06-03T15:24:44,72679
2020-06-03T15:25:49,72667
2020-06-03T15:26:54,72700
2020-06-03T15:27:59,72723
2020-06-03T15:29:04,72656
2020-06-03T15:30:09,72658
2020-06-03T15:31:14,72684
2020-06-03T15:32:20,72669
2020-06-03T15:33:25,72670
2020-06-03T15:34:30,72713
2020-06-03T15:36:40,72657
2020-06-03T15:37:45,72782
2020-06-03T15:38:50,72540
2020-06-03T15:39:55,72735
2020-06-03T15:41:00,72618
2020-06-03T15:43:10,72766
2020-06-03T15:44:15,72659
2020-06-03T15:45:20,72739
2020-06-03T15:46:26,72738
2020-06-03T15:47:31,72744
2020-06-03T15:48:36,72752
2020-06-03T15:50:46,72756
2020-06-03T15:51:51,72679
2020-06-03T15:54:01,72853
2020-06-03T15:55:06,72583
2020-06-03T15:56:11,72749
2020-06-03T15:57:16,72739
2020-06-03T15:58:21,72608
2020-06-03T15:59:26,72915
2020-06-03T16:00:33,72756
2020-06-03T16:01:38,72723
2020-06-03T16:03:48,72755
2020-06-03T16:05:58,71878
2020-06-03T16:07:03,72153
2020-06-03T16:08:08,73224
2020-06-03T16:10:18,72784
2020-06-03T16:11:23,72262
2020-06-03T16:12:28,72315
2020-06-03T16:13:33,72345
2020-06-03T16:14:38,72442
2020-06-03T16:15:43,71570
2020-06-03T16:16:48,71772
2020-06-03T16:17:53,71938
2020-06-03T16:18:58,71697
2020-06-03T16:20:03,71869
2020-06-03T16:21:08,71796
2020-06-03T16:24:24,72248
2020-06-03T16:25:29,72441
2020-06-03T16:26:34,73509
2020-06-03T16:28:44,72899
2020-06-03T16:29:49,72788
2020-06-03T16:30:54,72841
2020-06-03T16:31:59,72559
2020-06-03T16:33:04,72821
2020-06-03T16:34:09,72874
2020-06-03T16:35:14,72838
2020-06-03T16:37:24,72594
2020-06-03T16:42:50,72601
2020-06-03T16:43:55,72533
2020-06-03T16:45:01,72534
2020-06-03T16:46:06,72869
2020-06-03T16:48:16,72332
2020-06-03T16:49:21,72305
2020-06-03T16:50:27,72367
2020-06-03T16:51:38,71602
2020-06-03T16:52:43,71795
2020-06-03T16:53:47,72708
2020-06-03T16:54:52,72745
2020-06-03T16:55:57,72762
2020-06-03T16:57:02,73082
2020-06-03T16:58:07,72905
2020-06-03T16:59:12,72915
2020-06-03T17:00:18,72750
2020-06-03T17:01:23,72932
2020-06-03T17:02:28,72770
2020-06-03T17:04:38,72877
2020-06-03T17:05:43,72672
2020-06-03T17:06:48,72744
2020-06-03T17:08:58,72280
2020-06-03T17:10:03,72423
2020-06-03T17:11:08,72327
2020-06-03T17:12:13,72337
2020-06-03T17:13:18,72325
2020-06-03T17:16:33,72255
2020-06-03T17:17:38,72203
2020-06-03T17:18:43,71930
2020-06-03T17:19:48,71973
2020-06-03T17:20:53,71954
2020-06-03T17:23:03,72089
2020-06-03T17:24:08,72075
2020-06-03T17:25:13,72035
2020-06-03T17:26:18,72085
2020-06-03T17:27:23,72086
2020-06-03T17:28:28,72066
2020-06-03T17:29:33,72078
2020-06-03T17:30:38,72097
2020-06-03T17:31:43,72055
2020-06-03T17:32:48,72088
